Date,Settle
1999-11-18,24.3788
1999-11-19,23.2383
1999-11-22,24.8778
1999-11-23,22.9531
1999-11-24,23.4165
1999-11-26,23.4878
1999-11-29,24.0224
1999-11-30,24.058
1999-12-01,24.4857
1999-12-02,25.1629
1999-12-03,25.6619
1999-12-06,26.0896
1999-12-07,25.8045
1999-12-08,25.7688
1999-12-09,26.1252
1999-12-10,25.5193
1999-12-13,25.5906
1999-12-14,24.5214
1999-12-15,23.7729
1999-12-16,26.3747
1999-12-17,26.1965
1999-12-20,26.7311
1999-12-21,26.5886
1999-12-22,27.1232
1999-12-23,28.3706
1999-12-27,30.1171
1999-12-28,35.0713
1999-12-29,41.6293
1999-12-30,44.7657
1999-12-31,44.0886
2000-01-03,41.059
2000-01-04,37.388
2000-01-05,35.5702
2000-01-06,33.6456
2000-01-07,37.0672
2000-01-10,39.3126
2000-01-11,38.778
2000-01-12,37.9939
2000-01-13,38.5641
2000-01-14,38.9918
2000-01-18,40.7739
2000-01-19,39.9185
2000-01-20,38.8493
2000-01-21,39.2057
2000-01-24,39.0631
2000-01-25,38.5998
2000-01-26,38.9562
2000-01-27,39.0275
2000-01-28,38.8136
2000-01-31,37.7444
2000-02-01,40.4888
2000-02-02,43.5896
2000-02-03,44.338
2000-02-04,43.4827
2000-02-07,45.336
2000-02-08,45.0509
2000-02-09,43.1975
2000-02-10,43.7321
2000-02-11,42.9837
2000-02-14,43.5896
2000-02-15,46.6904
2000-02-16,46.1914
2000-02-17,52.4643
2000-02-18,53.4623
2000-02-22,52.1792
2000-02-23,56.4562
2000-02-24,60.8757
2000-02-25,61.6598
2000-02-28,56.9195
2000-02-29,59.2362
2000-03-01,62.2301
2000-03-02,59.1649
2000-03-03,61.5885
2000-03-06,91.7769
2000-03-07,80.9775
2000-03-08,86.6445
2000-03-09,87.2504
2000-03-10,81.6904
2000-03-13,74.8472
2000-03-14,69.2158
2000-03-15,65.1527
2000-03-16,67.3268
2000-03-17,69.002
2000-03-20,64.8676
2000-03-21,64.5824
2000-03-22,68.1109
2000-03-23,68.2535
2000-03-24,66.614
2000-03-27,65.1527
2000-03-28,67.9327
2000-03-29,63.8696
2000-03-30,59.8778
2000-03-31,59.3075
2000-04-03,55.8859
2000-04-04,53.3197
2000-04-05,55.28
2000-04-06,59.8778
2000-04-07,70.1425
2000-04-10,61.5173
2000-04-11,57.5611
2000-04-12,49.0427
2000-04-13,51.3238
2000-04-14,47.1537
2000-04-17,45.0509
2000-04-18,49.613
2000-04-19,49.7556
2000-04-20,51.2881
2000-04-24,52.2505
2000-04-25,53.7474
2000-04-26,52.393
2000-04-27,51.7515
2000-04-28,50.5397
2000-05-01,54.389
2000-05-02,57.4608
2000-05-03,52.1792
2000-05-04,51.4664
