Date,Settle
1990-01-02,0.2634
1990-01-03,0.2652
1990-01-04,0.2661
1990-01-05,0.267
1990-01-08,0.2688
1990-01-09,0.2661
1990-01-10,0.2546
1990-01-11,0.244
1990-01-12,0.244
1990-01-15,0.2422
1990-01-16,0.2467
1990-01-17,0.2352
1990-01-18,0.229
1990-01-19,0.2422
1990-01-22,0.2352
1990-01-23,0.2387
1990-01-24,0.2405
1990-01-25,0.2413
1990-01-26,0.2316
1990-01-29,0.2352
1990-01-30,0.2405
1990-01-31,0.2405
1990-02-01,0.2378
1990-02-02,0.2422
1990-02-05,0.2475
1990-02-06,0.2458
1990-02-07,0.2352
1990-02-08,0.2333
1990-02-09,0.2422
1990-02-12,0.2405
1990-02-13,0.244
1990-02-14,0.2422
1990-02-15,0.2422
1990-02-16,0.2394
1990-02-20,0.2377
1990-02-21,0.2412
1990-02-22,0.2341
1990-02-23,0.2359
1990-02-26,0.2412
1990-02-27,0.2377
1990-02-28,0.2412
1990-03-01,0.243
1990-03-02,0.2394
1990-03-05,0.2447
1990-03-06,0.2501
1990-03-07,0.2509
1990-03-08,0.2607
1990-03-09,0.2616
1990-03-12,0.2598
1990-03-13,0.2616
1990-03-14,0.2625
1990-03-15,0.2607
1990-03-16,0.2856
1990-03-19,0.3006
1990-03-20,0.2935
1990-03-21,0.2954
1990-03-22,0.2891
1990-03-23,0.2997
1990-03-26,0.2997
1990-03-27,0.298
1990-03-28,0.2927
1990-03-29,0.2918
1990-03-30,0.2856
1990-04-02,0.2856
1990-04-03,0.2962
1990-04-04,0.2927
1990-04-05,0.2856
1990-04-06,0.2829
1990-04-09,0.2918
1990-04-10,0.2927
1990-04-11,0.3016
1990-04-12,0.3069
1990-04-16,0.3104
1990-04-17,0.3069
1990-04-18,0.3069
1990-04-19,0.2856
1990-04-20,0.2856
1990-04-23,0.282
1990-04-24,0.2749
1990-04-25,0.2749
1990-04-26,0.2758
1990-04-27,0.2776
1990-04-30,0.2794
1990-05-01,0.2811
1990-05-02,0.282
1990-05-03,0.2838
1990-05-04,0.2838
1990-05-07,0.2944
1990-05-08,0.2962
1990-05-09,0.2971
1990-05-10,0.2935
