Date,Settle
1995-04-04,2.2557
1995-04-05,2.1721
1995-04-06,2.2079
1995-04-07,2.1721
1995-04-10,2.196
1995-04-11,2.1841
1995-04-12,2.1841
1995-04-13,2.196
1995-04-17,2.2557
1995-04-18,2.2437
1995-04-19,2.1721
1995-04-20,2.0886
1995-04-21,2.1363
1995-04-24,2.1005
1995-04-25,2.1483
1995-04-26,2.1005
1995-04-27,2.1244
1995-04-28,2.1125
1995-05-01,2.1125
1995-05-02,2.1721
1995-05-03,2.1841
1995-05-04,2.1483
1995-05-05,2.1483
1995-05-08,2.1483
1995-05-09,2.1005
1995-05-10,2.1005
1995-05-11,2.1005
1995-05-12,2.1005
1995-05-15,2.0647
1995-05-16,2.0767
1995-05-17,2.0707
1995-05-18,2.017
1995-05-19,1.9931
1995-05-22,2.0289
1995-05-23,2.1005
1995-05-24,2.1483
1995-05-25,2.1483
1995-05-26,2.1483
1995-05-30,2.1244
1995-05-31,2.1721
1995-06-01,2.196
1995-06-02,2.2915
1995-06-05,2.3034
1995-06-06,2.2915
1995-06-07,2.3154
1995-06-08,2.2437
1995-06-09,2.2676
1995-06-12,2.2915
1995-06-13,2.2437
1995-06-14,2.2437
1995-06-15,2.2079
1995-06-16,2.2199
1995-06-19,2.2915
1995-06-20,2.2437
1995-06-21,2.2915
1995-06-22,2.2796
1995-06-23,2.3154
1995-06-26,2.2796
1995-06-27,2.2676
1995-06-28,2.2437
1995-06-29,2.196
1995-06-30,2.1781
1995-07-03,2.1483
1995-07-05,2.1483
1995-07-06,2.1483
1995-07-07,2.196
1995-07-10,2.1483
1995-07-11,2.1483
1995-07-12,2.196
1995-07-13,2.1841
1995-07-14,2.1363
1995-07-17,2.1721
1995-07-18,2.1244
1995-07-19,2.0767
1995-07-20,2.0528
1995-07-21,2.0409
1995-07-24,2.1721
1995-07-25,2.1602
1995-07-26,2.1244
1995-07-27,2.196
1995-07-28,2.1244
1995-07-31,2.1244
1995-08-01,2.1244
1995-08-02,2.0051
1995-08-03,2.0289
1995-08-04,2.0289
1995-08-07,1.9931
1995-08-08,1.9334
1995-08-09,1.9573
1995-08-10,1.9096
1995-08-11,1.9215
1995-08-14,1.9573
1995-08-15,1.9573
1995-08-16,2.0767
1995-08-17,2.1841
1995-08-18,2.2199
1995-08-21,2.196
1995-08-22,2.1721
1995-08-23,2.1005
1995-08-24,2.1483
1995-08-25,2.1483
1995-08-28,2.1005
1995-08-29,2.1363
1995-08-30,2.1721
1995-08-31,2.1721
1995-09-01,2.1602
1995-09-05,2.1602
1995-09-06,2.1841
1995-09-07,2.1005
1995-09-08,2.1005
1995-09-11,2.1005
1995-09-12,2.1363
1995-09-13,2.1721
1995-09-14,2.4586
1995-09-15,2.4586
1995-09-18,2.4347
1995-09-19,2.5063
1995-09-20,2.5779
1995-09-21,2.6495
1995-09-22,2.5779
1995-09-25,2.6018
1995-09-26,2.6018
1995-09-27,2.566
1995-09-28,2.5779
1995-09-29,2.5779
