Date,Settle
1990-01-02,1.8085
1990-01-03,1.815
1990-01-04,1.8118
1990-01-05,1.7922
1990-01-08,1.8014
1990-01-09,1.7948
1990-01-10,1.7719
1990-01-11,1.7883
1990-01-12,1.7522
1990-01-15,1.7292
1990-01-16,1.7489
1990-01-17,1.7292
1990-01-18,1.7653
1990-01-19,1.785
1990-01-22,1.7489
1990-01-23,1.7325
1990-01-24,1.7391
1990-01-25,1.68
1990-01-26,1.6964
1990-01-29,1.6931
1990-01-30,1.6898
1990-01-31,1.7062
1990-02-01,1.7128
1990-02-02,1.7259
1990-02-05,1.7194
1990-02-06,1.6997
1990-02-07,1.6997
1990-02-08,1.6931
1990-02-09,1.6833
1990-02-12,1.6702
1990-02-13,1.6898
1990-02-14,1.703
1990-02-15,1.7259
1990-02-16,1.7161
1990-02-20,1.6898
1990-02-21,1.6734
1990-02-22,1.68
1990-02-23,1.6537
1990-02-26,1.6669
1990-02-27,1.6669
1990-02-28,1.6833
1990-03-01,1.6931
1990-03-02,1.7062
1990-03-05,1.6898
1990-03-06,1.7062
1990-03-07,1.6997
1990-03-08,1.6997
1990-03-09,1.6964
1990-03-12,1.6931
1990-03-13,1.6669
1990-03-14,1.6702
1990-03-15,1.68
1990-03-16,1.703
1990-03-19,1.703
1990-03-20,1.6767
1990-03-21,1.6636
1990-03-22,1.657
1990-03-23,1.6734
1990-03-26,1.68
1990-03-27,1.703
1990-03-28,1.7194
1990-03-29,1.7259
1990-03-30,1.7259
1990-04-02,1.7161
1990-04-03,1.7587
1990-04-04,1.7522
1990-04-05,1.7653
1990-04-06,1.7863
1990-04-09,1.7995
1990-04-10,1.8127
1990-04-11,1.8292
1990-04-12,1.8292
1990-04-16,1.8292
1990-04-17,1.8325
1990-04-18,1.8094
1990-04-19,1.783
1990-04-20,1.7698
1990-04-23,1.7533
1990-04-24,1.7566
1990-04-25,1.7698
1990-04-26,1.7929
1990-04-27,1.7731
1990-04-30,1.7632
1990-05-01,1.7863
1990-05-02,1.7929
1990-05-03,1.7863
1990-05-04,1.7995
1990-05-07,1.8094
1990-05-08,1.8226
1990-05-09,1.8292
1990-05-10,1.8425
1990-05-11,1.8722
1990-05-14,1.8853
1990-05-15,1.8788
1990-05-16,1.8689
1990-05-17,1.8853
1990-05-18,1.8788
1990-05-21,1.8887
1990-05-22,1.9019
1990-05-23,1.9283
1990-05-24,1.9415
1990-05-25,1.9316
1990-05-29,1.9646
1990-05-30,1.958
1990-05-31,1.9778
1990-06-01,2.0075
1990-06-04,2.0141
1990-06-05,2.0009
1990-06-06,2.0471
1990-06-07,2.0141
1990-06-08,1.9745
1990-06-11,1.9943
1990-06-12,2.0604
1990-06-13,2.034
1990-06-14,2.034
1990-06-15,2.0405
1990-06-18,2.0604
1990-06-19,2.0604
1990-06-20,2.1132
1990-06-21,2.1528
1990-06-22,2.1198
1990-06-25,2.1132
1990-06-26,2.1264
1990-06-27,2.1594
1990-06-28,2.2189
1990-06-29,2.166
1990-07-02,2.166
1990-07-03,2.2056
1990-07-05,2.1792
1990-07-06,2.199
1990-07-09,2.2301
1990-07-10,2.2699
1990-07-11,2.323
1990-07-12,2.3164
1990-07-13,2.3164
1990-07-16,2.3562
1990-07-17,2.3828
1990-07-18,2.3628
1990-07-19,2.3562
1990-07-20,2.3628
1990-07-23,2.3164
1990-07-24,2.2699
1990-07-25,2.3097
1990-07-26,2.2832
1990-07-27,2.2699
1990-07-30,2.2434
1990-07-31,2.3097
1990-08-01,2.2832
1990-08-02,2.2035
1990-08-03,2.1504
1990-08-06,2.031
1990-08-07,2.1107
1990-08-08,2.1504
1990-08-09,2.1837
1990-08-10,2.1372
1990-08-13,2.1969
1990-08-14,2.2168
1990-08-15,2.1837
1990-08-16,2.1239
1990-08-17,2.1305
1990-08-20,2.0841
1990-08-21,2.0244
1990-08-22,1.9314
1990-08-23,1.8983
1990-08-24,1.9779
1990-08-27,2.0841
1990-08-28,2.1372
1990-08-29,2.1637
1990-08-30,2.1305
1990-08-31,2.1239
1990-09-04,2.1239
1990-09-05,2.1504
1990-09-06,2.0907
1990-09-07,2.1637
1990-09-10,2.1504
1990-09-11,2.1504
1990-09-12,2.1637
1990-09-13,2.1372
1990-09-14,2.1372
1990-09-17,2.1438
1990-09-18,2.2102
1990-09-19,2.1837
1990-09-20,2.104
1990-09-21,2.0575
1990-09-24,2.0443
1990-09-25,2.104
1990-09-26,2.0642
1990-09-27,2.0177
1990-09-28,2.0774
1990-10-01,2.2035
1990-10-02,2.2102
1990-10-03,2.1903
1990-10-04,2.1571
1990-10-05,2.1438
1990-10-08,2.1969
1990-10-09,2.1481
1990-10-10,2.1347
1990-10-11,2.1347
1990-10-12,2.1614
1990-10-15,2.1948
1990-10-16,2.1681
1990-10-17,2.1814
1990-10-18,2.2815
1990-10-19,2.3082
1990-10-22,2.3815
1990-10-23,2.3282
1990-10-24,2.3282
1990-10-25,2.3282
1990-10-26,2.2882
1990-10-29,2.2015
1990-10-30,2.1881
1990-10-31,2.1881
1990-11-01,2.1681
1990-11-02,2.1681
1990-11-05,2.1881
1990-11-06,2.1681
1990-11-07,2.1414
1990-11-08,2.1681
1990-11-09,2.2015
1990-11-12,2.2548
1990-11-13,2.2482
1990-11-14,2.2882
1990-11-15,2.2949
1990-11-16,2.2548
1990-11-19,2.2548
1990-11-20,2.2281
1990-11-21,2.2615
1990-11-23,2.2615
1990-11-26,2.2482
1990-11-27,2.2682
1990-11-28,2.2815
1990-11-29,2.2548
1990-11-30,2.3282
1990-12-03,2.3482
1990-12-04,2.3883
1990-12-05,2.3749
1990-12-06,2.4016
1990-12-07,2.3949
1990-12-10,2.4216
1990-12-11,2.3949
1990-12-12,2.4282
1990-12-13,2.4083
1990-12-14,2.3883
1990-12-17,2.3682
1990-12-18,2.3949
1990-12-19,2.4016
1990-12-20,2.3549
1990-12-21,2.3282
1990-12-24,2.3349
1990-12-26,2.3349
1990-12-27,2.3482
1990-12-28,2.3616
1990-12-31,2.4016
1991-01-02,2.3082
1991-01-03,2.2215
1991-01-04,2.1748
1991-01-07,2.1414
1991-01-08,2.1681
1991-01-09,2.166
1991-01-10,2.1794
1991-01-11,2.1861
1991-01-14,2.1324
1991-01-15,2.1391
1991-01-16,2.1861
1991-01-17,2.28
1991-01-18,2.2933
1991-01-21,2.2665
1991-01-22,2.2464
1991-01-23,2.2933
1991-01-24,2.3537
1991-01-25,2.3671
1991-01-28,2.3805
1991-01-29,2.3269
1991-01-30,2.3738
1991-01-31,2.3336
1991-02-01,2.3068
1991-02-04,2.3135
1991-02-05,2.3872
1991-02-06,2.4074
1991-02-07,2.414
1991-02-08,2.4007
1991-02-11,2.5147
1991-02-12,2.5079
1991-02-13,2.4878
1991-02-14,2.4543
1991-02-15,2.5214
1991-02-19,2.5147
1991-02-20,2.4811
1991-02-21,2.4744
1991-02-22,2.5147
1991-02-25,2.5482
1991-02-26,2.461
1991-02-27,2.5482
1991-02-28,2.4878
1991-03-01,2.4342
1991-03-04,2.4342
1991-03-05,2.4409
1991-03-06,2.4878
1991-03-07,2.4744
1991-03-08,2.5415
1991-03-11,2.5616
1991-03-12,2.5147
1991-03-13,2.5347
1991-03-14,2.6152
1991-03-15,2.575
1991-03-18,2.6086
1991-03-19,2.5482
1991-03-20,2.5347
1991-03-21,2.5214
1991-03-22,2.5281
1991-03-25,2.5817
1991-03-26,2.6488
1991-03-27,2.5884
1991-03-28,2.575
1991-04-01,2.5214
1991-04-02,2.6756
