Date,Settle
2001-07-19,10.9276
2001-07-20,10.8124
2001-07-23,10.8052
2001-07-24,10.7043
2001-07-25,10.7692
2001-07-26,10.445
2001-07-27,10.4522
2001-07-30,10.5891
2001-07-31,10.7764
2001-08-01,11.1654
2001-08-02,11.0933
2001-08-03,10.9132
2001-08-06,10.8772
2001-08-07,11.1654
2001-08-08,10.8052
2001-08-09,11.1654
2001-08-10,10.942
2001-08-13,10.8124
2001-08-14,10.5891
2001-08-15,10.6539
2001-08-16,10.1209
2001-08-17,10.4594
2001-08-20,11.0573
2001-08-21,11.1365
2001-08-22,11.0501
2001-08-23,10.9853
2001-08-24,11.0933
2001-08-27,11.1509
2001-08-28,11.0645
2001-08-29,10.8124
2001-08-30,10.7692
2001-08-31,10.7331
2001-09-04,11.0789
2001-09-05,10.7403
2001-09-06,10.445
2001-09-07,10.4594
2001-09-10,10.9132
2001-09-17,10.517
2001-09-18,10.481
2001-09-19,10.0488
2001-09-20,9.3285
2001-09-21,9.1844
2001-09-24,9.5086
2001-09-25,9.2204
2001-09-26,8.7882
2001-09-27,8.5361
2001-09-28,9.1844
2001-10-01,9.1484
2001-10-02,9.0619
2001-10-03,9.3285
2001-10-04,9.7175
2001-10-05,9.7607
2001-10-08,9.5302
2001-10-09,9.6526
2001-10-10,9.8471
2001-10-11,10.9204
2001-10-12,11.9217
2001-10-15,12.606
2001-10-16,12.57
2001-10-17,12.2315
2001-10-18,12.0298
2001-10-19,12.1378
2001-10-22,12.606
2001-10-23,12.6925
2001-10-24,12.7789
2001-10-25,12.7789
2001-10-26,12.6925
2001-10-29,12.6421
2001-10-30,12.498
2001-10-31,12.6565
2001-11-01,13.1895
2001-11-02,13.1463
2001-11-05,13.0383
2001-11-06,12.9446
2001-11-07,13.6145
2001-11-08,14.3709
2001-11-09,14.3709
2001-11-12,14.0395
2001-11-13,14.9832
2001-11-14,14.5582
2001-11-15,14.587
2001-11-16,15.1561
2001-11-19,15.8476
2001-11-20,15.3073
2001-11-21,14.659
2001-11-23,14.8031
2001-11-26,15.4874
2001-11-27,16.2078
2001-11-28,15.7395
2001-11-29,15.437
2001-11-30,16.2798
2001-12-03,16.4959
2001-12-04,17.4324
2001-12-05,19.1972
2001-12-06,18.9091
2001-12-07,17.9078
2001-12-10,17.7205
2001-12-11,17.8357
2001-12-12,18.1311
2001-12-13,16.784
2001-12-14,17.0362
2001-12-17,18.34
2001-12-18,18.693
2001-12-19,18.7506
2001-12-20,19.4853
2001-12-21,18.837
2001-12-24,18.7362
2001-12-26,18.9019
2001-12-27,18.9379
2001-12-28,19.1252
2001-12-31,19.3917
2002-01-02,18.8803
2002-01-03,18.2896
2002-01-04,19.9536
2002-01-07,19.0531
2002-01-08,19.651
2002-01-09,19.8599
2002-01-10,20.04
2002-01-11,19.0675
2002-01-14,17.9654
2002-01-15,18.2896
2002-01-16,18.729
2002-01-17,18.729
2002-01-18,18.5561
2002-01-22,17.9798
2002-01-23,17.6845
2002-01-24,18.5129
2002-01-25,18.1527
2002-01-28,17.2883
2002-01-29,17.2018
2002-01-30,17.9726
2002-01-31,18.5705
2002-02-01,20.1697
2002-02-04,19.6726
2002-02-05,19.5934
2002-02-06,19.4637
2002-02-07,19.8095
2002-02-08,19.968
2002-02-11,19.3053
2002-02-12,18.7146
2002-02-13,18.5849
2002-02-14,19.4493
2002-02-15,19.7735
2002-02-19,19.4133
2002-02-20,19.5214
2002-02-21,18.729
2002-02-22,18.4625
2002-02-25,18.1527
2002-02-26,18.4985
2002-02-27,18.5417
2002-02-28,18.8658
2002-03-01,18.873
2002-03-04,19.3053
2002-03-05,19.9896
2002-03-06,19.8383
2002-03-07,19.5502
2002-03-08,21.5311
2002-03-11,21.5383
2002-03-12,21.4735
2002-03-13,20.9981
2002-03-14,20.6523
2002-03-15,20.8828
2002-03-18,21.1926
2002-03-19,18.729
2002-03-20,19.1252
2002-03-21,19.7303
2002-03-22,19.9031
2002-03-25,19.4853
2002-03-26,19.2404
2002-03-27,19.0964
2002-03-28,19.2332
2002-04-01,19.1972
2002-04-02,18.729
2002-04-03,18.7362
2002-04-04,18.0807
2002-04-05,18.1239
2002-04-08,17.3099
2002-04-09,17.5836
2002-04-10,17.4684
2002-04-11,16.2438
2002-04-12,16.2222
2002-04-15,16.1645
2002-04-16,17.1082
2002-04-17,17.2739
2002-04-18,16.64
2002-04-19,17.6341
2002-04-22,17.5836
2002-04-23,17.2451
2002-04-24,16.676
2002-04-25,16.1934
2002-04-26,15.7035
2002-04-29,14.5942
2002-04-30,15.4442
2002-05-01,15.1849
2002-05-02,15.2713
2002-05-03,14.3133
2002-05-06,14.551
2002-05-07,14.8823
2002-05-08,16.0061
2002-05-09,14.551
2002-05-10,14.7383
2002-05-13,15.2353
2002-05-14,15.7395
2002-05-15,16.0061
2002-05-16,14.4069
2002-05-17,14.4069
2002-05-20,15.4586
2002-05-21,15.0552
2002-05-22,14.9111
2002-05-23,15.1345
2002-05-24,14.9976
2002-05-28,15.2353
2002-05-29,15.1849
2002-05-30,14.9184
2002-05-31,15.0192
2002-06-03,14.6302
2002-06-04,14.1404
2002-06-05,14.1836
2002-06-06,14.0611
2002-06-07,14.3709
2002-06-10,14.6518
2002-06-11,14.6878
2002-06-12,14.4933
2002-06-13,14.234
2002-06-14,14.4069
2002-06-17,14.8751
2002-06-18,15.0912
2002-06-19,14.7022
2002-06-20,14.3853
2002-06-21,14.1908
2002-06-24,13.7946
2002-06-25,13.5065
2002-06-26,13.5065
2002-06-27,13.5569
2002-06-28,13.6866
2002-07-01,12.0658
2002-07-02,12.1738
2002-07-03,12.606
2002-07-05,12.8942
2002-07-08,12.6565
2002-07-09,11.9577
2002-07-10,10.9853
2002-07-11,11.2014
2002-07-12,10.1569
2002-07-15,10.409
2002-07-16,10.7692
