Date,Settle
1990-01-02,1.1729
1990-01-03,1.2308
1990-01-04,1.2887
1990-01-05,1.3177
1990-01-08,1.3351
1990-01-09,1.3061
1990-01-10,1.2771
1990-01-11,1.3351
1990-01-12,1.3061
1990-01-15,1.2771
1990-01-16,1.3351
1990-01-17,1.3206
1990-01-18,1.3787
1990-01-19,1.3206
1990-01-22,1.3351
1990-01-23,1.3932
1990-01-24,1.4222
1990-01-25,1.3787
1990-01-26,1.3932
1990-01-29,1.3932
1990-01-30,1.3642
1990-01-31,1.3642
1990-02-01,1.3787
1990-02-02,1.4077
1990-02-05,1.4077
1990-02-06,1.3932
1990-02-07,1.4295
1990-02-08,1.5093
1990-02-09,1.5383
1990-02-12,1.5601
1990-02-13,1.5601
1990-02-14,1.5673
1990-02-15,1.6544
1990-02-16,1.6326
1990-02-20,1.6109
1990-02-21,1.5964
1990-02-22,1.5964
1990-02-23,1.6254
1990-02-26,1.6544
1990-02-27,1.7052
1990-02-28,1.756
1990-03-01,1.7705
1990-03-02,1.7632
1990-03-05,1.8866
1990-03-06,2.1115
1990-03-07,2.1333
1990-03-08,2.2494
1990-03-09,2.1914
1990-03-12,2.2639
1990-03-13,2.3292
1990-03-14,2.4381
1990-03-15,2.4236
1990-03-16,2.5687
1990-03-19,2.634
1990-03-20,2.4381
1990-03-21,2.322
1990-03-22,2.2929
1990-03-23,2.2059
1990-03-26,2.2748
1990-03-27,2.3402
1990-03-28,2.2821
1990-03-29,2.2385
1990-03-30,2.2094
1990-04-02,2.2457
1990-04-03,2.2966
1990-04-04,2.2675
1990-04-05,2.1513
1990-04-06,2.1222
1990-04-09,2.1367
1990-04-10,2.2385
1990-04-11,2.2966
1990-04-12,2.3112
1990-04-16,2.2821
1990-04-17,2.253
1990-04-18,2.2385
1990-04-19,2.2094
1990-04-20,2.2239
1990-04-23,2.1949
1990-04-24,2.1876
1990-04-25,2.1658
1990-04-26,2.2675
1990-04-27,2.2094
1990-04-30,2.2239
1990-05-01,2.3838
1990-05-02,2.4129
1990-05-03,2.3838
1990-05-04,2.3838
1990-05-07,2.4928
1990-05-08,2.4856
1990-05-09,2.5001
1990-05-10,2.5873
1990-05-11,2.5873
1990-05-14,2.6237
1990-05-15,2.7036
1990-05-16,2.6745
1990-05-17,2.5873
1990-05-18,2.6455
1990-05-21,2.8054
1990-05-22,2.7908
1990-05-23,2.849
1990-05-24,2.9362
1990-05-25,2.0495
1990-05-29,2.2021
1990-05-30,2.0568
1990-05-31,2.0713
1990-06-01,2.0204
1990-06-04,1.9332
1990-06-05,1.8751
1990-06-06,1.9623
1990-06-07,2.0786
1990-06-08,2.0786
1990-06-11,2.0786
1990-06-12,2.1367
1990-06-13,2.1876
1990-06-14,2.2167
1990-06-15,2.2167
1990-06-18,2.1367
1990-06-19,2.2094
1990-06-20,2.1513
1990-06-21,2.1949
1990-06-22,2.1367
1990-06-25,2.1367
1990-06-26,2.035
1990-06-27,2.1513
1990-06-28,2.1658
1990-06-29,2.1367
1990-07-02,2.2131
1990-07-03,2.2131
1990-07-05,2.1839
1990-07-06,2.2276
1990-07-09,2.2567
1990-07-10,2.2567
1990-07-11,2.2276
1990-07-12,2.1839
1990-07-13,2.2131
1990-07-16,2.2422
1990-07-17,2.1839
1990-07-18,2.1985
1990-07-19,2.1403
1990-07-20,2.0966
1990-07-23,2.0383
1990-07-24,2.1548
1990-07-25,2.1403
1990-07-26,2.1257
1990-07-27,2.1039
1990-07-30,2.0966
1990-07-31,2.0456
1990-08-01,2.0675
1990-08-02,1.9655
1990-08-03,1.8782
1990-08-06,1.7472
1990-08-07,1.7035
1990-08-08,1.7472
1990-08-09,1.7472
1990-08-10,1.7035
1990-08-13,1.7035
1990-08-14,1.7035
