Date,Settle
1990-01-02,4.7262
1990-01-03,4.7262
1990-01-04,4.7005
1990-01-05,4.495
1990-01-08,4.5464
1990-01-09,4.5464
1990-01-10,4.4693
1990-01-11,4.5207
1990-01-12,4.4179
1990-01-15,4.4436
1990-01-16,4.5464
1990-01-17,4.4179
1990-01-18,4.3923
1990-01-19,4.3666
1990-01-22,4.2125
1990-01-23,4.1097
1990-01-24,3.9813
1990-01-25,3.8272
1990-01-26,3.8272
1990-01-29,3.8323
1990-01-30,3.9095
1990-01-31,4.1152
1990-02-01,4.0638
1990-02-02,4.0895
1990-02-05,4.0895
1990-02-06,4.0381
1990-02-07,4.1152
1990-02-08,4.1924
1990-02-09,4.1924
1990-02-12,4.1924
1990-02-13,4.1924
1990-02-14,4.1667
1990-02-15,4.1152
1990-02-16,4.0638
1990-02-20,4.0124
1990-02-21,3.9609
1990-02-22,3.9866
1990-02-23,4.0895
1990-02-26,4.2181
1990-02-27,4.2181
1990-02-28,4.321
1990-03-01,4.3467
1990-03-02,4.3467
1990-03-05,4.2696
1990-03-06,4.2953
1990-03-07,4.2438
1990-03-08,4.2696
1990-03-09,4.141
1990-03-12,4.1667
1990-03-13,4.1667
1990-03-14,4.2181
1990-03-15,4.2953
1990-03-16,4.3467
1990-03-19,4.4239
1990-03-20,4.5782
1990-03-21,4.5268
1990-03-22,4.4239
1990-03-23,4.4753
1990-03-26,4.4753
1990-03-27,4.7068
1990-03-28,4.6296
1990-03-29,4.6296
1990-03-30,4.6811
1990-04-02,4.6296
1990-04-03,4.8354
1990-04-04,4.8097
1990-04-05,4.9383
1990-04-06,4.9126
1990-04-09,4.964
1990-04-10,4.7582
1990-04-11,4.8097
1990-04-12,4.8354
1990-04-16,4.8097
1990-04-17,4.7582
1990-04-18,4.6811
1990-04-19,4.6554
1990-04-20,4.501
1990-04-23,4.4753
1990-04-24,4.5782
1990-04-25,4.7582
1990-04-26,4.8097
1990-04-27,4.784
1990-04-30,4.8406
1990-05-01,4.8921
1990-05-02,5.0208
1990-05-03,4.9436
1990-05-04,4.9436
1990-05-07,4.9178
1990-05-08,5.0723
1990-05-09,5.0208
1990-05-10,4.9178
1990-05-11,5.0466
1990-05-14,4.9436
1990-05-15,4.8664
1990-05-16,4.9178
1990-05-17,4.9436
1990-05-18,5.0723
1990-05-21,5.1238
1990-05-22,5.2011
1990-05-23,5.2783
1990-05-24,5.2526
1990-05-25,5.1753
1990-05-29,5.2526
1990-05-30,5.2783
1990-05-31,5.4586
1990-06-01,5.5873
1990-06-04,5.4843
1990-06-05,5.3298
1990-06-06,5.2783
1990-06-07,5.2783
1990-06-08,5.2783
1990-06-11,5.2783
1990-06-12,5.4071
1990-06-13,5.3556
1990-06-14,5.3298
1990-06-15,5.3041
1990-06-18,5.1753
1990-06-19,5.2011
1990-06-20,5.1753
1990-06-21,5.1753
1990-06-22,5.1238
1990-06-25,5.0723
1990-06-26,5.2011
1990-06-27,5.3041
1990-06-28,5.3041
1990-06-29,5.2783
1990-07-02,5.3556
1990-07-03,5.3813
1990-07-05,5.3298
1990-07-06,5.3556
1990-07-09,5.3298
1990-07-10,5.2783
1990-07-11,5.3041
1990-07-12,5.4328
1990-07-13,5.3298
1990-07-16,5.2011
1990-07-17,5.2268
1990-07-18,5.1753
1990-07-19,5.2268
1990-07-20,5.2526
1990-07-23,5.0981
1990-07-24,5.3041
1990-07-25,5.2011
1990-07-26,5.1753
1990-07-27,5.2011
1990-07-30,5.232
1990-07-31,5.1805
1990-08-01,5.1805
1990-08-02,5.1547
1990-08-03,5.2062
1990-08-06,4.9227
1990-08-07,4.9743
1990-08-08,5.0774
1990-08-09,5.0516
1990-08-10,4.9227
1990-08-13,5.0
1990-08-14,5.0065
1990-08-15,5.0606
1990-08-16,4.9253
1990-08-17,4.7629
1990-08-20,4.7629
1990-08-21,4.6817
1990-08-22,4.6006
1990-08-23,4.5735
1990-08-24,4.7629
1990-08-27,5.0065
1990-08-28,5.0065
1990-08-29,5.1147
1990-08-30,5.0065
1990-08-31,4.9794
1990-09-04,5.1689
1990-09-05,5.2771
1990-09-06,5.1959
1990-09-07,5.3312
1990-09-10,5.3042
1990-09-11,5.1689
1990-09-12,5.223
1990-09-13,5.1959
1990-09-14,5.223
1990-09-17,5.1959
1990-09-18,5.1689
1990-09-19,5.1959
1990-09-20,5.1959
1990-09-21,5.1689
1990-09-24,4.9794
1990-09-25,5.1418
1990-09-26,5.1147
1990-09-27,5.0606
1990-09-28,5.0877
1990-10-01,5.3854
1990-10-02,5.5477
1990-10-03,5.3583
1990-10-04,5.4665
1990-10-05,5.3312
1990-10-08,5.3854
1990-10-09,5.1959
1990-10-10,5.0335
1990-10-11,5.0606
1990-10-12,5.1147
1990-10-15,4.6547
1990-10-16,4.8712
1990-10-17,4.8712
1990-10-18,4.9794
1990-10-19,5.0335
1990-10-22,5.0606
1990-10-23,5.0606
1990-10-24,5.0877
1990-10-25,5.0335
1990-10-26,4.8441
1990-10-29,4.817
1990-10-30,4.8982
1990-10-31,4.817
1990-11-01,4.8982
1990-11-02,5.0335
1990-11-05,5.1202
1990-11-06,4.9848
1990-11-07,4.8222
1990-11-08,4.8222
1990-11-09,4.9848
1990-11-12,5.0931
1990-11-13,4.9035
1990-11-14,4.9577
1990-11-15,5.0661
1990-11-16,5.0931
1990-11-19,5.0931
1990-11-20,5.039
1990-11-21,5.0119
1990-11-23,5.0119
1990-11-26,4.9848
1990-11-27,4.9577
1990-11-28,5.039
1990-11-29,5.0119
1990-11-30,5.0119
1990-12-03,5.2015
1990-12-04,5.3099
1990-12-05,5.337
1990-12-06,5.1473
1990-12-07,5.1473
1990-12-10,5.0931
1990-12-11,5.0661
1990-12-12,5.039
1990-12-13,4.9848
1990-12-14,4.8764
1990-12-17,4.8222
1990-12-18,4.8222
1990-12-19,4.9306
1990-12-20,4.9577
1990-12-21,4.8764
1990-12-24,4.9035
1990-12-26,4.9035
1990-12-27,4.8764
1990-12-28,4.8764
1990-12-31,4.9306
1991-01-02,4.8493
1991-01-03,4.6326
1991-01-04,4.6326
1991-01-07,4.4971
1991-01-08,4.4971
1991-01-09,4.47
1991-01-10,4.4971
1991-01-11,4.5784
1991-01-14,4.47
1991-01-15,4.5513
1991-01-16,4.2533
1991-01-17,4.3346
1991-01-18,4.3075
1991-01-21,4.3075
1991-01-22,4.3075
1991-01-23,4.2533
1991-01-24,4.443
1991-01-25,4.443
1991-01-28,4.4213
1991-01-29,4.4484
1991-01-30,4.3399
1991-01-31,4.4213
1991-02-01,4.3941
1991-02-04,4.584
1991-02-05,4.6925
1991-02-06,4.8824
1991-02-07,4.9095
1991-02-08,4.8281
1991-02-11,4.9637
1991-02-12,4.8281
1991-02-13,4.8281
1991-02-14,4.8552
1991-02-15,4.8281
1991-02-19,4.7196
1991-02-20,4.7467
1991-02-21,4.7196
1991-02-22,4.6654
1991-02-25,4.7196
1991-02-26,4.5569
1991-02-27,4.5569
1991-02-28,4.8281
1991-03-01,4.8824
1991-03-04,4.8824
1991-03-05,4.8824
1991-03-06,4.9637
1991-03-07,4.9095
1991-03-08,4.9366
1991-03-11,4.8281
1991-03-12,4.7739
1991-03-13,4.8281
1991-03-14,4.7739
1991-03-15,4.7739
1991-03-18,4.7467
1991-03-19,4.7196
1991-03-20,4.6925
1991-03-21,4.6654
1991-03-22,4.6111
1991-03-25,4.6382
1991-03-26,4.6654
1991-03-27,4.6925
1991-03-28,4.7739
1991-04-01,4.8824
1991-04-02,5.0722
1991-04-03,5.0994
1991-04-04,5.1807
1991-04-05,5.1807
1991-04-08,5.1536
1991-04-09,5.0722
1991-04-10,4.9095
1991-04-11,4.8281
1991-04-12,4.9366
1991-04-15,4.9909
1991-04-16,5.0994
1991-04-17,5.1536
1991-04-18,5.1265
1991-04-19,5.0451
1991-04-22,4.9366
1991-04-23,5.018
1991-04-24,5.0451
1991-04-25,4.9909
1991-04-26,5.0451
1991-04-29,4.9637
1991-04-30,4.9637
1991-05-01,4.9909
1991-05-02,4.9637
1991-05-03,5.0722
1991-05-06,4.9962
1991-05-07,4.9419
1991-05-08,4.969
1991-05-09,5.0234
1991-05-10,4.969
1991-05-13,4.9147
1991-05-14,4.8604
1991-05-15,4.8333
