Date,Settle
1990-01-02,2.7109
1990-01-03,2.6973
1990-01-04,2.6837
1990-01-05,2.6633
1990-01-08,2.6701
1990-01-09,2.6226
1990-01-10,2.5954
1990-01-11,2.6294
1990-01-12,2.6497
1990-01-15,2.6022
1990-01-16,2.6497
1990-01-17,2.609
1990-01-18,2.609
1990-01-19,2.6565
1990-01-22,2.6294
1990-01-23,2.6158
1990-01-24,2.6226
1990-01-25,2.6429
1990-01-26,2.6226
1990-01-29,2.5954
1990-01-30,2.5954
1990-01-31,2.5546
1990-02-01,2.6158
1990-02-02,2.6158
1990-02-05,2.609
1990-02-06,2.6429
1990-02-07,2.7109
1990-02-08,2.6837
1990-02-09,2.7177
1990-02-12,2.6837
1990-02-13,2.6837
1990-02-14,2.6565
1990-02-15,2.7312
1990-02-16,2.7516
1990-02-20,2.7448
1990-02-21,2.7041
1990-02-22,2.6973
1990-02-23,2.6973
1990-02-26,2.7244
1990-02-27,2.7448
1990-02-28,2.7312
1990-03-01,2.7041
1990-03-02,2.7584
1990-03-05,2.7992
1990-03-06,2.8672
1990-03-07,2.8943
1990-03-08,2.8807
1990-03-09,2.8264
1990-03-12,2.8264
1990-03-13,2.78
1990-03-14,2.8073
1990-03-15,2.8277
1990-03-16,2.9094
1990-03-19,2.9094
1990-03-20,2.9026
1990-03-21,2.9231
1990-03-22,2.8481
1990-03-23,2.8618
1990-03-26,2.8345
1990-03-27,2.8345
1990-03-28,2.8277
1990-03-29,2.8618
1990-03-30,2.9094
1990-04-02,2.9231
1990-04-03,2.9163
1990-04-04,2.9435
1990-04-05,2.9367
1990-04-06,2.9367
1990-04-09,2.8958
1990-04-10,2.889
1990-04-11,2.9094
1990-04-12,2.9435
1990-04-16,2.9435
1990-04-17,2.9094
1990-04-18,2.889
1990-04-19,2.8277
1990-04-20,2.7732
1990-04-23,2.7664
1990-04-24,2.7664
1990-04-25,2.7664
1990-04-26,2.78
1990-04-27,2.7255
1990-04-30,2.7459
1990-05-01,2.78
1990-05-02,2.8209
1990-05-03,2.8413
1990-05-04,2.8754
1990-05-07,2.9435
1990-05-08,2.9299
1990-05-09,2.9231
1990-05-10,2.9299
1990-05-11,2.9707
1990-05-14,3.0593
1990-05-15,3.0389
1990-05-16,3.0389
1990-05-17,3.073
1990-05-18,3.1275
1990-05-21,3.1615
1990-05-22,3.1071
1990-05-23,3.1275
1990-05-24,3.1207
1990-05-25,3.0661
1990-05-29,3.1615
1990-05-30,3.1207
1990-05-31,3.1411
1990-06-01,3.1411
1990-06-04,3.1752
1990-06-05,3.1547
1990-06-06,3.1139
1990-06-07,3.0934
1990-06-08,3.0525
1990-06-11,3.0525
1990-06-12,3.1139
1990-06-13,3.0934
1990-06-14,3.0414
1990-06-15,3.0072
1990-06-18,3.0141
1990-06-19,3.0004
1990-06-20,3.0209
1990-06-21,3.0414
1990-06-22,3.0551
1990-06-25,3.0072
1990-06-26,3.0004
1990-06-27,3.0004
1990-06-28,3.0004
1990-06-29,3.0209
1990-07-02,3.0483
1990-07-03,3.0824
1990-07-05,3.0756
1990-07-06,3.0483
1990-07-09,3.0346
1990-07-10,2.9936
1990-07-11,3.0824
1990-07-12,3.1371
1990-07-13,3.1644
1990-07-16,3.2191
1990-07-17,3.2943
1990-07-18,3.2259
1990-07-19,3.1644
1990-07-20,3.0619
1990-07-23,2.9389
1990-07-24,2.9799
1990-07-25,3.0072
1990-07-26,2.9526
1990-07-27,2.9252
1990-07-30,2.9321
1990-07-31,2.8842
1990-08-01,2.8842
1990-08-02,2.8842
1990-08-03,2.8364
1990-08-06,2.7339
1990-08-07,2.727
1990-08-08,2.7407
1990-08-09,2.8022
1990-08-10,2.7885
1990-08-13,2.7749
1990-08-14,2.7749
1990-08-15,2.8364
1990-08-16,2.7543
1990-08-17,2.6792
1990-08-20,2.7065
1990-08-21,2.6245
1990-08-22,2.645
1990-08-23,2.5972
1990-08-24,2.6382
1990-08-27,2.7612
1990-08-28,2.768
1990-08-29,2.7543
1990-08-30,2.7134
1990-08-31,2.7543
1990-09-04,2.768
1990-09-05,2.768
1990-09-06,2.7475
1990-09-07,2.7885
1990-09-10,2.7612
1990-09-11,2.757
1990-09-12,2.7022
1990-09-13,2.6747
1990-09-14,2.6199
1990-09-17,2.6061
1990-09-18,2.6199
1990-09-19,2.6267
1990-09-20,2.613
1990-09-21,2.6747
1990-09-24,2.6678
1990-09-25,2.7296
1990-09-26,2.6678
1990-09-27,2.6678
1990-09-28,2.7227
1990-10-01,2.757
1990-10-02,2.7433
1990-10-03,2.6473
1990-10-04,2.5719
1990-10-05,2.5924
1990-10-08,2.5993
1990-10-09,2.5924
1990-10-10,2.5787
1990-10-11,2.5101
1990-10-12,2.5307
1990-10-15,2.6061
1990-10-16,2.6267
1990-10-17,2.6816
1990-10-18,2.7776
1990-10-19,2.8188
1990-10-22,2.8668
1990-10-23,2.8324
1990-10-24,2.805
1990-10-25,2.7776
1990-10-26,2.7433
1990-10-29,2.7433
1990-10-30,2.757
1990-10-31,2.7639
1990-11-01,2.7776
1990-11-02,2.8256
1990-11-05,2.8188
1990-11-06,2.8119
1990-11-07,2.7982
1990-11-08,2.8119
1990-11-09,2.853
1990-11-12,2.9147
1990-11-13,2.9147
1990-11-14,2.9628
1990-11-15,2.9353
1990-11-16,2.9559
1990-11-19,2.9696
1990-11-20,2.9628
1990-11-21,3.0176
1990-11-23,3.0039
1990-11-26,2.9559
1990-11-27,2.9834
1990-11-28,2.9834
1990-11-29,2.9628
1990-11-30,2.9559
1990-12-03,3.0039
1990-12-04,2.997
