Date,Settle
1990-01-02,2.6785
1990-01-03,2.7478
1990-01-04,2.6785
1990-01-05,2.6785
1990-01-08,2.6519
1990-01-09,2.6466
1990-01-10,2.6466
1990-01-11,2.5986
1990-01-12,2.5454
1990-01-15,2.5454
1990-01-16,2.5614
1990-01-17,2.5454
1990-01-18,2.5454
1990-01-19,2.572
1990-01-22,2.4975
1990-01-23,2.4442
1990-01-24,2.4975
1990-01-25,2.5454
1990-01-26,2.5773
1990-01-29,2.6785
1990-01-30,2.5986
1990-01-31,2.6306
1990-02-01,2.7105
1990-02-02,2.7105
1990-02-05,2.6519
1990-02-06,2.7637
1990-02-07,2.8436
1990-02-08,2.9288
1990-02-09,2.9128
1990-02-12,2.8809
1990-02-13,2.9874
1990-02-14,2.9448
1990-02-15,3.03
1990-02-16,2.9128
1990-02-20,2.9448
1990-02-21,3.014
1990-02-22,3.046
1990-02-23,2.8969
1990-02-26,2.8117
1990-02-27,2.8543
1990-02-28,2.9448
1990-03-01,2.9128
1990-03-02,2.9608
1990-03-05,2.9824
1990-03-06,3.118
1990-03-07,3.1885
1990-03-08,3.2861
1990-03-09,3.2373
1990-03-12,3.1777
1990-03-13,3.0692
1990-03-14,3.1505
1990-03-15,3.1505
1990-03-16,3.2698
1990-03-19,3.3295
1990-03-20,3.2861
1990-03-21,3.2373
1990-03-22,3.2536
1990-03-23,3.2861
1990-03-26,3.3024
1990-03-27,3.3024
1990-03-28,3.221
1990-03-29,3.0855
1990-03-30,3.0692
1990-04-02,3.0692
1990-04-03,3.2048
1990-04-04,3.1343
1990-04-05,3.0692
1990-04-06,3.015
1990-04-09,3.015
1990-04-10,3.0746
1990-04-11,3.1343
1990-04-12,3.1505
1990-04-16,3.1668
1990-04-17,3.1668
1990-04-18,3.0855
1990-04-19,3.015
1990-04-20,3.0312
1990-04-23,2.9987
1990-04-24,2.9824
1990-04-25,2.9987
1990-04-26,3.0475
1990-04-27,2.9174
1990-04-30,2.9499
1990-05-01,3.0312
1990-05-02,3.0312
1990-05-03,3.015
1990-05-04,3.015
1990-05-07,3.2048
1990-05-08,3.221
1990-05-09,3.2373
1990-05-10,3.2427
1990-05-11,3.2698
1990-05-14,3.2861
1990-05-15,3.3566
1990-05-16,3.4054
1990-05-17,3.3783
1990-05-18,3.4054
1990-05-21,3.541
1990-05-22,3.4596
1990-05-23,3.5084
1990-05-24,3.5572
1990-05-25,3.4759
1990-05-29,3.541
1990-05-30,3.4596
1990-05-31,3.4
1990-06-01,3.3566
1990-06-04,3.3024
1990-06-05,3.3024
1990-06-06,3.3566
1990-06-07,3.3403
1990-06-08,3.3403
1990-06-11,3.4217
1990-06-12,3.4596
1990-06-13,3.5572
1990-06-14,3.6494
1990-06-15,3.7308
1990-06-18,3.6812
1990-06-19,3.6812
1990-06-20,3.6262
1990-06-21,3.6812
1990-06-22,3.7308
1990-06-25,3.6812
1990-06-26,3.6262
1990-06-27,3.6812
1990-06-28,3.7858
1990-06-29,3.8188
1990-07-02,3.8243
1990-07-03,3.7143
1990-07-05,3.6262
1990-07-06,3.7473
1990-07-09,3.8848
1990-07-10,3.9179
1990-07-11,4.0224
1990-07-12,4.0224
1990-07-13,4.0224
1990-07-16,4.127
1990-07-17,4.0059
1990-07-18,3.9564
1990-07-19,3.8958
1990-07-20,3.6647
1990-07-23,3.7308
1990-07-24,3.6097
1990-07-25,3.6702
1990-07-26,3.6427
1990-07-27,3.6262
1990-07-30,3.5932
1990-07-31,3.6647
1990-08-01,3.6647
1990-08-02,3.5932
1990-08-03,3.5437
1990-08-06,3.3676
1990-08-07,3.3016
1990-08-08,3.3676
1990-08-09,3.3511
1990-08-10,3.2851
1990-08-13,3.3896
1990-08-14,3.4116
1990-08-15,3.3511
1990-08-16,3.2685
1990-08-17,3.1805
1990-08-20,3.0595
1990-08-21,3.1475
1990-08-22,3.2135
1990-08-23,3.0705
1990-08-24,3.252
1990-08-27,3.3896
1990-08-28,3.4391
1990-08-29,3.4997
1990-08-30,3.3951
1990-08-31,3.4226
1990-09-04,3.4785
1990-09-05,3.445
1990-09-06,3.3387
1990-09-07,3.445
1990-09-10,3.4785
1990-09-11,3.2884
1990-09-12,3.2493
1990-09-13,3.1989
1990-09-14,3.322
1990-09-17,3.445
1990-09-18,3.2772
1990-09-19,3.1989
1990-09-20,3.0256
1990-09-21,2.8857
1990-09-24,2.8857
1990-09-25,3.0256
1990-09-26,2.9529
1990-09-27,2.8298
1990-09-28,2.9361
1990-10-01,3.1094
1990-10-02,2.7795
