Date,Settle
1990-01-02,8.4303
1990-01-03,8.5039
1990-01-04,8.4671
1990-01-05,8.283
1990-01-08,8.283
1990-01-09,8.3198
1990-01-10,8.283
1990-01-11,8.3198
1990-01-12,8.2094
1990-01-15,8.1726
1990-01-16,8.1358
1990-01-17,8.1358
1990-01-18,7.9885
1990-01-19,8.1358
1990-01-22,7.9517
1990-01-23,8.0253
1990-01-24,7.9149
1990-01-25,7.9517
1990-01-26,7.8781
1990-01-29,7.9149
1990-01-30,7.8044
1990-01-31,7.9149
1990-02-01,7.9885
1990-02-02,7.9517
1990-02-05,8.0621
1990-02-06,8.0989
1990-02-07,8.1358
1990-02-08,8.1726
1990-02-09,8.2094
1990-02-12,8.2094
1990-02-13,8.2094
1990-02-14,8.2094
1990-02-15,8.2094
1990-02-16,8.2462
1990-02-20,8.2094
1990-02-21,8.1726
1990-02-22,8.0989
1990-02-23,7.9885
1990-02-26,7.9885
1990-02-27,8.0621
1990-02-28,8.0989
1990-03-01,7.9885
1990-03-02,8.0253
1990-03-05,7.9885
1990-03-06,7.9885
1990-03-07,7.9885
1990-03-08,8.0621
1990-03-09,8.0253
1990-03-12,8.0253
1990-03-13,7.9149
1990-03-14,7.9149
1990-03-15,7.9517
1990-03-16,7.9149
1990-03-19,7.9517
1990-03-20,7.9149
1990-03-21,7.9149
1990-03-22,7.8781
1990-03-23,7.8044
1990-03-26,7.8781
1990-03-27,7.8781
1990-03-28,7.9149
1990-03-29,7.9149
1990-03-30,7.9885
1990-04-02,7.9885
1990-04-03,8.0253
1990-04-04,8.0621
1990-04-05,7.9885
1990-04-06,7.9149
1990-04-09,7.9149
1990-04-10,7.8781
1990-04-11,7.8781
1990-04-12,7.8412
1990-04-16,7.9149
1990-04-17,7.9149
1990-04-18,7.9149
1990-04-19,7.8044
1990-04-20,7.694
1990-04-23,7.5099
1990-04-24,7.4731
1990-04-25,7.4731
1990-04-26,7.4731
1990-04-27,7.3995
1990-04-30,7.4363
1990-05-01,7.4731
1990-05-02,7.4731
1990-05-03,7.5467
1990-05-04,7.694
1990-05-07,7.7308
1990-05-08,7.8044
1990-05-09,7.7676
1990-05-10,7.8412
1990-05-11,7.9517
1990-05-14,7.9149
1990-05-15,7.9149
1990-05-16,7.8781
1990-05-17,7.8781
1990-05-18,7.8412
1990-05-21,7.8781
1990-05-22,7.8412
1990-05-23,7.8044
1990-05-24,7.8044
1990-05-25,7.694
1990-05-29,7.7676
1990-05-30,7.8412
1990-05-31,7.6204
1990-06-01,7.6572
1990-06-04,7.8044
1990-06-05,7.7676
1990-06-06,7.8412
1990-06-07,7.7308
1990-06-08,7.7676
1990-06-11,7.694
1990-06-12,7.8044
1990-06-13,7.7308
1990-06-14,7.8044
1990-06-15,7.7676
1990-06-18,7.7308
1990-06-19,7.7676
1990-06-20,7.8044
1990-06-21,7.7308
1990-06-22,7.7308
1990-06-25,7.7308
1990-06-26,7.7676
1990-06-27,7.7676
1990-06-28,7.8044
1990-06-29,7.7676
1990-07-02,7.7308
1990-07-03,7.7676
1990-07-05,7.7676
1990-07-06,7.7676
1990-07-09,7.7308
1990-07-10,7.7676
1990-07-11,7.694
1990-07-12,7.6572
1990-07-13,7.7308
1990-07-16,7.694
1990-07-17,7.6572
1990-07-18,7.6204
1990-07-19,7.694
1990-07-20,7.6572
1990-07-23,7.6204
1990-07-24,7.6204
1990-07-25,7.6572
1990-07-26,7.6572
1990-07-27,7.6204
1990-07-30,7.7676
1990-07-31,7.8412
1990-08-01,8.0253
1990-08-02,7.9149
1990-08-03,7.8412
1990-08-06,7.5836
1990-08-07,7.6204
1990-08-08,7.6204
1990-08-09,7.6204
1990-08-10,7.6572
1990-08-13,7.694
1990-08-14,7.8044
1990-08-15,7.7676
1990-08-16,7.7676
1990-08-17,7.6572
1990-08-20,7.6572
1990-08-21,7.6204
1990-08-22,7.5836
1990-08-23,7.3627
1990-08-24,7.3259
1990-08-27,7.5467
1990-08-28,7.5467
1990-08-29,7.3995
1990-08-30,7.3995
1990-08-31,7.3995
1990-09-04,7.3627
1990-09-05,7.4363
1990-09-06,7.3627
1990-09-07,7.3627
1990-09-10,7.4363
1990-09-11,7.3995
1990-09-12,7.4363
1990-09-13,7.3995
1990-09-14,7.4363
1990-09-17,7.4731
1990-09-18,7.4731
1990-09-19,7.4731
1990-09-20,7.3995
1990-09-21,7.3995
1990-09-24,7.3627
1990-09-25,7.3995
1990-09-26,7.4363
1990-09-27,7.4363
1990-09-28,7.5467
1990-10-01,7.694
1990-10-02,7.694
1990-10-03,7.7308
1990-10-04,7.8412
1990-10-05,7.9149
1990-10-08,7.9517
1990-10-09,7.8781
1990-10-10,7.8781
1990-10-11,7.8781
1990-10-12,7.9517
1990-10-15,7.9517
1990-10-16,7.9149
1990-10-17,7.9885
1990-10-18,8.0253
1990-10-19,8.1358
1990-10-22,8.1358
1990-10-23,8.2094
1990-10-24,8.2094
1990-10-25,8.2094
1990-10-26,8.2094
1990-10-29,8.283
1990-10-30,8.3198
1990-10-31,8.5039
1990-11-01,8.5775
1990-11-02,8.6143
1990-11-05,8.6143
1990-11-06,8.688
1990-11-07,8.5775
1990-11-08,8.5775
1990-11-09,8.5775
1990-11-12,8.6143
1990-11-13,8.5775
1990-11-14,8.5039
1990-11-15,8.4303
1990-11-16,8.5039
1990-11-19,8.4671
1990-11-20,8.3934
1990-11-21,8.4303
1990-11-23,8.4303
1990-11-26,8.5407
1990-11-27,8.5775
1990-11-28,8.5775
1990-11-29,8.3198
1990-11-30,8.4303
1990-12-03,8.4303
1990-12-04,8.5407
1990-12-05,8.5775
1990-12-06,8.5407
1990-12-07,8.5775
1990-12-10,8.5775
1990-12-11,8.7248
1990-12-12,8.7616
1990-12-13,8.7984
1990-12-14,8.7616
1990-12-17,8.688
1990-12-18,8.7616
1990-12-19,8.688
1990-12-20,8.7616
1990-12-21,8.7616
1990-12-24,8.7616
1990-12-26,8.8352
1990-12-27,8.8352
1990-12-28,8.7616
1990-12-31,8.7616
1991-01-02,8.7616
1991-01-03,8.688
1991-01-04,8.6511
1991-01-07,8.5775
1991-01-08,8.5407
1991-01-09,8.5775
1991-01-10,8.5407
1991-01-11,8.5407
1991-01-14,8.4303
1991-01-15,8.4303
1991-01-16,8.4671
1991-01-17,8.5407
1991-01-18,8.4671
1991-01-21,8.5407
1991-01-22,8.4303
1991-01-23,8.5039
1991-01-24,8.5775
1991-01-25,8.6143
1991-01-28,8.688
1991-01-29,8.6511
1991-01-30,8.688
1991-01-31,8.7248
1991-02-01,8.6511
1991-02-04,8.688
1991-02-05,8.5407
1991-02-06,8.4303
1991-02-07,8.5039
1991-02-08,8.4671
1991-02-11,8.7248
