Date,Settle
1990-01-02,5.926
1990-01-03,5.9037
1990-01-04,5.8142
1990-01-05,5.68
1990-01-08,5.6577
1990-01-09,5.6353
1990-01-10,5.6577
1990-01-11,5.7024
1990-01-12,5.5906
1990-01-15,5.5906
1990-01-16,5.6129
1990-01-17,5.5906
1990-01-18,5.5235
1990-01-19,5.5906
1990-01-22,5.5235
1990-01-23,5.5682
1990-01-24,5.4788
1990-01-25,5.4564
1990-01-26,5.5011
1990-01-29,5.4788
1990-01-30,5.4788
1990-01-31,5.5235
1990-02-01,5.5235
1990-02-02,5.5459
1990-02-05,5.4957
1990-02-06,5.4501
1990-02-07,5.4957
1990-02-08,5.5185
1990-02-09,5.5185
1990-02-12,5.5413
1990-02-13,5.5641
1990-02-14,5.5413
1990-02-15,5.5413
1990-02-16,5.5185
1990-02-20,5.4273
1990-02-21,5.4273
1990-02-22,5.4501
1990-02-23,5.4501
1990-02-26,5.4729
1990-02-27,5.4957
1990-02-28,5.5641
1990-03-01,5.5641
1990-03-02,5.5869
1990-03-05,5.5413
1990-03-06,5.5869
1990-03-07,5.5413
1990-03-08,5.5869
1990-03-09,5.5641
1990-03-12,5.5641
1990-03-13,5.5869
1990-03-14,5.5641
1990-03-15,5.5869
1990-03-16,5.6097
1990-03-19,5.5869
1990-03-20,5.5641
1990-03-21,5.5641
1990-03-22,5.5413
1990-03-23,5.5641
1990-03-26,5.5641
1990-03-27,5.5641
1990-03-28,5.5185
1990-03-29,5.5185
1990-03-30,5.5413
1990-04-02,5.5185
1990-04-03,5.5185
1990-04-04,5.5413
1990-04-05,5.4957
1990-04-06,5.5185
1990-04-09,5.4957
1990-04-10,5.4729
1990-04-11,5.4957
1990-04-12,5.4957
1990-04-16,5.4729
1990-04-17,5.4501
1990-04-18,5.4501
1990-04-19,5.4501
1990-04-20,5.4501
1990-04-23,5.3817
1990-04-24,5.3589
1990-04-25,5.3361
1990-04-26,5.3589
1990-04-27,5.3361
1990-04-30,5.3133
1990-05-01,5.3133
1990-05-02,5.3589
1990-05-03,5.3361
1990-05-04,5.378
1990-05-07,5.3547
1990-05-08,5.4012
1990-05-09,5.4245
1990-05-10,5.4711
1990-05-11,5.5409
1990-05-14,5.6108
1990-05-15,5.6108
1990-05-16,5.6108
1990-05-17,5.5875
1990-05-18,5.6108
1990-05-21,5.5642
1990-05-22,5.4711
1990-05-23,5.4711
1990-05-24,5.3547
1990-05-25,5.3547
1990-05-29,5.378
1990-05-30,5.378
1990-05-31,5.4012
1990-06-01,5.4478
1990-06-04,5.5642
1990-06-05,5.6341
1990-06-06,5.5875
1990-06-07,5.6108
1990-06-08,5.5642
1990-06-11,5.5642
1990-06-12,5.6108
1990-06-13,5.6108
1990-06-14,5.5642
1990-06-15,5.5642
1990-06-18,5.4944
1990-06-19,5.4944
1990-06-20,5.4711
1990-06-21,5.4711
1990-06-22,5.4478
1990-06-25,5.4012
1990-06-26,5.4012
1990-06-27,5.4245
1990-06-28,5.4711
1990-06-29,5.5409
1990-07-02,5.5177
1990-07-03,5.4944
1990-07-05,5.4944
1990-07-06,5.5409
1990-07-09,5.5409
1990-07-10,5.4944
1990-07-11,5.4711
1990-07-12,5.4711
1990-07-13,5.4711
1990-07-16,5.4944
1990-07-17,5.4944
1990-07-18,5.4478
1990-07-19,5.4711
1990-07-20,5.4478
