Date,Settle
1991-06-26,2.2257
1991-06-27,2.2532
1991-06-28,2.2394
1991-07-01,2.2532
1991-07-02,2.2807
1991-07-03,2.2532
1991-07-05,2.1707
1991-07-08,2.1707
1991-07-09,2.3356
1991-07-10,2.528
1991-07-11,2.5692
1991-07-12,2.528
1991-07-15,2.528
1991-07-16,2.6653
1991-07-17,2.8027
1991-07-18,2.8027
1991-07-19,2.6653
1991-07-22,2.6653
1991-07-23,2.5417
1991-07-24,2.473
1991-07-25,2.4675
1991-07-26,2.4952
1991-07-29,2.5229
1991-07-30,2.717
1991-07-31,2.7725
1991-08-01,2.8002
1991-08-02,2.7725
1991-08-05,2.717
1991-08-06,2.7447
1991-08-07,2.7447
1991-08-08,2.7447
1991-08-09,2.7031
1991-08-12,2.6893
1991-08-13,2.6893
1991-08-14,2.717
1991-08-15,2.717
1991-08-16,2.6893
1991-08-19,2.5645
1991-08-20,2.6616
1991-08-21,2.6616
1991-08-22,2.717
1991-08-23,2.7447
1991-08-26,2.7725
1991-08-27,2.8833
1991-08-28,2.9665
1991-08-29,2.9249
1991-08-30,2.9388
1991-09-03,2.9388
1991-09-04,2.9111
1991-09-05,2.9111
1991-09-06,2.9111
1991-09-09,2.9388
1991-09-10,2.9111
1991-09-11,2.9665
1991-09-12,2.9665
1991-09-13,2.9942
1991-09-16,2.9942
1991-09-17,2.9942
1991-09-18,2.9665
1991-09-19,2.9665
1991-09-20,2.9665
1991-09-23,3.022
1991-09-24,2.9942
1991-09-25,3.022
1991-09-26,3.0774
1991-09-27,3.022
1991-09-30,2.9942
1991-10-01,2.9665
1991-10-02,2.9942
1991-10-03,2.8556
1991-10-04,2.8279
1991-10-07,2.7447
1991-10-08,2.7725
1991-10-09,2.8556
1991-10-10,2.9111
1991-10-11,2.8833
1991-10-14,2.9942
1991-10-15,3.0774
1991-10-16,3.1051
1991-10-17,3.1329
1991-10-18,3.1051
1991-10-21,3.1329
1991-10-22,3.0497
1991-10-23,3.1329
1991-10-24,3.022
1991-10-25,2.9388
1991-10-28,2.9942
1991-10-29,2.9942
1991-10-30,2.9665
1991-10-31,2.9942
1991-11-01,2.9665
1991-11-04,2.9942
1991-11-05,2.9665
1991-11-06,3.022
1991-11-07,2.9665
1991-11-08,3.022
1991-11-11,3.022
1991-11-12,2.9942
1991-11-13,3.0497
1991-11-14,3.022
1991-11-15,2.9942
1991-11-18,2.9249
1991-11-19,2.8833
1991-11-20,2.8833
1991-11-21,2.9111
1991-11-22,2.9388
1991-11-25,2.8556
1991-11-26,2.8002
1991-11-27,2.8556
1991-11-29,2.814
1991-12-02,2.9111
1991-12-03,2.9111
1991-12-04,2.8833
1991-12-05,2.9111
1991-12-06,2.9665
1991-12-09,3.0497
1991-12-10,3.022
1991-12-11,2.9388
1991-12-12,3.0497
1991-12-13,3.0774
1991-12-16,3.0774
1991-12-17,3.0774
1991-12-18,3.2438
1991-12-19,3.3269
1991-12-20,3.4101
1991-12-23,3.424
1991-12-24,3.3547
1991-12-26,3.3547
1991-12-27,3.4378
1991-12-30,3.6319
1991-12-31,3.7983
1992-01-02,3.6596
1992-01-03,3.6874
1992-01-06,3.7428
1992-01-07,3.7151
1992-01-08,3.7428
1992-01-09,3.6874
1992-01-10,3.7428
1992-01-13,3.7428
1992-01-14,3.7705
1992-01-15,3.7705
1992-01-16,3.7151
1992-01-17,3.7151
1992-01-20,3.7428
1992-01-21,3.7151
1992-01-22,3.7705
1992-01-23,3.826
1992-01-24,3.7983
1992-01-27,3.6874
1992-01-28,3.7705
1992-01-29,3.6874
1992-01-30,3.6735
1992-01-31,3.6596
1992-02-03,3.6874
1992-02-04,3.7151
1992-02-05,3.7151
1992-02-06,3.6874
