Date,Settle
1993-02-17,7.1042
1993-02-18,6.7924
1993-02-19,6.7299
1993-02-22,6.1069
1993-02-23,6.2315
1993-02-24,7.2285
1993-02-25,7.1042
1993-02-26,7.1042
1993-03-01,7.2909
1993-03-02,7.7271
1993-03-03,8.2258
1993-03-04,8.1011
1993-03-05,7.8519
1993-03-08,7.8519
1993-03-09,7.9764
1993-03-10,7.9764
1993-03-11,8.3503
1993-03-12,8.3503
1993-03-15,8.1011
1993-03-16,8.1011
1993-03-17,8.1636
1993-03-18,8.2258
1993-03-19,8.3503
1993-03-22,8.2258
1993-03-23,8.2258
1993-03-24,8.2258
1993-03-25,7.8519
1993-03-26,8.1011
1993-03-29,8.3503
1993-03-30,8.3503
1993-03-31,8.8489
1993-04-01,8.5997
1993-04-02,8.7244
1993-04-05,8.7244
1993-04-06,8.7244
1993-04-07,8.7244
1993-04-08,8.7244
1993-04-12,8.5997
1993-04-13,8.7244
1993-04-14,8.4126
1993-04-15,8.1011
1993-04-16,7.3533
1993-04-19,7.3533
1993-04-20,7.6027
1993-04-21,7.9764
1993-04-22,7.9764
1993-04-23,7.8519
1993-04-26,7.6027
1993-04-27,7.1042
1993-04-28,7.2285
1993-04-29,7.478
1993-04-30,7.478
1993-05-03,7.478
1993-05-04,7.7271
1993-05-05,7.3533
1993-05-06,7.4156
1993-05-07,7.478
1993-05-10,7.6027
1993-05-11,7.6027
1993-05-12,7.6027
1993-05-13,7.3533
1993-05-14,7.2285
1993-05-17,7.4156
1993-05-18,7.2285
1993-05-19,7.478
1993-05-20,7.478
1993-05-21,7.1042
1993-05-24,7.1042
1993-05-25,7.1042
1993-05-26,7.3533
1993-05-27,7.478
1993-05-28,7.478
1993-06-01,7.478
1993-06-02,7.478
1993-06-03,7.478
1993-06-04,7.6027
1993-06-07,7.478
1993-06-08,7.478
1993-06-09,7.6027
1993-06-10,7.6027
1993-06-11,7.3533
1993-06-14,7.3533
1993-06-15,8.4749
1993-06-16,8.2258
1993-06-17,8.3503
1993-06-18,8.8489
1993-06-21,9.3473
1993-06-22,10.4692
1993-06-23,9.9706
1993-06-24,10.5937
1993-06-25,10.2821
1993-06-28,10.7183
1993-06-29,10.2198
1993-06-30,10.2821
1993-07-01,10.7807
1993-07-02,10.4692
1993-07-06,10.5937
1993-07-07,10.5937
1993-07-08,10.4067
1993-07-09,10.4067
1993-07-12,10.4067
1993-07-13,10.7183
1993-07-14,10.7183
1993-07-15,10.9676
1993-07-16,10.7183
1993-07-19,10.656
1993-07-20,10.5314
1993-07-21,10.5314
1993-07-22,10.4692
1993-07-23,10.3445
1993-07-26,10.9676
1993-07-27,11.2169
1993-07-28,12.3387
1993-07-29,11.7154
1993-07-30,12.0893
1993-08-02,12.8371
1993-08-03,12.7125
1993-08-04,12.8371
1993-08-05,13.0863
1993-08-06,12.9619
1993-08-09,12.8371
1993-08-10,12.5877
1993-08-11,12.4633
1993-08-12,12.6501
1993-08-13,12.5877
1993-08-16,12.4633
1993-08-17,12.4009
1993-08-18,12.4633
1993-08-19,12.3387
1993-08-20,12.3387
1993-08-23,12.5877
1993-08-24,12.5877
1993-08-25,12.2139
1993-08-26,12.2139
1993-08-27,11.7778
1993-08-30,12.2139
1993-08-31,12.9619
1993-09-01,12.8371
1993-09-02,12.8371
1993-09-03,12.9619
1993-09-07,14.0836
1993-09-08,14.0836
1993-09-09,13.7094
1993-09-10,14.7065
1993-09-13,14.7065
1993-09-14,14.8312
1993-09-15,14.7065
1993-09-16,14.0836
1993-09-17,14.2078
1993-09-20,14.3328
1993-09-21,14.5822
1993-09-22,14.5822
1993-09-23,14.4574
1993-09-24,14.4574
1993-09-27,14.8312
1993-09-28,14.5822
1993-09-29,14.6441
1993-09-30,14.7065
1993-10-01,14.5822
1993-10-04,13.7094
1993-10-05,14.0836
1993-10-06,14.0836
1993-10-07,14.0836
1993-10-08,14.0212
1993-10-11,15.205
1993-10-12,15.8284
1993-10-13,17.0747
1993-10-14,16.5761
1993-10-15,17.1992
1993-10-18,18.6948
1993-10-19,17.5733
1993-10-20,16.7007
1993-10-21,16.3269
1993-10-22,16.7007
1993-10-25,16.8254
1993-10-26,16.5137
1993-10-27,15.8284
1993-10-28,14.395
1993-10-29,15.0806
1993-11-01,15.0806
1993-11-02,15.0806
1993-11-03,15.0806
1993-11-04,13.7094
1993-11-05,13.4604
1993-11-08,14.7065
1993-11-09,15.3298
1993-11-10,14.8312
1993-11-11,14.9559
1993-11-12,14.7065
1993-11-15,14.9559
1993-11-16,14.5822
1993-11-17,14.7065
1993-11-18,14.7065
1993-11-19,14.7065
1993-11-22,14.2078
1993-11-23,14.2078
1993-11-24,14.4574
1993-11-26,14.2078
1993-11-29,14.2078
1993-11-30,14.5822
1993-12-01,13.4604
1993-12-02,13.9589
1993-12-03,14.0836
1993-12-06,13.2109
1993-12-07,12.8994
1993-12-08,12.5877
1993-12-09,12.3387
1993-12-10,12.3387
1993-12-13,12.0893
1993-12-14,12.4633
1993-12-15,12.4633
1993-12-16,12.2763
1993-12-17,12.4633
1993-12-20,12.7125
1993-12-21,12.9619
1993-12-22,13.0863
1993-12-23,13.3356
1993-12-27,13.0863
1993-12-28,12.5877
1993-12-29,12.3387
1993-12-30,12.4633
1993-12-31,12.5877
1994-01-03,11.7154
1994-01-04,11.2169
1994-01-05,12.2139
1994-01-06,12.5877
1994-01-07,11.9647
1994-01-10,12.0893
1994-01-11,11.9647
1994-01-12,12.2139
1994-01-13,12.5877
1994-01-14,13.0863
1994-01-17,13.0863
1994-01-18,13.3356
1994-01-19,13.5849
1994-01-20,13.8964
1994-01-21,13.9589
1994-01-24,13.9589
1994-01-25,13.834
1994-01-26,13.9589
1994-01-27,13.5849
1994-01-28,13.5849
1994-01-31,13.834
1994-02-01,13.7094
1994-02-02,13.4604
1994-02-03,13.2109
1994-02-04,11.5907
1994-02-07,12.0893
1994-02-08,11.8402
1994-02-09,11.7154
1994-02-10,11.8402
1994-02-11,11.8402
1994-02-14,11.8402
1994-02-15,11.7154
1994-02-16,11.3415
1994-02-17,10.7183
1994-02-18,10.0952
1994-02-22,9.3473
1994-02-23,9.9706
1994-02-24,9.9706
1994-02-25,9.2228
1994-02-28,9.846
1994-03-01,10.3445
1994-03-02,10.4067
1994-03-03,10.5937
1994-03-04,10.5937
1994-03-07,9.9706
1994-03-08,9.4722
1994-03-09,9.2228
1994-03-10,9.0357
1994-03-11,8.8489
1994-03-14,8.9112
1994-03-15,9.2228
1994-03-16,9.2228
1994-03-17,8.8489
1994-03-18,8.4749
1994-03-21,8.7864
1994-03-22,8.4749
1994-03-23,8.1011
1994-03-24,7.9764
1994-03-25,8.3503
1994-03-28,8.3503
1994-03-29,7.9142
1994-03-30,8.1011
1994-03-31,7.6027
1994-04-04,7.478
1994-04-05,7.9764
1994-04-06,7.9764
1994-04-07,7.6027
1994-04-08,7.6027
1994-04-11,7.8519
1994-04-12,7.2285
1994-04-13,7.1042
1994-04-14,7.1042
1994-04-15,6.9794
1994-04-18,6.7299
1994-04-19,6.5433
1994-04-20,6.4809
1994-04-21,6.8547
1994-04-22,7.6027
1994-04-25,8.2881
1994-04-26,7.8519
1994-04-28,7.7895
1994-04-29,7.9764
1994-05-02,8.5997
1994-05-03,8.3503
1994-05-04,8.5997
1994-05-05,8.5997
1994-05-06,8.5997
1994-05-09,8.3503
1994-05-10,8.4126
1994-05-11,8.4749
1994-05-12,8.5373
1994-05-13,8.4749
1994-05-16,8.4126
1994-05-17,8.3503
1994-05-18,8.4749
1994-05-19,8.5997
1994-05-20,8.4749
1994-05-23,8.4749
1994-05-24,8.3503
1994-05-25,8.5997
1994-05-26,8.5373
1994-05-27,8.4126
1994-05-31,8.5997
1994-06-01,8.7244
1994-06-02,9.2228
1994-06-03,9.5967
1994-06-06,9.2228
1994-06-07,9.2228
1994-06-08,8.8489
1994-06-09,9.0982
1994-06-10,9.2228
1994-06-13,9.3473
1994-06-14,9.0982
1994-06-15,9.2849
1994-06-16,9.0982
1994-06-17,9.4722
1994-06-20,9.2228
1994-06-21,9.4722
1994-06-22,9.5967
1994-06-23,9.2228
1994-06-24,8.7244
1994-06-27,8.7244
1994-06-28,8.7244
1994-06-29,8.8489
1994-06-30,9.2228
1994-07-01,9.3473
1994-07-05,9.5967
1994-07-06,9.5344
1994-07-07,9.3473
1994-07-08,9.3473
1994-07-11,9.2228
1994-07-12,9.3473
1994-07-13,9.2228
1994-07-14,8.7244
1994-07-15,8.5997
1994-07-18,8.5997
1994-07-19,8.7244
1994-07-20,8.8489
1994-07-21,8.4749
1994-07-22,8.1011
1994-07-25,8.5997
1994-07-26,8.4749
1994-07-27,8.9735
1994-07-28,8.7864
1994-07-29,8.5997
1994-08-01,8.7864
1994-08-02,8.7244
1994-08-03,9.2228
1994-08-04,9.3473
1994-08-05,9.5967
1994-08-08,9.2228
1994-08-09,9.9706
1994-08-10,9.9706
1994-08-11,9.9706
1994-08-12,9.846
1994-08-15,9.5967
1994-08-16,9.846
1994-08-17,9.9706
1994-08-18,10.0329
1994-08-19,10.1575
1994-08-22,10.0952
1994-08-23,10.3445
1994-08-24,11.3415
1994-08-25,11.5907
1994-08-26,11.5907
1994-08-29,11.3415
1994-08-30,11.3415
1994-08-31,11.4039
1994-09-01,11.3415
