Date,Settle
1990-01-02,104.8111
1990-01-03,104.6869
1990-01-04,103.1967
1990-01-05,100.0921
1990-01-08,99.4712
1990-01-09,98.8503
1990-01-10,98.4777
1990-01-11,98.8503
1990-01-12,96.1182
1990-01-15,94.628
1990-01-16,96.3666
1990-01-17,96.2424
1990-01-18,95.3731
1990-01-19,96.2424
1990-01-22,94.3796
1990-01-23,93.1378
1990-01-24,92.3927
1990-01-25,93.0136
1990-01-26,92.8894
1990-01-29,91.0267
1990-01-30,89.4123
1990-01-31,92.3927
1990-02-01,91.7718
1990-02-02,92.5169
1990-02-05,95.1248
1990-02-06,94.2555
1990-02-07,95.0006
1990-02-08,94.0071
1990-02-09,93.262
1990-02-12,93.3862
1990-02-13,93.7587
1990-02-14,94.1313
1990-02-15,96.1182
1990-02-16,95.3731
1990-02-20,94.1313
1990-02-21,93.7587
1990-02-22,94.628
1990-02-23,93.5104
1990-02-26,94.8764
1990-02-27,95.8699
1990-02-28,96.2424
1990-03-01,96.3666
1990-03-02,96.1182
1990-03-05,96.1132
1990-03-06,96.2376
1990-03-07,94.4969
1990-03-08,94.4969
1990-03-09,95.6159
1990-03-12,95.4916
1990-03-13,93.6265
1990-03-14,93.6265
1990-03-15,93.9995
1990-03-16,94.7455
1990-03-19,95.7402
1990-03-20,95.4916
1990-03-21,93.9995
1990-03-22,91.0154
1990-03-23,92.7561
1990-03-26,92.2588
1990-03-27,91.8857
1990-03-28,91.5127
1990-03-29,92.2588
1990-03-30,92.5074
1990-04-02,91.7614
1990-04-03,92.8805
1990-04-04,92.5074
1990-04-05,93.0048
1990-04-06,92.2588
1990-04-09,92.3831
1990-04-10,93.3778
1990-04-11,94.2482
1990-04-12,95.4916
1990-04-16,96.8593
1990-04-17,96.7349
1990-04-18,95.8646
1990-04-19,95.8646
1990-04-20,95.1185
1990-04-23,93.3778
1990-04-24,91.0154
1990-04-25,90.891
1990-04-26,90.891
1990-04-27,89.1503
1990-04-30,88.4043
1990-05-01,88.9016
1990-05-02,89.5233
1990-05-03,87.5339
1990-05-04,87.4096
1990-05-07,87.9069
1990-05-08,88.7773
1990-05-09,89.399
1990-05-10,89.6477
1990-05-11,91.5127
1990-05-14,93.2535
1990-05-15,94.3725
1990-05-16,94.9942
1990-05-17,95.8646
1990-05-18,96.2376
1990-05-21,96.8593
1990-05-22,96.8593
1990-05-23,99.0974
1990-05-24,99.8434
1990-05-25,98.227
1990-05-29,100.2164
1990-05-30,100.5894
1990-05-31,100.9624
1990-06-01,102.2058
1990-06-04,102.8403
1990-06-05,101.7198
1990-06-06,100.3502
1990-06-07,100.8482
1990-06-08,99.7277
1990-06-11,100.1012
1990-06-12,101.4707
1990-06-13,101.7198
1990-06-14,99.3542
1990-06-15,99.9767
1990-06-18,98.6072
1990-06-19,99.3542
1990-06-20,99.1052
1990-06-21,99.1052
1990-06-22,98.6072
1990-06-25,96.2416
1990-06-26,93.627
1990-06-27,94.623
1990-06-28,96.3661
1990-06-29,95.9926
1990-07-02,95.37
1990-07-03,94.4985
1990-07-05,93.0045
1990-07-06,92.88
1990-07-09,92.2574
1990-07-10,91.8839
1990-07-11,92.5064
1990-07-12,93.627
1990-07-13,94.2495
1990-07-16,96.1171
1990-07-17,96.3661
1990-07-18,95.6191
1990-07-19,96.2416
1990-07-20,94.623
1990-07-23,94.0005
1990-07-24,92.7555
1990-07-25,92.7555
1990-07-26,92.2886
1990-07-27,91.0435
1990-07-30,92.1329
1990-07-31,94.0005
1990-08-01,92.1329
1990-08-02,88.3978
1990-08-03,88.3978
1990-08-06,84.6627
1990-08-07,86.6859
1990-08-08,85.5965
1990-08-09,86.3746
1990-08-10,87.3084
1990-08-13,86.5302
1990-08-14,87.4641
1990-08-15,88.0866
1990-08-16,85.5965
1990-08-17,83.5733
1990-08-20,83.1064
1990-08-21,81.8614
1990-08-22,80.4607
1990-08-23,79.2156
1990-08-24,78.9044
1990-08-27,81.5501
1990-08-28,80.305
1990-08-29,83.1064
1990-08-30,83.4176
1990-08-31,84.1784
1990-09-04,84.1784
1990-09-05,83.7107
1990-09-06,83.0872
1990-09-07,83.8666
1990-09-10,82.7754
1990-09-11,81.996
1990-09-12,81.8401
1990-09-13,81.2165
1990-09-14,80.1254
1990-09-17,79.5018
1990-09-18,79.5018
1990-09-19,81.6842
1990-09-20,79.3459
1990-09-21,78.5665
1990-09-24,75.9164
1990-09-25,77.4753
1990-09-26,75.4488
1990-09-27,74.5134
1990-09-28,78.2547
1990-10-01,81.996
1990-10-02,82.7754
1990-10-03,79.19
1990-10-04,77.4753
1990-10-05,75.2929
1990-10-08,75.2929
1990-10-09,74.9811
1990-10-10,73.8899
1990-10-11,73.1105
1990-10-12,74.5134
1990-10-15,76.54
1990-10-16,76.8517
1990-10-17,77.6312
1990-10-18,79.5018
1990-10-19,82.6195
1990-10-22,82.9313
