Date,Settle
2004-02-05,17.454
2004-02-06,17.56
2004-02-09,17.2915
2004-02-10,17.2067
2004-02-11,17.136
2004-02-12,17.4399
2004-02-13,17.454
2004-02-17,17.3834
2004-02-18,17.9487
2004-02-19,18.1465
2004-02-20,17.9133
2004-02-23,17.348
2004-02-24,17.5247
2004-02-25,17.56
2004-02-26,17.8356
2004-02-27,18.1889
2004-03-01,18.2313
2004-03-02,18.3303
2004-03-03,18.0052
2004-03-04,17.8144
2004-03-05,18.0547
2004-03-08,18.0052
2004-03-09,17.666
2004-03-10,17.4187
2004-03-11,17.1007
2004-03-12,17.3127
2004-03-15,16.9594
2004-03-16,17.1219
2004-03-17,17.0088
2004-03-18,16.818
2004-03-19,16.7756
2004-03-22,16.7474
2004-03-23,16.9594
2004-03-24,16.818
2004-03-25,16.9311
2004-03-26,17.03
2004-03-29,17.2208
2004-03-30,17.4682
2004-03-31,17.772
2004-04-01,17.8427
2004-04-02,17.8215
2004-04-05,18.0264
2004-04-06,18.3303
2004-04-07,18.1819
2004-04-08,18.5281
2004-04-12,18.2879
2004-04-13,17.8427
2004-04-14,17.8003
2004-04-15,17.8427
2004-04-16,18.0476
2004-04-19,18.1819
2004-04-20,18.0547
2004-04-21,17.8073
2004-04-22,17.8073
2004-04-23,17.6872
2004-04-26,17.5953
2004-04-27,17.7861
2004-04-28,17.666
2004-04-29,17.4682
2004-04-30,17.2138
2004-05-03,17.666
2004-05-04,17.4894
2004-05-05,17.447
2004-05-06,17.4187
2004-05-07,17.03
2004-05-10,16.9594
2004-05-11,17.1431
2004-05-12,17.242
2004-05-13,17.6589
2004-05-14,17.666
2004-05-17,17.2208
2004-05-18,17.553
2004-05-19,17.4894
2004-05-20,17.7161
2004-05-21,17.6665
2004-05-24,17.7161
2004-05-25,17.4681
2004-05-26,17.5744
2004-05-27,17.4327
2004-05-28,17.787
2004-06-01,17.8295
2004-06-02,17.9996
2004-06-03,18.1626
2004-06-04,18.283
2004-06-07,18.1059
2004-06-08,18.1271
2004-06-09,18.0846
2004-06-10,18.0421
2004-06-14,18.035
2004-06-15,18.198
2004-06-16,18.0917
2004-06-17,18.2689
2004-06-18,17.9641
2004-06-21,17.9287
2004-06-22,17.9287
2004-06-23,17.9145
2004-06-24,18.035
2004-06-25,18.4177
2004-06-28,18.5665
2004-06-29,18.7578
2004-06-30,18.694
2004-07-01,18.6374
2004-07-02,18.4744
2004-07-06,18.3185
2004-07-07,18.4248
2004-07-08,18.3185
