Date,Settle
1993-06-03,7.2315
1993-06-04,7.0468
1993-06-07,6.9238
1993-06-08,6.8314
1993-06-09,6.9545
1993-06-10,6.893
1993-06-11,6.893
1993-06-14,6.8314
1993-06-15,6.8622
1993-06-16,6.893
1993-06-17,6.893
1993-06-18,6.8007
1993-06-21,6.7391
1993-06-22,6.8314
1993-06-23,6.8007
1993-06-24,6.9238
1993-06-25,7.0161
1993-06-28,7.1392
1993-06-29,7.0776
1993-06-30,7.1392
1993-07-01,7.2623
1993-07-02,7.0776
1993-07-06,7.0468
1993-07-07,7.0161
1993-07-08,7.1084
1993-07-09,7.0161
1993-07-12,6.9545
1993-07-13,7.0468
1993-07-14,7.2007
1993-07-15,7.2315
1993-07-16,7.3546
1993-07-19,7.4777
1993-07-20,7.5392
1993-07-21,7.3546
1993-07-22,7.293
1993-07-23,7.3546
1993-07-26,7.5084
1993-07-27,7.5084
1993-07-28,7.4777
1993-07-29,7.5084
1993-07-30,7.6623
1993-08-02,7.6315
1993-08-03,7.7238
1993-08-04,7.6931
1993-08-05,7.5084
1993-08-06,7.6315
1993-08-09,7.6315
1993-08-10,7.5392
1993-08-11,7.5084
1993-08-12,7.4469
1993-08-13,7.3853
1993-08-16,7.3238
1993-08-17,7.3853
1993-08-18,7.4777
1993-08-19,7.6931
1993-08-20,7.8777
1993-08-23,7.8777
1993-08-24,7.8469
1993-08-25,7.8162
1993-08-26,7.8777
1993-08-27,7.8777
1993-08-30,7.6931
1993-08-31,7.6315
1993-09-01,7.8469
1993-09-02,7.7854
1993-09-03,7.8469
1993-09-07,7.9392
1993-09-08,7.8162
1993-09-09,7.8917
1993-09-10,7.9536
1993-09-13,7.9226
1993-09-14,8.1083
1993-09-15,7.9536
1993-09-16,7.9845
1993-09-17,7.9845
1993-09-20,7.9226
1993-09-21,7.8607
1993-09-22,7.9226
1993-09-23,8.0155
1993-09-24,7.9536
1993-09-27,8.1702
1993-09-28,8.2321
1993-09-29,8.0464
1993-09-30,7.8607
1993-10-01,8.0155
1993-10-04,8.0155
1993-10-05,8.2011
1993-10-06,8.1702
1993-10-07,8.1392
1993-10-08,8.1702
1993-10-11,8.2321
1993-10-12,8.2321
1993-10-13,8.263
1993-10-14,8.4178
1993-10-15,8.3249
1993-10-18,8.3249
1993-10-19,8.1702
1993-10-20,8.0464
1993-10-21,8.1702
1993-10-22,8.2011
1993-10-25,7.9845
1993-10-26,7.9845
1993-10-27,7.7988
1993-10-28,7.7988
1993-10-29,7.7679
1993-11-01,7.9226
1993-11-02,7.7369
1993-11-03,7.5203
1993-11-04,7.4893
1993-11-05,7.4274
1993-11-08,7.4893
1993-11-09,7.5512
1993-11-10,7.4274
1993-11-11,7.3346
1993-11-12,7.3346
1993-11-15,7.2727
1993-11-16,7.2418
1993-11-17,7.2108
1993-11-18,7.2418
1993-11-19,7.087
1993-11-22,6.9942
1993-11-23,7.118
1993-11-24,7.3346
1993-11-26,7.3656
1993-11-29,7.3656
1993-11-30,7.3037
1993-12-01,7.3346
1993-12-02,7.3794
1993-12-03,7.2238
1993-12-06,7.1615
1993-12-07,7.0369
1993-12-08,7.2549
1993-12-09,7.2238
1993-12-10,7.1303
1993-12-13,7.0992
1993-12-14,7.1303
1993-12-15,7.1303
1993-12-16,7.1926
1993-12-17,7.3172
1993-12-20,7.3794
1993-12-21,7.4417
1993-12-22,7.3483
1993-12-23,7.4106
1993-12-27,7.3172
1993-12-28,7.3483
1993-12-29,7.4729
1993-12-30,7.4106
1993-12-31,7.3483
1994-01-03,7.3794
1994-01-04,7.286
1994-01-05,7.2549
1994-01-06,7.1615
1994-01-07,7.1303
1994-01-10,7.1615
1994-01-11,7.0681
1994-01-12,7.1303
1994-01-13,7.1926
1994-01-14,7.3794
1994-01-17,7.1303
1994-01-18,7.1615
1994-01-19,7.1615
1994-01-20,7.1303
1994-01-21,7.1926
1994-01-24,7.2238
1994-01-25,7.1615
1994-01-26,7.1615
1994-01-27,7.1926
1994-01-28,7.0992
1994-01-31,7.0992
1994-02-01,7.0992
1994-02-02,6.9747
1994-02-03,6.9435
1994-02-04,6.7567
1994-02-07,6.7878
1994-02-08,6.9124
1994-02-09,6.8501
1994-02-10,6.601
1994-02-11,6.6322
1994-02-14,6.6633
1994-02-15,6.5387
1994-02-16,6.5699
1994-02-17,6.4453
1994-02-18,6.5387
1994-02-22,6.5076
1994-02-23,6.5699
1994-02-24,6.6322
1994-02-25,6.5387
1994-02-28,6.4765
1994-03-01,6.2897
1994-03-02,6.1651
1994-03-03,6.134
1994-03-04,6.2897
1994-03-07,6.1962
1994-03-08,6.1028
1994-03-09,5.916
1994-03-10,6.0717
1994-03-11,6.1651
1994-03-14,6.1789
1994-03-15,6.273
1994-03-16,6.2103
