Date,Settle
2017-11-01,18.31
2017-11-02,17.41
2017-11-03,19.37
2017-11-06,18.97
2017-11-07,19.51
2017-11-08,20.36
2017-11-09,20.4
2017-11-10,20.76
2017-11-13,21.72
2017-11-14,22.36
2017-11-15,23.49
2017-11-16,23.94
2017-11-17,24.16
2017-11-20,24.76
2017-11-21,24.5
2017-11-22,23.94
2017-11-24,24.9
2017-11-27,22.65
2017-11-28,23.87
2017-11-29,22.14
2017-11-30,22.39
2017-12-01,23.46
2017-12-04,21.9
2017-12-05,21.56
2017-12-06,21.02
2017-12-07,22.2
2017-12-08,21.6
2017-12-11,23.08
2017-12-12,22.32
2017-12-13,21.44
2017-12-14,21.0
2017-12-15,21.26
2017-12-18,22.63
2017-12-19,22.59
2017-12-20,23.24
2017-12-21,24.39
2017-12-22,23.13
2017-12-26,23.03
2017-12-27,23.61
2017-12-28,24.31
2017-12-29,23.92
2018-01-02,24.27
2018-01-03,25.05
2018-01-04,24.92
2018-01-05,25.0
2018-01-08,25.41
2018-01-09,26.6
2018-01-10,27.99
2018-01-11,26.45
2018-01-12,25.88
2018-01-16,25.58
2018-01-17,24.86
2018-01-18,25.51
2018-01-19,26.75
2018-01-22,25.68
2018-01-23,25.91
2018-01-24,25.47
2018-01-25,25.01
2018-01-26,26.27
2018-01-29,25.22
2018-01-30,26.26
2018-01-31,26.6
2018-02-01,27.49
2018-02-02,26.95
2018-02-05,26.8
2018-02-06,26.42
2018-02-07,26.52
2018-02-08,25.29
2018-02-09,25.24
2018-02-12,25.74
2018-02-13,25.72
2018-02-14,25.81
2018-02-15,26.54
2018-02-16,26.84
2018-02-20,26.15
2018-02-21,25.9
2018-02-22,25.9
2018-02-23,26.16
2018-02-26,26.41
2018-02-27,26.64
2018-02-28,26.32
2018-03-01,26.25
2018-03-02,26.48
2018-03-05,26.49
2018-03-06,27.29
2018-03-07,29.98
2018-03-08,29.24
2018-03-09,29.4
2018-03-12,30.11
2018-03-13,29.6
2018-03-14,29.21
2018-03-15,29.5
2018-03-16,29.58
2018-03-19,29.58
2018-03-20,31.85
2018-03-21,31.46
2018-03-22,30.59
2018-03-23,30.31
2018-03-26,32.12
2018-03-27,30.98
2018-03-28,30.75
2018-03-29,31.36
2018-04-02,30.15
2018-04-03,30.28
2018-04-04,30.44
2018-04-05,30.83
2018-04-06,30.13
2018-04-09,30.27
2018-04-10,30.79
2018-04-11,29.87
2018-04-12,30.34
2018-04-13,29.6
2018-04-16,29.39
2018-04-17,30.09
2018-04-18,29.83
2018-04-19,29.85
2018-04-20,29.82
2018-04-23,29.52
2018-04-24,28.97
2018-04-25,28.96
2018-04-26,27.99
2018-04-27,28.96
2018-04-30,28.98
2018-05-01,28.75
2018-05-02,29.01
2018-05-03,28.62
2018-05-04,29.66
2018-05-07,30.46
2018-05-08,30.55
2018-05-09,30.93
2018-05-10,30.95
2018-05-11,31.45
2018-05-14,31.27
2018-05-15,33.55
2018-05-16,35.16
