Date,Settle
1990-01-02,0.3377
1990-01-03,0.3291
1990-01-04,0.3248
1990-01-05,0.3204
1990-01-08,0.3146
1990-01-09,0.3089
1990-01-10,0.3118
1990-01-11,0.306
1990-01-12,0.3031
1990-01-15,0.306
1990-01-16,0.3146
1990-01-17,0.3219
1990-01-18,0.3175
1990-01-19,0.3175
1990-01-22,0.306
1990-01-23,0.3146
1990-01-24,0.3132
1990-01-25,0.3074
1990-01-26,0.3146
1990-01-29,0.3103
1990-01-30,0.3118
1990-01-31,0.3146
1990-02-01,0.3089
1990-02-02,0.3132
1990-02-05,0.3262
1990-02-06,0.3233
1990-02-07,0.3262
1990-02-08,0.3204
1990-02-09,0.3175
1990-02-12,0.2973
1990-02-13,0.2829
1990-02-14,0.2858
1990-02-15,0.2858
1990-02-16,0.28
1990-02-20,0.28
1990-02-21,0.28
1990-02-22,0.2829
1990-02-23,0.2771
1990-02-26,0.2872
1990-02-27,0.2901
1990-02-28,0.3002
1990-03-01,0.3089
1990-03-02,0.3161
1990-03-05,0.3276
1990-03-06,0.3349
1990-03-07,0.3233
1990-03-08,0.3262
1990-03-09,0.3305
1990-03-12,0.3262
1990-03-13,0.3291
1990-03-14,0.332
1990-03-15,0.3349
1990-03-16,0.3349
1990-03-19,0.3262
1990-03-20,0.3291
1990-03-21,0.332
1990-03-22,0.3175
1990-03-23,0.3204
1990-03-26,0.3262
1990-03-27,0.3262
1990-03-28,0.3204
1990-03-29,0.3233
1990-03-30,0.3291
1990-04-02,0.3305
1990-04-03,0.3291
1990-04-04,0.3204
1990-04-05,0.3146
1990-04-06,0.3118
1990-04-09,0.306
1990-04-10,0.2973
1990-04-11,0.3118
1990-04-12,0.3146
1990-04-16,0.319
1990-04-17,0.319
1990-04-18,0.3219
1990-04-19,0.3248
1990-04-20,0.3204
1990-04-23,0.3118
1990-04-24,0.3146
1990-04-25,0.3146
1990-04-26,0.3146
1990-04-27,0.3031
1990-04-30,0.3132
1990-05-01,0.3146
1990-05-02,0.3089
1990-05-03,0.3118
1990-05-04,0.3233
1990-05-07,0.3421
1990-05-08,0.3392
1990-05-09,0.3551
1990-05-10,0.3522
1990-05-11,0.3507
1990-05-14,0.3652
1990-05-15,0.3753
1990-05-16,0.4012
1990-05-17,0.3897
1990-05-18,0.3868
1990-05-21,0.4157
1990-05-22,0.433
1990-05-23,0.4417
1990-05-24,0.4287
1990-05-25,0.4186
1990-05-29,0.433
1990-05-30,0.4359
1990-05-31,0.4301
1990-06-01,0.4243
1990-06-04,0.4186
1990-06-05,0.4041
1990-06-06,0.4041
1990-06-07,0.407
1990-06-08,0.4041
1990-06-11,0.4099
1990-06-12,0.4258
1990-06-13,0.4301
1990-06-14,0.4301
1990-06-15,0.4359
1990-06-18,0.4316
1990-06-19,0.4243
1990-06-20,0.42
1990-06-21,0.4186
1990-06-22,0.4272
1990-06-25,0.4445
1990-06-26,0.4388
1990-06-27,0.4417
1990-06-28,0.4503
