Date,Settle
1990-01-02,0.7773
1990-01-03,0.7962
1990-01-04,0.8113
1990-01-05,0.8226
1990-01-08,0.8207
1990-01-09,0.8038
1990-01-10,0.8076
1990-01-11,0.7905
1990-01-12,0.7773
1990-01-15,0.7811
1990-01-16,0.8038
1990-01-17,0.8019
1990-01-18,0.7886
1990-01-19,0.7962
1990-01-22,0.7736
1990-01-23,0.7811
1990-01-24,0.783
1990-01-25,0.7925
1990-01-26,0.7811
1990-01-29,0.7811
1990-01-30,0.7132
1990-01-31,0.7057
1990-02-01,0.6755
1990-02-02,0.7321
1990-02-05,0.751
1990-02-06,0.7321
1990-02-07,0.7736
1990-02-08,0.8019
1990-02-09,0.7886
1990-02-12,0.7925
1990-02-13,0.7849
1990-02-14,0.7849
1990-02-15,0.8378
1990-02-16,0.8378
1990-02-20,0.8491
1990-02-21,0.8623
1990-02-22,0.8415
1990-02-23,0.8358
1990-02-26,0.8528
1990-02-27,0.8679
1990-02-28,0.8679
1990-03-01,0.8528
1990-03-02,0.8679
1990-03-05,0.8754
1990-03-06,0.8943
1990-03-07,0.8754
1990-03-08,0.8679
1990-03-09,0.8491
1990-03-12,0.8906
1990-03-13,0.8981
1990-03-14,0.8943
1990-03-15,0.9132
1990-03-16,0.9057
1990-03-19,0.9321
1990-03-20,0.9321
1990-03-21,0.9207
1990-03-22,0.9207
1990-03-23,0.9245
1990-03-26,0.917
1990-03-27,0.934
1990-03-28,0.9207
1990-03-29,0.9188
1990-03-30,0.9321
1990-04-02,0.9359
1990-04-03,0.9585
1990-04-04,0.9434
1990-04-05,0.9547
1990-04-06,0.9321
1990-04-09,0.9094
1990-04-10,0.9207
1990-04-11,0.9094
1990-04-12,0.9283
1990-04-16,0.9302
1990-04-17,0.9113
1990-04-18,0.9434
1990-04-19,0.9622
1990-04-20,0.9547
1990-04-23,0.9396
1990-04-24,0.9283
1990-04-25,0.9434
1990-04-26,0.9585
1990-04-27,0.9321
1990-04-30,0.966
1990-05-01,0.9868
1990-05-02,0.9774
1990-05-03,0.9736
1990-05-04,0.9736
1990-05-07,0.9906
1990-05-08,0.9698
1990-05-09,0.9622
1990-05-10,0.9622
1990-05-11,0.9774
1990-05-14,0.9887
1990-05-15,1.0075
1990-05-16,1.0227
1990-05-17,1.0264
1990-05-18,1.0453
1990-05-21,1.1019
1990-05-22,1.0755
1990-05-23,1.117
1990-05-24,1.1321
1990-05-25,1.1264
1990-05-29,1.1321
1990-05-30,1.0981
1990-05-31,1.0585
1990-06-01,1.1056
1990-06-04,1.1396
1990-06-05,1.1037
1990-06-06,1.1056
1990-06-07,1.0792
1990-06-08,1.049
1990-06-11,1.0642
1990-06-12,1.0943
1990-06-13,1.117
1990-06-14,1.1339
1990-06-15,1.1358
1990-06-18,1.1245
1990-06-19,1.1358
1990-06-20,1.1396
1990-06-21,1.1547
1990-06-22,1.1283
1990-06-25,1.1283
1990-06-26,1.1019
1990-06-27,1.1283
1990-06-28,1.1698
1990-06-29,1.1736
1990-07-02,1.1773
1990-07-03,1.1736
1990-07-05,1.1773
1990-07-06,1.2038
1990-07-09,1.2264
1990-07-10,1.2038
1990-07-11,1.2189
1990-07-12,1.2415
1990-07-13,1.2453
1990-07-16,1.251
1990-07-17,1.2528
1990-07-18,1.2491
1990-07-19,1.2641
1990-07-20,1.2792
1990-07-23,1.2906
1990-07-24,1.3207
1990-07-25,1.366
1990-07-26,1.3812
1990-07-27,1.3301
1990-07-30,1.3226
1990-07-31,1.3019
1990-08-01,1.3396
1990-08-02,1.3434
1990-08-03,1.2944
1990-08-06,1.2302
1990-08-07,1.2113
1990-08-08,1.2453
1990-08-09,1.3132
1990-08-10,1.3283
1990-08-13,1.4188
1990-08-14,1.449
1990-08-15,1.4717
1990-08-16,1.4113
1990-08-17,1.3812
1990-08-20,1.3396
1990-08-21,1.3057
1990-08-22,1.2906
1990-08-23,1.2491
1990-08-24,1.3283
1990-08-27,1.3849
1990-08-28,1.3887
1990-08-29,1.3735
1990-08-30,1.3509
1990-08-31,1.366
1990-09-04,1.3773
1990-09-05,1.3735
1990-09-06,1.3283
1990-09-07,1.3509
1990-09-10,1.3887
1990-09-11,1.3925
1990-09-12,1.449
1990-09-13,1.4641
1990-09-14,1.4793
1990-09-17,1.4943
1990-09-18,1.4943
1990-09-19,1.4717
1990-09-20,1.449
1990-09-21,1.4377
1990-09-24,1.4151
1990-09-25,1.483
1990-09-26,1.4679
1990-09-27,1.3962
1990-09-28,1.3509
1990-10-01,1.4038
1990-10-02,1.4151
1990-10-03,1.3773
1990-10-04,1.3509
1990-10-05,1.3509
1990-10-08,1.3812
1990-10-09,1.3359
1990-10-10,1.3207
1990-10-11,1.283
1990-10-12,1.2679
1990-10-15,1.3132
1990-10-16,1.3132
1990-10-17,1.3132
1990-10-18,1.3472
1990-10-19,1.3207
1990-10-22,1.3849
1990-10-23,1.3812
1990-10-24,1.4264
1990-10-25,1.4075
1990-10-26,1.3812
1990-10-29,1.3472
1990-10-30,1.4113
1990-10-31,1.4264
1990-11-01,1.4415
1990-11-02,1.4453
1990-11-05,1.4641
1990-11-06,1.4717
1990-11-07,1.449
1990-11-08,1.449
1990-11-09,1.4793
1990-11-12,1.517
1990-11-13,1.5547
1990-11-14,1.5924
1990-11-15,1.5774
