Date,Settle
2005-09-15,25.4394
2005-09-16,25.1576
2005-09-19,25.2263
2005-09-20,25.2263
2005-09-21,25.0201
2005-09-22,25.57
2005-09-23,25.8999
2005-09-26,25.948
2005-09-27,25.6044
2005-09-28,25.4325
2005-09-29,25.1576
2005-09-30,24.6077
2005-10-03,23.8516
2005-10-04,23.3017
2005-10-05,23.1298
2005-10-06,22.9374
2005-10-07,23.0955
2005-10-10,22.7037
2005-10-11,22.6831
2005-10-12,22.525
2005-10-13,22.3737
2005-10-14,22.2638
2005-10-17,22.3256
2005-10-18,22.2913
2005-10-19,22.793
2005-10-20,23.0817
2005-10-21,23.3704
2005-10-24,24.9445
2005-10-25,25.5562
2005-10-26,25.4325
2005-10-27,24.9376
2005-10-28,25.5013
2005-10-31,25.5837
2005-11-01,25.1301
2005-11-02,25.3714
2005-11-03,25.7988
2005-11-04,25.6265
2005-11-07,25.5231
2005-11-08,25.4817
2005-11-09,26.116
2005-11-10,26.833
2005-11-11,26.8261
2005-11-14,27.1226
2005-11-15,27.0329
2005-11-16,27.4604
2005-11-17,27.5776
2005-11-18,27.5224
2005-11-21,28.6669
2005-11-22,29.0599
2005-11-23,29.97
2005-11-25,29.9562
2005-11-28,30.2664
2005-11-29,29.3357
2005-11-30,28.9909
2005-12-01,29.8596
2005-12-02,29.8045
2005-12-05,30.0044
2005-12-06,30.0665
2005-12-07,29.8941
2005-12-08,30.094
2005-12-09,30.1699
2005-12-12,29.7355
2005-12-13,29.5287
2005-12-14,28.6324
2005-12-15,28.398
2005-12-16,29.1357
2005-12-19,28.4808
2005-12-20,28.66
2005-12-21,28.6462
2005-12-22,28.9082
2005-12-23,28.9082
2005-12-27,28.1981
2005-12-28,28.3015
2005-12-29,28.1567
2005-12-30,28.267
2006-01-03,29.0254
2006-01-04,29.9355
2006-01-05,30.2871
2006-01-06,30.0596
2006-01-09,31.0868
2006-01-10,30.7904
2006-01-11,30.4732
2006-01-12,30.4457
2006-01-13,30.2526
2006-01-17,30.0113
2006-01-18,29.1771
2006-01-19,29.3701
2006-01-20,29.0944
2006-01-23,29.9906
2006-01-24,29.9768
2006-01-25,29.7907
2006-01-26,29.8527
2006-01-27,29.2323
2006-01-30,28.6462
2006-01-31,28.1278
2006-02-01,28.5149
2006-02-02,29.3859
2006-02-03,29.4481
2006-02-06,29.9527
2006-02-07,30.1048
2006-02-08,30.2845
2006-02-09,30.3606
2006-02-10,30.1186
2006-02-13,29.6417
2006-02-14,30.3744
2006-02-15,29.9113
2006-02-16,30.0219
2006-02-17,30.4297
2006-02-21,30.3606
2006-02-22,31.4251
2006-02-23,32.0888
2006-02-24,31.9781
2006-02-27,32.3514
2006-02-28,31.439
2006-03-01,31.7224
2006-03-02,30.8099
2006-03-03,30.4159
2006-03-06,29.5656
2006-03-07,30.1739
2006-03-08,29.9596
2006-03-09,29.9527
2006-03-10,29.932
2006-03-13,30.2776
2006-03-14,31.1279
2006-03-15,31.3767
2006-03-16,31.833
2006-03-17,31.7293
2006-03-20,31.3491
2006-03-21,30.3606
2006-03-22,30.5887
2006-03-23,30.4504
2006-03-24,30.5887
2006-03-27,30.7339
2006-03-28,29.8145
2006-03-29,29.6624
2006-03-30,30.9689
2006-03-31,31.1486
2006-04-03,30.8721
2006-04-04,31.1071
2006-04-05,31.1763
2006-04-06,31.0588
2006-04-07,30.5541
2006-04-10,31.3698
2006-04-11,31.3145
2006-04-12,31.4873
2006-04-13,31.439
2006-04-17,31.3353
2006-04-18,32.3514
2006-04-19,32.939
2006-04-20,32.6625
2006-04-21,32.5726
2006-04-24,32.4275
2006-04-25,32.6418
2006-04-26,33.6994
2006-04-27,34.5635
2006-04-28,33.8999
2006-05-01,33.6925
2006-05-02,33.2501
2006-05-03,33.2708
2006-05-04,33.3883
2006-05-05,33.5612
2006-05-08,34.0392
2006-05-09,34.351
2006-05-10,34.0808
2006-05-11,33.4988
2006-05-12,32.9099
2006-05-15,33.187
2006-05-16,32.806
2006-05-17,31.4757
2006-05-18,31.1431
2006-05-19,31.0739
2006-05-22,30.4572
2006-05-23,30.6097
2006-05-24,30.4642
2006-05-25,30.7759
2006-05-26,30.8175
2006-05-30,30.8522
2006-05-31,31.7113
2006-06-01,32.314
2006-06-02,32.2032
2006-06-05,31.3302
2006-06-06,31.3233
2006-06-07,31.4203
2006-06-08,31.2956
2006-06-09,30.8868
2006-06-12,30.2217
2006-06-13,28.6559
2006-06-14,28.8776
2006-06-15,29.0646
2006-06-16,29.0993
2006-06-19,29.2378
2006-06-20,29.1893
2006-06-21,29.3279
2006-06-22,29.0993
2006-06-23,29.0577
2006-06-26,29.5565
2006-06-27,29.0023
2006-06-28,29.2725
2006-06-29,30.6443
2006-06-30,30.9491
2006-07-03,31.3302
2006-07-05,30.0138
2006-07-06,30.4157
2006-07-07,29.5635
2006-07-10,29.605
2006-07-11,29.4942
2006-07-12,28.9538
2006-07-13,28.7736
2006-07-14,28.6074
2006-07-17,28.7043
2006-07-18,28.9191
2006-07-19,30.1039
2006-07-20,29.4318
2006-07-21,28.7251
2006-07-24,29.2448
2006-07-25,29.6397
2006-07-26,30.7136
2006-07-27,30.3187
2006-07-28,30.8591
2006-07-31,30.9007
2006-08-01,30.9353
2006-08-02,31.8706
2006-08-03,31.6558
2006-08-04,31.1905
2006-08-07,30.871
2006-08-08,30.6141
2006-08-09,30.8988
2006-08-10,31.01
2006-08-11,30.8572
2006-08-14,30.5516
2006-08-15,31.1836
2006-08-16,31.5447
2006-08-17,31.3364
2006-08-18,31.3016
2006-08-21,31.7045
2006-08-22,31.8017
2006-08-23,31.6906
2006-08-24,31.5031
2006-08-25,31.2183
2006-08-28,31.5864
2006-08-29,31.3572
2006-08-30,31.4197
2006-08-31,31.76
2006-09-01,31.5308
2006-09-05,32.0656
2006-09-06,30.9752
2006-09-07,30.8085
2006-09-08,30.8919
2006-09-11,30.5585
2006-09-12,31.4267
2006-09-13,31.6211
2006-09-14,31.8781
2006-09-15,32.5032
2006-09-18,32.6212
2006-09-19,32.7046
2006-09-20,32.4754
2006-09-21,32.3851
2006-09-22,32.0934
2006-09-25,32.2323
2006-09-26,32.5657
2006-09-27,32.4129
2006-09-28,32.392
2006-09-29,32.5726
2006-10-02,32.9476
2006-10-03,33.1768
2006-10-04,33.92
2006-10-05,33.8922
2006-10-06,33.92
2006-10-09,33.7324
2006-10-10,33.656
2006-10-11,33.4685
2006-10-12,33.8227
2006-10-13,33.8436
2006-10-16,34.2325
2006-10-17,34.3089
2006-10-18,34.4269
2006-10-19,34.2394
2006-10-20,34.6909
2006-10-23,34.4061
2006-10-24,34.4478
2006-10-25,35.3437
2006-10-26,35.3854
2006-10-27,35.4201
2006-10-30,36.0799
2006-10-31,35.7674
2006-11-01,35.1145
2006-11-02,34.8645
2006-11-03,34.9689
2006-11-06,36.2983
2006-11-07,36.4167
2006-11-08,36.3679
2006-11-09,35.6162
2006-11-10,35.6371
2006-11-13,35.9503
2006-11-14,36.8064
2006-11-15,36.8482
2006-11-16,37.3215
2006-11-17,37.1753
2006-11-20,37.7043
2006-11-21,37.5303
2006-11-22,37.5442
2006-11-24,37.1475
2006-11-27,36.2357
2006-11-28,36.6603
2006-11-29,36.8969
2006-11-30,37.6556
2006-12-01,37.3563
2006-12-04,37.9967
2006-12-05,38.282
2006-12-06,38.0036
2006-12-07,38.1776
2006-12-08,38.4908
2006-12-11,38.2403
2006-12-12,38.2612
2006-12-13,38.1219
2006-12-14,38.1219
2006-12-15,38.108
2006-12-18,38.3516
2006-12-19,38.289
2006-12-20,38.2194
2006-12-21,38.0802
2006-12-22,38.0384
2006-12-26,38.1637
2006-12-27,38.1567
2006-12-28,38.108
2006-12-29,37.934
2007-01-03,38.4352
2007-01-04,38.6857
2007-01-05,38.6301
2007-01-08,39.1103
2007-01-09,39.347
2007-01-10,39.5071
2007-01-11,40.2379
2007-01-12,40.3562
2007-01-16,40.4189
2007-01-17,40.398
2007-01-18,40.1265
2007-01-19,40.0917
2007-01-22,39.6115
2007-01-23,40.0917
2007-01-24,40.9687
2007-01-25,39.9873
2007-01-26,40.7042
2007-01-29,40.043
2007-01-30,40.8782
2007-01-31,41.0383
2007-02-01,41.1708
2007-02-02,41.6729
2007-02-05,41.8333
2007-02-06,42.6841
2007-02-07,42.7956
2007-02-08,42.7677
2007-02-09,41.91
2007-02-12,42.0146
2007-02-13,42.6213
2007-02-14,43.6255
2007-02-15,43.4023
2007-02-16,43.486
2007-02-20,43.8626
2007-02-21,43.751
2007-02-22,43.8765
2007-02-23,43.6743
2007-02-26,42.7747
2007-02-27,40.5363
2007-02-28,40.7594
2007-03-01,40.5153
2007-03-02,39.8598
2007-03-05,38.9742
2007-03-06,40.3759
2007-03-07,40.0481
2007-03-08,40.606
2007-03-09,40.7176
2007-03-12,40.6269
2007-03-13,38.0328
2007-03-14,38.3954
2007-03-15,38.7092
2007-03-16,38.4582
2007-03-19,40.1109
2007-03-20,40.2085
2007-03-21,41.3242
2007-03-22,40.7315
2007-03-23,40.7315
2007-03-26,40.1179
2007-03-27,40.1109
2007-03-28,39.4902
2007-03-29,39.9575
2007-03-30,39.8459
2007-04-02,40.5084
2007-04-03,40.4456
2007-04-04,41.3452
2007-04-05,41.5195
2007-04-09,41.7845
2007-04-10,41.7287
2007-04-11,41.5474
2007-04-12,41.3661
2007-04-13,41.7008
2007-04-16,42.175
2007-04-17,41.5823
2007-04-18,42.175
2007-04-19,41.6659
2007-04-20,42.4609
2007-04-23,42.2378
2007-04-24,41.7357
2007-04-25,42.6771
2007-04-26,42.7398
2007-04-27,42.2029
2007-04-30,41.4707
2007-05-01,41.6102
2007-05-02,42.1764
2007-05-03,42.3442
2007-05-04,42.8755
2007-05-07,42.8266
2007-05-08,42.47
2007-05-09,42.5959
2007-05-10,41.7709
2007-05-11,42.6588
2007-05-14,42.1485
2007-05-15,42.6868
2007-05-16,43.0852
2007-05-17,42.9035
2007-05-18,42.9524
2007-05-21,43.4697
2007-05-22,43.1342
2007-05-23,43.0153
2007-05-24,42.6798
2007-05-25,42.9594
2007-05-29,43.2181
2007-05-30,43.1691
2007-05-31,43.9381
2007-06-01,44.2527
2007-06-04,45.3014
2007-06-05,44.7771
2007-06-06,44.5394
2007-06-07,44.3436
2007-06-08,44.3646
2007-06-11,44.6862
2007-06-12,43.8752
2007-06-13,45.2524
2007-06-14,45.4272
2007-06-15,46.1892
2007-06-18,46.343
2007-06-19,46.8044
2007-06-20,45.7069
2007-06-21,46.4689
2007-06-22,45.0217
2007-06-25,44.6023
2007-06-26,44.3646
2007-06-27,44.8819
2007-06-28,45.0847
2007-06-29,44.4415
2007-07-02,45.5321
2007-07-03,45.9515
2007-07-05,45.602
2007-07-06,45.9096
2007-07-09,45.6999
2007-07-10,44.2527
2007-07-11,44.8819
2007-07-12,46.1403
2007-07-13,46.1962
2007-07-16,45.7838
2007-07-17,46.385
2007-07-18,45.7628
2007-07-19,46.385
2007-07-20,44.1828
2007-07-23,44.7281
2007-07-24,43.2181
2007-07-25,42.8965
2007-07-26,42.1415
2007-07-27,40.3797
2007-07-30,42.4561
2007-07-31,42.1345
2007-08-01,41.0858
2007-08-02,41.0017
2007-08-03,38.5556
2007-08-06,40.3849
2007-08-07,41.1489
2007-08-08,42.3755
2007-08-09,40.2518
2007-08-10,41.1139
2007-08-13,40.3359
2007-08-14,38.6888
2007-08-15,38.4645
2007-08-16,38.857
2007-08-17,40.9597
2007-08-20,40.7915
2007-08-21,41.198
2007-08-22,43.1324
2007-08-23,42.7119
2007-08-24,43.4058
2007-08-27,42.9642
2007-08-28,41.219
2007-08-29,42.81
2007-08-30,42.1091
2007-08-31,42.7609
2007-09-04,43.3006
2007-09-05,42.2773
2007-09-06,42.6838
2007-09-07,41.2751
2007-09-10,40.455
2007-09-11,41.3592
2007-09-12,41.4994
2007-09-13,41.7236
2007-09-14,41.3241
2007-09-17,41.3662
2007-09-18,42.9432
2007-09-19,43.3217
2007-09-20,42.9852
2007-09-21,42.9151
2007-09-24,43.1324
2007-09-25,42.5787
2007-09-26,43.1534
2007-09-27,44.1207
2007-09-28,44.2328
2007-10-01,44.9337
2007-10-02,45.158
2007-10-03,44.8566
2007-10-04,45.5785
2007-10-05,46.2373
2007-10-08,45.9009
2007-10-09,46.8892
2007-10-10,46.3565
2007-10-11,45.4313
2007-10-12,46.4196
2007-10-15,45.4313
2007-10-16,45.6626
2007-10-17,44.5272
2007-10-18,45.207
2007-10-19,42.6909
2007-10-22,44.2749
2007-10-23,45.8448
2007-10-24,46.1182
2007-10-25,44.352
2007-10-26,44.7164
2007-10-29,43.8473
2007-10-30,43.3917
2007-10-31,44.1417
2007-11-01,42.5328
2007-11-02,42.4415
2007-11-05,40.7132
2007-11-06,42.0762
2007-11-07,39.5399
2007-11-08,40.8678
2007-11-09,40.4884
2007-11-12,41.0294
2007-11-13,43.3408
2007-11-14,43.7202
2007-11-15,41.9216
2007-11-16,41.0996
2007-11-19,39.1044
2007-11-20,39.4275
2007-11-21,39.1535
2007-11-23,40.7343
2007-11-26,38.0856
2007-11-27,39.3713
2007-11-28,41.5141
2007-11-29,40.4392
2007-11-30,41.2331
2007-12-03,40.7764
2007-12-04,39.4205
2007-12-05,41.3174
2007-12-06,42.5961
2007-12-07,41.6898
2007-12-10,42.4274
2007-12-11,39.7367
2007-12-12,40.095
2007-12-13,39.6875
2007-12-14,38.2402
2007-12-17,38.3315
2007-12-18,38.0786
2007-12-19,38.0084
2007-12-20,38.4439
2007-12-21,39.3924
2007-12-24,40.3549
2007-12-26,39.6032
2007-12-27,38.999
2007-12-28,38.4369
2007-12-31,38.7179
2008-01-02,38.9919
2008-01-03,38.5845
2008-01-04,37.6922
2008-01-07,37.6149
2008-01-08,36.3152
2008-01-09,36.0763
2008-01-10,37.9311
2008-01-11,37.643
2008-01-14,39.3994
2008-01-15,37.5306
2008-01-16,36.8351
2008-01-17,34.6712
2008-01-18,34.7344
2008-01-22,34.2497
2008-01-23,35.1138
2008-01-24,35.2895
2008-01-25,34.8539
2008-01-28,36.1536
2008-01-29,37.1372
2008-01-30,37.4955
2008-01-31,38.968
2008-02-01,40.2432
2008-02-04,38.9328
2008-02-05,36.7769
2008-02-06,36.2766
2008-02-07,36.8825
2008-02-08,36.4176
2008-02-11,35.7342
2008-02-12,37.1785
2008-02-13,37.1291
2008-02-14,36.3401
2008-02-15,36.8262
2008-02-19,36.7698
2008-02-20,37.3828
2008-02-21,36.8403
2008-02-22,36.953
2008-02-25,37.4814
2008-02-26,38.1648
2008-02-27,38.51
2008-02-28,38.0873
2008-02-29,35.6778
2008-03-03,35.5792
2008-03-04,35.6003
2008-03-05,35.4523
2008-03-06,33.9799
2008-03-07,34.3673
2008-03-10,33.1696
2008-03-11,36.016
2008-03-12,35.0296
2008-03-13,35.551
2008-03-14,34.3673
2008-03-17,34.5223
2008-03-18,36.2414
2008-03-19,35.3819
2008-03-20,38.1859
2008-03-24,38.4184
2008-03-25,38.5241
2008-03-26,37.2207
2008-03-27,36.3612
2008-03-28,35.6285
2008-03-31,36.5303
2008-04-01,38.5664
2008-04-02,38.4959
2008-04-03,39.2075
2008-04-04,38.4466
2008-04-07,38.5946
2008-04-08,37.7562
2008-04-09,37.2348
2008-04-10,37.3898
2008-04-11,36.016
2008-04-14,35.093
2008-04-15,35.8046
2008-04-16,36.2837
2008-04-17,36.2766
2008-04-18,36.7487
2008-04-21,36.2132
2008-04-22,35.4312
2008-04-23,33.1485
2008-04-24,33.7121
2008-04-25,33.7474
2008-04-28,33.4374
2008-04-29,33.233
2008-04-30,33.5652
2008-05-01,35.4311
2008-05-02,35.6644
2008-05-05,34.8586
2008-05-06,35.2686
2008-05-07,34.2649
2008-05-08,33.8762
2008-05-09,34.3356
2008-05-12,35.3958
2008-05-13,35.4241
2008-05-14,35.7068
2008-05-15,35.7987
2008-05-16,35.2191
2008-05-19,35.1696
2008-05-20,34.0317
2008-05-21,32.8938
2008-05-22,33.1412
2008-05-23,32.6393
2008-05-27,32.5333
2008-05-28,32.6393
2008-05-29,33.233
2008-05-30,33.4027
2008-06-02,32.71
2008-06-03,32.8372
2008-06-04,32.9645
2008-06-05,33.8126
2008-06-06,32.3496
2008-06-09,32.0598
2008-06-10,32.3001
2008-06-11,31.1692
2008-06-12,31.9396
2008-06-13,32.8867
2008-06-16,33.1058
2008-06-17,32.3001
2008-06-18,32.3001
2008-06-19,32.6111
2008-06-20,31.5085
2008-06-23,31.1339
