Date,Settle
1998-02-27,13.6979
1998-03-02,13.5994
1998-03-03,13.5008
1998-03-04,12.4168
1998-03-05,12.7125
1998-03-06,12.7125
1998-03-09,12.5154
1998-03-10,12.8603
1998-03-11,12.811
1998-03-12,12.9096
1998-03-13,13.0081
1998-03-16,12.7125
1998-03-17,12.5154
1998-03-18,12.7125
1998-03-19,13.4023
1998-03-20,13.9936
1998-03-23,14.8805
1998-03-24,15.5703
1998-03-25,15.6688
1998-03-26,15.4718
1998-03-27,15.1761
1998-03-30,15.6688
1998-03-31,15.8906
1998-04-01,16.1616
1998-04-02,17.3441
1998-04-03,19.5122
1998-04-06,18.9209
1998-04-07,17.492
1998-04-08,17.5412
1998-04-09,18.1325
1998-04-13,17.8861
1998-04-14,17.9354
1998-04-15,17.147
1998-04-16,16.8021
1998-04-17,17.0485
1998-04-20,17.4427
1998-04-21,17.4427
1998-04-22,18.1325
1998-04-23,18.5267
1998-04-24,17.3441
1998-04-27,16.4572
1998-04-28,16.9499
1998-04-29,17.7383
1998-04-30,18.1325
1998-05-01,17.4427
1998-05-04,17.0485
1998-05-05,16.8021
1998-05-06,17.3441
1998-05-07,16.8514
1998-05-08,17.8369
1998-05-11,17.6398
1998-05-12,17.3688
1998-05-13,17.6343
1998-05-14,17.7383
1998-05-15,17.3441
1998-05-18,16.9499
1998-05-19,17.3441
1998-05-20,16.5558
1998-05-21,16.1616
1998-05-22,16.3094
1998-05-26,15.3732
1998-05-27,15.1761
1998-05-28,16.1616
1998-05-29,17.7383
1998-06-01,17.4427
1998-06-02,17.689
1998-06-03,16.3587
1998-06-04,16.3587
1998-06-05,18.034
1998-06-08,18.1325
1998-06-09,17.6398
1998-06-10,18.034
1998-06-11,18.1325
1998-06-12,17.7876
1998-06-15,17.2456
1998-06-16,17.147
1998-06-17,17.2949
1998-06-18,16.9499
1998-06-19,16.7036
1998-06-22,16.6543
1998-06-23,17.7383
1998-06-24,18.1325
1998-06-25,18.1325
1998-06-26,18.4281
1998-06-29,18.034
1998-06-30,19.66
1998-07-01,19.4629
1998-07-02,18.9209
1998-07-06,19.9063
1998-07-07,20.3991
1998-07-08,20.8918
1998-07-09,20.4483
1998-07-10,20.6947
1998-07-13,21.4831
1998-07-14,20.5962
1998-07-15,21.2367
1998-07-16,21.2367
1998-07-17,21.286
1998-07-20,21.3353
1998-07-21,21.6309
1998-07-22,21.8773
1998-07-23,22.0744
1998-07-24,21.9758
1998-07-27,20.9411
1998-07-28,20.6947
1998-07-29,20.6947
1998-07-30,20.3991
1998-07-31,18.9209
1998-08-03,19.66
1998-08-04,18.1325
1998-08-05,17.7383
1998-08-06,18.034
1998-08-07,18.1325
1998-08-10,18.3296
1998-08-11,17.9354
1998-08-12,18.9701
1998-08-13,19.0194
1998-08-14,18.576
1998-08-17,18.2803
1998-08-18,17.5905
1998-08-19,16.3587
1998-08-20,15.8659
1998-08-21,15.9645
1998-08-24,15.7674
1998-08-25,15.7674
1998-08-26,15.3732
1998-08-27,14.2399
1998-08-28,13.4023
1998-08-31,12.4168
1998-09-01,13.4023
1998-09-02,15.1761
1998-09-03,14.8805
1998-09-04,14.6834
1998-09-08,15.7674
1998-09-09,16.4572
1998-09-10,16.5558
1998-09-11,17.4427
1998-09-14,18.1325
1998-09-15,18.0832
1998-09-16,18.3296
1998-09-17,17.5905
1998-09-18,17.492
1998-09-21,17.4427
1998-09-22,17.4427
1998-09-23,17.8861
1998-09-24,18.1325
1998-09-25,18.034
1998-09-28,18.034
1998-09-29,18.1325
1998-09-30,20.1034
1998-10-01,19.2658
1998-10-02,18.4774
1998-10-05,15.7674
1998-10-06,14.4863
1998-10-07,12.5646
1998-10-08,11.3328
1998-10-09,10.643
1998-10-12,12.9096
1998-10-13,12.811
1998-10-14,13.4023
1998-10-15,14.7819
1998-10-16,14.8805
1998-10-19,14.8805
1998-10-20,14.8312
1998-10-21,15.7674
1998-10-22,16.4572
1998-10-23,16.2601
1998-10-26,16.8514
1998-10-27,17.2456
1998-10-28,17.5412
1998-10-29,16.4572
1998-10-30,17.2456
1998-11-02,17.5412
1998-11-03,16.3587
1998-11-04,16.8021
1998-11-05,16.5065
1998-11-06,16.3587
1998-11-09,15.5703
1998-11-10,15.6688
1998-11-11,15.3239
1998-11-12,14.3877
1998-11-13,14.979
1998-11-16,17.7383
1998-11-17,17.3441
1998-11-18,17.2456
1998-11-19,17.8861
1998-11-20,17.9847
1998-11-23,18.576
1998-11-24,19.2658
1998-11-25,18.3789
1998-11-27,18.4774
1998-11-30,18.231
1998-12-01,18.7238
1998-12-02,18.9209
1998-12-03,18.9701
1998-12-04,20.0542
1998-12-07,20.7933
1998-12-08,20.202
1998-12-09,20.3005
1998-12-10,20.3005
1998-12-11,20.3498
1998-12-14,19.2165
1998-12-15,18.9209
1998-12-16,18.8716
1998-12-17,19.8078
1998-12-18,20.202
1998-12-21,20.8918
1998-12-22,20.4976
1998-12-23,21.4831
1998-12-24,21.5323
1998-12-28,22.4685
1998-12-29,22.6656
1998-12-30,22.912
1998-12-31,23.3062
1999-01-04,22.6656
1999-01-05,22.2222
1999-01-06,22.7149
1999-01-07,22.5671
1999-01-08,22.1729
1999-01-11,21.828
1999-01-12,21.9265
1999-01-13,21.4338
1999-01-14,21.3353
1999-01-15,22.2714
1999-01-19,23.5525
1999-01-20,23.5033
1999-01-21,22.37
1999-01-22,21.7294
1999-01-25,21.6802
1999-01-26,21.1874
1999-01-27,20.5962
1999-01-28,19.9063
1999-01-29,20.3005
1999-02-01,20.9903
1999-02-02,20.3991
1999-02-03,20.202
1999-02-04,20.744
1999-02-05,20.6947
1999-02-08,20.8918
1999-02-09,20.1034
1999-02-10,19.6107
1999-02-11,20.1527
1999-02-12,20.0049
1999-02-16,20.0049
1999-02-17,20.202
1999-02-18,20.6947
1999-02-19,20.9903
1999-02-22,20.8425
1999-02-23,20.4483
1999-02-24,20.3005
1999-02-25,20.9411
1999-02-26,21.1382
1999-03-01,20.3005
1999-03-02,19.8078
1999-03-03,20.3005
1999-03-04,20.744
1999-03-05,20.2512
1999-03-08,20.5962
1999-03-09,20.4976
1999-03-10,19.7092
1999-03-11,19.2658
1999-03-12,19.118
1999-03-15,18.8223
1999-03-16,19.118
1999-03-17,18.6745
1999-03-18,17.4427
1999-03-19,18.3296
1999-03-22,17.2456
1999-03-23,16.9007
1999-03-24,16.7036
1999-03-25,17.0485
1999-03-26,17.2456
1999-03-29,18.3296
1999-03-30,18.7731
1999-03-31,19.3151
1999-04-01,19.2165
1999-04-05,20.3991
1999-04-06,20.5962
1999-04-07,20.1527
1999-04-08,20.0542
1999-04-09,19.8571
1999-04-12,20.1527
1999-04-13,19.0194
1999-04-14,18.576
1999-04-15,17.8861
1999-04-16,18.034
1999-04-19,16.3587
1999-04-20,17.2456
1999-04-21,19.6107
1999-04-22,19.3151
1999-04-23,19.0194
1999-04-26,18.9209
1999-04-27,18.231
1999-04-28,17.7383
1999-04-29,17.5412
1999-04-30,16.7036
1999-05-03,16.8514
1999-05-04,17.492
1999-05-05,16.5558
1999-05-06,18.1818
1999-05-07,17.2949
1999-05-10,17.5905
1999-05-11,18.4774
1999-05-12,20.4976
1999-05-13,20.4483
1999-05-14,19.118
1999-05-17,19.1672
1999-05-18,19.3643
1999-05-19,19.0687
1999-05-20,18.9701
1999-05-21,19.0687
1999-05-24,17.9354
1999-05-25,17.8369
1999-05-26,17.7383
1999-05-27,17.689
1999-05-28,17.7383
1999-06-01,17.7383
1999-06-02,17.7876
1999-06-03,18.3296
1999-06-04,19.6107
1999-06-07,19.1672
1999-06-08,19.118
1999-06-09,19.3274
1999-06-10,19.3151
1999-06-11,18.9209
