Date,Settle
1997-05-15,0.0979
1997-05-16,0.0865
1997-05-19,0.0854
1997-05-20,0.0818
1997-05-21,0.0714
1997-05-22,0.0698
1997-05-23,0.075
1997-05-27,0.0792
1997-05-28,0.0766
1997-05-29,0.0753
1997-05-30,0.075
1997-06-02,0.0755
1997-06-03,0.074
1997-06-04,0.0708
1997-06-05,0.0771
1997-06-06,0.0828
1997-06-09,0.0844
1997-06-10,0.0792
1997-06-11,0.0771
1997-06-12,0.0802
1997-06-13,0.0792
1997-06-16,0.0786
1997-06-17,0.0753
1997-06-18,0.0755
1997-06-19,0.0755
1997-06-20,0.0763
1997-06-23,0.075
1997-06-24,0.0755
1997-06-25,0.0755
1997-06-26,0.0755
1997-06-27,0.0745
1997-06-30,0.0771
1997-07-01,0.0758
1997-07-02,0.0794
1997-07-03,0.0956
1997-07-07,0.1
1997-07-08,0.1151
1997-07-09,0.1161
1997-07-10,0.1281
1997-07-11,0.1146
1997-07-14,0.1068
1997-07-15,0.1219
1997-07-16,0.1167
1997-07-17,0.1109
1997-07-18,0.1078
1997-07-21,0.1091
1997-07-22,0.1068
1997-07-23,0.1146
1997-07-24,0.113
1997-07-25,0.1115
1997-07-28,0.1161
1997-07-29,0.124
1997-07-30,0.1224
1997-07-31,0.1198
1997-08-01,0.1208
1997-08-04,0.1156
1997-08-05,0.1104
1997-08-06,0.1125
1997-08-07,0.1089
1997-08-08,0.1146
1997-08-11,0.1164
1997-08-12,0.1099
1997-08-13,0.1099
1997-08-14,0.1078
1997-08-15,0.1057
1997-08-18,0.1021
1997-08-19,0.1083
1997-08-20,0.1083
1997-08-21,0.1057
1997-08-22,0.1063
1997-08-25,0.1109
1997-08-26,0.1172
1997-08-27,0.1159
1997-08-28,0.1188
1997-08-29,0.1169
1997-09-02,0.1177
1997-09-03,0.1167
1997-09-04,0.1276
1997-09-05,0.125
1997-09-08,0.15
1997-09-09,0.162
1997-09-10,0.1651
1997-09-11,0.1578
1997-09-12,0.1844
1997-09-15,0.1547
1997-09-16,0.1677
1997-09-17,0.1703
1997-09-18,0.1646
1997-09-19,0.1974
1997-09-22,0.225
1997-09-23,0.2313
1997-09-24,0.2188
1997-09-25,0.2039
1997-09-26,0.2083
1997-09-29,0.2021
1997-09-30,0.2169
1997-10-01,0.201
1997-10-02,0.2005
1997-10-03,0.2008
1997-10-06,0.2063
1997-10-07,0.2029
1997-10-08,0.2003
1997-10-09,0.1875
1997-10-10,0.1951
1997-10-13,0.2
1997-10-14,0.199
1997-10-15,0.1961
1997-10-16,0.1813
1997-10-17,0.1813
1997-10-20,0.1911
1997-10-21,0.2214
1997-10-22,0.226
1997-10-23,0.225
1997-10-24,0.2513
1997-10-27,0.2135
1997-10-28,0.2474
1997-10-29,0.2695
1997-10-30,0.2563
1997-10-31,0.2542
1997-11-03,0.2536
1997-11-04,0.2479
1997-11-05,0.2438
1997-11-06,0.2331
1997-11-07,0.224
1997-11-10,0.2104
1997-11-11,0.1974
1997-11-12,0.1885
1997-11-13,0.193
1997-11-14,0.2083
1997-11-17,0.2188
1997-11-18,0.2208
1997-11-19,0.2255
1997-11-20,0.2292
1997-11-21,0.2245
1997-11-24,0.2115
1997-11-25,0.2102
1997-11-26,0.213
1997-11-28,0.2063
1997-12-01,0.2135
1997-12-02,0.2117
1997-12-03,0.2182
1997-12-04,0.225
1997-12-05,0.2297
1997-12-08,0.2354
1997-12-09,0.2344
1997-12-10,0.2255
1997-12-11,0.2344
1997-12-12,0.2271
1997-12-15,0.2292
1997-12-16,0.2229
1997-12-17,0.2195
1997-12-18,0.2146
1997-12-19,0.225
1997-12-22,0.2349
1997-12-23,0.2313
1997-12-24,0.2302
1997-12-26,0.226
1997-12-29,0.2375
1997-12-30,0.2424
1997-12-31,0.251
1998-01-02,0.2479
1998-01-05,0.2375
1998-01-06,0.2419
1998-01-07,0.2391
1998-01-08,0.2307
1998-01-09,0.213
1998-01-12,0.2151
1998-01-13,0.2323
1998-01-14,0.2438
1998-01-15,0.2477
1998-01-16,0.2396
1998-01-20,0.2477
1998-01-21,0.2536
1998-01-22,0.2568
1998-01-23,0.2469
1998-01-26,0.2406
1998-01-27,0.2375
1998-01-28,0.2385
1998-01-29,0.2479
1998-01-30,0.2458
1998-02-02,0.2599
1998-02-03,0.2576
1998-02-04,0.2531
1998-02-05,0.2469
1998-02-06,0.2453
1998-02-09,0.2427
1998-02-10,0.2651
1998-02-11,0.2646
1998-02-12,0.263
1998-02-13,0.2594
1998-02-17,0.2573
1998-02-18,0.2536
1998-02-19,0.2615
1998-02-20,0.2635
1998-02-23,0.2703
1998-02-24,0.2703
1998-02-25,0.2745
1998-02-26,0.3031
1998-02-27,0.3208
1998-03-02,0.3177
1998-03-03,0.299
1998-03-04,0.306
1998-03-05,0.3125
1998-03-06,0.3198
1998-03-09,0.3479
1998-03-10,0.3463
1998-03-11,0.3318
1998-03-12,0.3271
1998-03-13,0.3279
1998-03-16,0.3292
1998-03-17,0.3328
1998-03-18,0.3555
1998-03-19,0.35
1998-03-20,0.35
1998-03-23,0.3492
1998-03-24,0.351
1998-03-25,0.3404
1998-03-26,0.3448
1998-03-27,0.3542
1998-03-30,0.3578
1998-03-31,0.3564
1998-04-01,0.3755
1998-04-02,0.3961
1998-04-03,0.3875
1998-04-06,0.3693
1998-04-07,0.3552
1998-04-08,0.3693
1998-04-09,0.3969
1998-04-13,0.393
1998-04-14,0.4049
1998-04-15,0.4005
1998-04-16,0.4104
1998-04-17,0.3953
1998-04-20,0.3927
1998-04-21,0.3878
1998-04-22,0.3635
1998-04-23,0.3375
1998-04-24,0.3536
1998-04-27,0.3448
1998-04-28,0.3984
