Date,Settle
1990-05-11,1.8588
1990-05-14,2.0616
1990-05-15,1.9433
1990-05-16,1.8251
1990-05-17,1.6899
1990-05-18,1.8926
1990-05-21,1.8251
1990-05-22,1.7574
1990-05-23,1.7236
1990-05-24,1.7574
1990-05-25,1.8926
1990-05-29,1.9264
1990-05-30,1.9264
1990-05-31,1.8926
1990-06-01,1.8251
1990-06-04,2.4334
1990-06-05,2.5686
1990-06-06,3.1769
1990-06-07,3.4135
1990-06-08,3.1431
1990-06-11,2.839
1990-06-12,2.9742
1990-06-13,3.0755
1990-06-14,3.2783
1990-06-15,3.1769
1990-06-18,3.1769
1990-06-19,3.0079
1990-06-20,3.1769
1990-06-21,3.5825
1990-06-22,3.5825
1990-06-25,3.7177
1990-06-26,3.7177
1990-06-27,4.326
1990-06-28,4.7653
1990-06-29,4.5964
1990-07-02,4.6978
1990-07-03,4.664
1990-07-05,4.664
1990-07-06,4.8668
1990-07-09,5.1371
1990-07-10,5.6103
1990-07-11,6.3877
1990-07-12,7.0635
1990-07-13,6.6918
1990-07-16,6.3877
1990-07-17,5.3399
1990-07-18,5.6779
1990-07-19,5.6103
1990-07-20,5.9821
1990-07-23,5.5765
1990-07-24,5.5765
1990-07-25,5.7455
1990-07-26,5.7792
1990-07-27,5.7792
1990-07-30,5.5427
1990-07-31,5.4751
1990-08-01,5.0695
1990-08-02,4.3936
1990-08-03,4.4612
1990-08-06,4.0218
1990-08-07,4.3936
1990-08-08,5.1034
1990-08-09,5.002
1990-08-10,4.7992
1990-08-13,5.0695
1990-08-14,5.2386
1990-08-15,5.4751
1990-08-16,5.2723
1990-08-17,5.002
1990-08-20,5.1371
1990-08-21,5.1034
1990-08-22,5.002
1990-08-23,4.7653
1990-08-24,4.6978
1990-08-27,4.833
1990-08-28,4.9682
1990-08-29,4.9343
1990-08-30,4.7316
1990-08-31,4.6978
1990-09-04,4.7992
1990-09-05,4.9343
1990-09-06,4.9343
1990-09-07,4.8668
1990-09-10,5.002
1990-09-11,4.8668
1990-09-12,4.7992
1990-09-13,4.7992
1990-09-14,4.5964
1990-09-17,4.6978
1990-09-18,4.5964
1990-09-19,4.664
1990-09-20,4.4612
1990-09-21,4.5288
1990-09-24,4.3936
1990-09-25,4.326
1990-09-26,4.157
1990-09-27,3.2445
1990-09-28,3.9204
1990-10-01,4.1232
1990-10-02,4.1232
1990-10-03,3.8529
1990-10-04,3.9881
1990-10-05,3.9204
1990-10-08,3.8529
1990-10-09,3.3797
1990-10-10,3.4473
1990-10-11,3.1093
1990-10-12,3.3121
1990-10-15,3.4473
1990-10-16,3.3121
1990-10-17,3.4473
1990-10-18,3.3797
1990-10-19,3.4473
1990-10-22,3.2445
1990-10-23,3.2783
1990-10-24,3.2445
1990-10-25,3.3797
1990-10-26,3.3797
1990-10-29,3.3459
1990-10-30,3.3459
1990-10-31,3.3459
1990-11-01,3.1769
1990-11-02,3.2445
1990-11-06,3.1769
1990-11-07,2.839
1990-11-08,2.7713
1990-11-09,2.9742
1990-11-12,2.9065
1990-11-13,2.7038
1990-11-14,2.839
1990-11-15,2.7038
