Date,Settle
2001-10-30,17.188
2001-10-31,17.5998
2001-11-01,17.7217
2001-11-02,18.0284
2001-11-05,18.0242
2001-11-06,18.5117
2001-11-07,18.1755
2001-11-08,17.9444
2001-11-09,17.6502
2001-11-12,18.0074
2001-11-13,17.9654
2001-11-14,19.3102
2001-11-15,19.6464
2001-11-16,19.6674
2001-11-19,19.9616
2001-11-20,20.5079
2001-11-21,20.5961
2001-11-23,20.6676
2001-11-26,20.4028
2001-11-27,20.4238
2001-11-28,20.5709
2001-11-29,21.0164
2001-11-30,21.3694
2001-12-03,21.5585
2001-12-04,21.6425
2001-12-05,20.5331
2001-12-06,20.3776
2001-12-07,20.4238
2001-12-10,20.2767
2001-12-11,20.2557
2001-12-12,20.1128
2001-12-13,20.2137
2001-12-14,20.1717
2001-12-17,20.697
2001-12-18,20.718
2001-12-19,20.1717
2001-12-20,19.7094
2001-12-21,19.2261
2001-12-24,19.1631
2001-12-26,19.4363
2001-12-27,19.7094
2001-12-28,20.3818
2001-12-31,20.802
2002-01-02,20.5079
2002-01-03,20.3608
2002-01-04,20.1128
2002-01-07,19.7598
2002-01-08,19.9195
2002-01-09,20.0036
2002-01-10,21.0542
2002-01-11,21.6425
2002-01-14,21.8106
2002-01-15,21.3063
2002-01-16,21.4282
2002-01-17,21.1382
2002-01-18,21.424
2002-01-22,21.7476
2002-01-23,21.9619
2002-01-24,22.1888
2002-01-25,22.6427
2002-01-28,22.5881
2002-01-29,22.3569
2002-01-30,22.0712
2002-01-31,22.3569
2002-02-01,22.3359
2002-02-04,21.9367
2002-02-05,22.794
2002-02-06,23.7437
2002-02-07,24.206
2002-02-08,24.248
2002-02-11,24.185
2002-02-12,23.9118
2002-02-13,23.5546
2002-02-14,23.7059
2002-02-15,23.5756
2002-02-19,22.8486
2002-02-20,22.6931
2002-02-21,23.3445
2002-02-22,23.6807
2002-02-25,23.9749
2002-02-26,24.4792
2002-02-27,24.3657
2002-02-28,24.4161
2002-03-01,24.3951
2002-03-04,23.3235
2002-03-05,22.9663
2002-03-06,23.6807
2002-03-07,23.6429
2002-03-08,23.6387
2002-03-11,23.7858
2002-03-12,23.7395
2002-03-13,23.7648
2002-03-14,23.7437
2002-03-15,23.9118
2002-03-18,24.5002
2002-03-19,23.7017
2002-03-20,23.7017
2002-03-21,24.0799
2002-03-22,23.8698
2002-03-25,23.7858
2002-03-26,23.5252
2002-03-27,24.3741
2002-03-28,24.1934
2002-04-01,24.4792
2002-04-02,25.2146
2002-04-03,24.9414
2002-04-04,25.5298
2002-04-05,26.0215
2002-04-08,25.7903
2002-04-09,25.5718
2002-04-10,25.7189
2002-04-11,25.5676
2002-04-12,25.4836
2002-04-15,25.6138
2002-04-16,26.1433
2002-04-17,27.1687
2002-04-18,28.6816
2002-04-19,28.7278
2002-04-22,28.3034
2002-04-23,27.715
2002-04-24,28.4715
2002-04-25,29.9213
2002-04-26,29.7112
2002-04-29,28.0092
2002-04-30,28.6606
2002-05-01,29.7364
2002-05-02,29.8793
2002-05-03,30.1987
2002-05-06,29.2069
2002-05-07,28.4042
2002-05-08,28.7867
2002-05-09,28.6396
2002-05-10,28.6438
2002-05-13,27.7361
2002-05-14,27.2948
2002-05-15,27.0721
2002-05-16,28.3034
2002-05-17,29.375
2002-05-20,27.942
2002-05-21,28.3034
2002-05-22,27.61
2002-05-23,27.6814
2002-05-24,28.2235
2002-05-28,27.9462
2002-05-29,28.4925
2002-05-30,29.7322
2002-05-31,29.7952
2002-06-03,29.5305
2002-06-04,29.1229
2002-06-05,30.2575
2002-06-06,29.6061
2002-06-07,30.2155
2002-06-10,30.5517
2002-06-11,30.7828
2002-06-12,31.3501
2002-06-13,30.4256
2002-06-14,30.0012
2002-06-17,30.8879
2002-06-18,30.9929
2002-06-19,30.8585
2002-06-20,30.4844
2002-06-21,30.4676
2002-06-24,29.0808
2002-06-25,27.8873
2002-06-26,27.7361
2002-06-27,28.1143
2002-06-28,28.358
2002-07-01,27.0006
2002-07-02,26.7905
2002-07-03,27.2108
2002-07-05,27.694
2002-07-08,28.0302
2002-07-09,26.6981
2002-07-10,25.4457
2002-07-11,26.0761
2002-07-12,27.0427
2002-07-15,26.6854
2002-07-16,25.971
2002-07-17,27.2528
2002-07-18,27.5259
2002-07-19,26.3913
2002-07-22,24.6263
2002-07-23,24.269
2002-07-24,26.4795
2002-07-25,27.1645
2002-07-26,26.8956
2002-07-29,28.8287
2002-07-30,27.6982
2002-07-31,28.5261
2002-08-01,28.9506
2002-08-02,28.0302
2002-08-05,25.4247
2002-08-06,25.8408
2002-08-07,25.887
2002-08-08,26.9796
2002-08-09,26.6266
2002-08-12,25.7399
2002-08-13,25.7693
2002-08-14,26.0047
2002-08-15,25.0675
2002-08-16,24.6683
2002-08-19,26.0509
2002-08-20,26.2736
2002-08-21,25.887
2002-08-22,27.2486
2002-08-23,27.1057
2002-08-26,27.0553
2002-08-27,26.1896
2002-08-28,25.7147
2002-08-29,26.8535
2002-08-30,26.5216
2002-09-03,25.3028
2002-09-04,25.597
2002-09-05,26.0551
2002-09-06,26.4753
2002-09-09,26.8535
2002-09-10,27.0973
2002-09-11,27.4923
2002-09-12,27.6394
2002-09-13,28.5765
2002-09-16,28.9548
2002-09-17,29.0178
2002-09-18,29.0976
2002-09-19,27.6058
2002-09-20,27.4461
2002-09-23,27.2528
2002-09-24,26.6476
2002-09-25,27.694
2002-09-26,27.1645
2002-09-27,27.0006
2002-09-30,27.3158
2002-10-01,27.03
2002-10-02,27.3158
2002-10-03,28.0554
2002-10-04,28.0176
2002-10-07,26.988
2002-10-08,27.2318
2002-10-09,27.4629
2002-10-10,27.921
2002-10-11,28.4925
2002-10-14,28.8581
2002-10-15,30.0894
2002-10-16,30.8879
2002-10-17,29.375
2002-10-18,29.6482
2002-10-21,30.329
2002-10-22,29.9507
2002-10-23,30.3164
2002-10-24,29.1018
2002-10-25,29.0346
2002-10-28,28.3328
2002-10-29,27.5596
2002-10-30,27.6856
2002-10-31,26.4753
2002-11-01,26.6644
2002-11-04,26.8956
2002-11-05,25.9836
2002-11-06,26.946
2002-11-07,27.589
2002-11-08,25.8996
2002-11-11,25.7609
2002-11-12,26.0929
2002-11-13,26.4543
2002-11-14,26.614
2002-11-15,27.1813
2002-11-18,27.0721
2002-11-19,26.2652
2002-11-20,26.1601
2002-11-21,24.6893
2002-11-22,24.9793
2002-11-25,23.1008
2002-11-26,23.7858
2002-11-27,24.4624
2002-11-29,24.8994
2002-12-02,24.0043
2002-12-03,24.8742
2002-12-04,26.0593
2002-12-05,25.845
2002-12-06,25.9374
2002-12-09,25.908
2002-12-10,26.4081
2002-12-11,26.7065
2002-12-12,26.6014
2002-12-13,26.2358
2002-12-16,26.6434
2002-12-17,26.4123
2002-12-18,25.929
2002-12-19,25.5382
2002-12-20,26.0341
2002-12-23,26.5678
2002-12-24,26.5216
2002-12-26,26.2862
2002-12-27,25.7819
2002-12-30,25.8029
2002-12-31,26.4333
2003-01-02,26.6224
2003-01-03,26.3072
2003-01-06,26.1475
2003-01-07,25.7189
2003-01-08,25.6979
2003-01-09,25.6769
2003-01-10,25.3659
2003-01-13,25.4836
2003-01-14,25.0423
2003-01-15,24.9835
2003-01-16,25.0969
2003-01-17,25.6264
2003-01-21,25.3407
2003-01-22,25.6348
2003-01-23,26.2652
2003-01-24,25.7399
2003-01-27,25.2524
2003-01-28,25.5298
2003-01-29,25.8744
2003-01-30,25.7399
2003-01-31,26.0887
2003-02-03,25.1095
2003-02-04,24.4035
2003-02-05,24.4792
2003-02-06,24.3741
2003-02-07,24.2985
2003-02-10,24.3321
2003-02-11,23.6009
2003-02-12,22.7814
2003-02-13,23.1134
2003-02-14,22.8528
2003-02-18,23.5799
2003-02-19,23.7942
2003-02-20,23.5841
2003-02-21,24.3363
2003-02-24,23.5462
2003-02-25,23.9623
2003-02-26,24.5254
2003-02-27,24.7733
2003-02-28,25.0507
2003-03-03,24.7986
2003-03-04,24.4161
2003-03-05,25.0381
2003-03-06,25.181
2003-03-07,25.4247
2003-03-10,24.7775
2003-03-11,24.6557
2003-03-12,24.5422
2003-03-13,25.4163
2003-03-14,24.7944
2003-03-17,25.7609
2003-03-18,25.9962
2003-03-19,26.3408
2003-03-20,26.4921
2003-03-21,26.2568
2003-03-24,26.1854
2003-03-25,26.6014
2003-03-26,26.4333
2003-03-27,26.551
2003-03-28,27.2948
2003-03-31,27.8411
2003-04-01,28.1353
2003-04-02,28.1311
2003-04-03,28.4
2003-04-04,27.8579
2003-04-07,27.9504
2003-04-08,27.7613
2003-04-09,27.4839
2003-04-10,27.5091
2003-04-11,28.0554
2003-04-14,28.6144
2003-04-15,28.4841
2003-04-16,27.2065
2003-04-17,28.1269
2003-04-21,27.7403
2003-04-22,28.6606
2003-04-23,28.5429
2003-04-24,28.3202
2003-04-25,28.2824
2003-04-28,28.4925
2003-04-29,28.2403
2003-04-30,28.8455
2003-05-01,29.2657
2003-05-02,29.3036
2003-05-05,29.8373
2003-05-06,30.3079
2003-05-07,29.9087
2003-05-08,29.644
2003-05-09,29.7112
2003-05-12,30.1314
2003-05-13,29.8205
2003-05-14,29.8583
2003-05-15,30.1188
2003-05-16,30.9299
2003-05-19,30.6357
2003-05-20,31.3712
2003-05-21,31.5267
2003-05-22,31.5182
2003-05-23,31.3754
2003-05-27,31.451
2003-05-28,31.1947
2003-05-29,30.9215
2003-05-30,30.8248
2003-06-02,30.455
2003-06-03,30.4172
2003-06-04,30.5895
2003-06-05,31.1232
2003-06-06,31.161
2003-06-09,30.745
2003-06-10,31.2577
2003-06-11,32.3251
2003-06-12,32.0856
2003-06-13,32.115
2003-06-16,33.216
2003-06-17,33.9809
2003-06-18,34.4684
2003-06-19,33.2623
2003-06-20,33.3295
2003-06-23,32.7243
2003-06-24,33.1236
2003-06-25,32.6277
2003-06-26,33.153
2003-06-27,32.737
2003-06-30,32.4218
2003-07-01,32.1066
2003-07-02,32.6025
2003-07-03,32.2957
2003-07-07,32.8252
2003-07-08,33.195
2003-07-09,33.5144
2003-07-10,32.8924
2003-07-11,33.4093
2003-07-14,32.8504
2003-07-15,32.4134
2003-07-16,31.6653
2003-07-17,32.1066
2003-07-18,32.7159
2003-07-21,32.6319
2003-07-22,32.7706
2003-07-23,33.6699
2003-07-24,33.1866
2003-07-25,33.7035
2003-07-28,34.0481
2003-07-29,34.0607
2003-07-30,33.1866
2003-07-31,31.7326
2003-08-01,31.3039
2003-08-04,31.2031
2003-08-05,30.3668
2003-08-06,28.7446
2003-08-07,29.7112
2003-08-08,30.06
2003-08-11,30.5139
2003-08-12,30.6694
2003-08-13,30.4046
2003-08-14,30.5937
2003-08-15,30.5559
2003-08-18,30.7744
2003-08-19,30.6609
2003-08-20,30.2953
2003-08-21,29.9591
2003-08-22,29.728
2003-08-25,29.7995
2003-08-26,30.102
2003-08-27,30.1567
2003-08-28,30.2155
2003-08-29,30.7618
2003-09-02,31.1484
2003-09-03,31.388
2003-09-04,30.8879
2003-09-05,30.4256
2003-09-08,30.8122
2003-09-09,30.8879
2003-09-10,30.9551
2003-09-11,30.8795
2003-09-12,31.4384
2003-09-15,31.1316
2003-09-16,31.1064
2003-09-17,31.056
2003-09-18,31.5267
2003-09-19,31.388
2003-09-22,31.3291
2003-09-23,31.014
2003-09-24,30.1314
2003-09-25,29.6061
2003-09-26,29.0724
2003-09-29,29.5851
2003-09-30,29.976
2003-10-01,30.455
2003-10-02,30.5685
2003-10-03,30.6652
2003-10-06,30.434
2003-10-07,30.3668
2003-10-08,30.3542
2003-10-09,30.8248
2003-10-10,30.9257
2003-10-13,30.8206
2003-10-14,30.5769
2003-10-15,29.9423
2003-10-16,30.2365
2003-10-17,30.6862
2003-10-20,32.3125
2003-10-21,32.5857
2003-10-22,32.5352
2003-10-23,32.3167
2003-10-24,32.468
2003-10-27,29.8583
2003-10-28,29.0178
2003-10-29,29.0976
2003-10-30,28.2403
2003-10-31,28.7572
2003-11-03,28.7867
2003-11-04,28.5345
2003-11-05,28.8329
2003-11-06,28.2488
2003-11-07,27.9672
2003-11-10,27.4041
2003-11-11,27.6856
2003-11-12,28.1185
