Date,Settle
1990-01-02,6.2981
1990-01-03,6.2795
1990-01-04,6.1866
1990-01-05,6.0566
1990-01-08,5.9451
1990-01-09,5.9823
1990-01-10,5.9637
1990-01-11,5.8708
1990-01-12,5.8336
1990-01-15,5.8708
1990-01-16,5.9265
1990-01-17,5.7965
1990-01-18,5.7407
1990-01-19,5.7779
1990-01-22,5.7593
1990-01-23,5.7593
1990-01-24,5.685
1990-01-25,5.6107
1990-01-26,5.5735
1990-01-29,5.5735
1990-01-30,5.4992
1990-01-31,5.5178
1990-02-01,5.5891
1990-02-02,5.6453
1990-02-05,5.5141
1990-02-06,5.5516
1990-02-07,5.5328
1990-02-08,5.5516
1990-02-09,5.6078
1990-02-12,5.5703
1990-02-13,5.6641
1990-02-14,5.6453
1990-02-15,5.6828
1990-02-16,5.6828
1990-02-20,5.6453
1990-02-21,5.5516
1990-02-22,5.5703
1990-02-23,5.5328
1990-02-26,5.5328
1990-02-27,5.5891
1990-02-28,5.6078
1990-03-01,5.5891
1990-03-02,5.6266
1990-03-05,5.5703
1990-03-06,5.5703
1990-03-07,5.5516
1990-03-08,5.5891
1990-03-09,5.5141
1990-03-12,5.4578
1990-03-13,5.4953
1990-03-14,5.5141
1990-03-15,5.4953
1990-03-16,5.5141
1990-03-19,5.4765
1990-03-20,5.4765
1990-03-21,5.3828
1990-03-22,5.3078
1990-03-23,5.289
1990-03-26,5.3453
1990-03-27,5.5141
1990-03-28,5.6453
1990-03-29,5.5891
1990-03-30,5.6266
1990-04-02,5.5703
1990-04-03,5.6828
1990-04-04,5.7016
1990-04-05,5.6266
1990-04-06,5.5141
1990-04-09,5.5516
1990-04-10,5.5703
1990-04-11,5.5516
1990-04-12,5.6078
1990-04-16,5.7016
1990-04-17,5.7016
1990-04-18,5.6266
1990-04-19,5.4765
1990-04-20,5.3078
1990-04-23,5.1389
1990-04-24,5.1764
1990-04-25,5.2327
1990-04-26,5.214
1990-04-27,5.1577
1990-04-30,5.2327
1990-05-01,5.3265
1990-05-02,5.3273
1990-05-03,5.4031
1990-05-04,5.46
1990-05-07,5.5548
1990-05-08,5.5927
1990-05-09,5.6685
1990-05-10,5.7064
1990-05-11,5.7823
1990-05-14,5.8012
1990-05-15,5.7633
1990-05-16,5.7633
1990-05-17,5.7633
1990-05-18,5.7823
1990-05-21,5.8581
1990-05-22,5.896
1990-05-23,5.915
1990-05-24,5.9339
1990-05-25,5.915
1990-05-29,5.915
1990-05-30,5.9719
1990-05-31,5.9529
1990-06-01,5.9908
1990-06-04,6.0477
1990-06-05,6.0667
1990-06-06,6.1045
1990-06-07,6.1614
1990-06-08,6.1804
1990-06-11,6.2373
1990-06-12,6.1804
1990-06-13,6.1804
1990-06-14,6.2183
1990-06-15,6.2183
1990-06-18,6.1804
1990-06-19,6.0477
1990-06-20,6.0097
1990-06-21,6.0287
1990-06-22,6.0667
1990-06-25,6.0097
1990-06-26,5.8771
1990-06-27,5.7823
1990-06-28,5.7064
1990-06-29,5.6875
1990-07-02,5.7633
1990-07-03,5.8391
1990-07-05,5.8771
1990-07-06,6.0477
1990-07-09,6.0097
1990-07-10,5.9529
1990-07-11,5.8581
1990-07-12,5.8771
1990-07-13,5.896
1990-07-16,5.7443
1990-07-17,5.7443
1990-07-18,5.6685
1990-07-19,5.5737
1990-07-20,5.5358
1990-07-23,5.46
1990-07-24,5.4979
1990-07-25,5.4789
1990-07-26,5.46
1990-07-27,5.5737
1990-07-30,5.5548
1990-07-31,5.5548
1990-08-01,5.364
1990-08-02,5.3448
1990-08-03,5.4022
1990-08-06,5.2107
1990-08-07,5.2107
1990-08-08,5.1149
1990-08-09,5.0191
1990-08-10,4.9233
1990-08-13,5.0191
1990-08-14,5.1149
1990-08-15,5.1341
1990-08-16,5.0575
1990-08-17,4.9233
1990-08-20,4.9617
1990-08-21,4.9425
1990-08-22,5.0191
1990-08-23,4.9808
1990-08-24,4.9233
1990-08-27,5.1341
1990-08-28,5.1532
1990-08-29,5.2682
1990-08-30,5.3256
1990-08-31,5.364
1990-09-04,5.364
1990-09-05,5.3831
1990-09-06,5.3448
1990-09-07,5.3831
1990-09-10,5.3831
1990-09-11,5.2873
1990-09-12,5.0575
1990-09-13,4.885
1990-09-14,5.0
1990-09-17,4.9042
1990-09-18,4.9425
1990-09-19,4.9617
1990-09-20,4.8275
1990-09-21,4.8084
1990-09-24,4.5402
1990-09-25,4.8084
1990-09-26,4.521
1990-09-27,4.5977
1990-09-28,4.7126
1990-10-01,4.7893
1990-10-02,4.8084
1990-10-03,4.7893
1990-10-04,4.6743
1990-10-05,4.5785
1990-10-08,4.4444
1990-10-09,4.1379
1990-10-10,4.1762
1990-10-11,4.2145
1990-10-12,4.2912
1990-10-15,4.3486
1990-10-16,4.2912
1990-10-17,4.3486
1990-10-18,4.4444
1990-10-19,4.5019
1990-10-22,4.6168
1990-10-23,4.7126
1990-10-24,4.7317
1990-10-25,4.636
1990-10-26,4.7701
1990-10-29,4.7126
1990-10-30,4.7317
1990-10-31,4.8877
1990-11-01,4.6938
1990-11-02,4.752
1990-11-05,4.8101
1990-11-06,4.8489
1990-11-07,4.7132
1990-11-08,4.7325
1990-11-09,4.7713
1990-11-12,4.9847
1990-11-13,4.9265
1990-11-14,4.8295
1990-11-15,4.8683
1990-11-16,4.9847
1990-11-19,4.8683
1990-11-20,5.1205
1990-11-21,5.0623
1990-11-23,5.2175
1990-11-26,5.2368
1990-11-27,5.3726
1990-11-28,5.5084
1990-11-29,5.3144
1990-11-30,5.3532
1990-12-03,5.4696
1990-12-04,5.4308
1990-12-05,5.4114
1990-12-06,5.4696
1990-12-07,5.4696
1990-12-10,5.4696
1990-12-11,5.4696
1990-12-12,5.489
1990-12-13,5.295
1990-12-14,5.2756
1990-12-17,5.2756
1990-12-18,5.295
1990-12-19,5.4308
1990-12-20,5.4696
1990-12-21,5.4114
1990-12-24,5.3144
1990-12-26,5.3144
1990-12-27,5.3726
1990-12-28,5.3726
1990-12-31,5.392
1991-01-02,5.3726
1991-01-03,5.4308
1991-01-04,5.3726
1991-01-07,5.3726
1991-01-08,5.3532
1991-01-09,5.3726
1991-01-10,5.3532
1991-01-11,5.3338
1991-01-14,5.295
1991-01-15,5.2368
1991-01-16,5.2175
1991-01-17,5.3532
1991-01-18,4.9459
1991-01-21,4.8101
1991-01-22,4.655
1991-01-23,4.7325
1991-01-24,4.8683
1991-01-25,4.9847
1991-01-28,5.0041
1991-01-29,4.9653
1991-01-30,5.0817
1991-01-31,5.1413
1991-02-01,5.0432
1991-02-04,5.2002
1991-02-05,5.3376
1991-02-06,5.4946
1991-02-07,5.4946
1991-02-08,5.416
1991-02-11,5.416
1991-02-12,5.4357
1991-02-13,5.6515
1991-02-14,5.8674
1991-02-15,5.7693
1991-02-19,5.573
1991-02-20,5.416
1991-02-21,5.4749
1991-02-22,5.4749
1991-02-25,5.3768
1991-02-26,5.3376
1991-02-27,5.5338
1991-02-28,5.4553
1991-03-01,5.416
1991-03-04,5.5142
1991-03-05,5.73
1991-03-06,5.8085
1991-03-07,5.8085
1991-03-08,5.8281
1991-03-11,5.8281
1991-03-12,5.7889
1991-03-13,5.7889
1991-03-14,5.73
1991-03-15,5.5534
1991-03-18,5.573
1991-03-19,5.5927
1991-03-20,5.5927
1991-03-21,5.6319
1991-03-22,5.5927
1991-03-25,5.6908
1991-03-26,5.6908
1991-03-27,5.7497
1991-03-28,5.7889
1991-04-01,5.887
1991-04-02,5.887
1991-04-03,5.9655
1991-04-04,5.9066
1991-04-05,5.9655
1991-04-08,6.0047
1991-04-09,5.9655
1991-04-10,5.9655
1991-04-11,6.0244
1991-04-12,6.0047
1991-04-15,6.044
1991-04-16,6.0833
1991-04-17,6.0833
1991-04-18,6.1421
1991-04-19,6.1225
1991-04-22,6.0636
1991-04-23,6.0047
