Date,Settle
1990-01-02,5.0249
1990-01-03,5.0973
1990-01-04,4.8081
1990-01-05,4.6634
1990-01-08,4.9526
1990-01-09,4.7719
1990-01-10,4.7719
1990-01-11,4.8081
1990-01-12,4.6996
1990-01-15,4.6634
1990-01-16,4.7357
1990-01-17,4.7719
1990-01-18,4.5912
1990-01-19,4.7719
1990-01-22,4.6996
1990-01-23,4.555
1990-01-24,4.3019
1990-01-25,4.4104
1990-01-26,4.4465
1990-01-29,4.3381
1990-01-30,4.2658
1990-01-31,4.4104
1990-02-01,4.6996
1990-02-02,4.6996
1990-02-05,4.6634
1990-02-06,4.7719
1990-02-07,4.9526
1990-02-08,4.9526
1990-02-09,5.0249
1990-02-12,4.9165
1990-02-13,4.9165
1990-02-14,4.9526
1990-02-15,4.9526
1990-02-16,4.8081
1990-02-20,4.6996
1990-02-21,4.7357
1990-02-22,4.5912
1990-02-23,4.4465
1990-02-26,4.3742
1990-02-27,4.4827
1990-02-28,4.4827
1990-03-01,4.5912
1990-03-02,4.5189
1990-03-05,4.5189
1990-03-06,4.555
1990-03-07,4.6634
1990-03-08,4.6273
1990-03-09,4.3742
1990-03-12,4.3019
1990-03-13,4.4104
1990-03-14,4.3381
1990-03-15,4.3381
1990-03-16,4.2658
1990-03-19,4.3019
1990-03-20,4.2658
1990-03-21,4.3742
1990-03-22,4.3742
1990-03-23,4.5912
1990-03-26,4.6478
1990-03-27,4.6115
1990-03-28,4.6841
1990-03-29,4.7567
1990-03-30,4.7204
1990-04-02,4.6478
1990-04-03,4.6478
1990-04-04,4.5752
1990-04-05,4.5752
1990-04-06,4.6841
1990-04-09,4.5389
1990-04-10,4.5026
1990-04-11,4.4299
1990-04-12,4.5389
1990-04-16,4.2484
1990-04-17,4.321
1990-04-18,4.3573
1990-04-19,4.3573
1990-04-20,4.2121
1990-04-23,4.1031
1990-04-24,4.0668
1990-04-25,4.1031
1990-04-26,4.2121
1990-04-27,4.2484
1990-04-30,4.3573
1990-05-01,4.4662
1990-05-02,4.3936
1990-05-03,4.4299
1990-05-04,4.3573
1990-05-07,4.321
1990-05-08,4.2847
1990-05-09,4.2121
1990-05-10,4.2484
1990-05-11,4.5026
1990-05-14,4.6115
1990-05-15,4.6115
1990-05-16,4.5389
1990-05-17,4.5389
1990-05-18,4.5389
1990-05-21,4.6478
1990-05-22,4.5389
1990-05-23,4.4662
1990-05-24,4.3573
1990-05-25,4.3573
1990-05-29,4.321
1990-05-30,4.2847
1990-05-31,4.4299
1990-06-01,4.5389
1990-06-04,4.5026
1990-06-05,4.4662
1990-06-06,4.3936
1990-06-07,4.3573
1990-06-08,4.2847
1990-06-11,4.3573
1990-06-12,4.3936
1990-06-13,4.5389
1990-06-14,4.4662
1990-06-15,4.4662
1990-06-18,4.3936
1990-06-19,4.2847
1990-06-20,4.2847
1990-06-21,4.3573
1990-06-22,4.3936
1990-06-25,4.3411
1990-06-26,4.3776
1990-06-27,4.3411
1990-06-28,4.3046
1990-06-29,4.3411
1990-07-02,4.3776
1990-07-03,4.3776
1990-07-05,4.2681
1990-07-06,4.3046
1990-07-09,4.4505
1990-07-10,4.4505
1990-07-11,4.3776
1990-07-12,4.5965
1990-07-13,4.6694
1990-07-16,4.6694
1990-07-17,4.5965
1990-07-18,4.4505
1990-07-19,4.6694
1990-07-20,4.7423
1990-07-23,4.56
1990-07-24,4.9977
1990-07-25,4.8518
1990-07-26,4.9248
1990-07-27,4.8883
1990-07-30,4.8883
1990-07-31,4.9248
1990-08-01,4.9248
