Date,Settle
1997-12-31,3.0832
1998-01-02,3.0259
1998-01-05,2.9497
1998-01-06,2.8071
1998-01-07,2.8735
1998-01-08,2.8166
1998-01-09,2.7847
1998-01-12,2.6865
1998-01-13,2.8609
1998-01-14,2.9087
1998-01-15,2.8609
1998-01-16,3.0296
1998-01-20,3.1119
1998-01-21,3.0991
1998-01-22,2.8481
1998-01-23,2.7719
1998-01-26,2.8928
1998-01-27,2.928
1998-01-28,2.9467
1998-01-29,3.0103
1998-01-30,2.9975
1998-02-02,3.0103
1998-02-03,3.1119
1998-02-04,3.22
1998-02-05,3.2738
1998-02-06,3.2962
1998-02-09,3.1848
1998-02-10,3.2007
1998-02-11,3.1912
1998-02-12,3.2038
1998-02-13,3.2515
1998-02-17,3.1977
1998-02-18,3.2928
1998-02-19,3.2673
1998-02-20,3.2738
1998-02-23,3.1722
1998-02-24,3.1657
1998-02-25,3.153
1998-02-26,3.2485
1998-02-27,3.2769
1998-03-02,3.3372
1998-03-03,3.3785
1998-03-04,3.3405
1998-03-05,3.3372
1998-03-06,3.2897
1998-03-09,3.2252
1998-03-10,3.2411
1998-03-11,3.2315
1998-03-12,3.206
1998-03-13,3.1901
1998-03-16,3.1294
1998-03-17,3.0625
1998-03-18,3.1742
1998-03-19,3.2252
1998-03-20,3.3336
1998-03-23,3.5347
1998-03-24,3.4581
1998-03-25,3.4932
1998-03-26,3.5218
1998-03-27,3.4773
1998-03-30,3.4963
1998-03-31,3.5218
1998-04-01,3.6495
1998-04-02,3.6623
1998-04-03,3.656
1998-04-06,3.675
1998-04-07,3.6781
1998-04-08,3.6781
1998-04-09,3.723
1998-04-13,3.7035
1998-04-14,3.726
1998-04-15,3.7995
1998-04-16,3.8281
1998-04-17,3.8696
1998-04-20,3.8154
1998-04-21,3.8091
1998-04-22,3.7611
1998-04-23,3.7389
1998-04-24,3.7164
1998-04-27,3.6654
1998-04-28,3.6719
1998-04-29,3.8281
1998-04-30,3.7291
1998-05-01,3.8026
1998-05-04,3.7965
1998-05-05,3.7801
1998-05-06,3.7516
1998-05-07,3.6719
1998-05-08,3.675
1998-05-11,3.6495
1998-05-12,3.6368
1998-05-13,3.6239
1998-05-14,3.5698
1998-05-15,3.4804
1998-05-18,3.4326
1998-05-19,3.4263
1998-05-20,3.4167
1998-05-21,3.4167
1998-05-22,3.4102
1998-05-26,3.3208
1998-05-27,3.3242
1998-05-28,3.3371
1998-05-29,3.3687
1998-06-01,3.3177
1998-06-02,3.3177
1998-06-03,3.3081
1998-06-04,3.3943
1998-06-05,3.4483
1998-06-08,3.4017
1998-06-09,3.3504
1998-06-10,3.318
1998-06-11,3.1865
1998-06-12,3.2091
1998-06-15,3.1131
1998-06-16,3.1707
1998-06-17,3.3313
1998-06-18,3.2765
1998-06-19,3.2477
1998-06-22,3.3857
1998-06-23,3.4211
1998-06-24,3.4401
1998-06-25,3.4241
1998-06-26,3.4401
1998-06-29,3.4371
1998-06-30,3.4498
1998-07-01,3.5654
1998-07-02,7.1493
1998-07-06,7.0856
1998-07-07,6.8679
1998-07-08,6.9952
1998-07-09,6.7385
1998-07-10,6.7262
1998-07-13,6.5598
1998-07-14,6.6872
1998-07-15,6.8925
1998-07-16,6.9069
1998-07-17,6.7385
1998-07-20,6.5085
1998-07-21,6.4571
1998-07-22,6.3668
1998-07-23,6.1737
1998-07-24,6.1491
1998-07-27,6.0464
1998-07-28,6.1101
1998-07-29,6.8412
1998-07-30,6.9829
1998-07-31,7.0466
1998-08-03,6.9706
1998-08-04,6.7385
1998-08-05,6.6625
1998-08-06,6.8042
1998-08-07,6.8802
1998-08-10,6.6748
1998-08-11,6.4962
1998-08-12,6.4571
1998-08-13,6.4571
1998-08-14,6.6502
1998-08-17,6.7262
1998-08-18,6.9952
1998-08-19,7.33
1998-08-20,7.2006
1998-08-21,6.8802
1998-08-24,6.8289
1998-08-25,6.7899
1998-08-26,6.4695
1998-08-27,6.1224
1998-08-28,5.9437
1998-08-31,5.9047
1998-09-01,6.3935
1998-09-02,6.1368
1998-09-03,6.3791
1998-09-04,6.9931
1998-09-08,6.9148
1998-09-09,6.7232
1998-09-10,7.4691
1998-09-11,7.8049
1998-09-14,7.7534
1998-09-15,7.6751
1998-09-16,7.9595
1998-09-17,7.9327
1998-09-18,7.9965
1998-09-21,7.9965
1998-09-22,8.0357
1998-09-23,8.3571
1998-09-24,8.1387
1998-09-25,8.899
1998-09-28,8.6662
1998-09-29,8.6538
1998-09-30,8.0996
1998-10-01,7.6875
1998-10-02,7.8296
1998-10-05,7.8812
1998-10-06,7.8049
1998-10-07,7.7019
1998-10-08,7.2239
1998-10-09,7.8564
1998-10-12,8.0233
1998-10-13,7.6875
1998-10-14,7.6236
1998-10-15,8.0748
1998-10-16,8.4354
1998-10-19,8.217
1998-10-20,8.0357
1998-10-21,6.9807
1998-10-22,7.2239
1998-10-23,7.2383
1998-10-26,7.1085
1998-10-27,6.954
1998-10-28,6.6964
1998-10-29,6.7088
1998-10-30,6.9807
1998-11-02,7.4299
1998-11-03,7.3145
1998-11-04,7.1868
1998-11-05,7.0961
1998-11-06,7.16
1998-11-09,6.8118
1998-11-10,6.4656
1998-11-11,6.2328
1998-11-12,6.581
1998-11-13,6.4141
1998-11-16,6.3482
1998-11-17,6.2452
1998-11-18,6.3235
1998-11-19,6.2081
1998-11-20,6.3358
1998-11-23,6.2596
1998-11-24,6.2081
1998-11-25,6.1421
1998-11-27,6.2452
1998-11-30,5.8084
1998-12-01,5.59
1998-12-02,5.2933
1998-12-03,5.4601
1998-12-04,5.4869
1998-12-07,5.791
1998-12-08,5.6483
1998-12-09,5.8944
1998-12-10,5.9068
1998-12-11,6.0619
1998-12-14,6.0619
1998-12-15,5.9854
1998-12-16,6.217
1998-12-17,5.8695
1998-12-18,5.7144
1998-12-21,5.6751
1998-12-22,5.8303
1998-12-23,6.0495
1998-12-24,5.9585
1998-12-28,6.2315
1998-12-29,6.1922
1998-12-30,6.3204
1998-12-31,6.3866
1999-01-04,6.4383
1999-01-05,6.217
1999-01-06,6.5789
1999-01-07,6.6968
1999-01-08,6.6451
1999-01-11,6.6575
1999-01-12,6.3597
1999-01-13,6.1136
1999-01-14,5.8944
1999-01-15,5.8944
1999-01-19,5.8695
1999-01-20,5.8178
1999-01-21,5.9978
1999-01-22,5.791
1999-01-25,5.8427
1999-01-26,5.6483
1999-01-27,5.5448
1999-01-28,5.4931
1999-01-29,5.5965
1999-02-01,5.7144
1999-02-02,5.6358
1999-02-03,5.9337
1999-02-04,5.9068
1999-02-05,6.4383
1999-02-08,6.3597
