Date,Settle
1990-01-02,5.3693
1990-01-03,5.3693
1990-01-04,5.3015
1990-01-05,5.3693
1990-01-08,5.4236
1990-01-09,5.3693
1990-01-10,5.3693
1990-01-11,5.4236
1990-01-12,5.2744
1990-01-15,5.1795
1990-01-16,5.2609
1990-01-17,5.2066
1990-01-18,5.1388
1990-01-19,5.0439
1990-01-22,5.0575
1990-01-23,5.1253
1990-01-24,5.0439
1990-01-25,5.0304
1990-01-26,5.0846
1990-01-29,5.0982
1990-01-30,5.0439
1990-01-31,5.0575
1990-02-01,5.0575
1990-02-02,5.0575
1990-02-05,5.0168
1990-02-06,4.9626
1990-02-07,4.9897
1990-02-08,4.8812
1990-02-09,4.9761
1990-02-12,4.949
1990-02-13,4.9219
1990-02-14,4.8812
1990-02-15,4.8948
1990-02-16,4.8948
1990-02-20,4.8134
1990-02-21,4.8541
1990-02-22,4.8676
1990-02-23,4.8134
1990-02-26,4.8405
1990-02-27,4.8405
1990-02-28,4.9083
1990-03-01,4.949
1990-03-02,5.0439
1990-03-05,5.0439
1990-03-06,5.1931
1990-03-07,5.2609
1990-03-08,5.3693
1990-03-09,5.4507
1990-03-12,5.4643
1990-03-13,5.3965
1990-03-14,5.3829
1990-03-15,5.3558
1990-03-16,5.3287
1990-03-19,5.3422
1990-03-20,5.288
1990-03-21,5.2744
1990-03-22,5.2473
1990-03-23,5.3422
1990-03-26,5.4914
1990-03-27,5.6134
1990-03-28,5.7083
1990-03-29,5.6947
1990-03-30,5.7035
1990-04-02,5.5944
1990-04-03,5.6353
1990-04-04,5.567
1990-04-05,5.5534
1990-04-06,5.5397
1990-04-09,5.5944
1990-04-10,5.6216
1990-04-11,5.6216
1990-04-12,5.5944
1990-04-16,5.567
1990-04-17,5.567
1990-04-18,5.5125
1990-04-19,5.4852
1990-04-20,5.4988
1990-04-23,5.4443
1990-04-24,5.4579
1990-04-25,5.6216
1990-04-26,5.608
1990-04-27,5.608
1990-04-30,5.6353
