Date,Settle
2020-04-01,6.92
2020-04-02,6.21
2020-04-03,8.06
2020-04-06,7.3
2020-04-07,7.3
2020-04-08,10.03
2020-04-09,10.79
2020-04-13,9.5
2020-04-14,9.66
2020-04-15,8.89
2020-04-16,8.54
2020-04-17,9.47
2020-04-20,9.76
2020-04-21,9.31
2020-04-22,9.3
2020-04-23,8.82
2020-04-24,8.04
2020-04-27,9.15
2020-04-28,8.2
2020-04-29,8.81
2020-04-30,8.72
2020-05-01,8.55
2020-05-04,8.88
2020-05-05,8.84
2020-05-06,8.34
2020-05-07,8.67
2020-05-08,9.12
2020-05-11,8.78
2020-05-12,8.52
2020-05-13,8.3
2020-05-14,8.33
2020-05-15,8.34
2020-05-18,9.27
2020-05-19,9.29
2020-05-20,10.5
2020-05-21,11.28
2020-05-22,12.84
2020-05-26,13.05
2020-05-27,13.95
2020-05-28,13.73
2020-05-29,14.47
2020-06-01,14.93
2020-06-02,15.95
2020-06-03,17.09
2020-06-04,17.32
2020-06-05,18.69
2020-06-08,18.52
2020-06-09,17.8
2020-06-10,16.76
2020-06-11,15.37
2020-06-12,16.48
2020-06-15,16.26
2020-06-16,16.61
2020-06-17,15.51
2020-06-18,15.74
2020-06-19,15.4
2020-06-22,15.77
2020-06-23,15.92
2020-06-24,15.05
2020-06-25,15.46
2020-06-26,13.67
2020-06-29,13.84
2020-06-30,13.93
2020-07-01,13.23
2020-07-02,13.07
2020-07-06,14.19
2020-07-07,14.12
2020-07-08,14.54
2020-07-09,14.07
2020-07-10,14.51
2020-07-13,14.94
2020-07-14,15.72
2020-07-15,16.41
2020-07-16,16.73
2020-07-17,16.25
2020-07-20,16.25
2020-07-21,16.79
2020-07-22,17.21
2020-07-23,16.37
2020-07-24,16.35
2020-07-27,17.01
2020-07-28,16.75
2020-07-29,16.4
2020-07-30,16.28
2020-07-31,16.29
2020-08-03,17.26
2020-08-04,17.46
2020-08-05,19.64
2020-08-06,20.34
2020-08-07,19.95
2020-08-10,21.13
2020-08-11,22.11
2020-08-12,22.76
2020-08-13,22.13
2020-08-14,22.1
2020-08-17,22.64
2020-08-18,23.08
2020-08-19,23.0
2020-08-20,22.94
2020-08-21,22.29
2020-08-24,22.7
2020-08-25,23.05
2020-08-26,22.39
2020-08-27,22.84
2020-08-28,22.97
2020-08-31,22.25
2020-09-01,22.72
2020-09-02,22.55
2020-09-03,21.86
2020-09-04,21.46
2020-09-08,21.4
2020-09-09,21.15
2020-09-10,19.65
2020-09-11,19.06
2020-09-14,20.34
2020-09-15,20.51
2020-09-16,21.29
2020-09-17,21.18
2020-09-18,21.02
2020-09-21,19.17
2020-09-22,18.63
2020-09-23,18.89
2020-09-24,18.78
2020-09-25,18.3
2020-09-28,20.06
2020-09-29,19.64
2020-09-30,19.05
2020-10-01,18.83
2020-10-02,19.52
2020-10-05,20.68
2020-10-06,20.37
2020-10-07,21.39
2020-10-08,21.94
2020-10-09,22.67
2020-10-12,22.27
2020-10-13,21.92
2020-10-14,22.48
2020-10-15,23.15
2020-10-16,23.17
2020-10-19,23.29
2020-10-20,23.76
2020-10-21,23.31
2020-10-22,23.75
2020-10-23,23.89
2020-10-26,23.44
2020-10-27,23.07
2020-10-28,21.19
2020-10-29,21.91
2020-10-30,21.74
2020-11-02,22.56
2020-11-03,24.05
2020-11-04,23.54
2020-11-05,25.36
2020-11-06,25.35
2020-11-09,26.22
2020-11-10,28.19
2020-11-11,27.93
2020-11-12,27.2
2020-11-13,28.36
2020-11-16,29.29
2020-11-17,29.34
2020-11-18,28.41
2020-11-19,28.56
2020-11-20,28.07
2020-11-23,28.38
2020-11-24,28.82
2020-11-25,29.25
2020-11-27,28.75
2020-11-30,27.51
2020-12-01,29.71
2020-12-02,29.13
2020-12-03,29.1
2020-12-04,30.9
2020-12-07,28.81
2020-12-08,30.57
2020-12-09,30.58
2020-12-10,30.8
2020-12-11,30.29
2020-12-14,30.23
2020-12-15,30.53
2020-12-16,29.89
2020-12-17,29.42
2020-12-18,28.79
2020-12-21,28.82
2020-12-22,28.46
2020-12-23,28.67
2020-12-24,29.16
2020-12-28,29.21
2020-12-29,28.86
2020-12-30,29.55
2020-12-31,29.8
2021-01-04,27.87
2021-01-05,28.95
2021-01-06,30.11
2021-01-07,29.38
2021-01-08,29.57
2021-01-11,29.24
2021-01-12,29.8
2021-01-13,29.61
2021-01-14,30.33
2021-01-15,30.29
2021-01-19,30.01
2021-01-20,29.82
2021-01-21,28.82
2021-01-22,28.13
2021-01-25,27.5
2021-01-26,26.44
2021-01-27,24.68
2021-01-28,25.74
2021-01-29,25.2
2021-02-01,26.16
2021-02-02,26.67
2021-02-03,26.72
2021-02-04,26.6
2021-02-05,26.16
2021-02-08,26.62
2021-02-09,26.47
2021-02-10,25.49
2021-02-11,25.5
2021-02-12,25.9
2021-02-16,25.58
2021-02-17,25.98
2021-02-18,25.03
2021-02-19,25.74
2021-02-22,25.73
2021-02-23,22.83
2021-02-24,23.05
2021-02-25,22.85
2021-02-26,21.92
2021-03-01,23.99
2021-03-02,24.82
2021-03-03,25.09
2021-03-04,24.06
2021-03-05,25.27
2021-03-08,26.82
2021-03-09,28.23
2021-03-10,29.7
2021-03-11,31.05
2021-03-12,29.95
2021-03-15,29.07
2021-03-16,28.39
2021-03-17,29.16
2021-03-18,27.57
2021-03-19,27.22
2021-03-22,26.87
2021-03-23,25.08
2021-03-24,24.81
2021-03-25,25.42
2021-03-26,25.79
2021-03-29,25.3
2021-03-30,25.66
2021-03-31,25.39
2021-04-01,26.06
2021-04-05,26.76
2021-04-06,26.34
2021-04-07,26.08
2021-04-08,26.26
2021-04-09,25.93
2021-04-12,26.45
2021-04-13,26.35
2021-04-14,27.6
2021-04-15,27.45
2021-04-16,27.7
2021-04-19,26.02
2021-04-20,25.01
2021-04-21,26.46
2021-04-22,27.44
2021-04-23,27.85
2021-04-26,27.68
2021-04-27,29.06
2021-04-28,29.92
2021-04-29,29.49
2021-04-30,28.6
2021-05-03,29.36
2021-05-04,35.0
2021-05-05,36.16
2021-05-06,36.2
2021-05-07,35.87
2021-05-10,35.4
2021-05-11,36.44
2021-05-12,35.24
2021-05-13,35.62
2021-05-14,35.96
2021-05-17,36.11
2021-05-18,35.56
2021-05-19,34.6
2021-05-20,35.02
2021-05-21,34.85
2021-05-24,35.28
2021-05-25,34.93
2021-05-26,35.34
2021-05-27,35.86
2021-05-28,36.17
2021-06-01,37.68
2021-06-02,37.23
2021-06-03,37.09
2021-06-04,37.34
2021-06-07,37.4
2021-06-08,37.72
2021-06-09,37.39
2021-06-10,37.03
2021-06-11,38.0
2021-06-14,37.13
2021-06-15,37.8
2021-06-16,37.02
2021-06-17,35.91
2021-06-18,34.31
2021-06-21,35.39
2021-06-22,35.25
2021-06-23,35.42
2021-06-24,36.72
2021-06-25,36.26
2021-06-28,35.75
2021-06-29,35.96
2021-06-30,35.62
2021-07-01,35.6
2021-07-02,35.7
2021-07-06,34.73
2021-07-07,34.98
2021-07-08,34.26
2021-07-09,35.94
2021-07-12,35.95
2021-07-13,34.28
2021-07-14,33.85
2021-07-15,33.27
2021-07-16,32.99
2021-07-19,31.49
2021-07-20,32.52
2021-07-21,33.84
2021-07-22,32.73
2021-07-23,33.34
2021-07-26,34.34
2021-07-27,33.87
2021-07-28,34.92
2021-07-29,36.92
2021-07-30,35.94
2021-08-02,35.42
2021-08-03,34.59
2021-08-04,31.75
2021-08-05,32.99
2021-08-06,33.93
2021-08-09,34.31
2021-08-10,36.1
2021-08-11,36.6
2021-08-12,35.22
2021-08-13,35.53
2021-08-16,34.49
2021-08-17,35.11
2021-08-18,34.89
2021-08-19,34.31
2021-08-20,34.65
2021-08-23,34.46
2021-08-24,35.19
2021-08-25,34.95
2021-08-26,34.32
2021-08-27,35.98
2021-08-30,35.97
2021-08-31,34.49
2021-09-01,35.09
2021-09-02,34.63
2021-09-03,34.28
2021-09-07,35.39
2021-09-08,34.64
2021-09-09,34.78
2021-09-10,34.5
2021-09-13,34.9
2021-09-14,33.56
2021-09-15,34.85
2021-09-16,32.97
2021-09-17,32.21
2021-09-20,31.92
2021-09-21,30.99
2021-09-22,31.74
2021-09-23,32.03
2021-09-24,31.13
2021-09-27,32.43
2021-09-28,32.43
2021-09-29,32.59
2021-09-30,31.54
2021-10-01,32.55
2021-10-04,31.66
2021-10-05,31.86
2021-10-06,30.76
2021-10-07,31.86
2021-10-08,31.16
2021-10-11,31.23
2021-10-12,30.9
2021-10-13,31.24
2021-10-14,31.39
2021-10-15,31.73
2021-10-18,31.57
2021-10-19,30.19
2021-10-20,30.55
2021-10-21,29.98
2021-10-22,29.89
2021-10-25,29.54
2021-10-26,29.11
2021-10-27,29.01
2021-10-28,30.5
2021-10-29,29.42
2021-11-01,30.54
2021-11-02,31.73
2021-11-03,31.33
2021-11-04,30.78
2021-11-05,32.04
2021-11-08,32.1
2021-11-09,32.0
2021-11-10,30.6
2021-11-11,31.44
2021-11-12,32.09
2021-11-15,31.47
2021-11-16,31.26
2021-11-17,31.57
2021-11-18,31.53
2021-11-19,29.98
2021-11-22,30.86
2021-11-23,30.89
2021-11-24,30.67
2021-11-26,27.97
2021-11-29,28.29
2021-11-30,26.72
2021-12-01,26.78
2021-12-02,28.42
2021-12-03,28.04
2021-12-06,29.26
2021-12-07,28.91
2021-12-08,29.68
2021-12-09,29.84
2021-12-10,31.26
2021-12-13,30.58
2021-12-14,30.74
2021-12-15,31.27
2021-12-16,31.43
2021-12-17,32.49
2021-12-20,31.53
2021-12-21,32.69
2021-12-22,33.58
2021-12-23,33.84
2021-12-27,34.23
2021-12-28,34.18
2021-12-29,33.56
2021-12-30,32.89
2021-12-31,33.01
2022-01-03,33.96
2022-01-04,34.28
2022-01-05,34.65
2022-01-06,34.6
2022-01-07,34.74
2022-01-10,33.82
2022-01-11,33.71
2022-01-12,34.08
2022-01-13,34.86
2022-01-14,34.93
2022-01-18,33.48
2022-01-19,32.69
2022-01-20,32.01
2022-01-21,31.57
2022-01-24,31.17
2022-01-25,31.64
2022-01-26,31.43
2022-01-27,29.73
2022-01-28,30.79
2022-01-31,30.93
2022-02-01,31.57
2022-02-02,31.05
2022-02-03,30.53
2022-02-04,30.68
2022-02-07,30.33
2022-02-08,31.39
2022-02-09,32.32
2022-02-10,32.37
2022-02-11,31.36
2022-02-14,32.14
2022-02-15,33.04
2022-02-16,33.4
2022-02-17,32.47
2022-02-18,32.28
2022-02-22,31.33
2022-02-23,32.02
2022-02-24,30.47
2022-02-25,31.59
2022-02-28,30.7
2022-03-01,28.04
2022-03-02,27.94
2022-03-03,27.84
2022-03-04,27.1
2022-03-07,24.62
2022-03-08,23.62
2022-03-09,24.74
2022-03-10,24.68
2022-03-11,24.08
2022-03-14,23.77
2022-03-15,23.08
2022-03-16,24.16
2022-03-17,25.44
2022-03-18,24.98
2022-03-21,25.78
2022-03-22,25.33
2022-03-23,24.9
2022-03-24,25.46
2022-03-25,24.94
2022-03-28,24.23
2022-03-29,26.21
2022-03-30,26.09
2022-03-31,25.62
2022-04-01,26.33
2022-04-04,26.07
2022-04-05,25.62
2022-04-06,24.93
2022-04-07,25.16
2022-04-08,25.01
2022-04-11,25.01
2022-04-12,25.66
2022-04-13,26.73
2022-04-14,26.92
2022-04-18,26.55
2022-04-19,27.23
2022-04-20,27.42
2022-04-21,26.55
2022-04-22,25.68
2022-04-25,25.97
2022-04-26,24.18
2022-04-27,24.44
2022-04-28,26.06
2022-04-29,25.16
2022-05-02,25.46
2022-05-03,26.72
2022-05-04,27.76
2022-05-05,25.49
2022-05-06,26.25
2022-05-09,26.26
2022-05-10,25.75
2022-05-11,26.48
2022-05-12,26.92
2022-05-13,26.67
2022-05-16,27.29
2022-05-17,28.53
2022-05-18,27.59
2022-05-19,26.95
2022-05-20,27.55
2022-05-23,27.65
2022-05-24,27.6
2022-05-25,28.01
2022-05-26,27.94
2022-05-27,28.04
2022-05-31,28.13
2022-06-01,27.82
2022-06-02,29.01
2022-06-03,28.37
2022-06-06,30.55
2022-06-07,30.95
2022-06-08,29.75
2022-06-09,29.28
2022-06-10,28.82
2022-06-13,29.16
2022-06-14,27.01
2022-06-15,27.79
2022-06-16,25.5
2022-06-17,26.46
2022-06-21,26.82
2022-06-22,26.23
2022-06-23,25.53
2022-06-24,27.98
2022-06-27,28.49
2022-06-28,28.47
2022-06-29,28.05
2022-06-30,28.05
2022-07-01,28.32
2022-07-05,27.79
2022-07-06,28.02
2022-07-07,28.3
2022-07-08,28.02
2022-07-11,27.52
2022-07-12,28.47
2022-07-13,28.19
2022-07-14,28.02
2022-07-15,28.38
2022-07-18,28.4
2022-07-19,28.24
2022-07-20,28.48
2022-07-21,28.85
2022-07-22,28.75
2022-07-25,29.15
2022-07-26,29.21
2022-07-27,29.55
2022-07-28,29.58
2022-07-29,30.21
2022-08-01,30.42
2022-08-02,28.06
2022-08-03,29.22
2022-08-04,27.65
2022-08-05,28.54
2022-08-08,28.27
2022-08-09,27.35
2022-08-10,28.22
2022-08-11,27.2
2022-08-12,27.98
2022-08-15,28.33
2022-08-16,27.82
2022-08-17,27.34
2022-08-18,28.66
2022-08-19,27.22
2022-08-22,26.14
2022-08-23,26.55
2022-08-24,26.97
2022-08-25,27.4
2022-08-26,26.4
2022-08-29,25.76
2022-08-30,25.41
2022-08-31,25.21
2022-09-01,25.04
2022-09-02,25.12
2022-09-06,25.19
2022-09-07,25.28
2022-09-08,26.02
2022-09-09,26.64
2022-09-12,27.56
2022-09-13,26.3
2022-09-14,25.48
2022-09-15,21.24
2022-09-16,20.22
2022-09-19,21.13
2022-09-20,19.86
2022-09-21,19.19
2022-09-22,18.56
2022-09-23,18.09
2022-09-26,17.0
2022-09-27,17.47
2022-09-28,17.42
2022-09-29,17.28
2022-09-30,17.04
2022-10-03,18.6
2022-10-04,19.59
2022-10-05,19.82
2022-10-06,19.64
2022-10-07,19.46
2022-10-10,19.95
2022-10-11,19.87
2022-10-12,19.75
2022-10-13,20.24
2022-10-14,19.48
2022-10-17,20.04
2022-10-18,20.26
2022-10-19,19.89
2022-10-20,20.43
2022-10-21,21.05
2022-10-24,21.07
2022-10-25,21.34
2022-10-26,20.6
2022-10-27,20.79
2022-10-28,20.73
2022-10-31,20.76
2022-11-01,20.89
2022-11-02,18.92
2022-11-03,18.89
2022-11-04,19.66
2022-11-07,19.68
2022-11-08,19.36
2022-11-09,19.3
2022-11-10,20.4
2022-11-11,20.83
2022-11-14,20.3
2022-11-15,20.32
2022-11-16,19.87
2022-11-17,19.98
2022-11-18,20.21
2022-11-21,20.37
2022-11-22,21.33
2022-11-23,22.69
2022-11-25,22.46
2022-11-28,21.65
2022-11-29,22.51
2022-11-30,23.83
2022-12-01,23.69
2022-12-02,23.73
2022-12-05,22.23
2022-12-06,22.77
2022-12-07,22.18
2022-12-08,22.04
2022-12-09,22.12
2022-12-12,22.57
2022-12-13,22.88
2022-12-14,22.48
2022-12-15,21.14
2022-12-16,22.02
2022-12-19,21.1
2022-12-20,21.0
2022-12-21,21.84
2022-12-22,21.3
2022-12-23,21.53
2022-12-27,21.19
2022-12-28,20.53
2022-12-29,21.21
2022-12-30,21.16
2023-01-03,21.19
2023-01-04,21.61
2023-01-05,21.63
2023-01-06,22.41
2023-01-09,22.55
2023-01-10,22.99
2023-01-11,23.1
2023-01-12,23.53
2023-01-13,23.67
2023-01-17,23.66
2023-01-18,23.33
2023-01-19,23.0
2023-01-20,23.38
2023-01-23,23.43
2023-01-24,23.27
2023-01-25,23.39
2023-01-26,23.5
2023-01-27,23.38
2023-01-30,22.94
2023-01-31,23.51
2023-02-01,24.47
2023-02-02,24.69
2023-02-03,24.85
2023-02-06,23.94
2023-02-07,24.17
2023-02-08,23.38
2023-02-09,22.74
2023-02-10,22.63
2023-02-13,23.03
2023-02-14,23.63
2023-02-15,24.17
2023-02-16,23.96
2023-02-17,24.12
2023-02-21,22.15
2023-02-22,23.08
2023-02-23,23.15
2023-02-24,21.83
2023-02-27,22.13
2023-02-28,26.44
2023-03-01,27.03
2023-03-02,27.77
2023-03-03,27.2
2023-03-06,27.72
2023-03-07,27.22
2023-03-08,27.24
2023-03-09,26.69
2023-03-10,26.1
2023-03-13,25.09
2023-03-14,26.72
2023-03-15,26.53
2023-03-16,26.84
2023-03-17,26.59
2023-03-20,26.86
2023-03-21,27.25
2023-03-22,26.7
2023-03-23,26.5
2023-03-24,26.59
2023-03-27,27.03
2023-03-28,26.67
2023-03-29,26.8
2023-03-30,26.63
2023-03-31,26.23
2023-04-03,25.89
2023-04-04,25.55
2023-04-05,25.3
2023-04-06,25.54
2023-04-10,25.9
2023-04-11,25.71
2023-04-12,25.44
2023-04-13,25.65
2023-04-14,25.72
2023-04-17,26.02
2023-04-18,25.93
2023-04-19,25.67
2023-04-20,24.99
2023-04-21,24.47
2023-04-24,23.78
2023-04-25,23.23
2023-04-26,23.4
2023-04-27,24.25
2023-04-28,24.75
2023-05-01,24.39
2023-05-02,23.91
2023-05-03,22.55
2023-05-04,28.93
2023-05-05,29.05
2023-05-08,29.12
2023-05-09,29.06
2023-05-10,29.07
2023-05-11,29.02
2023-05-12,28.87
2023-05-15,28.91
2023-05-16,28.87
2023-05-17,28.85
2023-05-18,28.89
2023-05-19,28.88
2023-05-22,28.88
2023-05-23,28.85
2023-05-24,28.9
2023-05-25,28.9
2023-05-26,28.9
2023-05-30,28.87
2023-05-31,28.91
2023-06-01,28.9
2023-06-02,28.9
2023-06-05,28.87
2023-06-06,28.89
2023-06-07,29.01
2023-06-08,28.98
2023-06-09,29.01
2023-06-12,29.1
2023-06-13,29.12
2023-06-14,29.15
2023-06-15,29.17
2023-06-16,29.2
2023-06-20,29.27
2023-06-21,29.25
2023-06-22,29.26
2023-06-23,29.28
2023-06-26,29.46
2023-06-27,29.58
2023-06-28,29.59
2023-06-29,29.6
2023-06-30,29.58
