Date,Settle
1990-01-02,6.1729
1990-01-03,6.1729
1990-01-04,6.1335
1990-01-05,5.9763
1990-01-08,6.0549
1990-01-09,6.0549
1990-01-10,6.0352
1990-01-11,6.1139
1990-01-12,6.0942
1990-01-15,6.1335
1990-01-16,6.1532
1990-01-17,6.0746
1990-01-18,6.0942
1990-01-19,6.0549
1990-01-22,5.8976
1990-01-23,5.878
1990-01-24,5.76
1990-01-25,5.6224
1990-01-26,5.6617
1990-01-29,5.6224
1990-01-30,5.6421
1990-01-31,5.819
1990-02-01,5.7797
1990-02-02,5.8583
1990-02-05,5.7797
1990-02-06,5.7993
1990-02-07,5.76
1990-02-08,5.76
1990-02-09,5.819
1990-02-12,5.76
1990-02-13,5.7797
1990-02-14,5.76
1990-02-15,5.76
1990-02-16,5.7404
1990-02-20,5.6224
1990-02-21,5.7214
1990-02-22,5.6224
1990-02-23,5.6224
1990-02-26,5.6422
1990-02-27,5.7016
1990-02-28,5.761
1990-03-01,5.7214
1990-03-02,5.6224
1990-03-05,5.5828
1990-03-06,5.7016
1990-03-07,5.6818
1990-03-08,5.6422
1990-03-09,5.5828
1990-03-12,5.5432
1990-03-13,5.464
1990-03-14,5.5234
1990-03-15,5.662
1990-03-16,5.7808
1990-03-19,5.7214
1990-03-20,5.6422
1990-03-21,5.6026
1990-03-22,5.6026
1990-03-23,5.6224
1990-03-26,5.7016
1990-03-27,5.761
1990-03-28,5.8402
1990-03-29,5.86
1990-03-30,5.86
1990-04-02,5.8204
1990-04-03,5.8006
1990-04-04,5.7016
1990-04-05,5.6818
1990-04-06,5.6422
1990-04-09,5.6224
1990-04-10,5.662
1990-04-11,5.8006
1990-04-12,5.86
1990-04-16,5.7808
1990-04-17,5.8204
1990-04-18,5.7808
1990-04-19,5.8006
1990-04-20,5.7016
1990-04-23,5.6224
1990-04-24,5.6026
1990-04-25,5.6026
1990-04-26,5.563
1990-04-27,5.4838
1990-04-30,5.3848
1990-05-01,5.5234
1990-05-02,5.5432
1990-05-03,5.4838
1990-05-04,5.5234
1990-05-07,5.5432
1990-05-08,5.563
1990-05-09,5.7016
1990-05-10,5.8402
1990-05-11,5.8798
1990-05-14,5.8204
1990-05-15,5.8798
1990-05-16,5.9194
1990-05-17,5.9194
1990-05-18,5.8996
1990-05-21,6.0382
1990-05-22,6.0778
1990-05-23,6.1774
1990-05-24,6.2571
1990-05-25,6.2571
1990-05-29,6.3567
1990-05-30,6.3169
1990-05-31,6.1176
