Date,Settle
2010-07-23,8.0848
2010-07-26,8.1751
2010-07-27,8.2853
2010-07-28,8.1466
2010-07-29,8.1079
2010-07-30,8.4311
2010-08-02,8.6169
2010-08-03,8.4998
2010-08-04,8.4799
2010-08-05,8.4998
2010-08-06,8.4799
2010-08-09,8.382
2010-08-10,8.3756
2010-08-11,8.232
2010-08-12,8.2779
2010-08-13,8.5388
2010-08-16,8.5516
2010-08-17,8.6105
2010-08-18,8.5646
2010-08-19,8.4928
2010-08-20,8.4408
2010-08-23,8.4471
2010-08-24,8.3888
2010-08-25,8.3103
2010-08-26,8.3429
2010-08-27,8.3211
2010-08-30,8.229
2010-08-31,8.2092
2010-09-01,8.4129
2010-09-02,8.4784
2010-09-03,8.538
2010-09-07,8.538
2010-09-08,8.61
2010-09-09,8.6625
2010-09-10,8.7084
2010-09-13,8.748
2010-09-14,8.7154
2010-09-15,8.7805
2010-09-16,8.748
2010-09-17,8.7742
2010-09-20,8.8792
2010-09-21,8.9118
2010-09-22,8.9579
2010-09-23,8.8726
2010-09-24,9.0367
2010-09-27,9.0698
2010-09-28,9.1216
2010-09-29,9.2342
2010-09-30,9.1547
2010-10-01,9.1678
2010-10-04,9.0952
2010-10-05,9.2142
2010-10-06,9.1616
2010-10-07,9.1216
2010-10-08,9.2471
2010-10-11,9.3791
2010-10-12,9.3
2010-10-13,8.9229
2010-10-14,8.91
2010-10-15,8.9169
2010-10-18,8.91
2010-10-19,8.8838
2010-10-20,8.8838
2010-10-21,8.8043
2010-10-22,8.7845
2010-10-25,8.8838
2010-10-26,8.8571
2010-10-27,8.8696
2010-10-28,8.883
2010-10-29,8.9029
2010-11-01,8.8966
2010-11-02,8.9361
2010-11-03,8.9095
2010-11-04,8.9097
2010-11-05,9.0493
2010-11-08,9.1226
2010-11-09,9.076
2010-11-10,9.1156
2010-11-11,9.1156
2010-11-12,9.0624
2010-11-15,9.0894
2010-11-16,8.9361
2010-11-17,8.9227
2010-11-18,8.9959
2010-11-19,9.1026
2010-11-22,9.0957
2010-11-23,9.0624
2010-11-24,9.1492
2010-11-26,9.1689
2010-11-29,9.3429
2010-11-30,9.2894
2010-12-01,9.3366
2010-12-02,9.4905
2010-12-03,9.5372
2010-12-06,9.6242
2010-12-07,9.5413
2010-12-08,9.584
2010-12-09,9.6376
2010-12-10,9.6376
2010-12-13,9.5974
2010-12-14,9.5707
2010-12-15,9.6041
2010-12-16,9.6376
2010-12-17,9.9722
2010-12-20,9.9054
2010-12-21,9.8853
2010-12-22,9.872
2010-12-23,9.9389
2010-12-27,9.8987
2010-12-28,9.879
2010-12-29,10.0144
2010-12-30,9.9471
2010-12-31,9.9471
2011-01-03,9.9471
2011-01-04,9.9402
2011-01-05,10.0407
2011-01-06,10.0614
2011-01-07,10.0949
2011-01-10,10.1425
2011-01-11,10.1775
2011-01-12,10.2433
2011-01-13,10.2905
2011-01-14,10.3379
2011-01-18,10.2638
2011-01-19,10.1828
2011-01-20,10.1089
2011-01-21,10.129
2011-01-24,10.3241
2011-01-25,10.196
2011-01-26,10.2638
2011-01-27,10.3666
2011-01-28,10.3327
2011-01-31,10.38
2011-02-01,10.4477
2011-02-02,10.5765
2011-02-03,10.4682
2011-02-04,10.4817
2011-02-07,10.4752
2011-02-08,10.4547
2011-02-09,10.3529
2011-02-10,10.3054
2011-02-11,10.509
2011-02-14,10.5222
2011-02-15,10.5155
2011-02-16,10.4752
2011-02-17,10.5359
2011-02-18,10.5222
2011-02-22,10.4817
2011-02-23,10.3937
2011-02-24,10.4843
2011-02-25,10.4913
2011-02-28,10.5456
2011-03-01,10.5391
2011-03-02,10.58
2011-03-03,10.607
2011-03-04,10.5934
2011-03-07,10.5868
2011-03-08,10.6344
2011-03-09,10.6344
2011-03-10,10.5116
2011-03-11,10.5525
2011-03-14,10.498
2011-03-15,10.4091
2011-03-16,10.2114
2011-03-17,10.2591
2011-03-18,10.4163
2011-03-21,10.5868
2011-03-22,10.4163
2011-03-23,10.2932
2011-03-24,10.1838
2011-03-25,10.2659
2011-03-28,10.3274
2011-03-29,10.2679
2011-03-30,10.3229
2011-03-31,10.3846
2011-04-01,10.4534
2011-04-04,10.4741
2011-04-05,10.5837
2011-04-06,10.3571
2011-04-07,10.3639
2011-04-08,10.3571
2011-04-11,10.2955
2011-04-12,10.0757
2011-04-13,9.9385
2011-04-14,10.0072
2011-04-15,10.0005
2011-04-18,10.0005
2011-04-19,10.0691
2011-04-20,10.1854
2011-04-21,10.2714
2011-04-25,10.4188
2011-04-26,10.4672
2011-04-27,10.4089
2011-04-28,10.4573
2011-04-29,10.4851
2011-05-02,10.5334
2011-05-03,10.5817
2011-05-04,10.5956
2011-05-05,10.5886
2011-05-06,10.5391
2011-05-09,10.6719
2011-05-10,10.7476
2011-05-11,10.7406
2011-05-12,10.5748
2011-05-13,10.478
2011-05-16,10.4089
2011-05-17,10.3609
2011-05-18,10.4435
2011-05-19,10.4573
2011-05-20,10.4712
2011-05-23,10.4435
2011-05-24,10.4297
2011-05-25,10.4366
2011-05-26,10.4806
2011-05-27,10.6473
2011-05-31,10.738
2011-06-01,10.6404
2011-06-02,10.6473
2011-06-03,10.5918
2011-06-06,10.5638
2011-06-07,10.6544
2011-06-08,10.4806
2011-06-09,10.6058
2011-06-10,10.5501
2011-06-13,10.7098
2011-06-14,10.8419
2011-06-15,10.8001
2011-06-16,10.7308
2011-06-17,10.7098
2011-06-20,10.5986
2011-06-21,10.8284
2011-06-22,11.0157
2011-06-23,10.7795
2011-06-24,10.6336
2011-06-27,10.5918
2011-06-28,10.5801
2011-06-29,10.5801
2011-06-30,10.6427
2011-07-01,10.7756
2011-07-05,10.8176
2011-07-06,11.0204
2011-07-07,11.2024
2011-07-08,11.1673
2011-07-11,11.0692
2011-07-12,11.0903
2011-07-13,11.2512
2011-07-14,11.0903
2011-07-15,11.2024
2011-07-18,11.1673
2011-07-19,11.3494
2011-07-20,11.3142
2011-07-21,11.405
2011-07-22,11.3626
2011-07-25,11.2931
2011-07-26,11.2862
2011-07-27,10.9597
2011-07-28,11.0299
2011-07-29,10.9809
2011-08-01,11.3536
2011-08-02,10.9668
2011-08-03,10.8539
2011-08-04,10.242
2011-08-05,9.9117
2011-08-08,9.377
2011-08-09,10.2068
2011-08-10,9.6514
2011-08-11,9.9892
2011-08-12,10.2494
2011-08-15,10.6218
2011-08-16,10.5376
2011-08-17,10.6571
2011-08-18,10.2632
2011-08-19,10.0243
2011-08-22,10.1857
2011-08-23,10.5587
2011-08-24,10.5376
2011-08-25,10.4252
2011-08-26,10.587
2011-08-29,10.9431
2011-08-30,10.8868
2011-08-31,10.9575
2011-09-01,10.6532
2011-09-02,10.3772
2011-09-06,10.3345
2011-09-07,10.6175
2011-09-08,10.4055
2011-09-09,10.2068
2011-09-12,10.1927
2011-09-13,10.4125
2011-09-14,10.4688
2011-09-15,10.5823
2011-09-16,10.6672
2011-09-19,10.4125
2011-09-20,10.3205
2011-09-21,10.0508
2011-09-22,9.9171
2011-09-23,10.1362
2011-09-26,10.1719
2011-09-27,10.3983
2011-09-28,10.1261
2011-09-29,10.2974
2011-09-30,10.1048
2011-10-03,9.6637
2011-10-04,9.8416
2011-10-05,9.8343
2011-10-06,9.9696
