Date,Settle
1990-01-02,11.84
1990-01-03,11.9882
1990-01-04,12.1362
1990-01-05,11.9882
1990-01-08,11.8768
1990-01-09,11.7663
1990-01-10,11.655
1990-01-11,11.285
1990-01-12,10.9522
1990-01-15,10.9151
1990-01-16,11.1743
1990-01-17,11.3218
1990-01-18,11.1743
1990-01-19,11.1743
1990-01-22,11.1743
1990-01-23,11.1743
1990-01-24,11.0258
1990-01-25,11.1371
1990-01-26,11.1371
1990-01-29,11.211
1990-01-30,11.0258
1990-01-31,11.0258
1990-02-01,11.1371
1990-02-02,11.4328
1990-02-05,11.47
1990-02-06,11.3218
1990-02-07,11.3591
1990-02-08,11.3591
1990-02-09,11.5443
1990-02-12,11.3218
1990-02-13,11.3218
1990-02-14,11.3962
1990-02-15,11.285
1990-02-16,11.47
1990-02-20,11.3962
1990-02-21,11.3962
1990-02-22,11.3739
1990-02-23,11.5229
1990-02-26,11.5229
1990-02-27,11.5229
1990-02-28,11.5973
1990-03-01,11.3739
1990-03-02,11.8584
1990-03-05,11.7096
1990-03-06,11.7841
1990-03-07,11.8217
1990-03-08,11.8953
1990-03-09,11.8217
1990-03-12,12.3805
1990-03-13,12.5672
1990-03-14,12.7165
1990-03-15,12.5672
1990-03-16,12.6038
1990-03-19,12.4926
1990-03-20,12.4926
1990-03-21,12.3061
1990-03-22,12.1195
1990-03-23,12.2314
1990-03-26,12.3432
1990-03-27,12.3432
1990-03-28,12.1562
1990-03-29,12.2687
1990-03-30,12.3805
1990-04-02,12.3432
1990-04-03,12.3805
1990-04-04,12.3805
1990-04-05,12.1195
1990-04-06,12.1562
1990-04-09,12.0819
1990-04-10,11.8584
1990-04-11,12.045
1990-04-12,12.2687
1990-04-16,12.5296
1990-04-17,12.8285
1990-04-18,12.6788
1990-04-19,12.7904
1990-04-20,12.7904
1990-04-23,12.4926
1990-04-24,12.6038
1990-04-25,12.3805
1990-04-26,12.2687
1990-04-27,12.0819
1990-04-30,11.9332
1990-05-01,12.1195
1990-05-02,12.1195
1990-05-03,12.0819
1990-05-04,12.1562
1990-05-07,12.3805
1990-05-08,12.4552
1990-05-09,12.3805
1990-05-10,12.5296
1990-05-11,12.5296
1990-05-14,12.8285
1990-05-15,12.5296
1990-05-16,12.5296
1990-05-17,12.6788
1990-05-18,13.1265
1990-05-21,13.1637
1990-05-22,13.089
1990-05-23,13.0149
1990-05-24,13.1265
1990-05-25,13.2756
1990-05-29,13.1265
1990-05-30,13.5737
1990-05-31,13.5737
1990-06-01,13.5737
1990-06-04,13.8981
1990-06-05,13.9734
1990-06-06,14.0114
1990-06-07,14.199
1990-06-08,14.199
1990-06-11,14.4992
1990-06-12,14.3491
1990-06-13,14.2364
1990-06-14,14.2364
1990-06-15,14.199
1990-06-18,14.199
1990-06-19,14.3109
1990-06-20,14.4246
1990-06-21,14.4618
1990-06-22,14.4618
1990-06-25,14.5366
1990-06-26,14.6121
1990-06-27,14.4992
1990-06-28,14.3491
1990-06-29,14.2364
1990-07-02,14.2364
1990-07-03,14.0298
1990-07-05,14.199
1990-07-06,14.1425
1990-07-09,14.65
1990-07-10,14.7624
1990-07-11,14.7059
1990-07-12,14.65
1990-07-13,15.3255
1990-07-16,15.2133
1990-07-17,15.3255
1990-07-18,15.2133
1990-07-19,14.8751
1990-07-20,14.9312
1990-07-23,14.7624
1990-07-24,14.65
1990-07-25,14.5933
1990-07-26,14.199
1990-07-27,13.523
1990-07-30,13.072
1990-07-31,13.1848
1990-08-01,13.072
1990-08-02,12.4521
1990-08-03,11.9446
1990-08-06,11.7199
1990-08-07,12.1702
1990-08-08,12.1702
1990-08-09,12.0577
1990-08-10,11.6073
1990-08-13,11.4945
1990-08-14,11.4945
1990-08-15,11.8324
1990-08-16,11.4945
1990-08-17,11.3817
1990-08-20,11.2125
1990-08-21,10.818
1990-08-22,10.3677
1990-08-23,10.311
1990-08-24,10.3677
1990-08-27,10.5245
1990-08-28,10.5811
1990-08-29,10.9797
1990-08-30,10.8088
1990-08-31,10.5811
1990-09-04,10.3542
1990-09-05,10.4105
1990-09-06,10.468
1990-09-07,10.695
1990-09-10,10.695
1990-09-11,10.468
1990-09-12,10.468
1990-09-13,10.468
1990-09-14,10.3542
1990-09-17,10.0122
1990-09-18,9.7848
1990-09-19,9.7281
1990-09-20,8.8746
1990-09-21,9.5578
1990-09-24,9.216
1990-09-25,9.3297
1990-09-26,9.5578
1990-09-27,9.6709
1990-09-28,9.9558
1990-10-01,10.24
1990-10-02,10.1263
1990-10-03,9.7848
1990-10-04,9.7281
1990-10-05,9.6709
1990-10-08,9.2728
1990-10-09,8.9884
1990-10-10,8.6473
1990-10-11,8.5898
1990-10-12,8.5335
1990-10-15,8.5335
1990-10-16,8.5335
1990-10-17,8.5335
1990-10-18,8.6473
1990-10-19,8.7608
1990-10-22,8.9884
1990-10-23,9.1589
1990-10-24,9.216
1990-10-25,9.2728
1990-10-26,9.1022
1990-10-29,8.8746
1990-10-30,8.7608
1990-10-31,9.5008
1990-11-01,9.1589
1990-11-02,9.216
1990-11-05,9.6709
1990-11-06,9.6709
1990-11-07,9.6709
1990-11-08,9.6709
1990-11-09,9.9558
1990-11-12,10.0122
1990-11-13,10.1831
1990-11-14,10.1263
1990-11-15,10.0122
1990-11-16,10.0691
1990-11-19,9.7848
1990-11-20,9.3297
1990-11-21,9.3862
1990-11-23,9.1022
1990-11-26,9.3763
1990-11-27,9.5486
1990-11-28,9.5486
1990-11-29,9.4909
1990-11-30,9.5486
1990-12-03,9.4331
1990-12-04,9.6064
1990-12-05,9.9512
1990-12-06,10.1812
1990-12-07,10.469
1990-12-10,10.6415
1990-12-11,10.5839
1990-12-12,10.3542
1990-12-13,10.3542
1990-12-14,10.469
1990-12-17,10.2964
1990-12-18,10.5839
1990-12-19,10.6415
1990-12-20,10.469
1990-12-21,10.5839
1990-12-24,10.8137
1990-12-26,11.044
1990-12-27,10.8716
1990-12-28,10.8137
1990-12-31,10.8137
1991-01-02,10.9293
1991-01-03,10.5839
1991-01-04,10.469
1991-01-07,10.4114
1991-01-08,10.1237
1991-01-09,10.1812
1991-01-10,10.3542
1991-01-11,10.2964
1991-01-14,10.1237
1991-01-15,10.1237
1991-01-16,10.3542
1991-01-17,10.699
1991-01-18,10.9293
1991-01-21,10.8716
1991-01-22,10.9293
1991-01-23,11.1015
1991-01-24,11.2163
1991-01-25,11.2163
1991-01-28,11.044
1991-01-29,10.8716
1991-01-30,11.2744
1991-01-31,11.7345
1991-02-01,11.6196
1991-02-04,11.5038
1991-02-05,11.3893
1991-02-06,11.5038
1991-02-07,11.1591
1991-02-08,11.1591
1991-02-11,11.5038
1991-02-12,11.4468
1991-02-13,11.4468
1991-02-14,11.1591
1991-02-15,11.3318
1991-02-19,11.2744
1991-02-20,11.2744
1991-02-21,11.5038
1991-02-22,11.4902
1991-02-25,11.5483
1991-02-26,11.4902
1991-02-27,11.8965
1991-02-28,11.8965
1991-03-01,11.9545
1991-03-04,12.0126
1991-03-05,12.4188
1991-03-06,12.535
1991-03-07,12.535
1991-03-08,12.2452
1991-03-11,12.0703
1991-03-12,12.3609
1991-03-13,12.535
1991-03-14,12.3609
1991-03-15,12.4188
1991-03-18,12.3029
1991-03-19,12.129
1991-03-20,12.0703
1991-03-21,12.3029
1991-03-22,12.3029
1991-03-25,12.4188
1991-03-26,12.4769
1991-03-27,12.535
1991-03-28,12.9416
1991-04-01,12.9992
1991-04-02,12.8831
1991-04-03,12.9992
1991-04-04,12.8831
1991-04-05,12.8254
1991-04-08,12.7091
1991-04-09,12.4769
1991-04-10,12.4188
1991-04-11,12.4769
1991-04-12,12.4769
1991-04-15,12.8831
1991-04-16,12.535
1991-04-17,12.4769
1991-04-18,12.3029
1991-04-19,12.3609
1991-04-22,12.1871
1991-04-23,12.1871
1991-04-24,12.129
1991-04-25,12.129
1991-04-26,11.8965
1991-04-29,11.8386
1991-04-30,11.9545
1991-05-01,12.0126
1991-05-02,11.9545
1991-05-03,11.8965
1991-05-06,11.9545
1991-05-07,11.9545
1991-05-08,11.9545
1991-05-09,12.0703
1991-05-10,11.9545
1991-05-13,12.0126
1991-05-14,12.1871
1991-05-15,12.0703
1991-05-16,12.1871
1991-05-17,11.8386
1991-05-20,11.5483
1991-05-21,11.7807
1991-05-22,11.8386
1991-05-23,11.6066
1991-05-24,11.5922
1991-05-28,11.7097
1991-05-29,12.178
1991-05-30,12.6464
1991-05-31,13.2317
1991-06-03,13.466
1991-06-04,13.5829
1991-06-05,13.6416
1991-06-06,13.3489
1991-06-07,13.3489
1991-06-10,12.8802
1991-06-11,12.6464
1991-06-12,12.3536
1991-06-13,11.9431
1991-06-14,11.8268
1991-06-17,12.1194
1991-06-18,11.8852
1991-06-19,12.1194
1991-06-20,12.178
1991-06-21,12.5291
1991-06-24,12.5291
1991-06-25,12.178
1991-06-26,12.178
1991-06-27,11.9431
1991-06-28,11.7681
1991-07-01,12.1194
1991-07-02,12.1194
1991-07-03,12.1194
1991-07-05,12.002
1991-07-08,12.061
1991-07-09,12.178
1991-07-10,12.588
1991-07-11,12.5291
1991-07-12,12.6464
1991-07-15,12.588
1991-07-16,12.6464
1991-07-17,12.6464
1991-07-18,12.8802
1991-07-19,13.0563
1991-07-22,13.466
1991-07-23,13.2317
1991-07-24,13.2317
1991-07-25,12.8221
1991-07-26,12.588
1991-07-29,12.2948
1991-07-30,12.178
1991-07-31,12.4122
1991-08-01,12.061
1991-08-02,12.178
1991-08-05,12.2365
1991-08-06,12.4122
1991-08-07,12.178
1991-08-08,12.2948
1991-08-09,11.9431
1991-08-12,11.6515
1991-08-13,12.002
1991-08-14,11.9431
1991-08-15,11.7681
1991-08-16,11.5922
1991-08-19,11.8268
1991-08-20,11.7097
1991-08-21,11.9431
1991-08-22,11.8852
1991-08-23,12.178
1991-08-26,12.1637
1991-08-27,12.4001
1991-08-28,12.5769
1991-08-29,12.518
1991-08-30,12.6361
1991-09-03,12.1637
1991-09-04,11.6321
1991-09-05,11.6321
1991-09-06,11.8687
1991-09-09,11.8687
1991-09-10,11.8093
1991-09-11,11.8687
1991-09-12,11.8093
1991-09-13,11.8687
1991-09-16,11.8093
1991-09-17,11.9866
1991-09-18,12.2226
1991-09-19,12.4001
1991-09-20,12.518
1991-09-23,12.2818
1991-09-24,12.2818
1991-09-25,12.1637
1991-09-26,12.5769
1991-09-27,12.4001
1991-09-30,12.7548
1991-10-01,12.6952
1991-10-02,12.4589
1991-10-03,12.2818
1991-10-04,12.1637
1991-10-07,11.9866
1991-10-08,11.9277
1991-10-09,11.9277
1991-10-10,11.7502
1991-10-11,11.6321
1991-10-14,11.9866
1991-10-15,12.0455
1991-10-16,11.9277
1991-10-17,12.2818
1991-10-18,12.0455
1991-10-21,12.1637
1991-10-22,12.2226
1991-10-23,12.2818
1991-10-24,12.1637
1991-10-25,11.8093
1991-10-28,11.8687
1991-10-29,11.8687
1991-10-30,11.8093
1991-10-31,11.8093
1991-11-01,11.7502
1991-11-04,11.6321
1991-11-05,11.455
1991-11-06,11.3372
1991-11-07,11.3372
1991-11-08,11.3372
1991-11-11,11.3372
1991-11-12,11.2778
1991-11-13,11.3372
1991-11-14,11.1008
1991-11-15,10.6286
1991-11-18,11.0423
1991-11-19,10.8648
1991-11-20,10.9238
1991-11-21,10.6286
1991-11-22,10.5545
1991-11-25,10.1374
1991-11-26,10.0181
1991-11-27,10.1374
1991-11-29,10.1968
1991-12-02,10.1374
1991-12-03,10.6144
1991-12-04,10.4949
1991-12-05,10.3756
1991-12-06,10.1374
1991-12-09,10.2565
1991-12-10,10.077
1991-12-11,10.0181
1991-12-12,9.8986
1991-12-13,10.4949
1991-12-16,10.4949
1991-12-17,10.7339
1991-12-18,10.972
1991-12-19,11.1507
1991-12-20,11.4494
1991-12-23,11.926
1991-12-24,12.1054
1991-12-26,12.1054
1991-12-27,12.5222
1991-12-30,12.9402
1991-12-31,13.1786
1992-01-02,13.4171
1992-01-03,13.2977
1992-01-06,13.4765
1992-01-07,13.4171
1992-01-08,13.8941
1992-01-09,13.9531
1992-01-10,14.192
1992-01-13,14.0135
1992-01-14,14.3106
1992-01-15,14.0135
1992-01-16,14.4904
1992-01-17,14.9668
1992-01-20,14.9074
1992-01-21,14.4904
1992-01-22,14.7287
1992-01-23,15.0861
1992-01-24,14.6693
1992-01-27,14.6693
1992-01-28,15.3248
1992-01-29,14.9668
1992-01-30,14.4904
1992-01-31,14.3106
1992-02-03,14.192
1992-02-04,14.192
1992-02-05,14.1329
1992-02-06,14.1329
1992-02-07,13.9531
1992-02-10,13.834
1992-02-11,13.8941
1992-02-12,13.9531
1992-02-13,14.3707
1992-02-14,14.3707
1992-02-18,14.6095
1992-02-19,14.6693
1992-02-20,16.6965
1992-02-21,17.0537
1992-02-24,16.1396
1992-02-25,15.66
1992-02-26,15.7801
1992-02-27,16.3201
1992-02-28,16.1998
1992-03-02,15.9598
1992-03-03,16.0796
1992-03-04,16.3201
1992-03-05,16.1998
1992-03-06,16.0796
1992-03-09,15.9598
1992-03-10,16.2602
1992-03-11,16.0796
1992-03-12,16.1396
1992-03-13,15.9598
1992-03-16,15.8401
1992-03-17,15.9002
1992-03-18,15.8401
1992-03-19,16.2602
1992-03-20,16.1396
1992-03-23,16.1998
1992-03-24,16.1998
1992-03-25,15.9598
1992-03-26,16.0796
1992-03-27,16.1396
1992-03-30,16.0796
1992-03-31,16.1998
1992-04-01,16.0796
1992-04-02,16.0796
1992-04-03,16.0796
1992-04-06,16.1396
1992-04-07,15.7202
1992-04-08,15.1801
1992-04-09,14.9999
1992-04-10,15.3596
1992-04-13,15.4798
1992-04-14,15.4798
1992-04-15,15.2999
1992-04-16,15.4798
1992-04-20,15.5398
1992-04-21,15.4798
1992-04-22,15.2999
1992-04-23,15.1801
1992-04-24,15.24
1992-04-27,15.1801
1992-04-28,14.8796
1992-04-29,15.4798
1992-04-30,16.0196
1992-05-01,16.1396
1992-05-04,16.4397
1992-05-05,16.0796
1992-05-06,16.1998
1992-05-07,15.9598
1992-05-08,15.5995
1992-05-11,15.7801
1992-05-12,16.1396
1992-05-13,16.1998
1992-05-14,15.8401
1992-05-15,16.1396
1992-05-18,16.2602
1992-05-19,16.38
1992-05-20,16.2602
1992-05-21,15.66
1992-05-22,15.5246
1992-05-26,15.3436
1992-05-27,15.4642
1992-05-28,15.5246
1992-05-29,15.8869
1992-06-01,16.0081
1992-06-02,16.3097
1992-06-03,16.0683
1992-06-04,16.431
1992-06-05,17.1551
1992-06-08,17.3973
1992-06-09,17.2159
1992-06-10,17.3371
1992-06-11,17.3973
1992-06-12,17.5183
1992-06-15,17.1551
1992-06-16,17.1551
1992-06-17,16.7929
1992-06-18,16.4909
1992-06-19,16.5513
1992-06-22,16.0683
1992-06-23,16.0081
1992-06-24,17.1551
1992-06-25,17.3973
1992-06-26,17.1551
1992-06-29,17.276
1992-06-30,17.2159
1992-07-01,17.3371
1992-07-02,17.0952
1992-07-06,17.0347
1992-07-07,16.6723
1992-07-08,16.4909
1992-07-09,16.431
1992-07-10,16.3702
1992-07-13,16.431
1992-07-14,16.4909
1992-07-15,16.431
1992-07-16,16.3702
1992-07-17,16.1287
1992-07-20,15.1018
1992-07-21,15.585
1992-07-22,15.5246
1992-07-23,15.5246
1992-07-24,15.2831
1992-07-27,15.0414
1992-07-28,15.2225
1992-07-29,15.8265
1992-07-30,16.1287
1992-07-31,16.189
1992-08-03,16.2495
1992-08-04,16.2495
1992-08-05,15.8869
1992-08-06,15.8265
1992-08-07,15.5246
1992-08-10,15.3436
1992-08-11,14.9809
1992-08-12,14.9809
1992-08-13,14.6187
1992-08-14,14.7395
