Date,Settle
1994-03-11,5.6654
1994-03-14,5.5976
1994-03-15,5.5976
1994-03-16,5.8011
1994-03-17,5.7333
1994-03-18,5.6993
1994-03-21,5.6654
1994-03-22,5.6315
1994-03-23,5.7672
1994-03-24,5.6993
1994-03-25,5.6993
1994-03-28,5.7333
1994-03-29,5.5976
1994-03-30,5.5636
1994-03-31,5.5976
1994-04-04,5.4619
1994-04-05,5.6315
1994-04-06,5.6654
1994-04-07,5.6315
1994-04-08,5.5636
1994-04-11,5.5297
1994-04-12,5.5636
1994-04-13,5.5297
1994-04-14,5.5297
1994-04-15,5.4619
1994-04-18,5.4619
1994-04-19,5.4958
1994-04-20,5.4958
1994-04-21,5.4958
1994-04-22,5.5636
1994-04-25,5.4958
1994-04-26,5.5636
1994-04-28,5.5976
1994-04-29,5.5636
1994-05-02,5.5976
1994-05-03,5.5636
1994-05-04,5.4958
1994-05-05,5.5297
1994-05-06,5.4619
1994-05-09,5.4958
1994-05-10,5.4958
1994-05-11,5.4958
1994-05-12,5.4958
1994-05-13,5.4958
1994-05-16,5.4958
1994-05-17,5.4619
1994-05-18,5.5297
1994-05-19,5.5636
1994-05-20,5.5636
1994-05-23,5.6993
1994-05-24,5.8011
1994-05-25,5.9029
1994-05-26,5.835
1994-05-27,5.8011
1994-05-31,5.835
1994-06-01,5.9029
1994-06-02,5.9029
1994-06-03,5.9029
1994-06-06,6.1404
1994-06-07,5.9368
1994-06-08,5.9368
1994-06-09,5.9707
1994-06-10,5.9707
1994-06-13,5.9707
1994-06-14,6.0047
1994-06-15,5.9707
1994-06-16,5.9368
1994-06-17,5.8011
1994-06-20,5.6993
1994-06-21,5.6993
1994-06-22,5.7672
1994-06-23,5.6315
1994-06-24,5.8011
1994-06-27,5.6315
1994-06-28,5.5976
1994-06-29,5.5636
1994-06-30,5.6857
1994-07-01,5.8937
1994-07-05,5.9977
1994-07-06,6.0324
1994-07-07,5.963
1994-07-08,5.9977
1994-07-11,6.0324
1994-07-12,5.8937
1994-07-13,5.9284
1994-07-14,5.9977
1994-07-15,5.9977
1994-07-18,5.963
1994-07-19,5.8937
1994-07-20,5.9977
1994-07-21,6.067
1994-07-22,5.859
1994-07-25,5.6857
1994-07-26,5.6857
1994-07-27,5.6857
1994-07-28,5.6857
1994-07-29,5.6857
1994-08-01,5.755
1994-08-02,5.963
1994-08-03,6.067
1994-08-04,5.963
1994-08-05,5.859
1994-08-08,5.8243
1994-08-09,5.8243
1994-08-10,5.859
1994-08-11,5.859
1994-08-12,5.8937
1994-08-15,5.8243
1994-08-16,5.7203
1994-08-17,5.6857
1994-08-18,5.6163
1994-08-19,5.7203
1994-08-22,5.6857
1994-08-23,5.6163
1994-08-24,5.547
1994-08-25,5.5123
1994-08-26,5.547
1994-08-29,5.5817
1994-08-30,5.651
1994-08-31,5.651
1994-09-01,5.755
1994-09-02,5.8243
1994-09-06,5.8243
1994-09-07,5.7897
1994-09-08,5.7897
1994-09-09,5.755
1994-09-12,5.755
1994-09-13,5.7897
1994-09-14,5.7203
1994-09-15,5.8937
1994-09-16,5.7897
1994-09-19,5.8937
1994-09-20,5.859
1994-09-21,5.8243
1994-09-22,5.7897
1994-09-23,5.6163
1994-09-26,5.651
1994-09-27,5.6857
1994-09-28,5.7203
1994-09-29,5.8937
1994-09-30,5.8937
1994-10-03,5.9304
1994-10-04,5.8951
1994-10-05,5.8598
1994-10-06,5.8245
1994-10-07,5.9304
1994-10-10,5.8598
1994-10-11,5.8951
1994-10-12,5.8951
1994-10-13,5.8598
1994-10-14,5.7186
1994-10-17,5.7539
1994-10-18,5.7539
1994-10-19,5.7539
1994-10-20,5.7186
1994-10-21,5.7186
1994-10-24,5.648
1994-10-25,5.7539
1994-10-26,5.7186
1994-10-27,5.6833
1994-10-28,5.6127
1994-10-31,5.5068
1994-11-01,5.4715
1994-11-02,5.295
1994-11-03,5.1538
1994-11-04,5.1891
1994-11-07,5.2597
1994-11-08,5.1891
1994-11-09,5.1891
1994-11-10,5.1891
1994-11-11,5.2244
1994-11-14,5.2244
1994-11-15,5.1891
1994-11-16,5.1891
1994-11-17,5.1891
1994-11-18,5.1538
1994-11-21,5.1538
1994-11-22,5.0832
1994-11-23,5.0832
1994-11-25,5.1185
1994-11-28,5.0832
1994-11-29,5.0126
1994-11-30,5.0832
1994-12-01,5.1185
1994-12-02,5.0832
1994-12-05,5.0832
1994-12-06,5.0126
1994-12-07,5.0479
1994-12-08,5.0832
1994-12-09,5.0126
1994-12-12,5.1185
1994-12-13,5.1538
1994-12-14,5.295
1994-12-15,5.3303
1994-12-16,5.648
1994-12-19,5.9304
1994-12-20,5.8598
1994-12-21,5.8598
1994-12-22,5.7893
1994-12-23,5.7893
1994-12-27,5.7534
1994-12-28,5.7893
1994-12-29,5.7893
1994-12-30,5.7893
1995-01-03,5.7534
1995-01-04,5.7893
1995-01-05,5.9331
