Date,Settle
1997-12-31,1.6168
1998-01-02,1.6067
1998-01-05,1.6002
1998-01-06,1.6347
1998-01-07,1.5839
1998-01-08,1.5475
1998-01-09,1.5014
1998-01-12,1.4866
1998-01-13,1.518
1998-01-14,1.5212
1998-01-15,1.4898
1998-01-16,1.5161
1998-01-20,1.5623
1998-01-21,1.559
1998-01-22,1.5641
1998-01-23,1.5293
1998-01-26,1.5049
1998-01-27,1.5246
1998-01-28,1.5359
1998-01-29,1.5722
1998-01-30,1.5804
1998-02-02,1.6347
1998-02-03,1.6234
1998-02-04,1.6215
1998-02-05,1.7335
1998-02-06,1.7532
1998-02-09,1.7814
1998-02-10,1.7748
1998-02-11,1.7599
1998-02-12,1.966
1998-02-13,1.984
1998-02-17,2.0072
1998-02-18,2.0342
1998-02-19,2.0233
1998-02-20,2.0755
1998-02-23,2.0539
1998-02-24,2.0575
1998-02-25,2.0449
1998-02-26,2.0396
1998-02-27,2.0199
1998-03-02,2.0038
1998-03-03,2.0305
1998-03-04,2.1363
1998-03-05,2.1113
1998-03-06,2.0933
1998-03-09,2.0916
1998-03-10,2.1274
1998-03-11,2.138
1998-03-12,2.1524
1998-03-13,2.1919
1998-03-16,2.1739
1998-03-17,2.1667
1998-03-18,2.1882
1998-03-19,2.1882
1998-03-20,2.2833
1998-03-23,2.269
1998-03-24,2.3066
1998-03-25,2.2906
1998-03-26,2.3084
1998-03-27,2.2439
1998-03-30,2.2636
1998-03-31,2.2366
1998-04-01,2.3084
1998-04-02,2.3336
1998-04-03,2.3623
1998-04-06,2.3837
1998-04-07,2.3442
1998-04-08,2.3227
1998-04-09,2.3353
1998-04-13,2.312
1998-04-14,2.3674
1998-04-15,2.4053
1998-04-16,2.3729
1998-04-17,2.337
1998-04-20,2.3084
1998-04-21,2.2726
1998-04-22,2.3586
1998-04-23,2.3694
1998-04-24,2.3513
1998-04-27,2.3316
1998-04-28,2.3084
1998-04-29,2.3299
1998-04-30,2.3568
1998-05-01,2.38
1998-05-04,2.4087
1998-05-05,2.389
1998-05-06,2.3694
1998-05-07,2.3012
1998-05-08,2.398
1998-05-11,2.4124
1998-05-12,2.4913
1998-05-13,2.4787
1998-05-14,2.6853
1998-05-15,2.6776
1998-05-18,2.6794
1998-05-19,2.5953
1998-05-20,2.5821
1998-05-21,2.5533
