Date,Settle
1990-01-02,7.0117
1990-01-03,7.0117
1990-01-04,7.0923
1990-01-05,6.8774
1990-01-08,6.8774
1990-01-09,6.7968
1990-01-10,6.77
1990-01-11,6.7968
1990-01-12,6.6088
1990-01-15,6.5013
1990-01-16,6.4744
1990-01-17,6.4476
1990-01-18,6.4476
1990-01-19,6.4207
1990-01-22,6.1521
1990-01-23,6.1252
1990-01-24,6.0446
1990-01-25,5.9909
1990-01-26,6.0446
1990-01-29,6.0715
1990-01-30,5.964
1990-01-31,6.2327
1990-02-01,6.1789
1990-02-02,6.2058
1990-02-05,6.2595
1990-02-06,6.1521
1990-02-07,6.2327
1990-02-08,6.3133
1990-02-09,6.3939
1990-02-12,6.2595
1990-02-13,6.2864
1990-02-14,6.2595
1990-02-15,6.2595
1990-02-16,6.3133
1990-02-20,6.1521
1990-02-21,6.2595
1990-02-22,6.2327
1990-02-23,6.2327
1990-02-26,5.9909
1990-02-27,5.8834
1990-02-28,5.8566
1990-03-01,5.9408
1990-03-02,5.9948
1990-03-05,5.9678
1990-03-06,5.9948
1990-03-07,5.9678
1990-03-08,6.0488
1990-03-09,5.9948
1990-03-12,5.9408
1990-03-13,5.9138
1990-03-14,5.9408
1990-03-15,5.8598
1990-03-16,5.8058
1990-03-19,5.7518
1990-03-20,5.9138
1990-03-21,5.8058
1990-03-22,5.7248
1990-03-23,5.7248
1990-03-26,5.8058
1990-03-27,5.8598
1990-03-28,5.8868
1990-03-29,5.9138
1990-03-30,5.9138
1990-04-02,5.9138
1990-04-03,5.9948
1990-04-04,5.8868
1990-04-05,6.0758
1990-04-06,5.9408
1990-04-09,5.8598
1990-04-10,5.8598
1990-04-11,5.8868
1990-04-12,5.8598
1990-04-16,5.8328
1990-04-17,5.8598
1990-04-18,5.8868
1990-04-19,5.9408
1990-04-20,5.8328
1990-04-23,5.6708
1990-04-24,5.6438
1990-04-25,5.5357
1990-04-26,5.5628
1990-04-27,5.4007
1990-04-30,5.5087
1990-05-01,5.4007
1990-05-02,5.3737
1990-05-03,5.4007
1990-05-04,5.4817
1990-05-07,5.5898
1990-05-08,5.6168
1990-05-09,5.7248
1990-05-10,5.8328
1990-05-11,5.9948
1990-05-14,6.0218
1990-05-15,5.9138
1990-05-16,5.8868
1990-05-17,5.8598
1990-05-18,5.9408
1990-05-21,5.9678
1990-05-22,6.0488
1990-05-23,6.2108
1990-05-24,6.1568
1990-05-25,5.6708
1990-05-29,5.6708
1990-05-30,5.3467
1990-05-31,5.1913
1990-06-01,5.2728
1990-06-04,5.3815
1990-06-05,5.3543
1990-06-06,5.3815
1990-06-07,5.3815
1990-06-08,5.3272
1990-06-11,5.3543
1990-06-12,5.3815
1990-06-13,5.3815
1990-06-14,5.3543
1990-06-15,5.3543
1990-06-18,5.2728
1990-06-19,5.3272
1990-06-20,5.3272
1990-06-21,5.2184
1990-06-22,5.1641
1990-06-25,5.1913
1990-06-26,5.1369
1990-06-27,5.1641
1990-06-28,5.1641
1990-06-29,5.0554
1990-07-02,4.9738
1990-07-03,4.9738
1990-07-05,4.9466
1990-07-06,4.9738
1990-07-09,4.9466
1990-07-10,4.8379
1990-07-11,4.8651
1990-07-12,5.0282
1990-07-13,5.1369
1990-07-16,5.2184
1990-07-17,5.2456
1990-07-18,5.1913
1990-07-19,5.2456
1990-07-20,5.3
1990-07-23,5.2184
1990-07-24,5.2184
1990-07-25,5.2184
1990-07-26,5.1913
1990-07-27,5.1913
1990-07-30,5.1913
1990-07-31,5.1913
1990-08-01,5.1641
1990-08-02,4.9195
1990-08-03,4.702
1990-08-06,4.539
1990-08-07,4.5118
1990-08-08,4.539
1990-08-09,4.5118
1990-08-10,4.4574
1990-08-13,4.4031
1990-08-14,4.3759
1990-08-15,4.4574
1990-08-16,4.4031
1990-08-17,4.3215
1990-08-20,4.3487
1990-08-21,4.24
1990-08-22,4.24
1990-08-23,4.1041
1990-08-24,3.9954
1990-08-27,4.1313
1990-08-28,4.0769
1990-08-29,4.2765
1990-08-30,4.2491
1990-08-31,4.2491
1990-09-04,4.2491
1990-09-05,4.2216
1990-09-06,4.1668
1990-09-07,4.1942
1990-09-10,4.1668
1990-09-11,4.2216
1990-09-12,4.3039
1990-09-13,4.2765
1990-09-14,4.1668
1990-09-17,4.0846
1990-09-18,4.0572
1990-09-19,4.0846
1990-09-20,3.9749
1990-09-21,3.9201
