Date,Settle
1990-01-02,5.0149
1990-01-03,5.0688
1990-01-04,5.0149
1990-01-05,4.961
1990-01-08,4.925
1990-01-09,4.8172
1990-01-10,4.7812
1990-01-11,4.8531
1990-01-12,4.7453
1990-01-15,4.7273
1990-01-16,4.6554
1990-01-17,4.5655
1990-01-18,4.5655
1990-01-19,4.5475
1990-01-22,4.3858
1990-01-23,4.4397
1990-01-24,4.4037
1990-01-25,4.2959
1990-01-26,4.2959
1990-01-29,4.3139
1990-01-30,4.26
1990-01-31,4.278
1990-02-01,4.3139
1990-02-02,4.3318
1990-02-05,4.3318
1990-02-06,4.206
1990-02-07,4.3139
1990-02-08,4.242
1990-02-09,4.206
1990-02-12,4.188
1990-02-13,4.206
1990-02-14,4.1701
1990-02-15,4.0982
1990-02-16,4.1701
1990-02-20,4.0622
1990-02-21,4.0263
1990-02-22,3.9724
1990-02-23,4.0263
1990-02-26,4.1342
1990-02-27,4.0442
1990-02-28,4.188
1990-03-01,4.1701
1990-03-02,4.224
1990-03-05,3.9544
1990-03-06,3.9184
1990-03-07,4.0083
1990-03-08,4.0083
1990-03-09,4.0263
1990-03-12,4.0263
1990-03-13,4.0083
1990-03-14,4.0622
1990-03-15,4.0263
1990-03-16,4.0802
1990-03-19,4.0263
1990-03-20,3.9724
1990-03-21,3.9903
1990-03-22,3.8286
1990-03-23,3.8645
1990-03-26,3.8645
1990-03-27,3.8286
1990-03-28,3.7926
1990-03-29,3.7567
1990-03-30,3.7027
1990-04-02,3.7722
1990-04-03,3.7904
1990-04-04,3.8447
1990-04-05,3.8629
1990-04-06,3.8629
1990-04-09,3.881
1990-04-10,3.9717
1990-04-11,4.0443
1990-04-12,4.0986
1990-04-16,4.1531
1990-04-17,4.2437
1990-04-18,4.1894
1990-04-19,4.008
1990-04-20,4.0805
1990-04-23,3.9535
1990-04-24,3.9173
1990-04-25,3.8992
1990-04-26,3.8629
1990-04-27,3.8266
1990-04-30,3.9355
1990-05-01,3.8629
1990-05-02,3.8992
1990-05-03,3.8447
1990-05-04,3.8992
1990-05-07,3.8992
1990-05-08,3.9717
1990-05-09,3.9898
1990-05-10,4.0261
1990-05-11,4.1712
1990-05-14,4.2437
1990-05-15,4.4432
1990-05-16,4.2437
1990-05-17,4.28
1990-05-18,4.2982
1990-05-21,4.3525
1990-05-22,4.2982
1990-05-23,4.3163
1990-05-24,4.3525
1990-05-25,4.2619
1990-05-29,4.2982
1990-05-30,4.2619
1990-05-31,4.2437
1990-06-01,4.3163
1990-06-04,4.5883
1990-06-05,4.5521
1990-06-06,4.5339
1990-06-07,4.5701
1990-06-08,4.4613
1990-06-11,4.4432
1990-06-12,4.407
1990-06-13,4.5521
1990-06-14,4.4976
1990-06-15,4.5158
1990-06-18,4.4432
1990-06-19,4.4613
1990-06-20,4.3707
1990-06-21,4.3888
1990-06-22,4.4251
