Date,Settle
1991-04-02,7.3438
1991-04-03,7.3125
1991-04-04,7.2188
1991-04-05,7.125
1991-04-08,7.125
1991-04-09,7.1875
1991-04-10,7.5
1991-04-11,8.0625
1991-04-12,8.1563
1991-04-15,8.0
1991-04-16,8.0938
1991-04-17,7.9375
1991-04-18,8.0
1991-04-19,8.0313
1991-04-22,7.5938
1991-04-23,7.8125
1991-04-24,8.0313
1991-04-25,8.0625
1991-04-26,8.0
1991-04-29,8.1875
1991-04-30,8.0625
1991-05-01,8.1875
1991-05-02,8.25
1991-05-03,8.25
1991-05-06,8.1563
1991-05-07,8.0313
1991-05-08,8.0
1991-05-09,8.0625
1991-05-10,7.9375
1991-05-13,7.7813
1991-05-14,7.5
1991-05-15,7.6563
1991-05-16,7.75
1991-05-17,7.4688
1991-05-20,7.6875
1991-05-21,7.75
1991-05-22,7.875
1991-05-23,7.7188
1991-05-24,7.8125
1991-05-28,7.75
1991-05-29,7.625
1991-05-30,7.5625
1991-05-31,7.5313
1991-06-03,7.6875
1991-06-04,7.8438
1991-06-05,8.1563
1991-06-06,8.1563
1991-06-07,8.1875
1991-06-10,8.3438
1991-06-11,8.4063
1991-06-12,8.0313
1991-06-13,7.9375
1991-06-14,8.375
1991-06-17,8.6563
1991-06-18,8.6563
1991-06-19,8.375
1991-06-20,8.25
1991-06-21,8.3125
1991-06-24,8.1563
1991-06-25,7.9688
1991-06-26,7.9688
1991-06-27,8.375
1991-06-28,8.4688
1991-07-01,9.0625
1991-07-02,9.2813
1991-07-03,9.2813
1991-07-05,9.625
1991-07-08,9.9063
1991-07-09,10.1875
1991-07-10,10.0625
1991-07-11,9.625
1991-07-12,9.625
1991-07-15,10.0
1991-07-16,9.9375
1991-07-17,9.9688
1991-07-18,10.0938
1991-07-19,10.0
1991-07-22,9.75
1991-07-23,9.75
1991-07-24,9.6563
1991-07-25,9.75
1991-07-26,9.7188
1991-07-29,9.7188
1991-07-30,9.75
1991-07-31,9.4375
1991-08-01,9.4375
1991-08-02,9.5625
1991-08-05,9.5625
1991-08-06,9.5625
1991-08-07,9.7188
1991-08-08,9.8125
1991-08-09,9.8125
1991-08-12,9.7813
1991-08-13,9.8438
1991-08-14,9.8438
1991-08-15,9.6563
1991-08-16,9.4688
1991-08-19,9.125
1991-08-20,9.2188
1991-08-21,9.5625
1991-08-22,9.9375
1991-08-23,10.0
1991-08-26,10.0
1991-08-27,9.9063
1991-08-28,10.2188
1991-08-29,10.125
1991-08-30,10.1875
1991-09-03,10.1875
1991-09-04,9.9375
1991-09-05,9.8438
1991-09-06,9.75
1991-09-09,9.7188
1991-09-10,9.7188
1991-09-11,10.0
1991-09-12,10.0313
1991-09-13,10.0
1991-09-16,10.25
1991-09-17,10.5313
1991-09-18,10.4688
1991-09-19,11.0
1991-09-20,11.5625
1991-09-23,11.8125
1991-09-24,11.625
1991-09-25,11.3125
1991-09-26,11.1875
1991-09-27,11.0938
1991-09-30,11.1563
1991-10-01,11.5
1991-10-02,11.625
1991-10-03,11.2188
1991-10-04,11.1563
