Date,Settle
1990-01-02,11.0445
1990-01-03,11.3139
1990-01-04,11.269
1990-01-05,11.1119
1990-01-08,11.2466
1990-01-09,11.1119
1990-01-10,11.1568
1990-01-11,10.9997
1990-01-12,10.7752
1990-01-15,10.6629
1990-01-16,10.7527
1990-01-17,10.82
1990-01-18,10.7752
1990-01-19,10.9323
1990-01-22,10.6405
1990-01-23,10.5956
1990-01-24,10.7078
1990-01-25,10.416
1990-01-26,10.3936
1990-01-29,10.3038
1990-01-30,10.4609
1990-01-31,10.6405
1990-02-01,10.9997
1990-02-02,11.1792
1990-02-05,11.3364
1990-02-06,11.4037
1990-02-07,11.4037
1990-02-08,11.2241
1990-02-09,11.2017
1990-02-12,11.2333
1990-02-13,11.2107
1990-02-14,11.4588
1990-02-15,11.4588
1990-02-16,11.346
1990-02-20,11.0979
1990-02-21,10.9175
1990-02-22,10.94
1990-02-23,10.8272
1990-02-26,11.0303
1990-02-27,11.1205
1990-02-28,11.5265
1990-03-01,11.7295
1990-03-02,11.707
1990-03-05,11.7295
1990-03-06,11.7746
1990-03-07,11.9325
1990-03-08,12.113
1990-03-09,12.2257
1990-03-12,12.0904
1990-03-13,12.0002
1990-03-14,12.1806
1990-03-15,12.1581
1990-03-16,12.5867
1990-03-19,12.9024
1990-03-20,12.722
1990-03-21,12.8348
1990-03-22,12.8573
1990-03-23,13.2183
1990-03-26,12.9927
1990-03-27,13.128
1990-03-28,13.1506
1990-03-29,13.0604
1990-03-30,12.9476
1990-04-02,12.8799
1990-04-03,13.2183
1990-04-04,12.9927
1990-04-05,13.1506
1990-04-06,13.1506
1990-04-09,13.0604
1990-04-10,13.0153
1990-04-11,13.0829
1990-04-12,13.1957
1990-04-16,13.2183
1990-04-17,13.1731
1990-04-18,12.9024
1990-04-19,12.8348
1990-04-20,12.722
1990-04-23,12.6318
1990-04-24,12.6092
1990-04-25,12.6092
1990-04-26,12.6318
1990-04-27,12.4062
1990-04-30,12.5867
1990-05-01,13.0378
1990-05-02,13.1731
1990-05-03,13.2634
1990-05-04,13.3536
1990-05-07,13.2408
1990-05-08,13.3085
1990-05-09,13.3085
1990-05-10,13.6017
1990-05-11,14.0754
1990-05-14,14.1434
1990-05-15,13.9621
1990-05-16,13.8714
1990-05-17,13.9847
1990-05-18,14.1207
1990-05-21,14.3474
1990-05-22,14.4381
1990-05-23,14.7101
1990-05-24,14.9821
1990-05-25,14.8234
1990-05-29,14.8461
1990-05-30,14.8687
1990-05-31,14.9367
1990-06-01,15.3674
1990-06-04,15.662
1990-06-05,15.458
1990-06-06,15.4127
1990-06-07,15.2087
1990-06-08,14.9594
1990-06-11,15.9113
1990-06-12,16.0133
1990-06-13,16.2513
1990-06-14,16.3533
1990-06-15,16.3533
1990-06-18,16.0473
1990-06-19,15.9453
1990-06-20,15.8093
1990-06-21,16.0473
1990-06-22,15.6053
1990-06-25,15.5713
1990-06-26,15.6733
1990-06-27,15.9793
1990-06-28,16.0473
