Date,Settle
1990-01-02,4.5598
1990-01-03,4.5965
1990-01-04,4.4987
1990-01-05,4.4009
1990-01-08,4.4254
1990-01-09,4.4254
1990-01-10,4.3398
1990-01-11,4.3031
1990-01-12,4.1809
1990-01-15,4.0586
1990-01-16,4.2053
1990-01-17,4.2298
1990-01-18,4.1686
1990-01-19,4.3276
1990-01-22,4.2542
1990-01-23,4.3398
1990-01-24,4.2909
1990-01-25,4.2787
1990-01-26,4.2053
1990-01-29,4.1564
1990-01-30,3.9975
1990-01-31,4.1075
1990-02-01,4.0464
1990-02-02,4.1931
1990-02-05,4.1075
1990-02-06,4.0586
1990-02-07,4.132
1990-02-08,4.0831
1990-02-09,4.1197
1990-02-12,4.1197
1990-02-13,4.1075
1990-02-14,4.1686
1990-02-15,4.2787
1990-02-16,4.3765
1990-02-20,4.3153
1990-02-21,4.2909
1990-02-22,4.3398
1990-02-23,4.3031
1990-02-26,4.3376
1990-02-27,4.4239
1990-02-28,4.3869
1990-03-01,4.3992
1990-03-02,4.5348
1990-03-05,4.5225
1990-03-06,4.4855
1990-03-07,4.4732
1990-03-08,4.3006
1990-03-09,4.0912
1990-03-12,4.0788
1990-03-13,4.0049
1990-03-14,3.9679
1990-03-15,3.9926
1990-03-16,3.9926
1990-03-19,3.9679
1990-03-20,3.931
1990-03-21,3.9186
1990-03-22,3.7954
1990-03-23,3.8201
1990-03-26,3.9063
1990-03-27,3.9186
1990-03-28,3.894
1990-03-29,3.857
1990-03-30,3.8201
1990-04-02,3.7708
1990-04-03,3.7954
1990-04-04,3.7215
1990-04-05,3.5613
1990-04-06,3.4873
1990-04-09,3.5613
1990-04-10,3.7092
1990-04-11,3.7215
1990-04-12,3.7092
1990-04-16,3.6475
1990-04-17,3.6845
1990-04-18,3.6845
1990-04-19,3.6722
1990-04-20,3.6599
1990-04-23,3.6475
1990-04-24,3.6475
1990-04-25,3.5982
1990-04-26,3.6352
1990-04-27,3.6722
1990-04-30,3.7461
1990-05-01,3.8324
1990-05-02,3.8693
1990-05-03,3.9433
1990-05-04,3.894
1990-05-07,3.9186
1990-05-08,3.8447
1990-05-09,3.8201
1990-05-10,3.8077
1990-05-11,3.8817
1990-05-14,3.894
1990-05-15,3.9063
1990-05-16,3.8817
1990-05-17,3.894
1990-05-18,3.8693
