Date,Settle
1990-01-02,2.3589
1990-01-03,2.4167
1990-01-04,2.3704
1990-01-05,2.3357
1990-01-08,2.3589
1990-01-09,2.3357
1990-01-10,2.301
1990-01-11,2.301
1990-01-12,2.2317
1990-01-15,2.2317
1990-01-16,2.2317
1990-01-17,2.2317
1990-01-18,2.2548
1990-01-19,2.2779
1990-01-22,2.2317
1990-01-23,2.197
1990-01-24,2.2317
1990-01-25,2.2548
1990-01-26,2.197
1990-01-29,2.1623
1990-01-30,2.1739
1990-01-31,2.197
1990-02-01,2.1623
1990-02-02,2.1854
1990-02-05,2.1623
1990-02-06,2.1507
1990-02-07,2.2201
1990-02-08,2.2664
1990-02-09,2.2779
1990-02-12,2.2432
1990-02-13,2.2432
1990-02-14,2.2548
1990-02-15,2.2895
1990-02-16,2.2664
1990-02-20,2.2085
1990-02-21,2.2085
1990-02-22,2.2201
1990-02-23,2.1854
1990-02-26,2.197
1990-02-27,2.2432
1990-02-28,2.301
1990-03-01,2.301
1990-03-02,2.2895
1990-03-05,2.2664
1990-03-06,2.2548
1990-03-07,2.2895
1990-03-08,2.3181
1990-03-09,2.3181
1990-03-12,2.2948
1990-03-13,2.2482
1990-03-14,2.2598
1990-03-15,2.2598
1990-03-16,2.2598
1990-03-19,2.2715
1990-03-20,2.2482
1990-03-21,2.2249
1990-03-22,2.2249
1990-03-23,2.2365
1990-03-26,2.2365
1990-03-27,2.2715
1990-03-28,2.2598
1990-03-29,2.2831
1990-03-30,2.2598
1990-04-02,2.2365
1990-04-03,2.2948
1990-04-04,2.2715
1990-04-05,2.1317
1990-04-06,2.0735
1990-04-09,2.1201
1990-04-10,2.1084
1990-04-11,2.1084
1990-04-12,2.0968
1990-04-16,2.0968
1990-04-17,2.0502
1990-04-18,2.0385
1990-04-19,2.0152
1990-04-20,1.9919
1990-04-23,1.9453
1990-04-24,1.957
1990-04-25,1.957
1990-04-26,1.9453
1990-04-27,1.922
1990-04-30,1.9337
1990-05-01,1.9453
1990-05-02,2.0036
1990-05-03,2.0036
1990-05-04,2.0036
1990-05-07,2.0618
1990-05-08,2.1317
1990-05-09,2.1434
1990-05-10,2.1317
1990-05-11,2.1434
1990-05-14,2.1666
1990-05-15,2.1317
1990-05-16,2.1084
1990-05-17,2.1434
1990-05-18,2.1434
1990-05-21,2.1666
1990-05-22,2.155
1990-05-23,2.155
1990-05-24,2.1201
1990-05-25,2.1317
1990-05-29,2.1434
1990-05-30,2.155
1990-05-31,2.1899
1990-06-01,2.1783
1990-06-04,2.2016
1990-06-05,2.1783
1990-06-06,2.1899
1990-06-07,2.207
1990-06-08,2.2188
1990-06-11,2.2657
1990-06-12,2.3362
1990-06-13,2.3362
1990-06-14,2.3127
1990-06-15,2.3596
1990-06-18,2.3127
1990-06-19,2.3009
1990-06-20,2.3479
1990-06-21,2.3596
1990-06-22,2.3479
1990-06-25,2.2892
1990-06-26,2.2657
1990-06-27,2.2892
1990-06-28,2.2892
1990-06-29,2.254
1990-07-02,2.254
1990-07-03,2.2657
1990-07-05,2.2657
1990-07-06,2.3244
1990-07-09,2.3127
1990-07-10,2.3244
1990-07-11,2.3479
1990-07-12,2.4066
1990-07-13,2.4418
1990-07-16,2.5005
1990-07-17,2.5592
1990-07-18,2.524
1990-07-19,2.5357
1990-07-20,2.5005
1990-07-23,2.4418
1990-07-24,2.4301
1990-07-25,2.4888
1990-07-26,2.4653
1990-07-27,2.4066
1990-07-30,2.3831
1990-07-31,2.4066
1990-08-01,2.4418
1990-08-02,2.4066
1990-08-03,2.3479
1990-08-06,2.207
1990-08-07,2.2775
1990-08-08,2.3244
1990-08-09,2.3362
1990-08-10,2.2892
1990-08-13,2.3244
1990-08-14,2.3127
1990-08-15,2.3244
1990-08-16,2.2775
1990-08-17,2.2188
1990-08-20,2.1835
1990-08-21,2.1131
1990-08-22,2.0779
1990-08-23,2.0544
1990-08-24,2.1601
1990-08-27,2.2305
1990-08-28,2.2188
1990-08-29,2.2188
1990-08-30,2.1835
1990-08-31,2.2188
1990-09-04,2.1953
1990-09-05,2.2305
1990-09-06,2.2241
1990-09-07,2.2477
1990-09-10,2.2714
1990-09-11,2.2477
1990-09-12,2.2477
1990-09-13,2.2477
1990-09-14,2.2359
1990-09-17,2.2477
1990-09-18,2.2122
1990-09-19,2.2477
1990-09-20,2.2241
1990-09-21,2.2477
1990-09-24,2.1649
1990-09-25,2.2359
1990-09-26,2.2241
1990-09-27,2.1886
1990-09-28,2.2832
1990-10-01,2.366
1990-10-02,2.3424
1990-10-03,2.3069
1990-10-04,2.4133
1990-10-05,2.4015
1990-10-08,2.4015
1990-10-09,2.3424
1990-10-10,2.3424
1990-10-11,2.2832
1990-10-12,2.3305
1990-10-15,2.4252
1990-10-16,2.4133
1990-10-17,2.4133
1990-10-18,2.508
1990-10-19,2.5435
1990-10-22,2.5553
1990-10-23,2.4961
1990-10-24,2.5198
1990-10-25,2.4607
1990-10-26,2.4252
1990-10-29,2.4133
1990-10-30,2.437
1990-10-31,2.4015
1990-11-01,2.4133
1990-11-02,2.4488
1990-11-05,2.5316
1990-11-06,2.4843
1990-11-07,2.4488
1990-11-08,2.4133
1990-11-09,2.4725
1990-11-12,2.4961
1990-11-13,2.5198
1990-11-14,2.508
1990-11-15,2.4725
1990-11-16,2.5198
1990-11-19,2.5553
1990-11-20,2.4725
1990-11-21,2.4725
1990-11-23,2.4607
1990-11-26,2.4843
1990-11-27,2.5553
1990-11-28,2.579
1990-11-29,2.6381
1990-11-30,2.6618
1990-12-03,2.6618
1990-12-04,2.6973
1990-12-05,2.7446
1990-12-06,2.7143
1990-12-07,2.6548
1990-12-10,2.7024
1990-12-11,2.7381
1990-12-12,2.7262
1990-12-13,2.7262
1990-12-14,2.6786
1990-12-17,2.6667
1990-12-18,2.6905
1990-12-19,2.7024
1990-12-20,2.6786
1990-12-21,2.6667
1990-12-24,2.6429
1990-12-26,2.6786
1990-12-27,2.6429
1990-12-28,2.6548
1990-12-31,2.6548
1991-01-02,2.6071
1991-01-03,2.5595
1991-01-04,2.5
1991-01-07,2.4405
1991-01-08,2.4524
1991-01-09,2.4881
1991-01-10,2.4881
1991-01-11,2.5357
1991-01-14,2.5238
1991-01-15,2.5595
1991-01-16,2.5714
1991-01-17,2.6429
1991-01-18,2.6667
1991-01-21,2.6429
1991-01-22,2.6667
