Date,Settle
1992-06-05,0.9264
1992-06-08,0.8991
1992-06-09,0.9128
1992-06-10,0.8719
1992-06-11,0.8651
1992-06-12,0.8855
1992-06-15,0.8719
1992-06-16,0.8583
1992-06-17,0.7765
1992-06-18,0.7629
1992-06-19,0.8038
1992-06-22,0.831
1992-06-23,0.8719
1992-06-24,0.831
1992-06-25,0.8583
1992-06-26,0.8583
1992-06-29,0.8991
1992-06-30,0.9264
1992-07-01,0.8991
1992-07-02,0.8787
1992-07-06,0.831
1992-07-07,0.8719
1992-07-08,0.831
1992-07-09,0.9128
1992-07-10,0.9128
1992-07-13,0.9128
1992-07-14,0.9536
1992-07-15,0.9264
1992-07-16,0.8991
1992-07-17,0.9128
1992-07-20,0.8991
1992-07-21,0.8855
1992-07-22,0.9128
1992-07-23,0.9264
1992-07-24,0.9673
1992-07-27,0.9468
1992-07-28,0.9536
1992-07-29,0.9536
1992-07-30,1.0081
1992-07-31,1.0626
1992-08-03,1.049
1992-08-04,1.049
1992-08-05,1.049
1992-08-06,1.0354
1992-08-07,1.049
1992-08-10,1.0558
1992-08-11,1.0762
1992-08-12,1.0967
1992-08-13,1.0762
1992-08-14,1.1035
1992-08-17,1.1035
1992-08-18,1.1307
1992-08-19,1.158
1992-08-20,1.1852
1992-08-21,1.158
1992-08-24,1.1171
1992-08-25,1.0899
1992-08-26,1.1307
1992-08-27,1.158
1992-08-28,1.158
1992-08-31,1.1307
1992-09-01,1.158
1992-09-02,1.2397
1992-09-03,1.2397
1992-09-04,1.2533
1992-09-08,1.2261
1992-09-09,1.2397
1992-09-10,1.267
1992-09-11,1.3078
1992-09-14,1.3215
1992-09-15,1.2806
1992-09-16,1.3078
1992-09-17,1.3487
1992-09-18,1.3351
1992-09-21,1.3215
1992-09-22,1.1988
1992-09-23,1.2806
1992-09-24,1.3215
1992-09-25,1.2533
1992-09-28,1.2806
1992-09-29,1.2738
1992-09-30,1.2806
1992-10-01,1.2942
1992-10-02,1.2533
1992-10-05,1.2125
1992-10-06,1.1988
1992-10-07,1.2057
1992-10-08,1.267
1992-10-09,1.3078
1992-10-12,1.267
1992-10-13,1.2533
1992-10-14,1.3078
1992-10-15,1.3078
1992-10-16,1.3078
1992-10-19,1.3623
1992-10-20,1.3623
1992-10-21,1.4032
1992-10-22,1.4032
1992-10-23,1.4441
1992-10-26,1.4304
1992-10-27,1.3896
1992-10-28,1.4032
1992-10-29,1.3896
1992-10-30,1.4032
1992-11-02,1.3896
1992-11-03,1.3691
1992-11-04,1.3896
1992-11-05,1.3828
1992-11-06,1.4577
1992-11-09,1.4577
1992-11-10,1.5258
1992-11-11,1.5394
1992-11-12,1.4986
1992-11-13,1.5667
1992-11-16,1.5531
1992-11-17,1.4986
1992-11-18,1.5394
1992-11-19,1.5394
1992-11-20,1.5667
1992-11-23,1.5939
1992-11-24,1.6212
1992-11-25,1.6893
1992-11-27,1.7438
1992-11-30,1.771
1992-12-01,1.7302
1992-12-02,1.6893
1992-12-03,1.7302
1992-12-04,1.7574
1992-12-07,1.8528
1992-12-08,1.9004
1992-12-09,1.9073
1992-12-10,1.8664
1992-12-11,1.8868
1992-12-14,1.9073
1992-12-15,1.8528
1992-12-16,1.7983
1992-12-17,1.8119
1992-12-18,1.9209
1992-12-21,1.9345
1992-12-22,1.8255
1992-12-23,1.7846
1992-12-24,1.8391
1992-12-28,1.88
1992-12-29,1.989
1992-12-30,2.0503
1992-12-31,2.0162
1993-01-04,2.0435
1993-01-05,1.9073
1993-01-06,1.8664
1993-01-07,1.8528
1993-01-08,1.7846
1993-01-11,1.7438
1993-01-12,1.8051
1993-01-13,1.8391
1993-01-14,1.8528
1993-01-15,1.7574
1993-01-18,1.6893
1993-01-19,1.7983
1993-01-20,1.7983
1993-01-21,1.7302
1993-01-22,1.7029
1993-01-25,1.771
1993-01-26,1.771
1993-01-27,1.7097
1993-01-28,1.7983
1993-01-29,1.7915
1993-02-01,1.8528
1993-02-02,1.8664
1993-02-03,1.8528
1993-02-04,1.8391
1993-02-05,1.8119
1993-02-08,1.8119
1993-02-09,1.7302
1993-02-10,1.7029
1993-02-11,1.7165
1993-02-12,1.6688
1993-02-16,1.5258
1993-02-17,1.6348
1993-02-18,1.5803
1993-02-19,1.5803
1993-02-22,1.5667
1993-02-23,1.5667
1993-02-24,1.6212
1993-02-25,1.662
1993-02-26,1.6484
1993-03-01,1.6075
1993-03-02,1.7438
1993-03-03,1.8119
1993-03-04,1.8255
1993-03-05,1.8255
1993-03-08,1.8936
1993-03-09,1.9754
1993-03-10,1.989
1993-03-11,2.0026
1993-03-12,1.9617
1993-03-15,1.88
1993-03-16,1.9004
1993-03-17,1.8936
1993-03-18,1.9209
1993-03-19,1.8664
1993-03-22,1.8528
1993-03-23,1.88
1993-03-24,1.7983
1993-03-25,1.8255
1993-03-26,1.8391
1993-03-29,1.88
1993-03-30,1.989
1993-03-31,2.0299
1993-04-01,1.989
1993-04-02,1.9754
1993-04-05,1.989
1993-04-06,2.0299
1993-04-07,1.9958
1993-04-08,1.9958
1993-04-12,2.0162
1993-04-13,2.0571
1993-04-14,2.0299
1993-04-15,1.989
1993-04-16,1.8255
1993-04-19,1.8119
1993-04-20,1.771
1993-04-21,1.8119
1993-04-22,1.7983
1993-04-23,1.7983
1993-04-26,1.771
1993-04-27,1.7983
1993-04-28,1.8119
1993-04-29,1.8664
1993-04-30,1.8391
1993-05-03,1.8528
1993-05-04,1.8596
1993-05-05,1.88
1993-05-06,1.9209
1993-05-07,1.9004
1993-05-10,1.9209
1993-05-11,1.9617
1993-05-12,2.0707
1993-05-13,2.0299
1993-05-14,2.0162
1993-05-17,2.0299
1993-05-18,2.0299
1993-05-19,2.0162
1993-05-20,2.0299
1993-05-21,2.0299
1993-05-24,2.0162
1993-05-25,2.207
1993-05-26,2.2751
1993-05-27,2.2342
1993-05-28,2.2478
1993-06-01,2.241
1993-06-02,2.2478
1993-06-03,2.2751
1993-06-04,2.2478
1993-06-07,2.2206
1993-06-08,2.1525
1993-06-09,2.2887
1993-06-10,2.3841
1993-06-11,2.3568
1993-06-14,2.3296
1993-06-15,2.3432
1993-06-16,2.3432
1993-06-17,2.2887
1993-06-18,2.2751
1993-06-21,2.2615
1993-06-22,2.1729
1993-06-23,2.0571
1993-06-24,2.1525
1993-06-25,2.2342
1993-06-28,2.3296
1993-06-29,2.3432
1993-06-30,2.2887
1993-07-01,2.2751
1993-07-02,2.2887
1993-07-06,2.4113
1993-07-07,2.4386
1993-07-08,2.5339
1993-07-09,2.5612
1993-07-12,2.6974
1993-07-13,2.5748
1993-07-14,2.6702
1993-07-15,2.5339
1993-07-16,2.5067
1993-07-19,2.4113
1993-07-20,2.4113
1993-07-21,2.316
1993-07-22,2.5339
1993-07-23,2.4522
1993-07-26,2.3432
1993-07-27,2.2887
1993-07-28,2.3977
1993-07-29,2.5884
1993-07-30,2.5475
1993-08-02,2.4794
1993-08-03,2.4931
1993-08-04,2.5339
1993-08-05,2.4113
1993-08-06,2.4522
1993-08-09,2.4794
1993-08-10,2.4794
1993-08-11,2.5339
1993-08-12,2.5067
1993-08-13,2.4386
1993-08-16,2.4794
1993-08-17,2.4794
1993-08-18,2.5067
1993-08-19,2.5067
1993-08-20,2.5475
1993-08-23,2.6702
1993-08-24,2.8336
1993-08-25,2.8609
1993-08-26,2.8336
1993-08-27,2.7519
1993-08-30,2.9971
1993-08-31,3.0244
1993-09-01,3.0652
1993-09-02,3.0789
1993-09-03,3.1197
1993-09-07,3.0516
1993-09-08,2.9426
1993-09-09,3.1606
1993-09-10,3.1606
1993-09-13,2.9699
1993-09-14,2.8609
1993-09-15,2.9971
1993-09-16,3.0516
1993-09-17,3.0516
1993-09-20,3.1061
1993-09-21,2.9971
1993-09-22,3.3513
1993-09-23,3.5693
1993-09-24,3.4876
1993-09-27,3.4331
1993-09-28,3.5693
1993-09-29,3.5693
1993-09-30,3.542
1993-10-01,3.542
1993-10-04,3.542
1993-10-05,3.542
1993-10-06,3.5148
1993-10-07,3.5148
1993-10-08,3.542
1993-10-11,3.5284
1993-10-12,3.7873
1993-10-13,3.7328
1993-10-14,3.5965
1993-10-15,3.5693
1993-10-18,3.2968
1993-10-19,3.256
1993-10-20,3.2696
1993-10-21,3.2423
1993-10-22,3.2151
1993-10-25,3.3786
1993-10-26,3.3104
1993-10-27,3.3786
1993-10-28,3.6374
1993-10-29,3.5693
1993-11-01,3.5148
1993-11-02,3.4876
1993-11-03,3.4058
1993-11-04,3.2968
1993-11-05,3.256
1993-11-08,3.3241
1993-11-09,3.1606
1993-11-10,3.2968
1993-11-11,3.3922
1993-11-12,3.4058
1993-11-15,3.4194
1993-11-16,3.2696
1993-11-17,3.0789
1993-11-18,3.0789
1993-11-19,3.1061
1993-11-22,2.9154
1993-11-23,3.2151
1993-11-24,3.2968
1993-11-26,3.3377
1993-11-29,3.4194
1993-11-30,3.542
1993-12-01,3.76
1993-12-02,3.651
1993-12-03,3.4876
1993-12-06,3.6238
1993-12-07,3.5693
1993-12-08,3.5693
1993-12-09,3.5148
1993-12-10,3.4058
1993-12-13,3.3241
1993-12-14,3.5012
1993-12-15,3.4331
1993-12-16,3.542
1993-12-17,3.7055
1993-12-20,3.8009
1993-12-21,3.7055
1993-12-22,3.6647
1993-12-23,3.6238
1993-12-27,3.651
1993-12-28,3.5965
1993-12-29,3.651
1993-12-30,3.6783
1993-12-31,3.76
1994-01-03,3.7055
1994-01-04,3.5965
1994-01-05,3.6102
1994-01-06,3.5965
1994-01-07,3.542
1994-01-10,3.4331
1994-01-11,3.256
1994-01-12,3.2968
1994-01-13,3.2968
1994-01-14,3.3241
1994-01-17,3.2968
1994-01-18,3.3241
1994-01-19,3.4331
1994-01-20,3.5148
1994-01-21,3.4603
1994-01-24,3.3786
1994-01-25,3.3241
1994-01-26,3.3241
1994-01-27,3.2287
1994-01-28,3.3241
1994-01-31,3.2968
1994-02-01,3.2151
1994-02-02,3.2151
1994-02-03,3.1606
1994-02-04,2.9971
1994-02-07,3.0516
1994-02-08,2.9971
1994-02-09,3.0516
1994-02-10,3.1878
1994-02-11,3.2423
1994-02-14,3.1878
1994-02-15,3.2423
1994-02-16,3.2696
1994-02-17,3.2423
1994-02-18,3.0789
1994-02-22,3.1333
1994-02-23,2.9971
1994-02-24,2.9699
1994-02-25,2.9699
1994-02-28,2.9699
1994-03-01,2.9154
1994-03-02,2.9018
1994-03-03,3.1606
1994-03-04,3.1878
1994-03-07,3.1333
1994-03-08,3.0244
1994-03-09,2.9154
1994-03-10,2.8881
1994-03-11,2.9018
1994-03-14,2.9426
1994-03-15,2.9971
1994-03-16,3.0925
1994-03-17,3.2151
1994-03-18,3.2696
1994-03-21,3.2696
1994-03-22,3.3377
1994-03-23,3.3786
1994-03-24,3.2423
1994-03-25,3.1333
1994-03-28,3.0789
1994-03-29,2.9699
1994-03-30,2.8609
1994-03-31,3.1606
1994-04-04,2.9971
1994-04-05,3.1061
1994-04-06,3.1742
1994-04-07,3.3786
1994-04-08,3.3786
1994-04-11,3.3513
1994-04-12,3.2696
1994-04-13,3.1061
1994-04-14,3.0652
1994-04-15,2.9971
1994-04-18,2.8064
1994-04-19,2.8336
