Date,Settle
1990-01-02,7.9698
1990-01-03,7.9011
1990-01-04,7.9011
1990-01-05,7.9011
1990-01-08,7.8324
1990-01-09,7.695
1990-01-10,7.695
1990-01-11,7.695
1990-01-12,7.4889
1990-01-15,7.6263
1990-01-16,7.695
1990-01-17,7.5576
1990-01-18,7.5576
1990-01-19,7.5493
1990-01-22,7.2722
1990-01-23,7.203
1990-01-24,7.1337
1990-01-25,6.9952
1990-01-26,6.9259
1990-01-29,6.9952
1990-01-30,6.7182
1990-01-31,6.9259
1990-02-01,6.9259
1990-02-02,7.1337
1990-02-05,6.9952
1990-02-06,6.9952
1990-02-07,7.0645
1990-02-08,7.0645
1990-02-09,7.1337
1990-02-12,7.1337
1990-02-13,7.1337
1990-02-14,7.203
1990-02-15,7.1337
1990-02-16,7.0645
1990-02-20,7.0645
1990-02-21,7.2722
1990-02-22,7.1337
1990-02-23,7.1337
1990-02-26,7.4108
1990-02-27,7.48
1990-02-28,7.4108
1990-03-01,7.48
1990-03-02,7.6878
1990-03-05,8.0341
1990-03-06,7.9648
1990-03-07,7.757
1990-03-08,7.8956
1990-03-09,7.8263
1990-03-12,7.8956
1990-03-13,7.6878
1990-03-14,7.9648
1990-03-15,8.1033
1990-03-16,8.1033
1990-03-19,8.1033
1990-03-20,8.1726
1990-03-21,8.3111
1990-03-22,8.0341
1990-03-23,7.9648
1990-03-26,8.1033
1990-03-27,8.0341
1990-03-28,8.4496
1990-03-29,8.7959
1990-03-30,8.4496
1990-04-02,8.4496
1990-04-03,8.4496
1990-04-04,8.3804
1990-04-05,8.5189
1990-04-06,8.4496
1990-04-09,8.5189
1990-04-10,8.7959
1990-04-11,8.6574
1990-04-12,8.8652
1990-04-16,8.7267
1990-04-17,8.7267
1990-04-18,8.4496
1990-04-19,8.4413
1990-04-20,8.4413
1990-04-23,8.0925
1990-04-24,8.0925
1990-04-25,8.3017
1990-04-26,8.3715
1990-04-27,8.3715
1990-04-30,8.232
1990-05-01,8.1622
1990-05-02,8.0925
1990-05-03,8.0925
1990-05-04,8.232
1990-05-07,8.0925
1990-05-08,8.1622
1990-05-09,8.232
1990-05-10,8.1622
1990-05-11,8.4413
1990-05-14,8.3715
1990-05-15,8.3017
1990-05-16,8.3715
1990-05-17,7.5344
1990-05-18,7.3948
1990-05-21,7.7436
1990-05-22,7.8134
1990-05-23,7.7436
1990-05-24,7.7436
1990-05-25,7.7436
1990-05-29,7.6041
1990-05-30,7.8134
1990-05-31,7.7436
1990-06-01,7.7436
1990-06-04,7.8134
1990-06-05,7.8832
1990-06-06,7.8134
1990-06-07,7.8832
1990-06-08,7.8134
1990-06-11,7.8832
1990-06-12,7.9529
1990-06-13,7.7436
1990-06-14,7.6041
1990-06-15,7.5344
1990-06-18,7.6041
1990-06-19,7.6739
1990-06-20,7.6041
1990-06-21,7.7436
1990-06-22,7.2553
1990-06-25,7.2553
1990-06-26,7.2553
1990-06-27,7.1855
1990-06-28,6.9763
1990-06-29,7.1158
1990-07-02,6.9763
1990-07-03,7.046
1990-07-05,6.9065
1990-07-06,7.1855
1990-07-09,7.1158
