Date,Settle
1997-12-31,5.1336
1998-01-02,5.0221
1998-01-05,4.9598
1998-01-06,4.8171
1998-01-07,4.8171
1998-01-08,4.827
1998-01-09,4.7138
1998-01-12,4.704
1998-01-13,4.8171
1998-01-14,4.827
1998-01-15,4.786
1998-01-16,4.9286
1998-01-20,5.0516
1998-01-21,5.0221
1998-01-22,4.9952
1998-01-23,5.0372
1998-01-26,5.0372
1998-01-27,5.0472
1998-01-28,5.101
1998-01-29,5.195
1998-01-30,5.2051
1998-02-02,5.3831
1998-02-03,5.3528
1998-02-04,5.3528
1998-02-05,5.3831
1998-02-06,5.3948
1998-02-09,5.3528
1998-02-10,5.4888
1998-02-11,5.8566
1998-02-12,5.7726
1998-02-13,5.8666
1998-02-17,5.9607
1998-02-18,6.3065
1998-02-19,5.9607
1998-02-20,5.8985
1998-02-23,5.9086
1998-02-24,5.8985
1998-02-25,5.8566
1998-02-26,5.8767
1998-02-27,5.8566
1998-03-02,5.7726
1998-03-03,5.8146
1998-03-04,5.8448
1998-03-05,5.7407
1998-03-06,5.9086
1998-03-09,5.7827
1998-03-10,6.0664
1998-03-11,6.0547
1998-03-12,6.0664
1998-03-13,6.0127
1998-03-16,6.0446
1998-03-17,6.0547
1998-03-18,6.0765
1998-03-19,6.1286
1998-03-20,6.1705
1998-03-23,6.0866
1998-03-24,6.2024
1998-03-25,6.2125
1998-03-26,6.2125
1998-03-27,6.2125
1998-03-30,6.1705
1998-03-31,6.1705
1998-04-01,6.2763
1998-04-02,6.2226
1998-04-03,6.2343
1998-04-06,6.3603
1998-04-07,6.2226
1998-04-08,6.2763
1998-04-09,6.2864
1998-04-13,6.1705
1998-04-14,6.0866
1998-04-15,6.0026
1998-04-16,5.9926
1998-04-17,6.0664
1998-04-20,5.9825
1998-04-21,5.8028
1998-04-22,6.0127
1998-04-23,6.1584
1998-04-24,6.1686
1998-04-27,6.083
1998-04-28,6.0504
1998-04-29,6.0932
1998-04-30,6.1361
1998-05-01,6.0624
1998-05-04,6.1258
1998-05-05,6.0196
1998-05-06,5.987
1998-05-07,5.8259
1998-05-08,5.9013
1998-05-11,5.9116
