Date,Settle
1990-01-02,4.5955
1990-01-03,4.5496
1990-01-04,4.5129
1990-01-05,4.5038
1990-01-08,4.5313
1990-01-09,4.5038
1990-01-10,4.4395
1990-01-11,4.4946
1990-01-12,4.4212
1990-01-15,4.357
1990-01-16,4.3387
1990-01-17,4.3845
1990-01-18,4.3294
1990-01-19,4.3387
1990-01-22,4.3111
1990-01-23,4.3019
1990-01-24,4.2469
1990-01-25,4.2194
1990-01-26,4.1277
1990-01-29,4.1368
1990-01-30,4.1185
1990-01-31,4.201
1990-02-01,4.2102
1990-02-02,4.2927
1990-02-05,4.2561
1990-02-06,4.2469
1990-02-07,4.3111
1990-02-08,4.3478
1990-02-09,4.3753
1990-02-12,4.3478
1990-02-13,4.4304
1990-02-14,4.4579
1990-02-15,4.4487
1990-02-16,4.3937
1990-02-20,4.3662
1990-02-21,4.3753
1990-02-22,4.3662
1990-02-23,4.3387
1990-02-26,4.3387
1990-02-27,4.357
1990-02-28,4.3662
1990-03-01,4.3111
1990-03-02,4.3478
1990-03-05,4.3308
1990-03-06,4.377
1990-03-07,4.4046
1990-03-08,4.5151
1990-03-09,4.4415
1990-03-12,4.4783
1990-03-13,4.4322
1990-03-14,4.4046
1990-03-15,4.4691
1990-03-16,4.4138
1990-03-19,4.4875
1990-03-20,4.5059
1990-03-21,4.5151
1990-03-22,4.3861
1990-03-23,4.423
1990-03-26,4.4138
1990-03-27,4.423
1990-03-28,4.4046
1990-03-29,4.4322
1990-03-30,4.4598
1990-04-02,4.4138
1990-04-03,4.4506
1990-04-04,4.377
1990-04-05,4.423
1990-04-06,4.4138
1990-04-09,4.3953
1990-04-10,4.3861
1990-04-11,4.3861
1990-04-12,4.4138
1990-04-16,4.4783
1990-04-17,4.4875
1990-04-18,4.4691
1990-04-19,4.4415
1990-04-20,4.4046
1990-04-23,4.3585
1990-04-24,4.3677
1990-04-25,4.3953
1990-04-26,4.3861
1990-04-27,4.294
1990-04-30,4.3677
1990-05-01,4.423
1990-05-02,4.4598
1990-05-03,4.4415
1990-05-04,4.4506
1990-05-07,4.552
1990-05-08,4.6349
1990-05-09,4.6902
1990-05-10,4.7179
1990-05-11,4.7363
1990-05-14,4.7363
1990-05-15,4.7916
1990-05-16,4.7271
1990-05-17,4.7086
1990-05-18,4.6441
1990-05-21,4.6441
1990-05-22,4.7731
1990-05-23,4.7824
1990-05-24,4.939
1990-05-25,4.9022
1990-05-29,4.939
1990-05-30,4.9851
1990-05-31,4.9574
1990-06-01,5.0312
1990-06-04,5.0697
1990-06-05,5.1066
1990-06-06,5.0697
1990-06-07,5.1714
1990-06-08,5.1251
1990-06-11,5.1899
1990-06-12,5.2732
1990-06-13,5.3102
1990-06-14,5.3564
1990-06-15,5.3194
1990-06-18,5.2269
1990-06-19,5.1622
1990-06-20,5.1714
1990-06-21,5.1992
1990-06-22,5.1437
1990-06-25,5.1066
1990-06-26,5.1159
1990-06-27,5.1899
1990-06-28,5.2454
1990-06-29,5.1899
1990-07-02,5.2361
1990-07-03,5.301
1990-07-05,5.2546
1990-07-06,5.2917
1990-07-09,5.301
1990-07-10,5.2824
1990-07-11,5.3657
1990-07-12,5.3934
1990-07-13,5.4027
1990-07-16,5.4582
1990-07-17,5.4582
1990-07-18,5.412
1990-07-19,5.4767
1990-07-20,5.4397
1990-07-23,5.2454
1990-07-24,5.1807
1990-07-25,5.1992
1990-07-26,5.2917
1990-07-27,5.2732
1990-07-30,5.2361
1990-07-31,5.2546
1990-08-01,5.2732
1990-08-02,5.2454
1990-08-03,5.0789
1990-08-06,4.8568
1990-08-07,4.9771
1990-08-08,5.0697
1990-08-09,5.0419
1990-08-10,4.9217
1990-08-13,4.8754
1990-08-14,4.8846
1990-08-15,4.9679
1990-08-16,4.8846
1990-08-17,4.8199
1990-08-20,4.8106
1990-08-21,4.7181
1990-08-22,4.6626
1990-08-23,4.5608
1990-08-24,4.6071
1990-08-27,4.7366
1990-08-28,4.7921
1990-08-29,4.8568
1990-08-30,4.8661
1990-08-31,4.8862
1990-09-04,4.8862
1990-09-05,4.914
1990-09-06,4.8583
1990-09-07,4.8769
1990-09-10,4.8304
1990-09-11,4.8118
1990-09-12,4.784
1990-09-13,4.7468
1990-09-14,4.654
1990-09-17,4.7004
1990-09-18,4.7747
1990-09-19,4.7933
1990-09-20,4.7376
1990-09-21,4.7654
1990-09-24,4.8398
1990-09-25,4.8304
1990-09-26,4.9605
1990-09-27,4.8304
1990-09-28,4.8862
1990-10-01,4.9791
1990-10-02,5.0534
1990-10-03,5.007
1990-10-04,5.0441
1990-10-05,5.072
1990-10-08,5.1834
1990-10-09,5.1463
1990-10-10,5.0348
1990-10-11,4.9048
1990-10-12,4.9234
1990-10-15,4.942
1990-10-16,4.9698
1990-10-17,4.914
1990-10-18,5.007
1990-10-19,5.1834
1990-10-22,5.3692
1990-10-23,5.2577
1990-10-24,5.2392
1990-10-25,5.2392
1990-10-26,5.1927
1990-10-29,5.1091
1990-10-30,5.0348
1990-10-31,4.9976
1990-11-01,4.9884
1990-11-02,5.1556
1990-11-05,5.2763
1990-11-06,5.2577
1990-11-07,5.2206
1990-11-08,5.2113
1990-11-09,5.3321
1990-11-12,5.3692
1990-11-13,5.3692
1990-11-14,5.3692
1990-11-15,5.3413
1990-11-16,5.3413
