Date,Settle
2020-02-06,18.75
2020-02-07,20.62
2020-02-10,22.1
2020-02-11,24.1
2020-02-12,27.6
2020-02-13,29.2
2020-02-14,27.9
2020-02-18,27.8
2020-02-19,28.18
2020-02-20,26.91
2020-02-21,26.09
2020-02-24,24.2
2020-02-25,22.63
2020-02-26,24.45
2020-02-27,22.93
2020-02-28,22.49
2020-03-02,23.02
2020-03-03,23.51
2020-03-04,24.41
2020-03-05,23.81
2020-03-06,23.55
2020-03-09,22.6
2020-03-10,22.5
2020-03-11,21.25
2020-03-12,18.3
2020-03-13,17.38
2020-03-16,13.31
2020-03-17,15.01
2020-03-18,15.21
2020-03-19,16.86
2020-03-20,19.4
2020-03-23,18.01
2020-03-24,19.16
2020-03-25,19.6
2020-03-26,19.0
2020-03-27,18.05
2020-03-30,18.0
2020-03-31,18.0
2020-04-01,16.12
2020-04-02,15.26
2020-04-03,16.11
2020-04-06,16.65
2020-04-07,15.81
2020-04-08,16.7
2020-04-09,16.62
2020-04-13,16.1
2020-04-14,17.07
2020-04-15,15.9
2020-04-16,16.17
2020-04-17,15.98
2020-04-20,16.56
2020-04-21,16.1
2020-04-22,16.66
2020-04-23,17.74
2020-04-24,18.15
2020-04-27,16.53
2020-04-28,16.3
2020-04-29,16.89
2020-04-30,15.95
2020-05-01,15.38
2020-05-04,15.76
2020-05-05,16.49
2020-05-06,16.08
2020-05-07,16.84
2020-05-08,16.89
2020-05-11,20.71
2020-05-12,19.95
2020-05-13,21.4
2020-05-14,19.51
2020-05-15,21.41
2020-05-18,21.49
2020-05-19,23.51
2020-05-20,25.58
2020-05-21,26.55
2020-05-22,25.62
2020-05-26,24.32
2020-05-27,24.59
2020-05-28,25.02
2020-05-29,25.55
2020-06-01,26.18
2020-06-02,28.05
2020-06-03,28.13
2020-06-04,27.28
2020-06-05,25.73
2020-06-08,27.76
2020-06-09,27.78
2020-06-10,26.74
2020-06-11,25.5
2020-06-12,24.94
2020-06-15,26.85
2020-06-16,27.0
2020-06-17,25.65
2020-06-18,26.6
2020-06-19,27.3
2020-06-22,28.66
2020-06-23,26.36
2020-06-24,26.21
2020-06-25,26.51
2020-06-26,24.95
2020-06-29,27.46
2020-06-30,28.0
2020-07-01,28.51
2020-07-02,28.87
2020-07-06,29.42
2020-07-07,28.61
2020-07-08,29.01
2020-07-09,30.57
2020-07-10,26.73
2020-07-13,25.03
2020-07-14,25.09
2020-07-15,24.42
2020-07-16,23.74
2020-07-17,23.66
2020-07-20,23.2
2020-07-21,22.41
2020-07-22,22.52
2020-07-23,21.91
2020-07-24,21.16
2020-07-27,21.51
2020-07-28,20.82
2020-07-29,20.56
2020-07-30,20.37
2020-07-31,19.34
2020-08-03,19.005
2020-08-04,19.41
2020-08-05,21.28
2020-08-06,24.52
2020-08-07,23.47
2020-08-10,24.1
2020-08-11,23.62
2020-08-12,22.28
2020-08-13,22.42
2020-08-14,22.48
2020-08-17,22.8
2020-08-18,25.63
2020-08-19,25.16
2020-08-20,25.34
2020-08-21,26.03
2020-08-24,25.66
2020-08-25,25.84
2020-08-26,25.16
2020-08-27,24.62
2020-08-28,24.94
2020-08-31,25.11
2020-09-01,26.12
2020-09-02,26.2
2020-09-03,23.93
2020-09-04,21.83
2020-09-08,22.47
2020-09-09,25.16
2020-09-10,25.73
2020-09-11,25.65
2020-09-14,27.26
2020-09-15,27.87
2020-09-16,28.78
2020-09-17,28.39
2020-09-18,29.45
2020-09-21,29.57
2020-09-22,27.8
2020-09-23,26.09
2020-09-24,26.09
2020-09-25,26.76
2020-09-28,26.88
2020-09-29,24.72
2020-09-30,24.62
2020-10-01,24.44
2020-10-02,22.24
2020-10-05,23.85
2020-10-06,27.39
2020-10-07,28.67
2020-10-08,28.5
2020-10-09,29.41
2020-10-12,28.5
2020-10-13,28.89
2020-10-14,28.33
