Date,Settle
1990-01-02,0.8218
1990-01-03,0.8454
1990-01-04,0.8643
1990-01-05,0.8879
1990-01-08,0.8903
1990-01-09,0.8926
1990-01-10,0.8879
1990-01-11,0.9021
1990-01-12,0.8784
1990-01-15,0.8643
1990-01-16,0.8607
1990-01-17,0.8607
1990-01-18,0.8572
1990-01-19,0.8607
1990-01-22,0.8501
1990-01-23,0.843
1990-01-24,0.8182
1990-01-25,0.8218
1990-01-26,0.8147
1990-01-29,0.7934
1990-01-30,0.7651
1990-01-31,0.7828
1990-02-01,0.7828
1990-02-02,0.7828
1990-02-05,0.7864
1990-02-06,0.7899
1990-02-07,0.8041
1990-02-08,0.8005
1990-02-09,0.8395
1990-02-12,0.8324
1990-02-13,0.8253
1990-02-14,0.8395
1990-02-15,0.8324
1990-02-16,0.8147
1990-02-20,0.7261
1990-02-21,0.7332
1990-02-22,0.758
1990-02-23,0.7509
1990-02-26,0.7403
1990-02-27,0.7438
1990-02-28,0.7545
1990-03-01,0.758
1990-03-02,0.8147
1990-03-05,0.8111
1990-03-06,0.8395
1990-03-07,0.8572
1990-03-08,0.8643
1990-03-09,0.8537
1990-03-12,0.8678
1990-03-13,0.8855
1990-03-14,0.9032
1990-03-15,0.9068
1990-03-16,0.9174
1990-03-19,0.9245
1990-03-20,0.921
1990-03-21,0.9351
1990-03-22,0.9174
1990-03-23,0.9139
1990-03-26,0.9167
1990-03-27,0.9309
1990-03-28,0.9309
1990-03-29,0.9345
1990-03-30,0.9274
1990-04-02,0.9274
1990-04-03,0.9771
1990-04-04,0.9736
1990-04-05,0.9949
1990-04-06,0.9771
1990-04-09,0.9665
1990-04-10,0.9451
1990-04-11,0.9594
1990-04-12,0.9878
1990-04-16,0.9842
1990-04-17,0.9736
1990-04-18,0.97
1990-04-19,0.9594
1990-04-20,0.9238
1990-04-23,0.8989
1990-04-24,0.8883
1990-04-25,0.8563
1990-04-26,0.8563
1990-04-27,0.8385
1990-04-30,0.8208
1990-05-01,0.8243
1990-05-02,0.8243
1990-05-03,0.8208
1990-05-04,0.8492
1990-05-07,0.8492
1990-05-08,0.8563
1990-05-09,0.8954
1990-05-10,0.9203
1990-05-11,0.9451
1990-05-14,0.938
1990-05-15,0.9594
1990-05-16,0.9451
1990-05-17,0.938
1990-05-18,0.9274
1990-05-21,0.9061
1990-05-22,0.9167
1990-05-23,0.9451
1990-05-24,0.9416
1990-05-25,0.9274
1990-05-29,0.938
1990-05-30,0.9594
1990-05-31,0.9878
1990-06-01,0.9913
1990-06-04,1.0126
1990-06-05,0.9984
1990-06-06,0.9842
1990-06-07,0.9594
1990-06-08,0.938
1990-06-11,0.9594
1990-06-12,0.9807
1990-06-13,0.9807
1990-06-14,0.9807
1990-06-15,0.9416
1990-06-18,0.9132
1990-06-19,0.9132
1990-06-20,0.9025
1990-06-21,0.8918
1990-06-22,0.8954
1990-06-25,0.9061
1990-06-26,0.9089
1990-06-27,0.9552
1990-06-28,0.9624
1990-06-29,0.9659
1990-07-02,0.9588
1990-07-03,0.9232
1990-07-05,0.916
1990-07-06,0.9232
1990-07-09,0.9339
1990-07-10,0.9125
1990-07-11,0.9267
1990-07-12,0.9481
1990-07-13,0.941
1990-07-16,0.9339
1990-07-17,0.9267
1990-07-18,0.9018
1990-07-19,0.8982
1990-07-20,0.9303
1990-07-23,0.9018
1990-07-24,0.916
1990-07-25,0.9339
1990-07-26,0.9339
1990-07-27,0.9339
1990-07-30,0.9267
1990-07-31,0.9267
1990-08-01,0.9232
1990-08-02,0.9125
1990-08-03,0.8661
1990-08-06,0.802
1990-08-07,0.802
1990-08-08,0.8412
1990-08-09,0.8697
1990-08-10,0.8412
1990-08-13,0.8554
1990-08-14,0.859
1990-08-15,0.8697
1990-08-16,0.8697
1990-08-17,0.8554
1990-08-20,0.8697
1990-08-21,0.8198
1990-08-22,0.7699
1990-08-23,0.7271
1990-08-24,0.7271
1990-08-27,0.777
1990-08-28,0.7699
1990-08-29,0.7806
1990-08-30,0.7592
1990-08-31,0.7556
1990-09-04,0.7485
1990-09-05,0.7521
1990-09-06,0.7628
1990-09-07,0.7735
1990-09-10,0.7735
1990-09-11,0.7699
1990-09-12,0.7735
1990-09-13,0.7485
1990-09-14,0.7414
1990-09-17,0.7556
1990-09-18,0.7628
1990-09-19,0.7877
1990-09-20,0.7842
1990-09-21,0.7735
1990-09-24,0.7549
1990-09-25,0.7763
