Date,Settle
2017-07-05,35.1712
2017-07-06,34.9446
2017-07-07,35.7943
2017-07-10,35.1523
2017-07-11,35.2656
2017-07-12,35.2845
2017-07-13,34.7841
2017-07-14,35.2656
2017-07-17,35.5394
2017-07-18,34.6991
2017-07-19,34.5008
2017-07-20,33.0184
2017-07-21,32.2159
2017-07-24,32.4425
2017-07-25,33.2828
2017-07-26,34.0381
2017-07-27,34.142
2017-07-28,35.0295
2017-07-31,34.8313
2017-08-01,33.7077
2017-08-02,33.3772
2017-08-03,33.3394
2017-08-04,33.2639
2017-08-07,32.6313
2017-08-08,32.9901
2017-08-09,33.2273
2017-08-10,32.9237
2017-08-11,32.5347
2017-08-14,32.5062
2017-08-15,32.5536
2017-08-16,32.0982
2017-08-17,31.1209
2017-08-18,31.0925
2017-08-21,30.8742
2017-08-22,31.0166
2017-08-23,31.3486
2017-08-24,31.1399
2017-08-25,31.5574
2017-08-28,31.5479
2017-08-29,32.0223
2017-08-30,31.7946
2017-08-31,32.1646
2017-09-01,32.5441
2017-09-05,33.1799
2017-09-06,32.9616
2017-09-07,32.9711
2017-09-08,32.658
2017-09-11,33.6637
2017-09-12,34.1192
2017-09-13,34.2425
2017-09-14,34.5177
2017-09-15,35.0111
2017-09-18,35.4475
2017-09-19,35.476
2017-09-20,35.5803
2017-09-21,34.7074
2017-09-22,34.7928
2017-09-25,35.5993
2017-09-26,35.1439
2017-09-27,35.0395
2017-09-28,35.1344
2017-09-29,34.7454
2017-10-02,34.9731
2017-10-03,34.7928
2017-10-04,34.8308
2017-10-05,34.6126
2017-10-06,34.66
2017-10-09,34.0053
2017-10-10,33.1799
2017-10-11,32.6295
2017-10-12,32.1836
2017-10-13,32.0033
2017-10-16,31.9749
2017-10-17,32.0603
2017-10-18,32.0697
2017-10-19,31.453
2017-10-20,31.5574
2017-10-23,29.859
2017-10-24,29.1189
2017-10-25,28.5307
2017-10-26,28.4073
2017-10-27,29.6977
2017-10-30,29.8875
2017-10-31,29.8211
2017-11-01,30.2196
2017-11-02,29.6787
2017-11-03,29.7551
2017-11-06,32.3699
2017-11-07,31.8736
2017-11-08,31.3392
2017-11-09,31.2438
2017-11-10,31.4442
2017-11-13,30.4231
2017-11-14,29.1157
2017-11-15,29.2016
2017-11-16,28.7722
2017-11-17,29.4974
2017-11-20,29.0489
2017-11-21,29.2589
2017-11-22,29.3066
2017-11-24,29.3925
2017-11-27,28.9248
2017-11-28,28.7054
2017-11-29,28.6099
2017-11-30,28.3714
2017-12-01,29.297
2017-12-04,30.2609
2017-12-05,29.402
2017-12-06,29.1157
2017-12-07,28.9821
2017-12-08,28.8771
2017-12-11,29.1921
2017-12-12,29.5356
2017-12-13,28.9439
2017-12-14,29.1921
2017-12-15,28.8771
2017-12-18,29.6119
2017-12-19,30.3754
2017-12-20,31.2438
2017-12-21,30.8239
2017-12-22,30.7571
2017-12-26,30.5949
2017-12-27,30.5662
2017-12-28,29.965
2017-12-29,30.1941
2018-01-02,30.7571
2018-01-03,31.9977
2018-01-04,33.0474
2018-01-05,32.8661
2018-01-08,32.9329
2018-01-09,33.4291
2018-01-10,33.849
2018-01-11,34.832
2018-01-12,35.5
2018-01-16,34.622
2018-01-17,34.6316
2018-01-18,33.1524
2018-01-19,33.1524
2018-01-22,33.9254
2018-01-23,34.183
2018-01-24,32.2363
2018-01-25,30.8334
2018-01-26,31.2438
2018-01-29,29.965
2018-01-30,30.404
2018-01-31,30.6808
2018-02-01,30.9671
2018-02-02,29.7963
2018-02-05,28.1937
2018-02-06,28.0402
2018-02-07,27.6468
2018-02-08,26.3896
2018-02-09,25.43
2018-02-12,25.7659
2018-02-13,24.8926
2018-02-14,25.3533
2018-02-15,25.0846
2018-02-16,25.4588
2018-02-20,25.3724
2018-02-21,25.6795
2018-02-22,26.9078
2018-02-23,26.8982
2018-02-26,26.5144
2018-02-27,25.9098
2018-02-28,25.3341
2018-03-01,26.0346
2018-03-02,26.3417
2018-03-05,26.8887
2018-03-06,27.3973
2018-03-07,27.7523
2018-03-08,28.1266
2018-03-09,29.019
2018-03-12,29.5468
2018-03-13,29.1246
2018-03-14,29.3645
2018-03-15,28.6831
2018-03-16,29.6716
2018-03-19,29.3357
2018-03-20,28.6448
2018-03-21,29.7099
2018-03-22,28.5776
2018-03-23,28.021
2018-03-26,28.7023
2018-03-27,28.021
2018-03-28,26.9366
2018-03-29,26.6487
2018-04-02,26.6487
2018-04-03,27.7523
2018-04-04,28.7503
2018-04-05,28.5104
2018-04-06,28.3857
2018-04-09,28.2129
2018-04-10,29.6428
2018-04-11,29.9594
2018-04-12,30.8327
2018-04-13,31.2549
2018-04-16,31.514
2018-04-17,31.4852
2018-04-18,32.3969
2018-04-19,32.3489
2018-04-20,32.6176
2018-04-23,33.5388
2018-04-24,33.2318
2018-04-25,33.6924
2018-04-26,34.5273
2018-04-27,34.5464
2018-04-30,34.652
2018-05-01,34.201
2018-05-02,34.1626
2018-05-03,34.1626
2018-05-04,34.5464
2018-05-07,34.1914
2018-05-08,34.5752
2018-05-09,34.9015
2018-05-10,34.7192
2018-05-11,34.3161
2018-05-14,34.2394
2018-05-15,34.6136
2018-05-16,35.3621
2018-05-17,35.1606
2018-05-18,34.4217
2018-05-21,35.0004
2018-05-22,35.1065
2018-05-23,34.7593
2018-05-24,34.4024
2018-05-25,33.4669
2018-05-29,33.6308
2018-05-30,34.4217
2018-05-31,33.3608
2018-06-01,33.6887
2018-06-04,31.509
2018-06-05,32.4156
2018-06-06,33.409
2018-06-07,33.4572
2018-06-08,33.4669
2018-06-11,32.9364
2018-06-12,33.3126
2018-06-13,32.8496
2018-06-14,32.4831
2018-06-15,31.4126
2018-06-18,31.3836
2018-06-19,31.5862
2018-06-20,31.8948
2018-06-21,31.1715
2018-06-22,31.5572
2018-06-25,31.2872
2018-06-26,31.9527
2018-06-27,32.406
2018-06-28,31.7791
2018-06-29,31.8562
2018-07-02,31.7694
2018-07-03,32.107
2018-07-05,32.0684
2018-07-06,32.4735
2018-07-09,33.2161
2018-07-10,33.0522
2018-07-11,31.7501
2018-07-12,31.6055
2018-07-13,31.4704
2018-07-16,31.1811
2018-07-17,31.4801
2018-07-18,31.3933
2018-07-19,30.6506
2018-07-20,30.8628
2018-07-23,31.3451
2018-07-24,31.8176
2018-07-25,32.0877
2018-07-26,32.811
2018-07-27,33.4958
2018-07-30,33.4572
2018-07-31,33.3511
2018-08-01,33.0522
2018-08-02,32.7339
2018-08-03,32.676
2018-08-06,33.6598
2018-08-07,33.9298
2018-08-08,33.8044
2018-08-09,33.4379
2018-08-10,33.5151
2018-08-13,33.0788
2018-08-14,32.8946
2018-08-15,30.8393
2018-08-16,30.6163
2018-08-17,30.0637
2018-08-20,31.0332
2018-08-21,31.3047
2018-08-22,31.5277
2018-08-23,31.3241
2018-08-24,31.7797
2018-08-27,32.2645
2018-08-28,32.3905
2018-08-29,32.9625
2018-08-30,32.9431
2018-08-31,31.9639
2018-09-04,31.3919
2018-09-05,30.7036
2018-09-06,30.0443
2018-09-07,30.4612
2018-09-10,30.9557
2018-09-11,31.5955
2018-09-12,31.4113
2018-09-13,31.295
2018-09-14,30.597
2018-09-17,30.6454
2018-09-18,31.2659
2018-09-19,31.867
2018-09-20,31.4695
2018-09-21,31.8961
2018-09-24,31.8379
2018-09-25,32.4487
2018-09-26,32.788
2018-09-27,32.7977
2018-09-28,32.7977
2018-10-01,31.9736
2018-10-02,31.2659
2018-10-03,31.0526
2018-10-04,31.3628
2018-10-05,30.9266
2018-10-08,30.9169
2018-10-09,31.6343
2018-10-10,30.946
2018-10-11,29.7244
2018-10-12,29.9086
2018-10-15,29.7535
2018-10-16,29.8989
2018-10-17,29.8504
2018-10-18,29.5305
2018-10-19,29.0264
2018-10-22,29.0749
2018-10-23,27.9987
2018-10-24,26.5542
2018-10-25,26.7093
2018-10-26,26.5251
2018-10-29,25.7786
2018-10-30,26.4282
2018-10-31,25.8756
2018-11-01,25.1
2018-11-02,25.2745
2018-11-05,26.0307
2018-11-06,26.3312
2018-11-07,26.2246
2018-11-08,25.9337
2018-11-09,24.7316
2018-11-12,22.9186
2018-11-13,23.0737
2018-11-14,22.4436
2018-11-15,22.7465
2018-11-16,22.8344
2018-11-19,22.4729
2018-11-20,21.8964
2018-11-21,22.0039
2018-11-23,21.9453
2018-11-26,22.1407
2018-11-27,21.8671
2018-11-28,22.4143
2018-11-29,22.5804
2018-11-30,22.297
2018-12-03,22.7172
2018-12-04,21.6326
