Date,Settle
1990-01-02,1.7442
1990-01-03,1.684
1990-01-04,1.684
1990-01-05,1.7442
1990-01-08,1.8043
1990-01-09,1.8043
1990-01-10,1.8043
1990-01-11,1.5637
1990-01-12,1.5637
1990-01-15,1.5637
1990-01-16,1.4435
1990-01-17,1.4435
1990-01-18,1.3833
1990-01-19,1.3232
1990-01-22,1.3232
1990-01-23,1.3232
1990-01-24,1.2029
1990-01-25,1.263
1990-01-26,1.1427
1990-01-29,1.0826
1990-01-30,1.0225
1990-01-31,1.0225
1990-02-01,0.9623
1990-02-02,1.1427
1990-02-05,1.2029
1990-02-06,1.1427
1990-02-07,1.1427
1990-02-08,1.1427
1990-02-09,1.1427
1990-02-12,1.1427
1990-02-13,1.1427
1990-02-14,1.1427
1990-02-15,1.1427
1990-02-16,1.0225
1990-02-20,1.0225
1990-02-21,0.9623
1990-02-22,1.0225
1990-02-23,0.9022
1990-02-26,0.9623
1990-02-27,1.0225
1990-02-28,1.0826
1990-03-01,1.1427
1990-03-02,1.3232
1990-03-05,1.3232
1990-03-06,1.3232
1990-03-07,1.3232
1990-03-08,1.3833
1990-03-09,1.3232
1990-03-12,1.3232
1990-03-13,1.263
1990-03-14,1.5036
1990-03-15,1.4435
1990-03-16,1.3833
1990-03-19,1.263
1990-03-20,1.2029
1990-03-21,1.2029
1990-03-22,1.3232
1990-03-23,1.3833
1990-03-26,1.3232
1990-03-27,1.263
1990-03-28,1.263
1990-03-29,1.263
1990-03-30,1.263
1990-04-02,1.2029
1990-04-03,1.2029
1990-04-04,1.2029
1990-04-05,1.2029
1990-04-06,1.2029
1990-04-09,1.1427
1990-04-10,1.1427
1990-04-11,1.263
1990-04-12,1.263
1990-04-16,1.263
1990-04-17,1.263
1990-04-18,1.2029
1990-04-19,1.2029
1990-04-20,1.263
1990-04-23,1.263
1990-04-24,1.263
1990-04-25,1.2029
1990-04-26,1.263
1990-04-27,1.2029
1990-04-30,1.3232
1990-05-01,1.3232
1990-05-02,1.263
1990-05-03,1.4435
1990-05-04,1.6239
1990-05-07,1.684
1990-05-08,1.6239
1990-05-09,1.5637
1990-05-10,1.5637
1990-05-11,1.5637
1990-05-14,1.6239
1990-05-15,1.5637
1990-05-16,1.5637
1990-05-17,1.6239
1990-05-18,1.6239
1990-05-21,1.6239
1990-05-22,1.7442
1990-05-23,1.7442
1990-05-24,1.8043
1990-05-25,1.8043
1990-05-29,1.9246
1990-05-30,1.9848
1990-05-31,1.9848
1990-06-01,1.9848
1990-06-04,1.9246
1990-06-05,2.0449
1990-06-06,2.105
1990-06-07,2.3456
1990-06-08,2.1652
1990-06-11,2.1652
1990-06-12,2.2253
