Date,Settle
2021-04-06,9.8
2021-04-08,9.8
2021-04-09,9.79
2021-04-12,9.75
2021-04-13,9.71
2021-04-14,9.86
2021-04-15,9.82
2021-04-16,9.75
2021-04-19,9.73
2021-04-20,9.73
2021-04-21,9.73
2021-04-22,9.72
2021-04-23,9.73
2021-04-26,9.71
2021-04-27,9.68
2021-04-28,9.71
2021-04-29,9.665
2021-04-30,9.71
2021-05-03,9.68
2021-05-04,9.7
2021-05-05,9.689
2021-05-06,9.688
2021-05-07,9.69
2021-05-10,9.7
2021-05-11,9.71
2021-05-12,9.72
2021-05-13,9.72
2021-05-14,9.7
2021-05-17,9.72
2021-05-18,9.7
2021-05-19,9.69
2021-05-20,9.69
2021-05-24,9.69
2021-05-25,9.64
2021-05-26,9.69
2021-05-27,9.63
2021-05-28,9.63
2021-06-01,9.69
2021-06-02,9.68
2021-06-03,9.65
2021-06-04,9.63
2021-06-07,9.65
2021-06-08,9.64
2021-06-09,9.658
2021-06-10,9.66
2021-06-11,9.67
2021-06-14,9.67
2021-06-15,9.65
2021-06-16,9.67
2021-06-17,9.67
2021-06-18,9.68
2021-06-21,9.66
2021-06-22,9.66
2021-06-23,9.67
2021-06-24,9.69
2021-06-25,9.66
2021-06-28,9.67
2021-06-30,9.67
2021-07-01,9.66
2021-07-02,9.66
2021-07-06,9.67
2021-07-07,9.675
2021-07-08,9.68
2021-07-09,9.68
2021-07-12,9.66
2021-07-13,9.66
2021-07-14,9.7
2021-07-15,9.67
2021-07-16,9.67
2021-07-19,9.63
2021-07-20,9.61
2021-07-21,9.6299
2021-07-22,9.64
2021-07-23,9.64
2021-07-26,9.64
2021-07-27,9.66
2021-07-28,9.66
2021-07-29,9.66
2021-07-30,9.7
2021-08-02,9.71
2021-08-04,9.67
2021-08-05,9.7
2021-08-06,9.6999
2021-08-09,9.67
2021-08-10,9.67
2021-08-11,9.67
2021-08-12,9.6999
2021-08-13,9.69
2021-08-16,9.69
2021-08-17,9.7
2021-08-18,9.647
2021-08-19,9.631
2021-08-20,9.65
2021-08-23,9.65
2021-08-24,9.66
2021-08-25,9.65
2021-08-26,9.64
2021-08-27,9.64
2021-08-30,9.67
2021-08-31,9.7
2021-09-01,9.68
2021-09-02,9.7
2021-09-03,9.69
2021-09-08,9.64
