Date,Settle
1990-01-02,1.8724
1990-01-03,1.901
1990-01-04,1.8896
1990-01-05,1.8953
1990-01-08,1.8839
1990-01-09,1.8266
1990-01-10,1.8037
1990-01-11,1.8209
1990-01-12,1.7991
1990-01-15,1.7991
1990-01-16,1.7817
1990-01-17,1.77
1990-01-18,1.7468
1990-01-19,1.77
1990-01-22,1.7294
1990-01-23,1.741
1990-01-24,1.7584
1990-01-25,1.7236
1990-01-26,1.6946
1990-01-29,1.654
1990-01-30,1.6134
1990-01-31,1.6482
1990-02-01,1.6888
1990-02-02,1.7352
1990-02-05,1.7294
1990-02-06,1.7062
1990-02-07,1.7062
1990-02-08,1.7062
1990-02-09,1.7004
1990-02-12,1.7004
1990-02-13,1.712
1990-02-14,1.7294
1990-02-15,1.77
1990-02-16,1.7527
1990-02-20,1.712
1990-02-21,1.7759
1990-02-22,1.7584
1990-02-23,1.7352
1990-02-26,1.7294
1990-02-27,1.741
1990-02-28,1.7527
1990-03-01,1.7527
1990-03-02,1.7817
1990-03-05,1.7875
1990-03-06,1.7933
1990-03-07,1.7933
1990-03-08,1.8165
1990-03-09,1.8223
1990-03-12,1.8281
1990-03-13,1.8223
1990-03-14,1.8281
1990-03-15,1.8165
1990-03-16,1.7468
1990-03-19,1.741
1990-03-20,1.683
1990-03-21,1.6424
1990-03-22,1.6192
1990-03-23,1.6308
1990-03-26,1.6308
1990-03-27,1.625
1990-03-28,1.5553
1990-03-29,1.5669
1990-03-30,1.5901
1990-04-02,1.5785
1990-04-03,1.5553
1990-04-04,1.5669
1990-04-05,1.4509
1990-04-06,1.3928
1990-04-09,1.4393
1990-04-10,1.4741
1990-04-11,1.4741
1990-04-12,1.4567
1990-04-16,1.4817
1990-04-17,1.4935
1990-04-18,1.4994
1990-04-19,1.5112
1990-04-20,1.4876
1990-04-23,1.4817
1990-04-24,1.4758
1990-04-25,1.464
1990-04-26,1.4581
1990-04-27,1.4404
1990-04-30,1.4522
1990-05-01,1.4463
1990-05-02,1.4522
1990-05-03,1.4581
1990-05-04,1.5112
1990-05-07,1.5702
1990-05-08,1.5939
1990-05-09,1.5702
1990-05-10,1.5939
1990-05-11,1.6116
1990-05-14,1.6293
1990-05-15,1.6293
1990-05-16,1.6293
1990-05-17,1.6293
1990-05-18,1.6293
1990-05-21,1.6529
1990-05-22,1.6883
1990-05-23,1.6765
1990-05-24,1.6883
1990-05-25,1.6883
1990-05-29,1.706
1990-05-30,1.7237
1990-05-31,1.7591
1990-06-01,1.7414
1990-06-04,1.8123
1990-06-05,1.8123
1990-06-06,1.7887
1990-06-07,1.7769
1990-06-08,1.7532
1990-06-11,1.7591
1990-06-12,1.7414
1990-06-13,1.7001
1990-06-14,1.6529
1990-06-15,1.6293
1990-06-18,1.5762
1990-06-19,1.6057
1990-06-20,1.5939
1990-06-21,1.588
1990-06-22,1.5466
1990-06-25,1.5053
1990-06-26,1.4935
1990-06-27,1.4876
1990-06-28,1.4935
1990-06-29,1.5053
1990-07-02,1.5171
1990-07-03,1.5053
1990-07-05,1.4758
1990-07-06,1.4699
1990-07-09,1.4935
1990-07-10,1.4758
1990-07-11,1.4758
1990-07-12,1.4404
1990-07-13,1.4168
1990-07-16,1.3761
1990-07-17,1.322
1990-07-18,1.3161
1990-07-19,1.298
1990-07-20,1.304
1990-07-23,1.31
1990-07-24,1.3161
1990-07-25,1.304
1990-07-26,1.262
1990-07-27,1.25
1990-07-30,1.2319
1990-07-31,1.2259
1990-08-01,1.1838
1990-08-02,1.1838
1990-08-03,1.1778
1990-08-06,1.1418
1990-08-07,1.1418
1990-08-08,1.1297
1990-08-09,1.2139
1990-08-10,1.1899
1990-08-13,1.1899
1990-08-14,1.1838
1990-08-15,1.1778
1990-08-16,1.1718
1990-08-17,1.1658
1990-08-20,1.1538
1990-08-21,1.1297
1990-08-22,1.1177
1990-08-23,1.0937
1990-08-24,1.0937
1990-08-27,1.1297
1990-08-28,1.1418
1990-08-29,1.1297
1990-08-30,1.1418
1990-08-31,1.1297
1990-09-04,1.1297
1990-09-05,1.1297
1990-09-06,1.1177
1990-09-07,1.1057
1990-09-10,1.1057
1990-09-11,1.1117
1990-09-12,1.1718
1990-09-13,1.1538
1990-09-14,1.1238
1990-09-17,1.1297
1990-09-18,1.0997
1990-09-19,1.0697
1990-09-20,1.0276
1990-09-21,0.9855
1990-09-24,0.8954
1990-09-25,0.9014
1990-09-26,0.8413
1990-09-27,0.7752
1990-09-28,0.8473
1990-10-01,0.8654
1990-10-02,0.8593
1990-10-03,0.8233
1990-10-04,0.8233
1990-10-05,0.8113
1990-10-08,0.8473
1990-10-09,0.8293
1990-10-10,0.8473
1990-10-11,0.8173
1990-10-12,0.8774
1990-10-15,0.8912
1990-10-16,0.8479
1990-10-17,0.8479
1990-10-18,0.8727
1990-10-19,0.8789
1990-10-22,0.9036
1990-10-23,0.8912
1990-10-24,0.8727
1990-10-25,0.8541
1990-10-26,0.7984
1990-10-29,0.7179
1990-10-30,0.687
1990-10-31,0.6994
1990-11-01,0.7303
1990-11-02,0.8541
1990-11-05,0.8974
1990-11-06,0.8789
1990-11-07,0.8603
1990-11-08,0.8665
1990-11-09,0.8665
1990-11-12,0.9036
1990-11-13,0.9098
1990-11-14,0.9345
1990-11-15,0.9345
1990-11-16,0.9284
1990-11-19,0.9284
1990-11-20,0.9036
1990-11-21,0.8912
