Date,Settle
1999-10-01,8.86
1999-10-04,8.8208
1999-10-05,8.8992
1999-10-06,9.3305
1999-10-07,8.86
1999-10-08,8.8208
1999-10-11,8.8208
1999-10-12,8.86
1999-10-13,8.8208
1999-10-14,8.5464
1999-10-15,8.1936
1999-10-18,8.0368
1999-10-19,8.3112
1999-10-20,8.2328
1999-10-21,8.4288
1999-10-22,8.468
1999-10-25,8.7424
1999-10-26,8.7816
1999-10-27,8.8208
1999-10-28,8.86
1999-10-29,9.5657
1999-11-01,9.2521
1999-11-02,9.2521
1999-11-03,9.2521
1999-11-04,9.3697
1999-11-05,9.8793
1999-11-08,10.4282
1999-11-09,10.1146
1999-11-10,10.0754
1999-11-11,10.1146
1999-11-12,11.2907
1999-11-15,11.0947
1999-11-16,10.9378
1999-11-17,10.977
1999-11-18,10.8202
1999-11-19,11.0554
1999-11-22,11.1731
1999-11-23,11.9963
1999-11-24,11.6435
1999-11-26,11.5651
1999-11-29,11.3691
1999-11-30,11.5259
1999-12-01,11.6435
1999-12-02,11.9179
1999-12-03,12.0355
1999-12-06,11.5259
1999-12-07,11.6827
1999-12-08,11.4083
1999-12-09,11.4475
1999-12-10,11.0554
1999-12-13,10.9378
1999-12-14,10.7418
1999-12-15,10.7418
1999-12-16,10.5458
1999-12-17,10.7418
1999-12-20,10.6242
1999-12-21,10.6634
1999-12-22,10.781
1999-12-23,10.7418
1999-12-27,10.7418
1999-12-28,10.8986
1999-12-29,10.8202
1999-12-30,10.8594
1999-12-31,10.781
2000-01-03,10.4282
2000-01-04,9.9577
2000-01-05,9.8793
2000-01-06,10.0362
2000-01-07,9.9577
2000-01-10,10.0362
2000-01-11,10.3106
2000-01-12,10.7418
2000-01-13,10.6242
2000-01-14,10.977
2000-01-18,11.2907
2000-01-19,11.4475
2000-01-20,10.977
2000-01-21,10.8986
2000-01-24,10.7418
2000-01-25,10.8202
2000-01-26,10.9378
2000-01-27,10.977
2000-01-28,10.8986
2000-01-31,10.977
2000-02-01,11.1339
2000-02-02,11.2515
2000-02-03,11.2907
2000-02-04,11.5651
2000-02-07,11.6043
2000-02-08,11.6435
2000-02-09,11.5259
2000-02-10,11.2123
2000-02-11,11.2515
2000-02-14,11.2907
2000-02-15,11.2123
2000-02-16,11.6043
2000-02-17,11.5259
2000-02-18,11.6043
2000-02-22,11.6435
2000-02-23,11.8003
2000-02-24,11.9179
2000-02-25,12.0747
2000-02-28,12.6236
2000-02-29,13.7213
2000-03-01,13.6429
2000-03-02,13.8389
2000-03-03,13.8781
2000-03-06,13.8389
2000-03-07,13.7997
2000-03-08,13.7997
2000-03-09,13.7997
2000-03-10,13.8781
2000-03-13,14.3486
2000-03-14,14.3486
2000-03-15,15.1326
2000-03-16,15.2895
2000-03-17,15.5247
2000-03-20,15.0542
2000-03-21,15.0542
2000-03-22,14.1917
2000-03-23,14.1133
2000-03-24,14.0741
2000-03-27,13.8389
2000-03-28,12.5452
2000-03-29,12.3884
2000-03-30,12.8196
2000-03-31,12.702
2000-04-03,12.9372
2000-04-04,13.0156
2000-04-05,13.4469
2000-04-06,14.0349
2000-04-07,15.211
2000-04-10,15.0542
2000-04-11,15.0934
2000-04-12,14.9758
2000-04-13,14.6622
2000-04-14,14.427
2000-04-17,14.0741
2000-04-18,13.7605
2000-04-19,13.1724
2000-04-20,13.2509
2000-04-24,13.5645
2000-04-25,15.0542
2000-04-26,15.1326
2000-04-27,15.2502
2000-04-28,16.3087
2000-05-01,15.0542
2000-05-02,14.9366
2000-05-03,15.211
2000-05-04,14.819
