Date,Settle
1990-01-02,0.9746
1990-01-03,0.9458
1990-01-04,0.9566
1990-01-05,0.9638
1990-01-08,0.9782
1990-01-09,0.9782
1990-01-10,0.9854
1990-01-11,0.9782
1990-01-12,0.971
1990-01-15,0.9638
1990-01-16,0.9566
1990-01-17,0.953
1990-01-18,0.953
1990-01-19,0.953
1990-01-22,0.935
1990-01-23,0.9386
1990-01-24,0.8991
1990-01-25,0.8811
1990-01-26,0.8811
1990-01-29,0.8847
1990-01-30,0.8703
1990-01-31,0.8955
1990-02-01,0.8955
1990-02-02,0.8955
1990-02-05,0.8811
1990-02-06,0.8775
1990-02-07,0.8667
1990-02-08,0.8667
1990-02-09,0.8739
1990-02-12,0.8703
1990-02-13,0.8595
1990-02-14,0.8559
1990-02-15,0.8487
1990-02-16,0.8379
1990-02-20,0.8308
1990-02-21,0.8415
1990-02-22,0.8128
1990-02-23,0.8257
1990-02-26,0.8439
1990-02-27,0.8694
1990-02-28,0.8803
1990-03-01,0.8766
1990-03-02,0.8912
1990-03-05,0.8766
1990-03-06,0.873
1990-03-07,0.8475
1990-03-08,0.8657
1990-03-09,0.8694
1990-03-12,0.8766
1990-03-13,0.8475
1990-03-14,0.8585
1990-03-15,0.8621
1990-03-16,0.8694
1990-03-19,0.8876
1990-03-20,0.8803
1990-03-21,0.8694
1990-03-22,0.8694
1990-03-23,0.8657
1990-03-26,0.8948
1990-03-27,0.9094
1990-03-28,0.9021
1990-03-29,0.9057
1990-03-30,0.9094
1990-04-02,0.9167
1990-04-03,0.9421
1990-04-04,0.9312
1990-04-05,0.9421
1990-04-06,0.9276
1990-04-09,0.9312
1990-04-10,0.9239
1990-04-11,0.9312
1990-04-12,0.9348
1990-04-16,0.9239
1990-04-17,0.9239
1990-04-18,0.9094
1990-04-19,0.913
1990-04-20,0.8948
1990-04-23,0.8948
1990-04-24,0.8876
1990-04-25,0.9057
1990-04-26,0.9167
1990-04-27,0.9167
1990-04-30,0.9276
1990-05-01,0.9239
1990-05-02,0.9385
1990-05-03,0.9458
1990-05-04,0.9494
1990-05-07,0.9639
1990-05-08,0.953
1990-05-09,0.9458
