Date,Settle
1997-12-31,11.34
1998-01-02,11.727
1998-01-05,10.759
1998-01-06,11.229
1998-01-07,11.271
1998-01-08,11.672
1998-01-09,10.842
1998-01-12,11.561
1998-01-13,11.921
1998-01-14,11.893
1998-01-15,11.644
1998-01-16,11.838
1998-01-20,12.502
1998-01-21,12.336
1998-01-22,12.142
1998-01-23,12.446
1998-01-26,12.059
1998-01-27,12.363
1998-01-28,12.612
1998-01-29,12.668
1998-01-30,12.668
1998-02-02,12.778
1998-02-03,12.668
1998-02-04,12.944
1998-02-05,12.225
1998-02-06,12.502
1998-02-09,12.391
1998-02-10,12.834
1998-02-11,13.221
1998-02-12,13.082
1998-02-13,13.138
1998-02-17,13.165
1998-02-18,13.525
1998-02-19,13.47
1998-02-20,13.331
1998-02-23,13.165
1998-02-24,13.165
1998-02-25,13.248
1998-02-26,13.082
1998-02-27,13.193
1998-03-02,12.889
1998-03-03,12.972
1998-03-04,12.723
1998-03-05,12.336
1998-03-06,12.972
1998-03-09,12.668
1998-03-10,12.972
1998-03-11,13.221
1998-03-12,13.719
1998-03-13,14.604
1998-03-16,14.548
1998-03-17,13.94
1998-03-18,14.023
1998-03-19,13.912
1998-03-20,13.47
1998-03-23,13.608
1998-03-24,13.497
1998-03-25,12.916
1998-03-26,12.502
1998-03-27,13.11
1998-03-30,12.889
1998-03-31,13.276
1998-04-01,13.276
1998-04-02,13.248
1998-04-03,13.082
1998-04-06,12.999
1998-04-07,12.806
1998-04-08,12.834
1998-04-09,13.276
1998-04-13,12.944
1998-04-14,13.221
1998-04-15,13.165
1998-04-16,12.502
1998-04-17,12.446
1998-04-20,12.225
1998-04-21,13.165
1998-04-22,12.944
1998-04-23,12.557
1998-04-24,12.557
1998-04-27,12.059
1998-04-28,12.336
1998-04-29,13.11
1998-04-30,13.276
1998-05-01,13.11
1998-05-04,13.636
1998-05-05,13.47
1998-05-06,12.723
1998-05-07,12.336
1998-05-08,13.055
1998-05-11,12.446
1998-05-12,13.041
1998-05-13,12.751
1998-05-14,12.695
1998-05-15,12.17
1998-05-18,12.474
1998-05-19,12.723
1998-05-20,12.446
1998-05-21,12.916
1998-05-22,12.585
1998-05-26,12.336
1998-05-27,12.668
1998-05-28,12.875
1998-05-29,12.778
1998-06-01,12.834
1998-06-02,13.221
1998-06-03,12.806
1998-06-04,12.916
1998-06-05,13.027
1998-06-08,12.889
1998-06-09,12.916
1998-06-10,12.806
1998-06-11,12.723
1998-06-12,12.861
1998-06-15,13.082
1998-06-16,13.027
1998-06-17,13.304
1998-06-18,13.248
