Date,Settle
1997-12-31,5.3569
1998-01-02,5.3265
1998-01-05,5.3192
1998-01-06,5.2353
1998-01-07,5.2049
1998-01-08,5.1672
1998-01-09,4.9702
1998-01-12,5.076
1998-01-13,5.0456
1998-01-14,5.0079
1998-01-15,4.9921
1998-01-16,5.1064
1998-01-20,5.031
1998-01-21,5.0991
1998-01-22,4.9921
1998-01-23,4.8936
1998-01-26,5.1526
1998-01-27,5.1599
1998-01-28,5.183
1998-01-29,5.183
1998-01-30,5.2438
1998-02-02,5.335
1998-02-03,5.3569
1998-02-04,5.4335
1998-02-05,5.4481
1998-02-06,5.4943
1998-02-09,5.4566
1998-02-10,5.4712
1998-02-11,5.4639
1998-02-12,5.4104
1998-02-13,5.2888
1998-02-17,5.3735
1998-02-18,5.4423
1998-02-19,5.4657
1998-02-20,5.5123
1998-02-23,5.4657
1998-02-24,5.4349
1998-02-25,5.4276
1998-02-26,5.5344
1998-02-27,5.5344
1998-03-02,5.5811
1998-03-03,5.6352
1998-03-04,5.5737
1998-03-05,5.543
1998-03-06,5.6352
1998-03-09,5.5885
1998-03-10,5.6966
1998-03-11,5.6806
1998-03-12,5.7039
1998-03-13,5.6499
1998-03-16,5.7653
1998-03-17,5.6352
1998-03-18,5.4816
1998-03-19,5.4509
1998-03-20,5.3969
1998-03-23,5.4042
1998-03-24,5.4509
1998-03-25,5.473
1998-03-26,5.4964
1998-03-27,5.5578
1998-03-30,5.4816
1998-03-31,5.543
1998-04-01,5.543
1998-04-02,5.6499
1998-04-03,5.6118
1998-04-06,5.5344
1998-04-07,5.4583
1998-04-08,5.3195
1998-04-09,5.4583
1998-04-13,5.4042
1998-04-14,5.4964
1998-04-15,5.5811
1998-04-16,5.473
1998-04-17,5.5344
1998-04-20,5.5197
1998-04-21,5.5504
1998-04-22,5.5504
1998-04-23,5.4423
1998-04-24,5.473
1998-04-27,5.4116
1998-04-28,5.3969
1998-04-29,5.4423
1998-04-30,5.4657
1998-05-01,5.489
1998-05-04,5.5123
1998-05-05,5.473
1998-05-06,5.4116
1998-05-07,5.2741
1998-05-08,5.3195
1998-05-11,5.3428
1998-05-12,5.3809
1998-05-13,5.3735
1998-05-14,5.2741
1998-05-15,5.3195
1998-05-18,5.3666
1998-05-19,5.3356
1998-05-20,5.3505
1998-05-21,5.3282
1998-05-22,5.3356
1998-05-26,5.2426
1998-05-27,5.2277
1998-05-28,5.2426
1998-05-29,5.2351
1998-06-01,5.3046
1998-06-02,5.2661
1998-06-03,5.1656
1998-06-04,5.2115
1998-06-05,5.2351
1998-06-08,5.2277
1998-06-09,5.2351
1998-06-10,4.9845
1998-06-11,5.1569
1998-06-12,5.2661
1998-06-15,5.1346
1998-06-16,5.2041
1998-06-17,5.2972
1998-06-18,5.1731
1998-06-19,5.111
1998-06-22,5.1185
1998-06-23,5.0949
1998-06-24,5.0875
1998-06-25,5.0949
1998-06-26,5.08
1998-06-29,5.0415
1998-06-30,5.0726
1998-07-01,5.0875
1998-07-02,5.049
1998-07-06,4.9634
1998-07-07,4.9559
1998-07-08,4.9795
1998-07-09,4.9249
1998-07-10,4.8629
1998-07-13,4.9324
1998-07-14,4.9869
1998-07-15,4.9634
1998-07-16,4.9634
1998-07-17,4.9324
1998-07-20,4.9485
1998-07-21,4.8554
1998-07-22,4.8939
1998-07-23,4.8083
1998-07-24,4.8083
1998-07-27,4.7698
1998-07-28,4.7388
1998-07-29,4.7772
1998-07-30,4.8157
1998-07-31,4.7934
1998-08-03,4.7698
1998-08-04,4.6147
1998-08-05,4.5911
1998-08-06,4.7152
1998-08-07,4.8244
1998-08-10,4.8169
1998-08-11,4.8633
1998-08-12,5.0051
1998-08-13,4.8796
1998-08-14,4.8006
1998-08-17,4.8708
1998-08-18,5.1306
1998-08-19,5.1068
1998-08-20,5.0679
1998-08-21,4.9888
1998-08-24,5.0277
1998-08-25,4.9813
1998-08-26,4.9888
1998-08-27,4.7303
1998-08-28,4.8169
1998-08-31,4.5031
1998-09-01,4.6826
1998-09-02,4.6286
1998-09-03,4.6437
1998-09-04,4.5884
1998-09-08,4.7855
1998-09-09,4.7064
1998-09-10,4.5571
1998-09-11,4.7616
1998-09-14,4.7767
1998-09-15,4.5809
1998-09-16,4.5659
1998-09-17,4.5031
1998-09-18,4.4943
1998-09-21,4.4793
1998-09-22,4.4629
1998-09-23,4.5031
1998-09-24,4.4793
1998-09-25,4.3851
1998-09-28,4.4404
1998-09-29,4.4554
1998-09-30,4.4002
1998-10-01,4.2596
1998-10-02,4.3927
1998-10-05,4.4554
1998-10-06,4.3776
1998-10-07,4.3613
1998-10-08,4.5182
1998-10-09,4.5495
1998-10-12,4.5257
1998-10-13,4.5031
1998-10-14,4.5257
1998-10-15,4.6286
1998-10-16,5.0127
1998-10-19,5.0591
1998-10-20,5.1771
1998-10-21,5.295
1998-10-22,4.8395
1998-10-23,4.7064
1998-10-26,4.6437
1998-10-27,4.5884
1998-10-28,4.5106
1998-10-29,4.6123
1998-10-30,4.66
1998-11-02,4.8872
1998-11-03,4.9737
1998-11-04,4.8796
1998-11-05,4.9499
1998-11-06,5.0051
1998-11-09,4.911
1998-11-10,4.8082
1998-11-11,4.8082
1998-11-12,4.831
1998-11-13,4.8551
1998-11-16,4.8945
1998-11-17,4.8475
1998-11-18,4.7993
1998-11-19,4.8716
1998-11-20,4.8869
1998-11-23,4.9745
1998-11-24,4.9503
1998-11-25,4.9021
1998-11-27,4.9034
1998-11-30,4.7993
1998-12-01,4.8475
1998-12-02,4.7447
1998-12-03,4.7523
1998-12-04,4.8082
1998-12-07,4.8869
1998-12-08,4.8158
1998-12-09,4.8628
1998-12-10,4.7599
1998-12-11,4.6647
1998-12-14,4.6178
1998-12-15,4.5226
1998-12-16,4.3639
1998-12-17,4.3957
1998-12-18,4.4667
1998-12-21,4.4185
1998-12-22,4.5061
1998-12-23,4.5695
1998-12-24,4.5772
1998-12-28,4.5226
1998-12-29,4.6089
1998-12-30,4.713
1998-12-31,4.8158
1999-01-04,4.831
1999-01-05,4.911
1999-01-06,4.9034
1999-01-07,4.8628
1999-01-08,4.8869
1999-01-11,4.8551
1999-01-12,4.7599
1999-01-13,4.713
1999-01-14,4.6965
1999-01-15,4.7841
1999-01-19,4.7599
1999-01-20,4.7676
1999-01-21,4.7358
1999-01-22,4.7764
1999-01-25,4.8082
1999-01-26,4.6647
1999-01-27,4.3639
1999-01-28,4.3322
1999-01-29,4.3157
1999-02-01,4.2522
1999-02-02,4.284
1999-02-03,4.2763
1999-02-04,4.2916
1999-02-05,4.3005
1999-02-08,4.2916
1999-02-09,4.284
1999-02-10,4.284
1999-02-11,4.2687
1999-02-12,4.2446
1999-02-16,4.2639
1999-02-17,4.2227
1999-02-18,4.2317
1999-02-19,4.2716
1999-02-22,4.2871
1999-02-23,4.448
1999-02-24,4.3836
1999-02-25,4.4081
1999-02-26,4.3836
1999-03-01,4.4003
1999-03-02,4.336
1999-03-03,4.336
1999-03-04,4.3437
1999-03-05,4.4325
1999-03-08,4.4248
1999-03-09,4.5123
1999-03-10,4.5213
1999-03-11,4.5535
1999-03-12,4.65
1999-03-15,4.65
1999-03-16,4.65
1999-03-17,4.5934
1999-03-18,4.6577
1999-03-19,4.6655
1999-03-22,4.6011
1999-03-23,4.4081
1999-03-24,4.3682
1999-03-25,4.3514
1999-03-26,4.2472
1999-03-29,4.3115
1999-03-30,4.1751
1999-03-31,3.9975
1999-04-01,4.0464
1999-04-05,4.0464
1999-04-06,3.9821
1999-04-07,3.9254
1999-04-08,3.9331
1999-04-09,3.9499
1999-04-12,4.0464
1999-04-13,3.9177
1999-04-14,4.0786
1999-04-15,4.1674
1999-04-16,4.336
1999-04-19,4.641
1999-04-20,4.4402
1999-04-21,4.3514
1999-04-22,4.2794
1999-04-23,4.4402
1999-04-26,4.5368
1999-04-27,4.6011
1999-04-28,4.8019
1999-04-29,4.9718
1999-04-30,4.6333
1999-05-03,4.9151
1999-05-04,4.8907
1999-05-05,4.9949
1999-05-06,5.0683
1999-05-07,5.1005
1999-05-10,5.0194
1999-05-11,4.9229
1999-05-12,4.9229
1999-05-13,4.9473
1999-05-14,4.8907
1999-05-17,4.8752
1999-05-18,4.6173
1999-05-19,4.943
1999-05-20,4.9677
1999-05-21,5.0081
1999-05-24,5.0811
1999-05-25,5.1462
1999-05-26,5.1462
1999-05-27,5.0407
1999-05-28,4.9182
1999-06-01,5.1462
1999-06-02,5.098
1999-06-03,5.0485
1999-06-04,5.0811
1999-06-07,5.016
1999-06-08,5.016
1999-06-09,5.0407
1999-06-10,5.171
1999-06-11,5.0003
1999-06-14,5.2036
1999-06-15,5.171
1999-06-16,5.1541
1999-06-17,5.1137
1999-06-18,5.1671
1999-06-21,5.0889
1999-06-22,5.0655
1999-06-23,5.1215
1999-06-24,5.0003
1999-06-25,5.0081
1999-06-28,5.0329
1999-06-29,5.0407
1999-06-30,5.1788
1999-07-01,4.9912
1999-07-02,5.1384
1999-07-06,5.1384
1999-07-07,5.1384
1999-07-08,5.0889
1999-07-09,5.0563
1999-07-12,5.0003
1999-07-13,5.098
1999-07-14,5.1541
1999-07-15,4.9756
1999-07-16,5.098
1999-07-19,5.0485
1999-07-20,5.0485
1999-07-21,4.9756
1999-07-22,4.9756
1999-07-23,5.0003
1999-07-26,4.9834
1999-07-27,4.87
1999-07-28,4.87
1999-07-29,4.8127
1999-07-30,4.8205
1999-08-02,4.8779
1999-08-03,4.9352
1999-08-04,5.0003
1999-08-05,5.0563
1999-08-06,5.0485
1999-08-09,5.1013
1999-08-10,5.0604
1999-08-11,5.0934
1999-08-12,5.1092
1999-08-13,5.15
1999-08-16,5.1421
1999-08-17,5.2582
1999-08-18,5.15
1999-08-19,5.15
1999-08-20,5.1751
1999-08-23,5.2081
1999-08-24,5.1922
1999-08-25,5.1672
1999-08-26,5.0353
1999-08-27,5.1092
1999-08-30,5.0604
1999-08-31,5.0024
1999-09-01,5.0512
1999-09-02,4.9852
1999-09-03,5.0512
1999-09-07,4.9773
1999-09-08,5.1263
1999-09-09,5.2081
1999-09-10,5.1013
1999-09-13,5.0432
1999-09-14,4.9193
1999-09-15,4.8376
1999-09-16,4.8534
1999-09-17,4.6147
1999-09-20,4.7057
1999-09-21,4.566
1999-09-22,4.5989
1999-09-23,4.5409
1999-09-24,4.4908
1999-09-27,4.417
1999-09-28,4.326
1999-09-29,4.4341
1999-09-30,4.4671
1999-10-01,4.3352
1999-10-04,4.417
1999-10-05,4.3919
1999-10-06,4.4011
1999-10-07,4.5567
1999-10-08,4.5897
1999-10-11,4.4671
1999-10-12,4.5159
1999-10-13,4.4499
1999-10-14,4.4908
1999-10-15,4.3102
1999-10-18,4.3181
1999-10-19,4.293
1999-10-20,4.2522
1999-10-21,4.2601
1999-10-22,4.3181
1999-10-25,4.5739
1999-10-26,4.4578
1999-10-27,4.5238
1999-10-28,4.5488
1999-10-29,4.6068
1999-11-01,4.475
1999-11-02,4.475
1999-11-03,4.4578
1999-11-04,4.475
1999-11-05,4.5079
1999-11-08,4.442
1999-11-09,4.3859
1999-11-10,4.4113
1999-11-11,4.4286
1999-11-12,4.4447
1999-11-15,4.5957
1999-11-16,4.6452
1999-11-17,4.5784
1999-11-18,4.553
1999-11-19,4.4781
1999-11-22,4.319
1999-11-23,4.311
1999-11-24,4.2281
1999-11-26,4.2188
1999-11-29,4.1359
1999-11-30,4.2108
1999-12-01,4.2108
1999-12-02,4.3284
1999-12-03,4.3525
1999-12-06,4.3618
1999-12-07,4.2442
1999-12-08,4.2281
1999-12-09,4.311
1999-12-10,4.2362
1999-12-13,4.2362
1999-12-14,4.4113
1999-12-15,4.3444
1999-12-16,4.303
1999-12-17,4.3444
1999-12-20,4.2522
