Date,Settle
1990-01-02,4.1193
1990-01-03,4.2006
1990-01-04,4.1735
1990-01-05,4.047
1990-01-08,4.0741
1990-01-09,4.0109
1990-01-10,4.0651
1990-01-11,4.1102
1990-01-12,3.9747
1990-01-15,3.9296
1990-01-16,3.9657
1990-01-17,3.9928
1990-01-18,4.0109
1990-01-19,4.0199
1990-01-22,3.8482
1990-01-23,3.8392
1990-01-24,3.8392
1990-01-25,3.785
1990-01-26,3.7579
1990-01-29,3.7669
1990-01-30,3.7308
1990-01-31,3.7489
1990-02-01,3.8573
1990-02-02,3.8212
1990-02-05,3.8121
1990-02-06,3.7669
1990-02-07,3.8573
1990-02-08,3.7941
1990-02-09,3.785
1990-02-12,3.785
1990-02-13,3.8392
1990-02-14,3.8754
1990-02-15,3.9205
1990-02-16,3.8844
1990-02-20,3.8302
1990-02-21,3.7941
1990-02-22,3.7399
1990-02-23,3.6857
1990-02-26,3.776
1990-02-27,3.785
1990-02-28,3.7579
1990-03-01,3.785
1990-03-02,3.8302
1990-03-05,3.7941
1990-03-06,3.8482
1990-03-07,3.8302
1990-03-08,3.8844
1990-03-09,3.9115
1990-03-12,3.8844
1990-03-13,3.776
1990-03-14,3.785
1990-03-15,3.776
1990-03-16,3.8302
1990-03-19,3.8482
1990-03-20,3.8302
1990-03-21,3.8121
1990-03-22,3.7489
1990-03-23,3.776
1990-03-26,3.8121
1990-03-27,3.8663
1990-03-28,3.8663
1990-03-29,3.8663
1990-03-30,3.8482
1990-04-02,3.8869
1990-04-03,3.9782
1990-04-04,3.9691
1990-04-05,3.9873
1990-04-06,3.9691
1990-04-09,4.0147
1990-04-10,4.0147
1990-04-11,4.0056
1990-04-12,4.0512
1990-04-16,4.0147
1990-04-17,4.0056
1990-04-18,3.9508
1990-04-19,3.8961
1990-04-20,3.8505
1990-04-23,3.8048
1990-04-24,3.8413
1990-04-25,3.8505
1990-04-26,4.0056
1990-04-27,4.0238
1990-04-30,4.0968
1990-05-01,4.1059
1990-05-02,4.1424
1990-05-03,4.0968
1990-05-04,4.115
1990-05-07,4.1607
1990-05-08,4.2337
1990-05-09,4.2702
1990-05-10,4.334
1990-05-11,4.3888
1990-05-14,4.3797
1990-05-15,4.3249
1990-05-16,4.2702
1990-05-17,4.3158
1990-05-18,4.3158
1990-05-21,4.4161
1990-05-22,4.48
1990-05-23,4.5165
1990-05-24,4.4983
1990-05-25,4.4344
1990-05-29,4.5165
1990-05-30,4.5165
1990-05-31,4.4709
1990-06-01,4.48
1990-06-04,4.5439
1990-06-05,4.5348
1990-06-06,4.5439
1990-06-07,4.5074
1990-06-08,4.4161
1990-06-11,4.4618
1990-06-12,4.553
1990-06-13,4.5439
1990-06-14,4.5165
1990-06-15,4.5165
1990-06-18,4.4618
1990-06-19,4.4709
1990-06-20,4.5165
1990-06-21,4.5713
1990-06-22,4.4983
1990-06-25,4.4527
1990-06-26,4.48
1990-06-27,4.6169
1990-06-28,4.7081
1990-06-29,4.6643
1990-07-02,4.6736
1990-07-03,4.7379
1990-07-05,4.6643
1990-07-06,4.6919
1990-07-09,4.6551
1990-07-10,4.6459
1990-07-11,4.7103
1990-07-12,4.7471
1990-07-13,4.7839
1990-07-16,4.8391
1990-07-17,4.7655
1990-07-18,4.7287
1990-07-19,4.7563
1990-07-20,4.7103
1990-07-23,4.6092
1990-07-24,4.5907
1990-07-25,4.6459
1990-07-26,4.6827
1990-07-27,4.6459
1990-07-30,4.7011
1990-07-31,4.7839
1990-08-01,4.7839
1990-08-02,4.5815
1990-08-03,4.4527
1990-08-06,4.3055
1990-08-07,4.4251
1990-08-08,4.5263
1990-08-09,4.5448
1990-08-10,4.5079
1990-08-13,4.5448
