Date,Settle
2007-03-22,14.3418
2007-03-23,14.5059
2007-03-26,14.7485
2007-03-27,14.5202
2007-03-28,14.1991
2007-03-29,14.0564
2007-03-30,14.0564
2007-04-02,13.9208
2007-04-03,13.6069
2007-04-04,13.4927
2007-04-05,13.8281
2007-04-09,13.5997
2007-04-10,13.7139
2007-04-11,13.6354
2007-04-12,13.6996
2007-04-13,13.9708
2007-04-16,14.1706
2007-04-17,14.5701
2007-04-18,14.7557
2007-04-19,15.0839
2007-04-20,15.0411
2007-04-23,14.7699
2007-04-24,14.7057
2007-04-25,14.456
2007-04-26,14.3133
2007-04-27,14.4274
2007-04-30,14.299
2007-05-01,14.299
2007-05-02,14.2847
2007-05-03,14.4845
2007-05-04,14.827
2007-05-07,14.9911
2007-05-08,15.1766
2007-05-09,15.2694
2007-05-10,15.0696
2007-05-11,15.2908
2007-05-14,15.2052
2007-05-15,14.8698
2007-05-16,14.6272
2007-05-17,14.7342
2007-05-18,14.5987
2007-05-21,14.6272
2007-05-22,14.5487
2007-05-23,14.5202
2007-05-24,14.2847
2007-05-25,14.2705
2007-05-29,14.2705
2007-05-30,14.2491
2007-05-31,14.4417
2007-06-01,14.2205
2007-06-04,14.1634
2007-06-05,14.2205
2007-06-06,13.878
2007-06-07,13.5355
2007-06-08,13.6568
2007-06-11,13.7496
2007-06-12,13.7924
2007-06-13,13.8497
2007-06-14,13.7996
2007-06-15,13.9499
2007-06-18,13.9069
2007-06-19,13.6636
2007-06-20,13.6779
2007-06-21,13.9141
2007-06-22,14.2433
2007-06-25,14.4008
2007-06-26,14.2433
2007-06-27,14.1717
2007-06-28,13.8926
2007-06-29,13.685
2007-07-02,13.8425
2007-07-03,14.1145
2007-07-05,14.0286
2007-07-06,14.1431
2007-07-09,14.5582
2007-07-10,14.1717
2007-07-11,14.0143
2007-07-12,14.3292
2007-07-13,14.2362
2007-07-16,14.4509
2007-07-17,14.4151
2007-07-18,14.3435
2007-07-19,14.5081
2007-07-20,14.3507
2007-07-23,14.322
2007-07-24,13.821
2007-07-25,13.6993
2007-07-26,13.32
2007-07-27,12.8619
2007-07-30,12.7904
2007-07-31,12.5899
2007-08-01,12.2106
2007-08-02,12.2965
2007-08-03,12.2034
2007-08-06,12.5756
2007-08-07,12.5613
2007-08-08,13.0122
2007-08-09,12.8762
2007-08-10,13.1196
2007-08-13,12.7331
2007-08-14,12.9621
2007-08-15,12.6043
2007-08-16,12.4897
2007-08-17,12.5255
2007-08-20,12.4039
2007-08-21,12.7689
2007-08-22,12.1104
2007-08-23,11.6595
2007-08-24,12.8118
2007-08-27,12.7259
2007-08-28,12.5971
2007-08-29,12.7904
