Date,Settle
2009-07-01,29.6067
2009-07-02,29.3421
2009-07-06,28.5947
2009-07-07,28.63
2009-07-08,28.7938
2009-07-09,28.6585
2009-07-10,28.8884
2009-07-13,28.8869
2009-07-14,29.7089
2009-07-15,30.3326
2009-07-16,30.3918
2009-07-17,29.6397
2009-07-20,30.0558
2009-07-21,29.8451
2009-07-22,30.2872
2009-07-23,30.6364
2009-07-24,30.5164
2009-07-27,30.4733
2009-07-29,30.2772
2009-07-30,30.388
2009-07-31,30.4349
2009-08-03,30.4364
2009-08-04,30.0427
2009-08-05,29.8697
2009-08-06,30.3211
2009-08-07,30.2488
2009-08-10,30.8786
2009-08-11,31.1562
2009-08-12,31.4769
2009-08-13,29.7435
2009-08-14,29.7382
2009-08-18,30.6986
2009-08-19,30.9547
2009-08-20,31.3092
2009-08-21,32.3882
2009-08-24,32.4581
2009-08-25,32.3951
2009-08-26,32.4981
2009-08-27,32.1559
2009-08-28,32.7181
2009-08-31,33.2341
2009-09-01,32.2943
2009-09-02,32.0644
2009-09-03,32.0006
2009-09-04,31.8568
2009-09-08,33.6078
2009-09-09,34.1499
2009-09-10,34.3568
2009-09-11,34.9474
2009-09-14,35.3281
2009-09-15,35.1381
2009-09-16,36.1047
2009-09-17,35.7971
2009-09-18,36.1432
2009-09-21,36.6815
2009-09-22,36.0278
2009-09-23,35.2973
2009-09-24,35.082
2009-09-25,34.5437
2009-09-28,34.9359
2009-09-29,34.8205
2009-09-30,35.3281
2009-10-01,34.659
2009-10-02,33.8362
2009-10-05,34.9128
2009-10-06,35.8817
2009-10-07,35.9279
2009-10-08,37.0583
2009-10-09,36.5969
2009-10-12,36.8353
2009-10-13,36.5662
2009-10-14,38.1042
2009-10-15,38.3041
2009-10-16,38.5956
2009-10-19,39.3653
2009-10-20,38.5656
2009-10-21,39.0347
2009-10-22,40.2189
2009-10-23,38.8732
2009-10-26,38.058
2009-10-27,37.2198
2009-10-28,36.52
2009-10-29,37.5966
2009-10-30,36.2816
2009-11-02,37.1506
2009-11-03,36.2278
2009-11-04,36.4354
2009-11-05,37.3659
2009-11-06,37.1967
2009-11-09,38.2349
2009-11-10,37.1583
2009-11-11,37.4044
2009-11-12,37.1198
2009-11-13,38.6578
2009-11-16,39.7191
2009-11-17,39.2884
2009-11-18,39.5191
2009-11-19,38.9116
2009-11-20,38.9654
2009-11-23,39.4653
2009-11-24,39.4653
2009-11-25,40.3266
2009-11-27,39.3576
2009-11-30,38.6732
2009-12-01,40.1805
2009-12-02,40.9418
2009-12-03,40.4804
2009-12-04,40.4804
2009-12-07,40.3727
2009-12-08,39.3423
2009-12-09,39.5037
2009-12-10,39.7498
2009-12-11,40.2343
2009-12-14,40.7495
2009-12-15,40.3343
2009-12-16,40.4496
2009-12-17,39.5499
2009-12-18,38.9193
2009-12-21,39.0885
2009-12-22,38.9731
2009-12-23,39.4345
2009-12-24,39.5883
2009-12-28,40.0036
2009-12-29,40.3189
2009-12-30,40.0805
2009-12-31,40.0113
2010-01-04,41.134
2010-01-05,40.6419
2010-01-06,40.3881
2010-01-07,39.4038
2010-01-08,39.1808
2010-01-11,39.5345
2010-01-12,39.373
2010-01-13,39.8267
2010-01-14,39.8959
2010-01-15,38.827
2010-01-19,38.8578
2010-01-20,37.8888
2010-01-21,36.8199
2010-01-22,36.9583
2010-01-25,37.1814
2010-01-26,36.9968
2010-01-27,38.2426
2010-01-28,37.735
2010-01-29,38.2887
2010-02-01,38.9501
2010-02-02,39.2346
2010-02-03,39.2115
2010-02-04,36.8276
2010-02-05,35.7049
2010-02-08,36.174
2010-02-09,37.3121
2010-02-10,37.1429
2010-02-11,37.7812
2010-02-12,38.0965
2010-02-16,38.6117
2010-02-17,39.1039
2010-02-18,39.3423
2010-02-19,38.6963
2010-02-22,38.1657
2010-02-23,37.7197
2010-02-24,38.6578
2010-02-25,38.2503
2010-02-26,38.4118
2010-03-01,39.1039
2010-03-02,39.1116
2010-03-03,39.5268
2010-03-04,38.0042
2010-03-05,38.1426
2010-03-08,37.6812
2010-03-09,38.2195
2010-03-10,38.7347
2010-03-11,38.9654
2010-03-12,38.9116
2010-03-15,38.4425
2010-03-16,39.4576
2010-03-17,39.7883
2010-03-18,39.7191
2010-03-19,39.5653
2010-03-22,39.7268
2010-03-23,39.9267
2010-03-24,38.9578
2010-03-25,38.5809
2010-03-26,38.6963
2010-03-29,38.9808
2010-03-30,39.027
2010-03-31,38.7963
2010-04-01,39.0962
2010-04-05,39.0808
2010-04-06,39.3192
2010-04-07,39.0962
2010-04-08,39.3499
2010-04-09,39.9498
2010-04-12,40.2574
2010-04-13,39.5191
2010-04-14,39.573
2010-04-15,38.927
2010-04-16,38.2887
2010-04-19,37.9119
2010-04-20,38.4118
2010-04-21,37.9888
2010-04-22,38.0273
2010-04-23,38.0941
2010-04-26,37.9778
2010-04-27,36.9935
2010-04-28,36.4897
2010-04-29,37.319
2010-04-30,37.5515
2010-05-03,37.7298
2010-05-04,37.071
2010-05-05,36.8385
2010-05-06,36.3037
2010-05-07,35.4976
2010-05-10,38.6676
2010-05-11,38.1096
2010-05-12,38.3188
2010-05-13,38.1096
2010-05-14,36.978
2010-05-17,37.5515
2010-05-18,37.1485
2010-05-19,37.6368
2010-05-20,36.4277
2010-05-21,37.412
2010-05-24,36.823
2010-05-25,36.5207
2010-05-26,35.8077
2010-05-27,38.1948
2010-05-28,37.133
2010-06-01,36.8385
2010-06-02,38.0243
2010-06-03,37.7065
2010-06-04,36.0092
2010-06-07,36.2959
2010-06-08,36.8307
2010-06-09,36.9625
2010-06-10,38.0786
2010-06-11,37.6368
2010-06-14,38.4274
2010-06-15,40.1092
2010-06-16,39.9
2010-06-17,40.241
2010-06-18,39.7217
2010-06-21,39.5357
2010-06-22,38.9854
2010-06-23,38.8924
2010-06-24,38.6909
2010-06-25,38.4351
2010-06-28,38.4971
2010-06-29,37.3733
2010-06-30,37.2105
2010-07-01,38.1406
2010-07-02,37.8693
2010-07-06,39.0474
2010-07-07,39.7837
2010-07-08,40.3805
2010-07-09,40.675
2010-07-12,40.892
2010-07-13,41.5973
2010-07-14,41.6981
2010-07-15,42.1244
2010-07-16,40.9618
2010-07-19,41.1478
2010-07-20,40.6905
2010-07-21,41.0315
2010-07-22,42.1554
2010-07-23,42.3724
2010-07-26,42.6747
2010-07-27,42.3956
2010-07-28,41.6516
2010-07-29,41.3726
2010-07-30,41.1246
2010-08-02,42.2871
2010-08-03,42.5042
