Date,Settle
1993-08-13,1.8622
1993-08-16,1.8436
1993-08-17,1.8157
1993-08-18,1.8436
1993-08-19,1.8808
1993-08-20,1.8995
1993-08-23,1.8715
1993-08-24,1.8622
1993-08-25,1.8808
1993-08-26,1.8808
1993-08-27,1.8995
1993-08-30,1.8995
1993-08-31,1.9088
1993-09-01,1.8995
1993-09-02,1.8622
1993-09-03,1.825
1993-09-07,1.8436
1993-09-08,1.7877
1993-09-09,1.7784
1993-09-10,1.7132
1993-09-13,1.7132
1993-09-14,1.6201
1993-09-15,1.7132
1993-09-16,1.7039
1993-09-17,1.7598
1993-09-20,1.7319
1993-09-21,1.6853
1993-09-22,1.6667
1993-09-23,1.6294
1993-09-24,1.676
1993-09-27,1.7225
1993-09-28,1.7225
1993-09-29,1.8622
1993-09-30,1.9646
1993-10-01,1.9367
1993-10-04,1.9088
1993-10-05,1.8063
1993-10-06,1.825
1993-10-07,1.8343
1993-10-08,1.8622
1993-10-11,1.9553
1993-10-12,1.9553
1993-10-13,1.9367
1993-10-14,1.9646
1993-10-15,1.9646
1993-10-18,1.9646
1993-10-19,1.9646
1993-10-20,1.9739
1993-10-21,1.9739
1993-10-22,1.9739
1993-10-25,1.9739
1993-10-26,1.9367
1993-10-27,1.9088
1993-10-28,1.9367
1993-10-29,1.9832
1993-11-01,1.9739
1993-11-02,1.9739
1993-11-03,1.9646
1993-11-04,1.9367
1993-11-05,1.8995
1993-11-08,1.9181
1993-11-09,1.9088
1993-11-10,1.8901
1993-11-11,1.8808
1993-11-12,1.8715
1993-11-15,1.8715
1993-11-16,1.8808
1993-11-17,1.7784
1993-11-18,1.7691
1993-11-19,1.7412
1993-11-22,1.7412
1993-11-23,1.7505
1993-11-24,1.7877
1993-11-26,1.8529
1993-11-29,1.8436
1993-11-30,1.8343
1993-12-01,1.8157
1993-12-02,1.797
1993-12-03,1.7877
1993-12-06,1.8063
1993-12-07,1.7412
1993-12-08,1.7225
1993-12-09,1.7132
1993-12-10,1.7225
1993-12-13,1.7505
1993-12-14,1.7877
1993-12-15,1.8529
1993-12-16,1.8436
1993-12-17,1.8529
1993-12-20,1.8436
1993-12-21,1.8622
1993-12-22,1.8995
1993-12-23,1.8995
1993-12-27,1.9739
1993-12-28,1.9926
1993-12-29,2.0391
1993-12-30,2.0019
1993-12-31,2.0857
1994-01-03,2.0112
1994-01-04,2.0112
1994-01-05,2.0484
1994-01-06,2.0484
1994-01-07,2.0112
1994-01-10,2.0019
1994-01-11,1.9926
1994-01-12,2.0112
1994-01-13,2.0019
1994-01-14,2.0298
1994-01-17,2.0484
1994-01-18,2.1229
1994-01-19,2.1415
1994-01-20,2.1881
1994-01-21,2.2346
1994-01-24,2.2533
1994-01-25,2.2346
1994-01-26,2.264
1994-01-27,2.3108
1994-01-28,2.3014
1994-01-31,2.4511
1994-02-01,2.3763
1994-02-02,2.3669
1994-02-03,2.3763
1994-02-04,2.4043
1994-02-07,2.4137
1994-02-08,2.4511
1994-02-09,2.5072
1994-02-10,2.4605
1994-02-11,2.395
1994-02-14,2.3388
1994-02-15,2.2734
1994-02-16,2.2921
1994-02-17,2.3388
1994-02-18,2.3575
1994-02-22,2.395
1994-02-23,2.3295
1994-02-24,2.3108
1994-02-25,2.264
1994-02-28,2.3014
1994-03-01,2.2827
1994-03-02,2.2546
1994-03-03,2.2453
1994-03-04,2.2453
1994-03-07,2.3014
1994-03-08,2.395
1994-03-09,2.4324
1994-03-10,2.4324
1994-03-11,2.4324
1994-03-14,2.4417
1994-03-15,2.4698
1994-03-16,2.5072
1994-03-17,2.5259
1994-03-18,2.5166
1994-03-21,2.4885
1994-03-22,2.4605
1994-03-23,2.4698
1994-03-24,2.4324
1994-03-25,2.4324
1994-03-28,2.395
1994-03-29,2.3575
1994-03-30,2.2546
1994-03-31,2.2359
1994-04-04,2.1985
1994-04-05,2.2734
1994-04-06,2.2827
1994-04-07,2.3575
1994-04-08,2.3201
1994-04-11,2.2921
1994-04-12,2.2266
1994-04-13,2.1704
1994-04-14,2.1517
1994-04-15,2.0862
1994-04-18,2.0582
1994-04-19,1.9085
1994-04-20,1.8524
1994-04-21,1.9272
1994-04-22,1.9366
1994-04-25,1.9459
1994-04-26,1.9776
1994-04-28,2.0341
1994-04-29,1.9776
1994-05-02,1.9211
1994-05-03,1.9399
1994-05-04,1.9776
1994-05-05,1.9964
1994-05-06,1.9588
1994-05-09,1.987
1994-05-10,2.0058
1994-05-11,1.987
1994-05-12,1.987
1994-05-13,1.9399
1994-05-16,1.9493
1994-05-17,1.9399
1994-05-18,1.9493
1994-05-19,1.9211
1994-05-20,1.8834
1994-05-23,1.8363
1994-05-24,1.8175
1994-05-25,1.8081
1994-05-26,1.8834
1994-05-27,1.874
1994-05-31,1.8363
1994-06-01,1.7893
1994-06-02,1.7704
1994-06-03,1.7798
1994-06-06,1.7798
1994-06-07,1.7893
1994-06-08,1.7893
1994-06-09,1.761
1994-06-10,1.7704
1994-06-13,1.7704
1994-06-14,1.7704
1994-06-15,1.7893
1994-06-16,1.761
1994-06-17,1.8081
1994-06-20,1.7987
1994-06-21,1.7704
1994-06-22,1.7704
1994-06-23,1.7516
1994-06-24,1.7422
1994-06-27,1.7327
1994-06-28,1.7233
1994-06-29,1.7233
1994-06-30,1.7045
1994-07-01,1.7045
1994-07-05,1.7045
1994-07-06,1.8834
1994-07-07,1.9211
1994-07-08,1.9588
1994-07-11,1.9776
1994-07-12,1.9588
1994-07-13,1.9776
1994-07-14,2.1188
1994-07-15,2.0529
1994-07-18,2.0153
1994-07-19,2.0718
1994-07-20,2.1
1994-07-21,2.1283
1994-07-22,2.1659
1994-07-25,2.1471
1994-07-26,2.179
1994-07-27,2.179
1994-07-28,2.1979
1994-07-29,2.1884
1994-08-01,2.1411
1994-08-02,2.1884
1994-08-03,2.1979
1994-08-04,2.1411
1994-08-05,2.1032
1994-08-08,1.9895
1994-08-09,1.9705
1994-08-10,1.9895
1994-08-11,1.9705
1994-08-12,2.1032
1994-08-15,2.0558
1994-08-16,2.1032
1994-08-17,2.0558
1994-08-18,2.0653
1994-08-19,2.0558
1994-08-22,2.0653
1994-08-23,2.0558
1994-08-24,1.999
1994-08-25,1.9421
1994-08-26,1.9611
1994-08-29,1.9895
1994-08-30,2.0179
1994-08-31,2.0179
1994-09-01,2.0084
1994-09-02,1.999
1994-09-06,1.98
1994-09-07,1.9611
1994-09-08,1.9327
1994-09-09,1.9137
1994-09-12,1.8474
1994-09-13,1.8663
1994-09-14,1.8853
