Date,Settle
1997-06-18,7.9423
1997-06-19,7.9052
1997-06-20,7.831
1997-06-23,7.7568
1997-06-24,7.7382
1997-06-25,7.8496
1997-06-26,8.0166
1997-06-27,7.9795
1997-06-30,8.0908
1997-07-01,7.9052
1997-07-02,7.831
1997-07-03,7.9052
1997-07-07,7.9423
1997-07-08,7.9238
1997-07-09,7.8867
1997-07-10,7.831
1997-07-11,7.8496
1997-07-14,7.9423
1997-07-15,7.9238
1997-07-16,7.9795
1997-07-17,8.0351
1997-07-18,7.9052
1997-07-21,7.9609
1997-07-22,7.9609
1997-07-23,7.9609
1997-07-24,8.0351
1997-07-25,8.1094
1997-07-28,8.1094
1997-07-29,8.1465
1997-07-30,8.1836
1997-07-31,8.2764
1997-08-01,8.2764
1997-08-04,8.2764
1997-08-05,8.3506
1997-08-06,8.7217
1997-08-07,8.6846
1997-08-08,8.6104
1997-08-11,8.3691
1997-08-12,8.2949
1997-08-13,8.2207
1997-08-14,8.165
1997-08-15,8.2021
1997-08-18,8.2578
1997-08-19,8.3877
1997-08-20,8.5176
1997-08-21,8.6104
1997-08-22,8.6846
1997-08-25,8.7032
1997-08-26,8.6846
1997-08-27,8.7032
1997-08-28,8.7774
1997-08-29,8.8516
1997-09-02,8.8702
1997-09-03,8.8887
1997-09-04,8.796
1997-09-05,9.1671
1997-09-08,9.2599
1997-09-09,9.2042
1997-09-10,9.0743
1997-09-11,8.9444
1997-09-12,9.0743
1997-09-15,9.2042
1997-09-16,9.4454
1997-09-17,9.4269
1997-09-18,9.5011
1997-09-19,9.5011
1997-09-22,9.4826
1997-09-23,9.3712
1997-09-24,9.464
1997-09-25,9.5382
1997-09-26,9.631
1997-09-29,9.8723
1997-09-30,9.7424
1997-10-01,10.0207
1997-10-02,10.0949
1997-10-03,10.0764
1997-10-06,9.9465
1997-10-07,9.7424
1997-10-08,9.8537
1997-10-09,9.7424
1997-10-10,9.6496
1997-10-13,9.7238
1997-10-14,9.8723
1997-10-15,9.8908
1997-10-16,9.6125
1997-10-17,9.5011
1997-10-20,9.4826
1997-10-21,9.3527
1997-10-22,9.4269
1997-10-23,9.2599
1997-10-24,9.464
1997-10-27,9.1671
1997-10-28,8.9073
1997-10-29,9.1485
1997-10-30,8.9259
1997-10-31,9.5011
1997-11-03,10.0207
1997-11-04,10.1135
1997-11-05,10.0766
1997-11-06,10.1518
1997-11-07,10.1142
1997-11-10,9.945
1997-11-11,9.8134
1997-11-12,9.757
1997-11-13,9.6067
1997-11-14,10.0014
1997-11-17,10.227
1997-11-18,10.227
1997-11-19,10.2834
1997-11-20,10.3398
1997-11-21,10.321
1997-11-24,10.227
1997-11-25,10.2082
1997-11-26,9.851
1997-11-28,9.8134
1997-12-01,10.0014
1997-12-02,10.1894
1997-12-03,10.3398
1997-12-04,10.3398
1997-12-05,10.2082
1997-12-08,10.1894
1997-12-09,10.3398
1997-12-10,10.2458
1997-12-11,10.1894
1997-12-12,10.0766
1997-12-15,10.2458
1997-12-16,10.1894
1997-12-17,10.3398
1997-12-18,10.2458
1997-12-19,10.227
1997-12-22,10.0014
1997-12-23,10.0106
1997-12-24,10.1248
1997-12-26,10.1057
1997-12-29,10.1057
1997-12-30,10.258
1997-12-31,10.0677
1998-01-02,10.1057
1998-01-05,10.239
1998-01-06,10.258
1998-01-07,10.2199
1998-01-08,10.258
1998-01-09,10.1819
1998-01-12,10.0486
1998-01-13,9.8964
1998-01-14,10.0106
1998-01-15,10.1248
1998-01-16,10.5054
1998-01-20,10.2199
1998-01-21,10.3912
1998-01-22,10.5244
1998-01-23,10.6386
1998-01-26,10.6957
1998-01-27,10.8289
1998-01-28,10.848
1998-01-29,10.886
1998-01-30,10.8289
1998-02-02,10.9241
1998-02-03,10.9241
1998-02-04,10.867
1998-02-05,10.9051
1998-02-06,10.886
1998-02-09,10.867
1998-02-10,10.8289
1998-02-11,10.7909
1998-02-12,10.7528
1998-02-13,10.7147
1998-02-17,10.6957
