Date,Settle
1990-01-02,10.8514
1990-01-03,10.99
1990-01-04,10.8514
1990-01-05,10.9438
1990-01-08,11.0361
1990-01-09,10.8976
1990-01-10,10.8053
1990-01-11,10.8976
1990-01-12,10.3435
1990-01-15,10.2973
1990-01-16,10.2511
1990-01-17,10.5282
1990-01-18,10.6667
1990-01-19,10.6667
1990-01-22,10.205
1990-01-23,9.8817
1990-01-24,9.9741
1990-01-25,9.6047
1990-01-26,9.697
1990-01-29,9.6509
1990-01-30,9.3119
1990-01-31,9.6825
1990-02-01,9.7288
1990-02-02,10.0068
1990-02-05,9.9605
1990-02-06,9.6362
1990-02-07,10.0068
1990-02-08,9.9142
1990-02-09,9.9605
1990-02-12,9.7288
1990-02-13,9.5899
1990-02-14,9.5899
1990-02-15,9.8215
1990-02-16,9.9142
1990-02-20,9.6362
1990-02-21,9.6362
1990-02-22,9.5435
1990-02-23,9.5435
1990-02-26,9.9142
1990-02-27,9.8678
1990-02-28,9.9605
1990-03-01,9.9605
1990-03-02,9.9605
1990-03-05,9.9142
1990-03-06,9.9142
1990-03-07,9.8215
1990-03-08,10.0995
1990-03-09,10.1458
1990-03-12,10.0995
1990-03-13,10.0531
1990-03-14,10.4238
1990-03-15,10.5164
1990-03-16,10.6554
1990-03-19,10.5627
1990-03-20,10.2848
1990-03-21,10.2848
1990-03-22,10.0068
1990-03-23,10.0531
1990-03-26,10.0068
1990-03-27,10.1458
1990-03-28,10.3774
1990-03-29,10.2848
1990-03-30,10.1921
1990-04-02,10.0068
1990-04-03,10.3774
1990-04-04,10.4238
1990-04-05,10.5627
1990-04-06,10.6554
1990-04-09,10.5627
1990-04-10,10.7944
1990-04-11,10.9797
1990-04-12,10.9334
1990-04-16,11.2113
1990-04-17,11.4893
1990-04-18,11.0724
1990-04-19,11.026
1990-04-20,10.5627
1990-04-23,10.5627
1990-04-24,10.3774
1990-04-25,10.6091
1990-04-26,10.7481
1990-04-27,10.6091
1990-04-30,10.6554
1990-05-01,10.7801
1990-05-02,11.1983
1990-05-03,10.9195
1990-05-04,11.0589
1990-05-07,11.1053
1990-05-08,11.0124
1990-05-09,11.0124
1990-05-10,11.0589
1990-05-11,11.3377
1990-05-14,11.6165
1990-05-15,11.8488
1990-05-16,11.8488
1990-05-17,11.9417
1990-05-18,11.8488
1990-05-21,11.9882
1990-05-22,12.0811
1990-05-23,12.0347
1990-05-24,12.1276
1990-05-25,11.8953
1990-05-29,12.267
1990-05-30,12.1276
1990-05-31,12.1276
1990-06-01,12.2205
1990-06-04,12.3599
1990-06-05,12.7781
1990-06-06,12.4529
1990-06-07,12.267
1990-06-08,11.8953
1990-06-11,12.1741
1990-06-12,12.3135
1990-06-13,12.3599
1990-06-14,12.5923
1990-06-15,12.4993
1990-06-18,12.267
