Date,Settle
1990-01-02,2.6137
1990-01-03,2.6251
1990-01-04,2.5455
1990-01-05,2.5115
1990-01-08,2.5228
1990-01-09,2.5001
1990-01-10,2.5455
1990-01-11,2.5796
1990-01-12,2.5228
1990-01-15,2.4774
1990-01-16,2.4546
1990-01-17,2.4205
1990-01-18,2.4319
1990-01-19,2.3864
1990-01-22,2.3751
1990-01-23,2.3637
1990-01-24,2.3183
1990-01-25,2.2274
1990-01-26,2.2614
1990-01-29,2.218
1990-01-30,2.1837
1990-01-31,2.218
1990-02-01,2.218
1990-02-02,2.1837
1990-02-05,2.138
1990-02-06,2.1037
1990-02-07,2.1723
1990-02-08,2.1723
1990-02-09,2.2637
1990-02-12,2.2523
1990-02-13,2.2523
1990-02-14,2.2294
1990-02-15,2.3209
1990-02-16,2.3666
1990-02-20,2.3323
1990-02-21,2.3209
1990-02-22,2.298
1990-02-23,2.2866
1990-02-26,2.3095
1990-02-27,2.3552
1990-02-28,2.4124
1990-03-01,2.3781
1990-03-02,2.3666
1990-03-05,2.3323
1990-03-06,2.3666
1990-03-07,2.3438
1990-03-08,2.3666
1990-03-09,2.3552
1990-03-12,2.3552
1990-03-13,2.3666
1990-03-14,2.3666
1990-03-15,2.3666
1990-03-16,2.3781
1990-03-19,2.481
1990-03-20,2.5153
1990-03-21,2.4924
1990-03-22,2.481
1990-03-23,2.5267
1990-03-26,2.561
1990-03-27,2.6296
1990-03-28,2.5953
1990-03-29,2.5496
1990-03-30,2.5724
1990-04-02,2.561
1990-04-03,2.6067
1990-04-04,2.561
1990-04-05,2.561
1990-04-06,2.6296
1990-04-09,2.6753
1990-04-10,2.6753
1990-04-11,2.6639
1990-04-12,2.6639
1990-04-16,2.641
1990-04-17,2.641
1990-04-18,2.6525
1990-04-19,2.5839
1990-04-20,2.561
1990-04-23,2.561
1990-04-24,2.5496
1990-04-25,2.5839
1990-04-26,2.6067
1990-04-27,2.5267
1990-04-30,2.5635
1990-05-01,2.5865
1990-05-02,2.621
1990-05-03,2.6669
1990-05-04,2.6899
1990-05-07,2.6899
1990-05-08,2.7474
1990-05-09,2.7014
1990-05-10,2.6784
1990-05-11,2.7359
1990-05-14,2.7244
1990-05-15,2.7014
1990-05-16,2.7474
1990-05-17,2.7474
1990-05-18,2.7589
1990-05-21,2.8049
1990-05-22,2.8853
1990-05-23,2.8968
1990-05-24,2.9313
1990-05-25,2.8279
1990-05-29,2.8509
1990-05-30,2.8509
1990-05-31,2.8739
1990-06-01,2.8624
1990-06-04,2.9658
1990-06-05,2.8968
1990-06-06,2.8739
1990-06-07,2.9428
1990-06-08,3.0578
1990-06-11,3.1382
1990-06-12,3.2072
1990-06-13,3.2072
1990-06-14,3.1153
1990-06-15,3.0923
1990-06-18,3.0348
1990-06-19,3.0808
1990-06-20,3.0463
1990-06-21,3.1153
1990-06-22,3.0923
1990-06-25,3.0463
1990-06-26,3.0118
1990-06-27,3.0578
1990-06-28,3.2187
1990-06-29,3.2532
1990-07-02,3.1957
1990-07-03,3.1957
1990-07-05,3.1727
1990-07-06,3.1727
1990-07-09,3.2647
1990-07-10,3.1842
1990-07-11,3.2187
1990-07-12,3.2072
