Date,Settle
1990-01-02,1.6793
1990-01-03,1.6966
1990-01-04,1.6966
1990-01-05,1.7312
1990-01-08,1.6966
1990-01-09,1.6793
1990-01-10,1.662
1990-01-11,1.662
1990-01-12,1.6793
1990-01-15,1.5927
1990-01-16,1.5754
1990-01-17,1.5235
1990-01-18,1.4542
1990-01-19,1.4715
1990-01-22,1.385
1990-01-23,1.4196
1990-01-24,1.4023
1990-01-25,1.4109
1990-01-26,1.3677
1990-01-29,1.385
1990-01-30,1.385
1990-01-31,1.4023
1990-02-01,1.4369
1990-02-02,1.4542
1990-02-05,1.4369
1990-02-06,1.4542
1990-02-07,1.4888
1990-02-08,1.4888
1990-02-09,1.5235
1990-02-12,1.5235
1990-02-13,1.4888
1990-02-14,1.5235
1990-02-15,1.4975
1990-02-16,1.4888
1990-02-20,1.5062
1990-02-21,1.4888
1990-02-22,1.4888
1990-02-23,1.5062
1990-02-26,1.4542
1990-02-27,1.4715
1990-02-28,1.4715
1990-03-01,1.4715
1990-03-02,1.5062
1990-03-05,1.5062
1990-03-06,1.5235
1990-03-07,1.5062
1990-03-08,1.5235
1990-03-09,1.5062
1990-03-12,1.4888
1990-03-13,1.4369
1990-03-14,1.4715
1990-03-15,1.4715
1990-03-16,1.5062
1990-03-19,1.4715
1990-03-20,1.4975
1990-03-21,1.5235
1990-03-22,1.4715
1990-03-23,1.4715
1990-03-26,1.4729
1990-03-27,1.5249
1990-03-28,1.5076
1990-03-29,1.4729
1990-03-30,1.4902
1990-04-02,1.5422
1990-04-03,1.5162
1990-04-04,1.5422
1990-04-05,1.5422
1990-04-06,1.5249
1990-04-09,1.5596
1990-04-10,1.5856
1990-04-11,1.6289
1990-04-12,1.6115
1990-04-16,1.5942
1990-04-17,1.5942
1990-04-18,1.5769
1990-04-19,1.5422
1990-04-20,1.5596
1990-04-23,1.5596
1990-04-24,1.5596
1990-04-25,1.5422
1990-04-26,1.5336
1990-04-27,1.5596
1990-04-30,1.5422
1990-05-01,1.5249
1990-05-02,1.5422
1990-05-03,1.5769
1990-05-04,1.5769
1990-05-07,1.5769
1990-05-08,1.6115
1990-05-09,1.6115
1990-05-10,1.6115
1990-05-11,1.6115
1990-05-14,1.6375
1990-05-15,1.6462
1990-05-16,1.7328
1990-05-17,1.7848
1990-05-18,1.7502
1990-05-21,1.8022
1990-05-22,1.8022
1990-05-23,1.7848
1990-05-24,1.7935
1990-05-25,1.7848
1990-05-29,1.7848
1990-05-30,1.8282
1990-05-31,1.8368
1990-06-01,1.8455
1990-06-04,1.8541
1990-06-05,1.8541
