Date,Settle
1990-01-02,3.26
1990-01-03,3.2946
1990-01-04,3.3084
1990-01-05,3.2877
1990-01-08,3.2669
1990-01-09,3.2461
1990-01-10,3.2531
1990-01-11,3.2531
1990-01-12,3.1977
1990-01-15,3.1838
1990-01-16,3.1727
1990-01-17,3.0544
1990-01-18,3.0823
1990-01-19,3.0683
1990-01-22,3.0336
1990-01-23,3.0753
1990-01-24,3.1032
1990-01-25,3.0683
1990-01-26,3.0544
1990-01-29,3.0405
1990-01-30,3.0336
1990-01-31,3.0823
1990-02-01,3.0892
1990-02-02,3.0962
1990-02-05,3.0753
1990-02-06,3.0614
1990-02-07,3.0753
1990-02-08,3.124
1990-02-09,3.1032
1990-02-12,3.0823
1990-02-13,3.0823
1990-02-14,3.0892
1990-02-15,3.1101
1990-02-16,3.131
1990-02-20,3.117
1990-02-21,3.1588
1990-02-22,3.2005
1990-02-23,3.2145
1990-02-26,3.291
1990-02-27,3.3466
1990-02-28,3.3745
1990-03-01,3.3606
1990-03-02,3.458
1990-03-05,3.4719
1990-03-06,3.4928
1990-03-07,3.4719
1990-03-08,3.4719
1990-03-09,3.451
1990-03-12,3.4093
1990-03-13,3.3536
1990-03-14,3.3536
1990-03-15,3.3745
1990-03-16,3.3815
1990-03-19,3.4232
1990-03-20,3.4023
1990-03-21,3.3884
1990-03-22,3.3745
1990-03-23,3.4301
1990-03-26,3.4441
1990-03-27,3.4301
1990-03-28,3.4093
1990-03-29,3.4093
1990-03-30,3.4023
1990-04-02,3.3466
1990-04-03,3.3884
1990-04-04,3.3745
1990-04-05,3.4023
1990-04-06,3.3606
1990-04-09,3.3536
1990-04-10,3.3536
1990-04-11,3.3536
1990-04-12,3.3466
1990-04-16,3.3536
1990-04-17,3.3634
1990-04-18,3.3215
1990-04-19,3.3494
1990-04-20,3.3844
1990-04-23,3.3914
1990-04-24,3.4263
1990-04-25,3.4823
1990-04-26,3.4963
1990-04-27,3.4543
1990-04-30,3.4333
1990-05-01,3.4263
1990-05-02,3.5032
1990-05-03,3.5103
1990-05-04,3.5172
1990-05-07,3.6012
1990-05-08,3.6151
1990-05-09,3.6361
1990-05-10,3.5662
1990-05-11,3.706
1990-05-14,3.762
1990-05-15,3.727
1990-05-16,3.6711
1990-05-17,3.692
1990-05-18,3.692
1990-05-21,3.748
1990-05-22,3.769
1990-05-23,3.79
1990-05-24,3.79
1990-05-25,3.7829
1990-05-29,3.7829
1990-05-30,3.776
1990-05-31,3.748
1990-06-01,3.741
1990-06-04,3.755
1990-06-05,3.79
1990-06-06,3.7829
1990-06-07,3.755
1990-06-08,3.72
1990-06-11,3.6851
1990-06-12,3.692
1990-06-13,3.6781
1990-06-14,3.692
1990-06-15,3.6711
1990-06-18,3.6151
1990-06-19,3.6012
1990-06-20,3.6431
1990-06-21,3.5942
1990-06-22,3.5522
1990-06-25,3.2725
1990-06-26,2.9369
1990-06-27,2.9229
1990-06-28,2.9299
1990-06-29,2.9438
1990-07-02,2.9648
1990-07-03,3.0208
1990-07-05,2.9928
1990-07-06,2.9578
1990-07-09,2.9928
1990-07-10,2.9788
1990-07-11,3.0348
1990-07-12,3.0418
1990-07-13,2.9509
1990-07-16,3.0029
1990-07-17,2.9677
1990-07-18,2.9607
1990-07-19,2.9536
1990-07-20,2.9536
1990-07-23,2.9185
1990-07-24,2.8693
1990-07-25,2.806
1990-07-26,2.7567
1990-07-27,2.7005
1990-07-30,2.7497
1990-07-31,2.7497
1990-08-01,2.7708
1990-08-02,2.6794
1990-08-03,2.6512
1990-08-06,2.5458
1990-08-07,2.5458
1990-08-08,2.6231
1990-08-09,2.6653
1990-08-10,2.6442
1990-08-13,2.6231
1990-08-14,2.6653
1990-08-15,2.6302
1990-08-16,2.588
1990-08-17,2.5106
1990-08-20,2.5458
1990-08-21,2.4684
1990-08-22,2.4192
1990-08-23,2.384
1990-08-24,2.4684
1990-08-27,2.5177
1990-08-28,2.4684
1990-08-29,2.4614
1990-08-30,2.4051
1990-08-31,2.4192
1990-09-04,2.4473
1990-09-05,2.4895
1990-09-06,2.4473
1990-09-07,2.4684
1990-09-10,2.4473
1990-09-11,2.4051
1990-09-12,2.4051
1990-09-13,2.4051
1990-09-14,2.3418
1990-09-17,2.391
1990-09-18,2.3981
1990-09-19,2.3699
1990-09-20,2.3629
1990-09-21,2.3559
1990-09-24,2.3348
1990-09-25,2.3699
1990-09-26,2.3418
1990-09-27,2.3418
1990-09-28,2.377
1990-10-01,2.4051
1990-10-02,2.4403
1990-10-03,2.4754
1990-10-04,2.4262
1990-10-05,2.377
1990-10-08,2.3629
1990-10-09,2.2364
1990-10-10,2.1941
1990-10-11,2.2012
1990-10-12,2.2293
1990-10-15,2.2434
1990-10-16,2.1966
1990-10-17,2.1824
1990-10-18,2.2887
1990-10-19,2.395
1990-10-22,2.4162
1990-10-23,2.4517
1990-10-24,2.4162
1990-10-25,2.3808
1990-10-26,2.2887
1990-10-29,2.2675
1990-10-30,2.2817
1990-10-31,2.31
1990-11-01,2.2745
1990-11-02,2.3454
1990-11-05,2.2958
1990-11-06,2.2958
1990-11-07,2.2604
1990-11-08,2.2533
1990-11-09,2.3312
1990-11-12,2.4517
1990-11-13,2.4446
1990-11-14,2.4729
1990-11-15,2.4446
1990-11-16,2.4375
1990-11-19,2.4729
1990-11-20,2.4375
1990-11-21,2.4021
1990-11-23,2.232
1990-11-26,2.2745
1990-11-27,2.3029
1990-11-28,2.2887
1990-11-29,2.2675
1990-11-30,2.3312
1990-12-03,2.4092
1990-12-04,2.4304
1990-12-05,2.4942
1990-12-06,2.5296
1990-12-07,2.558
1990-12-10,2.6005
1990-12-11,2.558
1990-12-12,2.6218
1990-12-13,2.5934
1990-12-14,2.558
1990-12-17,2.5296
1990-12-18,2.6005
1990-12-19,2.6572
1990-12-20,2.728
1990-12-21,2.6713
1990-12-24,2.643
1990-12-26,2.6359
1990-12-27,2.6359
1990-12-28,2.643
1990-12-31,2.6643
1991-01-02,2.643
1991-01-03,2.6005
1991-01-04,2.558
1991-01-07,2.5225
1991-01-08,2.5722
1991-01-09,2.5367
1991-01-10,2.5792
1991-01-11,2.6076
1991-01-14,2.6005
1991-01-15,2.6176
1991-01-16,2.4892
1991-01-17,2.6033
1991-01-18,2.5392
1991-01-21,2.5392
1991-01-22,2.4464
1991-01-23,2.5035
1991-01-24,2.639
1991-01-25,2.6676
1991-01-28,2.7389
1991-01-29,2.7959
1991-01-30,2.8387
1991-01-31,2.8387
1991-02-01,2.8173
1991-02-04,2.8601
1991-02-05,2.9029
1991-02-06,2.8459
1991-02-07,2.7674
1991-02-08,2.7317
1991-02-11,2.7888
1991-02-12,2.8459
1991-02-13,2.8744
1991-02-14,2.8958
1991-02-15,2.9172
1991-02-19,2.9529
1991-02-20,2.8886
1991-02-21,2.8387
1991-02-22,2.8316
1991-02-25,2.8886
1991-02-26,2.8673
1991-02-27,3.0527
1991-02-28,3.1169
1991-03-01,3.1383
1991-03-04,3.1668
1991-03-05,3.231
1991-03-06,3.1312
1991-03-07,3.124
1991-03-08,3.124
1991-03-11,3.1668
1991-03-12,3.1097
1991-03-13,3.1312
1991-03-14,3.124
1991-03-15,3.0456
1991-03-18,2.9742
1991-03-19,2.8744
1991-03-20,2.8601
1991-03-21,2.8173
1991-03-22,2.7531
1991-03-25,2.7959
1991-03-26,2.7888
1991-03-27,2.7745
1991-03-28,2.7317
1991-04-01,2.7103
1991-04-02,2.7389
1991-04-03,2.7674
1991-04-04,2.7817
1991-04-05,2.7103
1991-04-08,2.746
1991-04-09,2.7103
1991-04-10,2.6747
1991-04-11,2.6961
1991-04-12,2.6747
1991-04-15,2.6747
1991-04-16,2.8498
1991-04-17,2.8426
1991-04-18,2.9001
1991-04-19,2.8426
1991-04-22,2.8139
1991-04-23,2.7996
1991-04-24,2.7709
1991-04-25,2.7422
1991-04-26,2.7278
1991-04-29,2.7206
1991-04-30,2.735
1991-05-01,2.7996
1991-05-02,2.8355
1991-05-03,2.8857
1991-05-06,2.857
1991-05-07,2.9145
1991-05-08,2.9575
1991-05-09,3.0006
1991-05-10,2.979
1991-05-13,2.9503
1991-05-14,2.9072
1991-05-15,2.857
1991-05-16,2.8714
1991-05-17,2.8714
1991-05-20,2.8426
1991-05-21,2.7637
1991-05-22,2.6919
1991-05-23,2.6632
1991-05-24,2.656
1991-05-28,2.735
1991-05-29,2.735
1991-05-30,2.8211
1991-05-31,2.9719
1991-06-03,3.0724
1991-06-04,3.0365
1991-06-05,2.979
1991-06-06,2.9647
1991-06-07,2.979
1991-06-10,2.9934
1991-06-11,3.0149
1991-06-12,2.9719
1991-06-13,2.9503
1991-06-14,2.979
1991-06-17,2.9647
1991-06-18,2.9216
1991-06-19,2.8426
1991-06-20,2.8283
1991-06-21,2.8714
1991-06-24,2.7924
1991-06-25,2.8068
1991-06-26,2.8714
1991-06-27,2.9001
1991-06-28,2.8355
1991-07-01,2.857
1991-07-02,2.857
1991-07-03,2.7996
1991-07-05,2.7852
1991-07-08,2.7422
1991-07-09,2.7062
1991-07-10,2.7135
1991-07-11,2.7135
1991-07-12,2.7565
1991-07-15,2.7924
1991-07-16,2.7519
1991-07-17,2.7592
1991-07-18,2.7953
1991-07-19,2.8459
1991-07-22,2.8892
1991-07-23,2.8603
1991-07-24,2.8097
1991-07-25,2.8603
1991-07-26,2.817
1991-07-29,2.8459
1991-07-30,2.8675
1991-07-31,2.8386
1991-08-01,2.8531
1991-08-02,2.8675
1991-08-05,2.817
1991-08-06,2.8314
1991-08-07,2.8314
1991-08-08,2.8531
1991-08-09,2.8242
1991-08-12,2.8097
1991-08-13,2.7664
1991-08-14,2.7592
1991-08-15,2.7375
1991-08-16,2.7086
1991-08-19,2.6219
1991-08-20,2.6364
1991-08-21,2.7086
1991-08-22,2.723
1991-08-23,2.7881
1991-08-26,2.7592
1991-08-27,2.7447
1991-08-28,2.7736
1991-08-29,2.7519
1991-08-30,2.7447
1991-09-03,2.723
1991-09-04,2.6869
1991-09-05,2.6942
1991-09-06,2.7014
1991-09-09,2.6869
1991-09-10,2.6725
1991-09-11,2.6653
1991-09-12,2.658
1991-09-13,2.6147
1991-09-16,2.658
1991-09-17,2.6436
1991-09-18,2.6508
1991-09-19,2.6436
1991-09-20,2.6436
1991-09-23,2.6147
1991-09-24,2.6364
1991-09-25,2.6436
1991-09-26,2.5714
1991-09-27,2.5931
1991-09-30,2.5786
1991-10-01,2.5569
1991-10-02,2.5714
1991-10-03,2.5714
1991-10-04,2.5714
1991-10-07,2.6147
1991-10-08,2.6653
1991-10-09,2.6003
1991-10-10,2.6075
1991-10-11,2.5931
1991-10-14,2.6219
1991-10-15,2.6248
1991-10-16,2.683
1991-10-17,2.763
1991-10-18,2.8284
1991-10-21,2.843
1991-10-22,2.8502
1991-10-23,2.8357
1991-10-24,2.7921
1991-10-25,2.763
1991-10-28,2.7921
1991-10-29,2.7703
1991-10-30,2.7776
1991-10-31,2.7921
1991-11-01,2.7485
1991-11-04,2.8212
1991-11-05,2.8066
