Date,Settle
1993-03-25,5.1852
1993-03-26,5.2079
1993-03-29,5.1399
1993-03-30,5.1399
1993-03-31,5.2532
1993-04-01,5.1852
1993-04-02,5.1626
1993-04-05,5.0947
1993-04-06,5.1626
1993-04-07,5.2758
1993-04-08,5.2305
1993-04-12,5.1852
1993-04-13,5.2079
1993-04-14,5.1852
1993-04-15,5.2532
1993-04-16,5.2758
1993-04-19,5.2532
1993-04-20,5.1173
1993-04-21,5.1399
1993-04-22,5.1173
1993-04-23,5.1399
1993-04-26,4.9814
1993-04-27,5.0041
1993-04-28,4.9814
1993-04-29,4.9814
1993-04-30,5.1852
1993-05-03,5.2532
1993-05-04,5.389
1993-05-05,5.7513
1993-05-06,5.6381
1993-05-07,5.6154
1993-05-10,5.6154
1993-05-11,5.6381
1993-05-12,5.6381
1993-05-13,5.4569
1993-05-14,5.4569
1993-05-17,5.4117
1993-05-18,5.4117
1993-05-19,5.5249
1993-05-20,5.4796
1993-05-21,5.4569
1993-05-24,5.4569
1993-05-25,5.3664
1993-05-26,5.2532
1993-05-27,5.2305
1993-05-28,5.1852
1993-06-01,5.1626
1993-06-02,5.1173
1993-06-03,5.072
1993-06-04,5.0267
1993-06-07,4.8909
1993-06-08,4.7777
1993-06-09,4.8003
1993-06-10,4.7777
1993-06-11,4.7097
1993-06-14,4.7324
1993-06-15,4.6871
1993-06-16,4.6644
1993-06-17,4.6644
1993-06-18,4.7097
1993-06-21,4.8456
1993-06-22,4.9588
1993-06-23,4.9814
1993-06-24,5.0451
1993-06-25,5.2041
1993-06-28,5.2269
1993-06-29,5.2723
1993-06-30,5.4087
1993-07-01,5.3632
1993-07-02,5.3632
1993-07-06,5.2951
1993-07-07,5.1814
1993-07-08,5.2041
1993-07-09,5.2723
1993-07-12,5.3632
1993-07-13,5.386
1993-07-14,5.3178
1993-07-15,5.3632
1993-07-16,5.3178
1993-07-19,5.3178
1993-07-20,5.3178
1993-07-21,5.2269
1993-07-22,5.1587
1993-07-23,5.136
1993-07-26,5.1814
1993-07-27,5.1132
1993-07-28,5.136
1993-07-29,5.1587
1993-07-30,5.1132
1993-08-02,5.0905
1993-08-03,5.1814
1993-08-04,5.2496
1993-08-05,5.3178
1993-08-06,5.545
1993-08-09,5.9314
1993-08-10,5.8632
1993-08-11,5.8859
1993-08-12,5.8859
1993-08-13,5.8859
1993-08-16,5.9086
1993-08-17,5.9314
1993-08-18,6.0904
1993-08-19,6.4313
1993-08-20,6.545
1993-08-23,6.3632
1993-08-24,6.1813
1993-08-25,6.2495
1993-08-26,6.2495
1993-08-27,6.2041
1993-08-30,6.295
1993-08-31,6.3177
1993-09-01,6.3404
1993-09-02,6.3596
1993-09-03,6.3368
1993-09-07,6.3368
1993-09-08,6.291
1993-09-09,6.2453
1993-09-10,6.1995
1993-09-13,6.1766
1993-09-14,6.1309
1993-09-15,6.1766
1993-09-16,6.1538
1993-09-17,6.1309
1993-09-20,6.1309
1993-09-21,5.9936
1993-09-22,6.0165
1993-09-23,6.0851
1993-09-24,6.0117
1993-09-27,6.0805
1993-09-28,6.0576
1993-09-29,6.0576
1993-09-30,6.0805
1993-10-01,6.0805
1993-10-04,6.1953
1993-10-05,6.1494
1993-10-06,6.1264
1993-10-07,6.0576
1993-10-08,6.1035
1993-10-11,6.0805
1993-10-12,6.1035
1993-10-13,6.0576
1993-10-14,6.0805
1993-10-15,6.1035
1993-10-18,6.2182
1993-10-19,6.3329
1993-10-20,6.31
1993-10-21,6.2641
1993-10-22,6.1953
1993-10-25,6.1494
1993-10-26,6.0117
1993-10-27,6.0346
1993-10-28,6.0117
1993-10-29,5.9658
1993-11-01,5.9888
1993-11-02,5.897
1993-11-03,5.8052
1993-11-04,5.6905
1993-11-05,5.5298
1993-11-08,5.5757
1993-11-09,5.5298
1993-11-10,5.5757
1993-11-11,5.7822
1993-11-12,5.8052
1993-11-15,5.7364
1993-11-16,5.6216
1993-11-17,5.5528
1993-11-18,5.5069
1993-11-19,5.5069
1993-11-22,5.4381
1993-11-23,5.461
1993-11-24,5.3692
1993-11-26,5.3463
1993-11-29,5.3692
1993-11-30,5.3463
1993-12-01,5.3922
1993-12-02,5.4381
1993-12-03,5.461
1993-12-06,5.4381
1993-12-07,5.461
1993-12-08,5.5528
1993-12-09,5.484
1993-12-10,5.4151
1993-12-13,5.4151
1993-12-14,5.3692
1993-12-15,5.3233
1993-12-16,5.2086
1993-12-17,5.2545
1993-12-20,5.1857
1993-12-21,5.1857
1993-12-22,5.2316
1993-12-23,5.2774
1993-12-27,5.411
1993-12-28,5.5491
1993-12-29,5.5261
1993-12-30,5.6182
1993-12-31,5.7334
1994-01-03,5.7103
1994-01-04,5.5952
1994-01-05,5.6643
1994-01-06,5.5722
1994-01-07,5.4801
1994-01-10,5.434
1994-01-11,5.457
1994-01-12,5.457
1994-01-13,5.411
1994-01-14,5.5261
1994-01-17,5.411
1994-01-18,5.3649
1994-01-19,5.411
1994-01-20,5.3189
1994-01-21,5.2959
1994-01-24,5.2959
1994-01-25,5.3189
1994-01-26,5.2268
1994-01-27,5.2268
1994-01-28,5.2498
1994-01-31,5.2498
1994-02-01,5.2268
1994-02-02,5.2498
1994-02-03,5.2268
1994-02-04,5.1117
1994-02-07,5.1117
1994-02-08,5.0426
1994-02-09,5.1347
1994-02-10,5.1807
1994-02-11,5.2038
1994-02-14,5.2498
1994-02-15,5.2728
1994-02-16,5.2498
1994-02-17,5.2268
1994-02-18,5.2038
1994-02-22,5.1117
1994-02-23,5.1117
1994-02-24,5.1117
1994-02-25,5.0196
1994-02-28,5.0886
1994-03-01,4.9735
1994-03-02,4.8814
1994-03-03,4.9275
1994-03-04,4.9044
1994-03-07,4.9044
1994-03-08,4.7893
1994-03-09,4.8123
1994-03-10,4.8814
1994-03-11,4.8123
1994-03-14,4.8584
1994-03-15,4.9505
1994-03-16,4.8814
1994-03-17,4.9275
1994-03-18,4.9735
1994-03-21,4.9275
1994-03-22,4.9735
1994-03-23,4.9275
1994-03-24,4.9275
1994-03-25,4.9228
1994-03-28,4.9228
1994-03-29,4.9459
1994-03-30,4.9459
1994-03-31,4.7611
1994-04-04,4.6917
1994-04-05,4.9459
1994-04-06,4.9459
1994-04-07,5.1771
1994-04-08,5.2233
1994-04-11,5.2695
1994-04-12,5.2233
1994-04-13,5.2464
1994-04-14,5.1771
1994-04-15,5.1308
1994-04-18,5.2002
1994-04-19,5.2002
1994-04-20,5.2002
1994-04-21,5.1771
1994-04-22,5.1308
1994-04-25,5.2695
1994-04-26,5.3157
1994-04-28,5.2233
1994-04-29,5.2695
1994-05-02,5.2926
1994-05-03,5.2926
1994-05-04,5.3157
1994-05-05,5.2695
1994-05-06,5.154
1994-05-09,5.1771
1994-05-10,5.1771
1994-05-11,5.1077
1994-05-12,5.1771
1994-05-13,5.1077
1994-05-16,5.1308
1994-05-17,5.1771
1994-05-18,5.2926
1994-05-19,5.2464
1994-05-20,5.2695
1994-05-23,5.2002
1994-05-24,5.1771
1994-05-25,5.1771
1994-05-26,5.1077
1994-05-27,5.0153
1994-05-31,5.0384
1994-06-01,4.9459
1994-06-02,4.9459
1994-06-03,4.9691
1994-06-06,5.0384
1994-06-07,4.9691
1994-06-08,4.9459
1994-06-09,4.9459
1994-06-10,4.7611
1994-06-13,4.7148
1994-06-14,4.6224
1994-06-15,4.6686
1994-06-16,4.6686
1994-06-17,4.7148
1994-06-20,4.6686
1994-06-21,4.5762
1994-06-22,4.5299
1994-06-23,4.4375
1994-06-24,4.5044
1994-06-27,4.5508
1994-06-28,4.5972
1994-06-29,4.4579
1994-06-30,4.574
1994-07-01,4.5508
1994-07-05,4.5508
1994-07-06,4.5508
1994-07-07,4.365
1994-07-08,4.365
1994-07-11,4.2257
1994-07-12,4.3186
1994-07-13,4.365
1994-07-14,4.3883
1994-07-15,4.3883
1994-07-18,4.5044
1994-07-19,4.5972
1994-07-20,4.6901
1994-07-21,4.3186
1994-07-22,4.3883
1994-07-25,4.4347
1994-07-26,4.4347
1994-07-27,4.4347
1994-07-28,4.4347
1994-07-29,4.3418
1994-08-01,4.4115
1994-08-02,4.4347
1994-08-03,4.4115
1994-08-04,4.365
1994-08-05,4.365
1994-08-08,4.3418
1994-08-09,4.365
1994-08-10,4.3418
1994-08-11,4.2954
1994-08-12,4.2954
1994-08-15,4.3883
1994-08-16,4.365
1994-08-17,4.3883
1994-08-18,4.365
1994-08-19,4.365
1994-08-22,4.2954
1994-08-23,4.249
1994-08-24,4.2025
1994-08-25,4.2954
1994-08-26,4.2954
1994-08-29,4.2722
1994-08-30,4.3186
1994-08-31,4.2954
1994-09-01,4.2722
1994-09-02,4.2025
1994-09-06,4.2025
1994-09-07,4.2954
1994-09-08,4.5044
1994-09-09,4.5044
1994-09-12,4.4579
1994-09-13,4.5276
1994-09-14,4.6437
1994-09-15,4.6437
1994-09-16,4.6437
1994-09-19,4.6437
1994-09-20,4.5508
1994-09-21,4.6901
1994-09-22,4.6437
1994-09-23,4.6204
1994-09-26,4.501
1994-09-27,4.4311
1994-09-28,4.4078
1994-09-29,4.5477
1994-09-30,4.4777
1994-10-03,4.6643
1994-10-04,4.571
1994-10-05,4.5943
1994-10-06,4.6643
1994-10-07,4.6643
1994-10-10,4.7109
1994-10-11,4.5943
1994-10-12,4.5244
1994-10-13,4.4078
1994-10-14,4.4544
1994-10-17,4.4777
1994-10-18,4.4544
1994-10-19,4.3611
1994-10-20,4.2678
1994-10-21,4.2911
1994-10-24,4.2911
1994-10-25,4.2445
1994-10-26,4.1979
1994-10-27,4.1979
1994-10-28,4.2911
1994-10-31,4.2445
1994-11-01,4.1279
1994-11-02,4.2445
1994-11-03,4.1979
1994-11-04,4.1979
1994-11-07,4.1745
1994-11-08,4.3378
1994-11-09,4.3844
1994-11-10,4.3844
1994-11-11,4.4544
1994-11-14,4.4311
1994-11-15,4.3844
1994-11-16,4.3844
1994-11-17,4.3378
1994-11-18,4.2911
1994-11-21,4.2911
1994-11-22,4.1279
1994-11-23,3.9646
1994-11-25,4.0346
1994-11-28,4.0346
1994-11-29,3.8714
1994-11-30,4.0813
1994-12-01,4.1046
1994-12-02,4.1745
1994-12-05,4.2911
1994-12-06,4.1512
1994-12-07,4.1512
1994-12-08,4.1745
1994-12-09,4.1512
1994-12-12,4.2445
1994-12-13,4.1745
1994-12-14,4.0813
1994-12-15,3.988
1994-12-16,4.0346
1994-12-19,3.9413
1994-12-20,4.0346
1994-12-21,4.1279
1994-12-22,4.0113
1994-12-23,4.0319
1994-12-27,4.1257
1994-12-28,4.1726
1994-12-29,4.196
1994-12-30,4.3835
1995-01-03,4.3601
1995-01-04,4.407
1995-01-05,4.3835
1995-01-06,4.2898
1995-01-09,4.2898
1995-01-10,4.2898
1995-01-11,4.2898
1995-01-12,4.2429
1995-01-13,4.2195
1995-01-16,4.2195
1995-01-17,4.1726
1995-01-18,4.196
1995-01-19,4.1491
1995-01-20,4.1726
1995-01-23,4.196
1995-01-24,4.3601
1995-01-25,4.4304
1995-01-26,4.5476
1995-01-27,4.5242
1995-01-30,4.5711
1995-01-31,4.618
1995-02-01,4.6414
1995-02-02,4.6414
1995-02-03,4.6414
1995-02-06,4.6648
1995-02-07,4.8289
1995-02-08,4.782
1995-02-09,4.8524
1995-02-10,4.8055
1995-02-13,4.6883
1995-02-14,4.6414
1995-02-15,4.7352
1995-02-16,4.6883
1995-02-17,4.6883
1995-02-21,4.6883
1995-02-22,4.6883
1995-02-23,4.6648
1995-02-24,4.6648
1995-02-27,4.618
1995-02-28,4.6414
1995-03-01,4.5476
1995-03-02,4.5007
1995-03-03,4.5007
1995-03-06,4.5007
1995-03-07,4.4773
1995-03-08,4.4304
1995-03-09,4.4539
1995-03-10,4.4539
1995-03-13,4.4773
1995-03-14,4.3835
1995-03-15,4.3835
1995-03-16,4.4773
